experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,search_round,arch_pattern,ae_variant,latent_dim_cfg,thetas_dim_cfg,meta_predicted_best,meta_convergence_score
ae_search_r1,AutoEncoder_ld2_td3_ag0,ae_search_round1,"['Trend', 'AutoEncoder']",Yearly,1,6,30,10,1,True,0,42,15.955523,3.853802,970.120667,3609816.000000,0.973052,0.858759,2.231084,5161160,5.89,6,False,False,ReLU,MAX_EPOCHS,16.10688972,16.10688972,13.39797115,5,1.000000,False,"[""34.17088318"", ""36.03058243"", ""24.57512474"", ""22.10525322"", ""18.40726471"", ""16.10688972""]",1,trend_ae_alternating,AutoEncoder,2,3,12.158812,0.355824
ae_search_r1,AutoEncoder_ld2_td3_ag0,ae_search_round1,"['Trend', 'AutoEncoder']",Yearly,1,6,30,10,1,True,1,43,15.233358,3.557915,918.417847,3495020.750000,0.913729,0.821763,2.233534,5161160,5.48,6,False,False,ReLU,MAX_EPOCHS,15.70119476,15.70119476,12.34007072,5,1.000000,False,"[""38.35817719"", ""26.33854675"", ""23.32010269"", ""18.93601418"", ""16.58080292"", ""15.70119476""]",1,trend_ae_alternating,AutoEncoder,2,3,12.252334,0.319419
ae_search_r1,AutoEncoder_ld2_td3_ag0,ae_search_round1,"['Trend', 'AutoEncoder']",Yearly,1,6,30,10,1,True,2,44,15.025910,3.476862,894.082336,3402749.250000,0.897184,0.810444,2.195746,5161160,5.45,6,False,False,ReLU,MAX_EPOCHS,16.67687988,16.67687988,13.32833958,5,1.000000,False,"[""29.30140686"", ""39.73084259"", ""24.32149506"", ""21.50488853"", ""18.14588737"", ""16.67687988""]",1,trend_ae_alternating,AutoEncoder,2,3,12.860921,0.438918
ae_search_r1,AutoEncoder_ld8_td3_ag0,ae_search_round1,"['Trend', 'AutoEncoder']",Yearly,1,6,30,10,1,True,0,42,15.834048,3.761894,949.055115,3578378.750000,0.957772,0.875836,2.484140,5214980,5.57,6,False,False,ReLU,MAX_EPOCHS,16.77277756,16.77277756,16.10626602,5,1.000000,False,"[""37.27187347"", ""32.53192902"", ""24.79082680"", ""22.18250847"", ""19.91139793"", ""16.77277756""]",1,trend_ae_alternating,AutoEncoder,8,3,12.493477,0.335199
ae_search_r1,AutoEncoder_ld8_td3_ag0,ae_search_round1,"['Trend', 'AutoEncoder']",Yearly,1,6,30,10,1,True,1,43,17.283371,4.140035,1010.436523,3809733.000000,1.049692,0.992800,3.085053,5214980,5.68,6,False,False,ReLU,MAX_EPOCHS,18.90143967,18.90143967,14.46080017,5,1.000000,False,"[""34.19329071"", ""30.26353455"", ""26.14172745"", ""22.05683708"", ""19.69770622"", ""18.90143967""]",1,trend_ae_alternating,AutoEncoder,8,3,15.100808,0.441631
ae_search_r1,AutoEncoder_ld8_td3_ag0,ae_search_round1,"['Trend', 'AutoEncoder']",Yearly,1,6,30,10,1,True,2,44,17.126202,4.189923,1054.049927,4134837.250000,1.051161,1.012502,3.258349,5214980,5.41,6,False,False,ReLU,MAX_EPOCHS,18.44244385,18.44244385,13.88227463,5,1.000000,False,"[""34.72449875"", ""33.56714630"", ""26.11407852"", ""24.06400871"", ""20.83444023"", ""18.44244385""]",1,trend_ae_alternating,AutoEncoder,8,3,14.229899,0.409794
ae_search_r1,AutoEncoder_ld16_td3_ag0,ae_search_round1,"['Trend', 'AutoEncoder']",Yearly,1,6,30,10,1,True,0,42,19.427420,5.155003,1200.323242,4674414.000000,1.242993,1.245789,4.628983,5286740,5.48,6,False,False,ReLU,MAX_EPOCHS,18.83093834,18.83093834,13.24215221,5,1.000000,False,"[""31.39171982"", ""30.15446281"", ""25.60119247"", ""22.69062805"", ""19.76305771"", ""18.83093834""]",1,trend_ae_alternating,AutoEncoder,16,3,15.078560,0.480336
ae_search_r1,AutoEncoder_ld16_td3_ag0,ae_search_round1,"['Trend', 'AutoEncoder']",Yearly,1,6,30,10,1,True,1,43,20.587137,5.560714,1199.010864,4501764.000000,1.329521,1.452569,6.921788,5286740,5.23,6,False,False,ReLU,MAX_EPOCHS,20.56513023,20.56513023,16.89305496,5,1.000000,False,"[""35.69505692"", ""38.10834122"", ""27.22057343"", ""27.27761078"", ""22.61961555"", ""20.56513023""]",1,trend_ae_alternating,AutoEncoder,16,3,16.117854,0.451543
ae_search_r1,AutoEncoder_ld16_td3_ag0,ae_search_round1,"['Trend', 'AutoEncoder']",Yearly,1,6,30,10,1,True,2,44,19.096334,4.627148,1129.597656,4357993.000000,1.166449,1.010743,2.843507,5286740,5.25,6,False,False,ReLU,MAX_EPOCHS,21.71781349,21.71781349,17.23407745,5,1.000000,False,"[""30.61735344"", ""44.75117874"", ""25.48592949"", ""23.03285408"", ""24.52145195"", ""21.71781349""]",1,trend_ae_alternating,AutoEncoder,16,3,17.639663,0.576133
ae_search_r1,GenericAE_ld2_td3_ag0,ae_search_round1,"['Trend', 'GenericAE']",Yearly,1,6,30,10,1,True,0,42,17.458864,4.444282,1082.885132,4122174.500000,1.093342,0.979068,2.701651,1826585,4.99,6,False,False,ReLU,MAX_EPOCHS,16.34571457,16.34571457,14.32790565,5,1.000000,False,"[""31.50024796"", ""39.13824463"", ""23.56741333"", ""21.34847260"", ""18.27426338"", ""16.34571457""]",1,trend_ae_alternating,GenericAE,2,3,12.608480,0.400266
ae_search_r1,GenericAE_ld2_td3_ag0,ae_search_round1,"['Trend', 'GenericAE']",Yearly,1,6,30,10,1,True,1,43,17.532270,4.492667,1114.215942,4423979.500000,1.101675,0.951379,2.434750,1826585,4.97,6,False,False,ReLU,MAX_EPOCHS,16.71625900,16.71625900,13.56537819,5,1.000000,False,"[""32.49561691"", ""38.62911606"", ""23.46295166"", ""21.48789978"", ""18.53383636"", ""16.71625900""]",1,trend_ae_alternating,GenericAE,2,3,12.922454,0.397668
