experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,t_width,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,block_type_cfg,latent_dim_cfg,active_g_cfg
autoencoder_pure_m4,AE_10s_ld32_ag0,ae_pure_study,['AutoEncoder'],Yearly,1,6,30,10,1,True,0,42,13.826900,3.194410,841.595459,3238891.750000,0.824962,0.741504,1.951225,8310170,256,79.47,3,False,False,ReLU,EARLY_STOPPED,13.70897102,14.85349846,9.21575260,9,1.083487,False,"[""14.56832314"", ""13.81683731"", ""14.17263412"", ""14.90391350"", ""13.83909130"", ""14.33670902"", ""14.25039387"", ""13.97585964"", ""14.08935165"", ""13.70897102"", ""14.01061440"", ""14.05675411"", ""14.33286285"", ""14.13668728"", ""14.45163345"", ""14.37891293"", ""14.63533592"", ""14.35351753"", ""14.36522293"", ""14.75277615"", ""14.70313454"", ""14.59350681"", ""14.73568916"", ""14.86325550"", ""14.85349846""]",AutoEncoder,32,False
autoencoder_pure_m4,AE_10s_ld32_ag0,ae_pure_study,['AutoEncoder'],Yearly,1,6,30,10,1,True,1,43,13.787436,3.142589,835.588318,3218821.750000,0.817234,0.732119,1.910121,8310170,256,91.16,3,False,False,ReLU,EARLY_STOPPED,13.82221603,15.23602200,9.31807327,13,1.102285,False,"[""15.23736382"", ""14.57274628"", ""14.06629848"", ""13.95645237"", ""14.19692230"", ""14.41480160"", ""14.36222553"", ""14.31402493"", ""14.12260437"", ""14.19106007"", ""13.94201660"", ""13.98424625"", ""14.32104778"", ""13.82221603"", ""14.37095070"", ""14.28058243"", ""14.48486137"", ""14.14239407"", ""14.42198753"", ""14.73859692"", ""15.07441044"", ""14.81384945"", ""15.17928410"", ""14.96833706"", ""15.24993038"", ""15.30492401"", ""15.27775383"", ""15.24179363"", ""15.23602200""]",AutoEncoder,32,False
autoencoder_pure_m4,AE_10s_ld32_ag0,ae_pure_study,['AutoEncoder'],Yearly,1,6,30,10,1,True,2,44,13.935712,3.299716,849.322083,3210774.000000,0.841540,0.749667,1.921099,8310170,256,76.74,3,False,False,ReLU,EARLY_STOPPED,13.62566853,14.78120136,9.71025658,8,1.084806,False,"[""75.78124237"", ""15.99072838"", ""13.92704105"", ""15.19213486"", ""14.23766994"", ""13.89195156"", ""13.84949589"", ""14.23722458"", ""13.62566853"", ""14.12964153"", ""14.73114395"", ""14.37655258"", ""13.70480824"", ""13.78443050"", ""14.04070759"", ""14.26953506"", ""14.06274700"", ""14.38657570"", ""14.22970104"", ""14.33250237"", ""14.31227589"", ""14.76802444"", ""14.64965057"", ""14.78120136""]",AutoEncoder,32,False
autoencoder_pure_m4,AE_10s_ld32_ag0,ae_pure_study,['AutoEncoder'],Yearly,1,6,30,10,1,True,3,45,13.621956,3.153640,824.870361,3135193.750000,0.813562,0.739286,1.928620,8310170,256,76.06,3,False,False,ReLU,EARLY_STOPPED,13.80935192,14.69720554,10.22469616,8,1.064294,False,"[""14.23003101"", ""14.37666607"", ""14.03650379"", ""13.82543087"", ""14.38864517"", ""14.40411949"", ""14.55366802"", ""14.17291451"", ""13.80935192"", ""14.84737682"", ""14.28800392"", ""14.10621357"", ""13.84758186"", ""14.17115307"", ""14.32402039"", ""14.61850166"", ""14.01075172"", ""14.21940231"", ""14.22953224"", ""14.53521156"", ""14.58987617"", ""14.67725945"", ""14.61610031"", ""14.69720554""]",AutoEncoder,32,False
autoencoder_pure_m4,AE_10s_ld32_ag0,ae_pure_study,['AutoEncoder'],Yearly,1,6,30,10,1,True,4,46,13.688930,3.164923,831.122559,3167584.000000,0.817030,0.723536,1.889488,8310170,256,75.77,3,False,False,ReLU,EARLY_STOPPED,13.66904259,15.01034927,10.16891575,7,1.098127,False,"[""16.08781433"", ""14.40571594"", ""13.94536114"", ""14.16600037"", ""14.09656143"", ""14.07751656"", ""13.83382225"", ""13.66904259"", ""14.31185055"", ""14.21749020"", ""13.73472786"", ""13.77108955"", ""14.53010750"", ""14.70223141"", ""14.09765720"", ""14.80333424"", ""14.37383270"", ""14.74815941"", ""14.65801811"", ""14.59509754"", ""14.69676113"", ""14.78742218"", ""15.01034927""]",AutoEncoder,32,False
autoencoder_pure_m4,AE_10s_ld32_ag0,ae_pure_study,['AutoEncoder'],Yearly,1,6,30,10,1,True,5,47,13.862507,3.290175,846.973694,3260954.500000,0.838100,0.744172,1.905101,8310170,256,66.87,3,False,False,ReLU,EARLY_STOPPED,13.71146202,14.43816853,11.09425449,5,1.053000,False,"[""14.94727993"", ""14.96990204"", ""15.20160198"", ""14.45472431"", ""13.79741287"", ""13.71146202"", ""14.49779510"", ""14.62131882"", ""13.89537048"", ""13.76847267"", ""13.86934471"", ""14.67581272"", ""14.27660370"", ""14.72442245"", ""14.14552879"", ""14.27411938"", ""14.76004982"", ""14.17247868"", ""14.40220070"", ""14.52339363"", ""14.43816853""]",AutoEncoder,32,False
autoencoder_pure_m4,AE_10s_ld32_ag0,ae_pure_study,['AutoEncoder'],Yearly,1,6,30,10,1,True,6,48,13.436909,3.091901,817.054626,3096622.000000,0.800132,0.720617,1.886409,8310170,256,67.73,3,False,False,ReLU,EARLY_STOPPED,13.73551655,14.62803078,10.23476124,5,1.064979,False,"[""18.74099350"", ""14.03080845"", ""14.35038853"", ""14.48991585"", ""13.89659882"", ""13.73551655"", ""13.93451214"", ""14.02877045"", ""14.43191147"", ""14.28972054"", ""14.01826763"", ""14.42264557"", ""14.03282738"", ""14.06350136"", ""13.99704647"", ""14.16009235"", ""14.27426624"", ""14.40797043"", ""14.39291477"", ""14.59020424"", ""14.62803078""]",AutoEncoder,32,False
autoencoder_pure_m4,AE_10s_ld32_ag0,ae_pure_study,['AutoEncoder'],Yearly,1,6,30,10,1,True,7,49,13.391346,3.063962,814.057190,3120045.000000,0.795223,0.716606,1.887649,8310170,256,68.88,3,False,False,ReLU,EARLY_STOPPED,13.62910175,14.64391136,9.60239315,5,1.074459,False,"[""45.23522568"", ""44.66167450"", ""44.25247574"", ""14.60992908"", ""14.30378151"", ""13.62910175"", ""13.88095760"", ""13.73865891"", ""14.83156681"", ""14.83321095"", ""14.10342026"", ""15.21525383"", ""14.13446903"", ""14.46949291"", ""14.36027622"", ""14.05975437"", ""14.20250034"", ""14.19210911"", ""14.30122280"", ""14.71562386"", ""14.64391136""]",AutoEncoder,32,False
autoencoder_pure_m4,AE_10s_ld32_ag0,ae_pure_study,['AutoEncoder'],Yearly,1,6,30,10,1,True,8,50,13.652340,3.193481,834.622314,3189366.750000,0.819504,0.729787,1.879234,8310170,256,70.71,3,False,False,ReLU,EARLY_STOPPED,13.49458694,14.63725567,10.14207745,6,1.084676,False,"[""15.78435421"", ""13.75079250"", ""15.64829063"", ""14.09584618"", ""13.70766258"", ""14.31621838"", ""13.49458694"", ""13.79217911"", ""14.93735313"", ""13.96145535"", ""15.03418350"", ""13.95940113"", ""14.04028511"", ""13.88811302"", ""14.20456696"", ""14.27930737"", ""14.63500500"", ""14.45299149"", ""14.38436413"", ""14.76124859"", ""14.66863441"", ""14.63725567""]",AutoEncoder,32,False
autoencoder_pure_m4,AE_10s_ld32_ag0,ae_pure_study,['AutoEncoder'],Yearly,1,6,30,10,1,True,9,51,13.342589,3.050741,815.343201,3159860.000000,0.792068,0.710548,1.854644,8310170,256,59.80,2,False,False,ReLU,EARLY_STOPPED,13.66277981,14.59414673,10.50125980,3,1.068168,False,"[""15.40147972"", ""14.12823009"", ""14.07783318"", ""13.66277981"", ""13.75176048"", ""13.77339554"", ""14.87918091"", ""13.77242279"", ""14.07445621"", ""13.90394306"", ""13.69901943"", ""13.69202995"", ""14.33461571"", ""14.42703533"", ""14.43243980"", ""14.65439034"", ""14.49235058"", ""14.43870640"", ""14.59414673""]",AutoEncoder,32,False
