experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,t_width,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,arch_family,block_type_primary,backbone,stack_pattern,wavelet_family,basis_dim_label,latent_dim_cfg,trend_thetas_dim_cfg,skip_distance_cfg,active_g_cfg,kl_weight_cfg,share_weights_cfg
comprehensive_m4_paper_sample,NBEATS-G_10s_ag0,paper_baseline,['Generic'],Yearly,1,6,30,10,1,True,0,364404273,13.735262,3.179672,841.554626,3246957.500000,0.820304,0.736040,1.926111,8222720,256,26.57,3,False,False,ReLU,EARLY_STOPPED,13.90722847,14.89947510,10.40734863,6,1.071348,False,"[""14.64268303"", ""14.41321373"", ""15.25680447"", ""14.18405533"", ""14.93958569"", ""13.93018341"", ""13.90722847"", ""13.92829323"", ""14.48519039"", ""14.20391941"", ""14.61031246"", ""14.34546852"", ""14.56122017"", ""14.18649483"", ""15.64742661"", ""14.52594948"", ""14.70541191"", ""14.62908649"", ""14.24693203"", ""14.88045692"", ""15.10932446"", ""14.89947510""]",paper_baseline,Generic,RootBlock,homogeneous,,,,,0,False,,
comprehensive_m4_paper_sample,NBEATS-G_10s_ag0,paper_baseline,['Generic'],Yearly,1,6,30,10,1,True,1,1556668074,13.716009,3.180552,839.838806,3236592.250000,0.819825,0.728168,1.901991,8222720,256,22.15,2,False,False,ReLU,EARLY_STOPPED,13.69759464,14.55244160,10.54225540,3,1.062409,False,"[""13.96260166"", ""13.82945156"", ""15.41629505"", ""13.69759464"", ""14.45966053"", ""14.38519669"", ""14.27308178"", ""14.07156944"", ""14.97309875"", ""14.33782101"", ""13.86938286"", ""14.71978760"", ""14.21668434"", ""14.35278511"", ""14.27178669"", ""14.53569698"", ""14.16552162"", ""14.51798058"", ""14.55244160""]",paper_baseline,Generic,RootBlock,homogeneous,,,,,0,False,,
comprehensive_m4_paper_sample,NBEATS-G_10s_ag0,paper_baseline,['Generic'],Yearly,1,6,30,10,1,True,2,546346645,13.524193,3.136454,828.492737,3185236.250000,0.808408,0.717438,1.853650,8222720,256,21.51,2,False,False,ReLU,EARLY_STOPPED,13.79199886,14.57615757,10.15075874,2,1.056856,False,"[""19.77815437"", ""14.14696980"", ""13.79199886"", ""14.67009544"", ""14.03485489"", ""13.87342262"", ""13.89651585"", ""14.26430798"", ""14.11578369"", ""14.50152874"", ""14.45503139"", ""14.34980583"", ""15.08724594"", ""14.56244278"", ""15.18283558"", ""14.63028812"", ""14.42968178"", ""14.57615757""]",paper_baseline,Generic,RootBlock,homogeneous,,,,,0,False,,
comprehensive_m4_paper_sample,NBEATS-G_10s_ag0,paper_baseline,['Generic'],Yearly,1,6,30,10,1,True,3,1019745030,13.705405,3.193272,837.555420,3199552.500000,0.821101,0.729547,1.865324,8222720,256,21.66,2,False,False,ReLU,EARLY_STOPPED,13.82383728,14.51853943,11.27332783,2,1.050254,False,"[""14.11770916"", ""15.03180122"", ""13.82383728"", ""14.19018650"", ""14.01056290"", ""14.21145535"", ""14.45332718"", ""14.37447166"", ""14.26099873"", ""13.97065067"", ""14.07172585"", ""14.02081680"", ""13.94120884"", ""14.06511307"", ""14.69207191"", ""13.89912891"", ""14.50340366"", ""14.51853943""]",paper_baseline,Generic,RootBlock,homogeneous,,,,,0,False,,
comprehensive_m4_paper_sample,NBEATS-G_10s_ag0,paper_baseline,['Generic'],Yearly,1,6,30,10,1,True,4,1900739783,13.724806,3.121241,832.821716,3190720.500000,0.812632,0.726015,1.909101,8222720,256,32.44,3,False,False,ReLU,EARLY_STOPPED,13.87418747,14.62668324,9.08405590,12,1.054237,False,"[""14.95484543"", ""14.33548641"", ""13.88614559"", ""15.07766056"", ""14.04072285"", ""14.71370792"", ""14.40398407"", ""14.40823650"", ""14.21903896"", ""13.99248791"", ""14.58088493"", ""14.47038269"", ""13.87418747"", ""14.45689011"", ""14.78857613"", ""14.14895153"", ""14.33452129"", ""14.49772167"", ""14.69013882"", ""14.42524338"", ""14.97911835"", ""15.06499863"", ""14.66689396"", ""14.68891811"", ""14.18749905"", ""14.53879070"", ""15.08271503"", ""14.62668324""]",paper_baseline,Generic,RootBlock,homogeneous,,,,,0,False,,
comprehensive_m4_paper_sample,NBEATS-G_10s_ag0,paper_baseline,['Generic'],Yearly,1,6,30,10,1,True,7,1008153767,13.659456,3.193880,841.336365,3279395.250000,0.819772,0.733550,1.891334,8222720,256,25.54,3,False,False,ReLU,EARLY_STOPPED,13.63702679,14.72088051,10.44128132,5,1.079479,False,"[""46.68367767"", ""14.59274197"", ""14.41895676"", ""15.19980431"", ""14.17276859"", ""13.63702679"", ""14.32119942"", ""14.11122513"", ""14.02948666"", ""14.67310047"", ""14.20538425"", ""14.71825123"", ""14.04872417"", ""14.12936687"", ""14.96576595"", ""14.50793648"", ""14.42237091"", ""15.00266743"", ""14.04139233"", ""14.80564690"", ""14.72088051""]",paper_baseline,Generic,RootBlock,homogeneous,,,,,0,False,,
comprehensive_m4_paper_sample,NBEATS-G_10s_ag0,paper_baseline,['Generic'],Yearly,1,6,30,10,1,True,9,496220988,13.373571,3.051336,816.695190,3139413.250000,0.793090,0.710803,1.858201,8222720,256,26.91,3,False,False,ReLU,EARLY_STOPPED,13.77876663,14.57324028,10.87806034,7,1.057659,False,"[""18.22666359"", ""14.01035881"", ""14.14592838"", ""14.39552689"", ""15.22690582"", ""14.30891609"", ""14.28314114"", ""13.77876663"", ""14.36655807"", ""13.93498516"", ""13.95195484"", ""14.23887730"", ""14.41783047"", ""14.16487122"", ""14.72162628"", ""14.40388870"", ""14.93771458"", ""14.36328506"", ""14.47446728"", ""14.38353252"", ""14.85610008"", ""14.75109673"", ""14.57324028""]",paper_baseline,Generic,RootBlock,homogeneous,,,,,0,False,,
comprehensive_m4_paper_sample,Generic_10s_sw0,no_weight_sharing,['Generic'],Yearly,1,6,30,10,1,True,0,1542374360,13.535845,3.108284,828.056030,3197009.750000,0.805220,0.718444,1.874799,8222720,256,25.89,3,False,False,ReLU,EARLY_STOPPED,13.72975540,14.43168068,10.49043941,6,1.051124,False,"[""14.16490746"", ""13.87199211"", ""15.63864708"", ""14.15383434"", ""14.26413345"", ""13.92025280"", ""13.72975540"", ""14.49827290"", ""14.56889439"", ""14.45144176"", ""14.52101517"", ""14.20252705"", ""14.08762264"", ""14.55120754"", ""14.26378536"", ""14.93600655"", ""14.17378235"", ""14.78356266"", ""14.96045017"", ""15.13152218"", ""14.22677994"", ""14.43168068""]",no_weight_sharing,Generic,RootBlock,homogeneous,,,,,0,False,,False
comprehensive_m4_paper_sample,Generic_10s_sw0,no_weight_sharing,['Generic'],Yearly,1,6,30,10,1,True,1,1537977644,13.363335,3.038499,816.622375,3153030.000000,0.791162,0.709466,1.854807,8222720,256,24.49,2,False,False,ReLU,EARLY_STOPPED,13.90671349,15.10264683,10.95131874,4,1.085997,False,"[""15.74705982"", ""13.97319412"", ""14.11912632"", ""14.69623470"", ""13.90671349"", ""14.53494835"", ""14.13772678"", ""14.60497952"", ""14.17781353"", ""14.01492786"", ""14.01411724"", ""14.07057762"", ""14.10620880"", ""14.06447983"", ""14.31332970"", ""14.36523056"", ""14.20342541"", ""14.22285461"", ""14.24682236"", ""15.10264683""]",no_weight_sharing,Generic,RootBlock,homogeneous,,,,,0,False,,False
comprehensive_m4_paper_sample,Generic_10s_sw0,no_weight_sharing,['Generic'],Yearly,1,6,30,10,1,True,2,777655488,13.926664,3.300935,852.412354,3229803.500000,0.841417,0.745475,1.910514,8222720,256,22.94,2,False,False,ReLU,EARLY_STOPPED,13.85932922,14.41064930,11.90306950,3,1.039780,False,"[""14.59094715"", ""17.46919823"", ""14.36187267"", ""13.85932922"", ""14.06670094"", ""13.99121761"", ""14.57329655"", ""15.36555290"", ""14.31084347"", ""14.22778416"", ""15.99785709"", ""15.09478760"", ""15.36490631"", ""14.24590588"", ""14.05397129"", ""14.93523598"", ""14.23573685"", ""14.48977470"", ""14.41064930""]",no_weight_sharing,Generic,RootBlock,homogeneous,,,,,0,False,,False
