experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,t_width,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,arch_family,block_type_primary,backbone,stack_pattern,wavelet_family,basis_dim_label,latent_dim_cfg,trend_thetas_dim_cfg,skip_distance_cfg,active_g_cfg,kl_weight_cfg,share_weights_cfg
comprehensive_m4_paper_sample_sym10_fills,TWAE_10s_ld32_sym10_ag0,trendwaveletae,['TrendWaveletAE'],Yearly,1,6,30,10,1,True,0,1608372878,13.608339,3.096183,835.369873,3325542.250000,0.805916,0.722705,1.875391,476570,256,22.86,2,False,False,ReLU,EARLY_STOPPED,13.59757328,13.85586643,12.73044395,0,1.018996,False,"[""13.59757328"", ""14.13107491"", ""13.84078026"", ""14.69234371"", ""13.96328831"", ""13.79520798"", ""14.35414982"", ""14.08311844"", ""14.10838223"", ""13.84881687"", ""14.37401772"", ""14.04795647"", ""14.32033730"", ""13.86800671"", ""14.25530720"", ""13.85586643""]",trendwavelet_ae,TrendWaveletAE,AERootBlock,homogeneous,sym10,eq_fcast,32,3,0,False,,
comprehensive_m4_paper_sample_sym10_fills,TWAE_10s_ld32_sym10_ag0,trendwaveletae,['TrendWaveletAE'],Yearly,1,6,30,10,1,True,1,1004564237,13.919161,3.263094,847.598328,3213772.500000,0.836426,0.748845,1.924405,476570,256,27.26,3,False,False,ReLU,EARLY_STOPPED,13.55737209,14.04327965,10.79653740,6,1.035841,False,"[""13.96816063"", ""14.00896645"", ""13.98645687"", ""14.80945396"", ""13.82811928"", ""13.79027462"", ""13.55737209"", ""13.83926773"", ""13.91359329"", ""14.47623730"", ""13.74356556"", ""14.76653576"", ""13.76098824"", ""14.38152695"", ""14.21048641"", ""13.99045944"", ""14.81779099"", ""14.36336803"", ""14.87021828"", ""14.22967434"", ""14.24105263"", ""14.04327965""]",trendwavelet_ae,TrendWaveletAE,AERootBlock,homogeneous,sym10,eq_fcast,32,3,0,False,,
comprehensive_m4_paper_sample_sym10_fills,TWAE_10s_ld32_sym10_ag0,trendwaveletae,['TrendWaveletAE'],Yearly,1,6,30,10,1,True,2,1118950973,13.858956,3.219312,839.799988,3158277.750000,0.829076,0.740559,1.905724,476570,256,25.20,3,False,False,ReLU,EARLY_STOPPED,13.81296349,14.25368595,11.30000687,5,1.031906,False,"[""14.02467632"", ""14.02753830"", ""14.07998371"", ""13.87874889"", ""14.81878567"", ""13.81296349"", ""14.67129803"", ""14.17794609"", ""13.91539669"", ""13.86428642"", ""14.20423603"", ""13.96863747"", ""14.36760616"", ""14.29234886"", ""13.98167801"", ""14.25287914"", ""14.06987762"", ""14.64246368"", ""14.27869129"", ""14.34415340"", ""14.25368595""]",trendwavelet_ae,TrendWaveletAE,AERootBlock,homogeneous,sym10,eq_fcast,32,3,0,False,,
comprehensive_m4_paper_sample_sym10_fills,TWAE_10s_ld32_sym10_ag0,trendwaveletae,['TrendWaveletAE'],Yearly,1,6,30,10,1,True,3,422700689,13.786846,3.227887,845.790649,3225439.750000,0.827948,0.732753,1.860832,476570,256,27.28,3,False,False,ReLU,EARLY_STOPPED,13.70924854,14.99102306,10.82237244,7,1.093497,False,"[""13.89594841"", ""13.71738052"", ""14.11063576"", ""13.71365356"", ""13.72875977"", ""14.39205933"", ""13.73828411"", ""13.70924854"", ""14.46225643"", ""14.04081821"", ""14.11934471"", ""14.28450012"", ""14.36789036"", ""14.45421028"", ""14.61988163"", ""14.65021038"", ""14.48131561"", ""14.73506641"", ""14.70019341"", ""14.60062122"", ""14.45678520"", ""14.67202187"", ""14.99102306""]",trendwavelet_ae,TrendWaveletAE,AERootBlock,homogeneous,sym10,eq_fcast,32,3,0,False,,
comprehensive_m4_paper_sample_sym10_fills,TWAE_10s_ld32_sym10_ag0,trendwaveletae,['TrendWaveletAE'],Yearly,1,6,30,10,1,True,4,638776748,13.503649,3.094817,833.476562,3306070.500000,0.802541,0.719899,1.861036,476570,256,23.11,2,False,False,ReLU,EARLY_STOPPED,13.69993782,14.03359413,11.79845810,3,1.024355,False,"[""15.81872845"", ""14.49197388"", ""14.15097141"", ""13.69993782"", ""14.31711006"", ""13.98093319"", ""13.98386860"", ""13.96303082"", ""14.33545971"", ""13.84603405"", ""14.35095882"", ""14.65150642"", ""14.98225498"", ""14.37751675"", ""14.22572708"", ""14.08510780"", ""14.23247528"", ""15.14732075"", ""14.03359413""]",trendwavelet_ae,TrendWaveletAE,AERootBlock,homogeneous,sym10,eq_fcast,32,3,0,False,,
comprehensive_m4_paper_sample_sym10_fills,TWAE_10s_ld32_sym10_ag0,trendwaveletae,['TrendWaveletAE'],Yearly,1,6,30,10,1,True,5,1188934678,13.728921,3.107415,832.751160,3204605.000000,0.811018,0.728218,1.905791,476570,256,31.30,3,False,False,ReLU,EARLY_STOPPED,13.93701267,14.69173622,10.22461987,11,1.054152,False,"[""14.43816948"", ""14.64338303"", ""14.17020512"", ""14.13414288"", ""13.99292278"", ""13.94873524"", ""14.06232643"", ""14.38427734"", ""15.01881504"", ""14.50710201"", ""14.04101181"", ""13.93701267"", ""14.68283558"", ""14.39964104"", ""14.32163715"", ""14.02753162"", ""14.66554165"", ""14.26152897"", ""14.35010147"", ""14.61969852"", ""14.58112907"", ""14.86639977"", ""14.28527451"", ""14.12123489"", ""14.62553978"", ""14.54701328"", ""14.69173622""]",trendwavelet_ae,TrendWaveletAE,AERootBlock,homogeneous,sym10,eq_fcast,32,3,0,False,,
comprehensive_m4_paper_sample_sym10_fills,TWAE_10s_ld32_sym10_ag0,trendwaveletae,['TrendWaveletAE'],Yearly,1,6,30,10,1,True,6,2002179491,13.558637,3.075216,823.564636,3182620.000000,0.801757,0.727038,1.919055,476570,256,26.15,3,False,False,ReLU,EARLY_STOPPED,13.70499420,14.99185753,10.53447247,6,1.093897,False,"[""13.86861038"", ""14.04619980"", ""13.92440605"", ""13.89234066"", ""14.52066803"", ""14.46872139"", ""13.70499420"", ""14.35550690"", ""14.30267143"", ""13.76905823"", ""15.71598339"", ""14.65072727"", ""14.74806976"", ""14.74621201"", ""13.86221600"", ""13.89642525"", ""14.62605286"", ""14.99502563"", ""15.00174618"", ""15.03690529"", ""14.73046017"", ""14.99185753""]",trendwavelet_ae,TrendWaveletAE,AERootBlock,homogeneous,sym10,eq_fcast,32,3,0,False,,
comprehensive_m4_paper_sample_sym10_fills,TWAE_10s_ld32_sym10_ag0,trendwaveletae,['TrendWaveletAE'],Yearly,1,6,30,10,1,True,7,1829142587,13.682170,3.151991,836.210693,3221415.000000,0.815196,0.727674,1.881060,476570,256,26.44,3,False,False,ReLU,EARLY_STOPPED,13.69380474,14.69576931,10.84164906,6,1.073169,False,"[""14.07929516"", ""14.17320347"", ""13.83672237"", ""13.77487469"", ""14.78866291"", ""13.77489662"", ""13.69380474"", ""13.82578087"", ""13.79328918"", ""13.93077564"", ""14.46599960"", ""14.34137630"", ""14.58806515"", ""14.43111134"", ""14.18077183"", ""14.76610851"", ""15.02733994"", ""14.33666039"", ""13.94626617"", ""14.83376789"", ""14.55399227"", ""14.69576931""]",trendwavelet_ae,TrendWaveletAE,AERootBlock,homogeneous,sym10,eq_fcast,32,3,0,False,,
comprehensive_m4_paper_sample_sym10_fills,TWAE_10s_ld32_sym10_ag0,trendwaveletae,['TrendWaveletAE'],Yearly,1,6,30,10,1,True,8,252375717,13.388361,3.050239,822.098328,3227084.750000,0.793405,0.709367,1.846178,476570,256,22.27,2,False,False,ReLU,EARLY_STOPPED,13.61492538,14.29841137,11.50514603,2,1.050201,False,"[""14.31324291"", ""13.93894863"", ""13.61492538"", ""13.84232903"", ""14.14625263"", ""13.92658424"", ""14.31122780"", ""13.68197441"", ""14.39869690"", ""14.53471565"", ""14.12299061"", ""14.65860558"", ""14.14728165"", ""14.16989517"", ""14.92398071"", ""14.36988544"", ""14.44091988"", ""14.29841137""]",trendwavelet_ae,TrendWaveletAE,AERootBlock,homogeneous,sym10,eq_fcast,32,3,0,False,,
comprehensive_m4_paper_sample_sym10_fills,TWAE_10s_ld32_sym10_ag0,trendwaveletae,['TrendWaveletAE'],Yearly,1,6,30,10,1,True,9,322895316,13.469063,3.088440,825.792603,3247122.500000,0.800680,0.719529,1.886550,476570,256,21.65,2,False,False,ReLU,EARLY_STOPPED,13.63568306,14.11625004,11.43731308,2,1.035243,False,"[""13.99518585"", ""13.64653492"", ""13.63568306"", ""14.64807320"", ""13.79750824"", ""13.78383160"", ""14.05656433"", ""14.62127018"", ""14.47725391"", ""13.88764286"", ""13.96574593"", ""13.89191341"", ""14.07265186"", ""14.25234509"", ""14.44530201"", ""14.21395206"", ""14.23975658"", ""14.11625004""]",trendwavelet_ae,TrendWaveletAE,AERootBlock,homogeneous,sym10,eq_fcast,32,3,0,False,,
