experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,t_width,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,gate_fn,architecture,block_type,backbone
gate_fn_study_fm5,TWALG20_sigmoid,gate_fn_study,['TrendWaveletAELG'],Yearly,1,6,30,20,1,True,0,42,13.558912,3.110235,834.102966,3289743.750000,0.806172,0.717575,1.855828,1040840,256,116.70,88,False,False,ReLU,EARLY_STOPPED,13.67063618,13.77053261,9.38254356,62,1.007307,False,"[""31.40617180"", ""24.89414978"", ""26.02071190"", ""21.12882805"", ""19.12224197"", ""17.62132072"", ""16.88674927"", ""16.14936256"", ""15.87508392"", ""15.94492149"", ""15.16700649"", ""15.22888279"", ""15.88105679"", ""15.31764030"", ""15.04957199"", ""14.60826111"", ""14.82813549"", ""14.36940861"", ""14.27605438"", ""14.54664707"", ""14.65490341"", ""14.76202011"", ""14.41591740"", ""14.10483456"", ""14.33690071"", ""14.41648674"", ""14.00428295"", ""14.06781292"", ""14.35453701"", ""14.37943172"", ""13.88679981"", ""13.98850632"", ""14.34224415"", ""14.29500389"", ""13.77891731"", ""13.84698677"", ""14.27780533"", ""14.37573624"", ""13.81357193"", ""13.82443333"", ""14.27823925"", ""14.35723114"", ""13.73438835"", ""13.73798943"", ""14.11812496"", ""14.45947933"", ""13.72326469"", ""13.72669601"", ""14.18750572"", ""14.61926270"", ""13.70977211"", ""14.09974003"", ""13.84483147"", ""14.99913597"", ""13.85013485"", ""13.73822403"", ""13.95088577"", ""13.83655548"", ""13.77083683"", ""13.70320129"", ""13.99669933"", ""13.86499977"", ""13.67063618"", ""13.69053841"", ""13.84480190"", ""14.01926613"", ""13.71114540"", ""13.73335552"", ""13.83397579"", ""13.99465466"", ""13.69803238"", ""13.69813633"", ""13.90778160"", ""13.84195137"", ""13.70858860"", ""13.71371174"", ""13.81177711"", ""13.87545490"", ""13.72116756"", ""13.73603439"", ""13.79960346"", ""13.79684353"", ""13.76482201"", ""13.73776913"", ""13.80719852"", ""13.80598259"", ""13.77494049"", ""13.77053261""]",sigmoid,TrendWavelet_pure,TrendWaveletAELG,AELG
gate_fn_study_fm5,TWALG20_sigmoid,gate_fn_study,['TrendWaveletAELG'],Yearly,1,6,30,20,1,True,1,43,13.578172,3.105456,832.583984,3269653.000000,0.806160,0.718906,1.861623,1040840,256,124.77,96,False,False,ReLU,EARLY_STOPPED,13.66824627,13.76019573,9.27263546,70,1.006727,False,"[""38.35726547"", ""30.69643402"", ""30.79861641"", ""22.57166290"", ""20.99314499"", ""20.11573410"", ""19.75968552"", ""17.00890350"", ""17.09683800"", ""16.35191917"", ""15.64779663"", ""16.38854980"", ""16.20700264"", ""17.61782074"", ""15.89155006"", ""15.35172653"", ""15.01014900"", ""15.03156281"", ""14.62500572"", ""15.64448929"", ""14.98964024"", ""15.89796829"", ""14.44694996"", ""15.12408543"", ""14.21569061"", ""15.21625233"", ""14.35231686"", ""14.91447830"", ""14.36901665"", ""15.35721016"", ""14.18791199"", ""14.64959240"", ""14.19532585"", ""14.66138172"", ""14.01941204"", ""14.65481663"", ""14.08357906"", ""14.74863625"", ""14.01853848"", ""14.40177536"", ""13.96557713"", ""14.67177486"", ""13.82580948"", ""14.21805477"", ""13.87727451"", ""14.64220619"", ""13.82888222"", ""14.18594170"", ""13.83937931"", ""14.46892357"", ""13.74618721"", ""14.12964439"", ""13.75759602"", ""14.37781620"", ""13.74682713"", ""14.04467297"", ""13.69546509"", ""14.13728428"", ""13.71225643"", ""13.97765446"", ""13.70600510"", ""14.04375267"", ""13.67665482"", ""13.96567535"", ""13.67623234"", ""13.93495941"", ""13.69129658"", ""13.92128658"", ""13.67530537"", ""13.89856815"", ""13.66824627"", ""13.79983521"", ""13.69088554"", ""13.83087540"", ""13.69335365"", ""13.79204655"", ""13.68515205"", ""13.81465054"", ""13.69037056"", ""13.77694607"", ""13.70888329"", ""13.76741123"", ""13.69968605"", ""13.79008293"", ""13.74627686"", ""13.78684902"", ""13.73013973"", ""13.76970100"", ""13.75151253"", ""13.78749084"", ""13.75284767"", ""13.76368523"", ""13.77848816"", ""13.76552486"", ""13.77256680"", ""13.76019573""]",sigmoid,TrendWavelet_pure,TrendWaveletAELG,AELG
gate_fn_study_fm5,TWALG20_sigmoid,gate_fn_study,['TrendWaveletAELG'],Yearly,1,6,30,20,1,True,2,44,13.563064,3.109623,834.256226,3292398.000000,0.806222,0.719206,1.870451,1040840,256,89.15,68,False,False,ReLU,EARLY_STOPPED,13.65188408,13.74823189,9.40384007,42,1.007057,False,"[""34.96842957"", ""28.77103615"", ""39.90291214"", ""24.96599007"", ""28.10636330"", ""21.13991737"", ""19.85379219"", ""19.43243599"", ""18.58754730"", ""16.21236801"", ""16.32085609"", ""15.52237606"", ""17.06524849"", ""20.94736671"", ""14.94408989"", ""14.77324772"", ""14.70801735"", ""14.54519749"", ""15.01015854"", ""14.36770153"", ""14.27417660"", ""14.86584949"", ""13.97160339"", ""14.20013046"", ""15.04145241"", ""14.19985008"", ""13.84856224"", ""13.84331131"", ""14.05006504"", ""14.45217133"", ""13.81887913"", ""13.73618031"", ""14.03402138"", ""14.17388344"", ""13.70800114"", ""13.72787476"", ""14.05816936"", ""14.19234467"", ""13.71248817"", ""13.68784618"", ""14.15315247"", ""14.06259823"", ""13.65188408"", ""13.65797329"", ""14.13707733"", ""14.12937641"", ""13.70967293"", ""13.68434334"", ""14.08718872"", ""14.12883377"", ""13.69082355"", ""13.68497658"", ""14.04019451"", ""14.08031273"", ""13.67606640"", ""13.68209553"", ""14.00937939"", ""13.95074844"", ""13.71398735"", ""13.68488979"", ""13.93805695"", ""14.02551270"", ""13.70832157"", ""13.70223904"", ""13.95891953"", ""13.94027138"", ""13.76206017"", ""13.74823189""]",sigmoid,TrendWavelet_pure,TrendWaveletAELG,AELG
gate_fn_study_fm5,TWALG20_sigmoid,gate_fn_study,['TrendWaveletAELG'],Yearly,1,6,30,20,1,True,3,45,13.507535,3.090322,831.147339,3306001.250000,0.802094,0.715019,1.854487,1040840,256,112.96,88,False,False,ReLU,EARLY_STOPPED,13.66282368,13.79720879,9.23992062,62,1.009836,False,"[""33.37877274"", ""27.49124908"", ""39.01653671"", ""25.05021667"", ""21.94140244"", ""20.60215187"", ""21.93672562"", ""18.23676682"", ""16.84934998"", ""17.08356857"", ""16.39858627"", ""16.57133102"", ""15.83614826"", ""19.38688660"", ""15.48591709"", ""15.49776936"", ""14.95072842"", ""15.40805340"", ""15.09125996"", ""16.87737083"", ""14.65375233"", ""15.41478157"", ""14.34697819"", ""15.09462738"", ""14.62140656"", ""15.56175041"", ""14.55185604"", ""15.13919258"", ""14.15252209"", ""14.75088215"", ""14.19248676"", ""14.93290234"", ""14.19392490"", ""15.09782505"", ""14.14990520"", ""14.41298866"", ""13.97323132"", ""14.83836174"", ""14.02753258"", ""14.40789413"", ""13.92310429"", ""14.72238731"", ""13.95908546"", ""14.20572186"", ""13.82126999"", ""14.63958740"", ""13.94245911"", ""14.09780121"", ""13.78759003"", ""14.55386543"", ""13.77639294"", ""13.95934677"", ""13.76427746"", ""14.51501179"", ""13.76324177"", ""14.05516529"", ""13.71452045"", ""14.27361107"", ""13.69371891"", ""14.05713558"", ""13.73435879"", ""14.07114029"", ""13.66282368"", ""13.92617226"", ""13.66985703"", ""13.94117641"", ""13.68666172"", ""13.90569115"", ""13.67321205"", ""13.92454243"", ""13.67304611"", ""13.84205055"", ""13.69269466"", ""13.84290504"", ""13.67520428"", ""13.87084770"", ""13.68261909"", ""13.82300568"", ""13.73812866"", ""13.77759552"", ""13.72500229"", ""13.86358547"", ""13.73177052"", ""13.80378437"", ""13.74776363"", ""13.78379345"", ""13.76531124"", ""13.79720879""]",sigmoid,TrendWavelet_pure,TrendWaveletAELG,AELG
gate_fn_study_fm5,TWALG20_sigmoid,gate_fn_study,['TrendWaveletAELG'],Yearly,1,6,30,20,1,True,4,46,13.481760,3.077852,828.968506,3274576.000000,0.799737,0.713578,1.855161,1040840,256,113.70,80,False,False,ReLU,EARLY_STOPPED,13.57864571,13.73745823,9.23713779,54,1.011696,False,"[""32.73062897"", ""26.15481186"", ""25.60445976"", ""22.87865448"", ""19.69602203"", ""18.60980606"", ""16.82604790"", ""16.98604584"", ""15.55270481"", ""19.01304054"", ""19.19363213"", ""17.02885818"", ""17.18385696"", ""15.46126747"", ""15.59940910"", ""14.84344196"", ""14.44423676"", ""14.53909874"", ""14.45656109"", ""14.13906288"", ""14.19059658"", ""14.53661728"", ""13.98365116"", ""14.09235764"", ""14.60514641"", ""14.16425133"", ""13.86407852"", ""13.79410839"", ""13.95257759"", ""14.39206791"", ""13.77051640"", ""13.82677269"", ""14.40389442"", ""14.08376217"", ""13.66248608"", ""13.65360069"", ""14.19033241"", ""14.38213825"", ""13.64832973"", ""13.65635872"", ""14.13299274"", ""14.28686714"", ""13.59729862"", ""13.59561539"", ""14.03891945"", ""14.42127132"", ""13.60516548"", ""13.60830688"", ""13.94865799"", ""14.30155754"", ""13.60252476"", ""13.60206890"", ""13.94186592"", ""14.04897118"", ""13.57864571"", ""13.60898781"", ""13.93012047"", ""13.96264839"", ""13.60864162"", ""13.61123276"", ""13.89868736"", ""14.02436447"", ""13.59792900"", ""13.61359215"", ""13.99305344"", ""13.89091682"", ""13.63919830"", ""13.65438080"", ""13.86678028"", ""13.91279316"", ""13.68428421"", ""13.64741802"", ""13.82735825"", ""13.86473370"", ""13.69861031"", ""13.68276787"", ""13.83569050"", ""13.80364704"", ""13.71558189"", ""13.73745823""]",sigmoid,TrendWavelet_pure,TrendWaveletAELG,AELG
gate_fn_study_fm5,TWALG20_wavy,gate_fn_study,['TrendWaveletAELG'],Yearly,1,6,30,20,1,True,0,42,13.545825,3.085625,830.927124,3272207.000000,0.802675,0.716031,1.865524,1040840,256,147.24,100,False,False,ReLU,EARLY_STOPPED,13.66599464,13.76542091,9.22152519,74,1.007275,False,"[""33.42832184"", ""26.25820732"", ""37.17309189"", ""21.95310211"", ""20.19250488"", ""20.51159096"", ""22.12940407"", ""17.15613937"", ""16.62182426"", ""18.48055458"", ""17.24053192"", ""18.40285301"", ""15.70504475"", ""16.85247803"", ""15.09556293"", ""16.74640274"", ""16.12753868"", ""17.81353760"", ""15.25937748"", ""16.04264832"", ""15.17832088"", ""16.12263107"", ""15.45648384"", ""16.28319550"", ""15.33984280"", ""15.85924339"", ""15.44426537"", ""15.34543324"", ""14.96003151"", ""15.87604332"", ""15.27079105"", ""15.07125378"", ""14.51140308"", ""15.82597160"", ""14.85715771"", ""14.99684620"", ""14.39656639"", ""15.92761993"", ""14.45611095"", ""14.75363350"", ""14.22782707"", ""15.55800724"", ""14.17783928"", ""15.24838543"", ""14.09704304"", ""15.44550228"", ""14.02036572"", ""14.77393341"", ""13.89191437"", ""14.70167637"", ""13.89302444"", ""14.61227417"", ""13.95755291"", ""14.68577480"", ""13.82128906"", ""14.39497662"", ""13.89902401"", ""14.42731285"", ""13.80590725"", ""14.28614426"", ""13.70554733"", ""14.19752216"", ""13.77971840"", ""14.25770283"", ""13.73188019"", ""14.08631229"", ""13.68683052"", ""14.02901077"", ""13.69915390"", ""14.06805706"", ""13.66741943"", ""13.97407627"", ""13.67364979"", ""13.91395473"", ""13.66599464"", ""13.93010616"", ""13.67515469"", ""13.89791203"", ""13.67919445"", ""13.87772655"", ""13.67473602"", ""13.84312344"", ""13.71570969"", ""13.80450916"", ""13.71026134"", ""13.77585697"", ""13.73766708"", ""13.79883003"", ""13.73202133"", ""13.80916405"", ""13.74381828"", ""13.76945877"", ""13.76083469"", ""13.77346230"", ""13.75899315"", ""13.77673817"", ""13.77322102"", ""13.76091671"", ""13.76172733"", ""13.76542091""]",wavy_sigmoid,TrendWavelet_pure,TrendWaveletAELG,AELG
gate_fn_study_fm5,TWALG20_wavy,gate_fn_study,['TrendWaveletAELG'],Yearly,1,6,30,20,1,True,1,43,13.609646,3.123879,835.776367,3282659.750000,0.809441,0.723575,1.878583,1040840,256,147.66,99,False,False,ReLU,EARLY_STOPPED,13.67808533,13.77702045,9.20174313,73,1.007233,False,"[""27.37789154"", ""30.60070038"", ""23.38443184"", ""20.59762192"", ""18.83827972"", ""16.83431435"", ""17.77062798"", ""16.17345619"", ""16.13563347"", ""15.04021454"", ""17.84079552"", ""17.82043648"", ""15.86604309"", ""16.36646461"", ""16.83844185"", ""15.87689114"", ""16.56842041"", ""15.22865486"", ""17.80545998"", ""14.95733929"", ""16.72061920"", ""15.13215637"", ""15.91473103"", ""15.01361656"", ""16.19450569"", ""14.97779465"", ""15.97196102"", ""14.77070618"", ""16.12838554"", ""14.75376511"", ""15.44653034"", ""14.44879436"", ""15.87635231"", ""14.61797810"", ""15.55525970"", ""14.39272118"", ""15.77210236"", ""14.41635704"", ""15.03360462"", ""14.11570644"", ""15.59770679"", ""14.24660492"", ""15.08856678"", ""14.09069729"", ""15.32109070"", ""14.05809212"", ""14.78063202"", ""13.94702053"", ""14.97890663"", ""13.97892761"", ""14.59510899"", ""13.89036369"", ""14.66357231"", ""13.87665939"", ""14.45816803"", ""13.78093719"", ""14.53776264"", ""13.82771015"", ""14.33101177"", ""13.78973675"", ""14.28649139"", ""13.78819656"", ""14.20870209"", ""13.70506763"", ""14.11476326"", ""13.71741867"", ""14.10377598"", ""13.73188972"", ""14.05926228"", ""13.70352745"", ""13.97243881"", ""13.68003082"", ""13.97122860"", ""13.67808533"", ""13.95167828"", ""13.69022560"", ""13.86736012"", ""13.70996571"", ""13.85604095"", ""13.70431519"", ""13.87329388"", ""13.71642208"", ""13.84127808"", ""13.72620201"", ""13.81735039"", ""13.73250294"", ""13.81800175"", ""13.73473358"", ""13.80883408"", ""13.75126076"", ""13.78172588"", ""13.76390934"", ""13.77974892"", ""13.77660751"", ""13.79859543"", ""13.76698685"", ""13.77120209"", ""13.77353668"", ""13.77702045""]",wavy_sigmoid,TrendWavelet_pure,TrendWaveletAELG,AELG
gate_fn_study_fm5,TWALG20_wavy,gate_fn_study,['TrendWaveletAELG'],Yearly,1,6,30,20,1,True,2,44,13.605017,3.137700,838.046265,3306981.750000,0.811038,0.722799,1.866154,1040840,256,132.14,89,False,False,ReLU,EARLY_STOPPED,13.70912743,13.86820793,9.18784237,63,1.011604,False,"[""33.71474075"", ""27.28082275"", ""35.83753586"", ""22.41568947"", ""19.82528496"", ""18.19006920"", ""19.43438721"", ""18.54294014"", ""18.28230286"", ""16.81047249"", ""17.53979111"", ""15.23883057"", ""17.39623833"", ""15.56832027"", ""18.02157784"", ""15.20685291"", ""17.00249672"", ""15.20507908"", ""16.53687668"", ""15.03558254"", ""17.04697227"", ""15.17401791"", ""16.66726685"", ""14.80364513"", ""16.25527382"", ""14.69844246"", ""15.89542007"", ""14.72815895"", ""16.91915321"", ""14.53569794"", ""15.71035290"", ""14.50356960"", ""16.22293663"", ""14.29946709"", ""15.30505276"", ""14.28740788"", ""16.00981140"", ""14.24683380"", ""15.19191456"", ""14.25561047"", ""15.63738441"", ""14.16949177"", ""14.87255573"", ""13.89432716"", ""15.23002720"", ""14.04727554"", ""14.76311970"", ""13.96286297"", ""15.22644806"", ""14.09704590"", ""14.64956284"", ""13.80430603"", ""14.57334328"", ""13.88467121"", ""14.40433311"", ""13.80593586"", ""14.58778095"", ""13.87659073"", ""14.32682610"", ""13.75381756"", ""14.31590462"", ""13.75136662"", ""14.18270206"", ""13.70912743"", ""14.27164555"", ""13.77238274"", ""14.18962765"", ""13.72587681"", ""14.02158260"", ""13.71002674"", ""14.05693245"", ""13.71244526"", ""14.02001667"", ""13.71355534"", ""14.00149441"", ""13.72585964"", ""13.94083691"", ""13.74814224"", ""13.92877293"", ""13.74322128"", ""13.88744736"", ""13.75997543"", ""13.87966728"", ""13.78192902"", ""13.86812592"", ""13.79553032"", ""13.87402153"", ""13.79837799"", ""13.86820793""]",wavy_sigmoid,TrendWavelet_pure,TrendWaveletAELG,AELG
gate_fn_study_fm5,TWALG20_wavy,gate_fn_study,['TrendWaveletAELG'],Yearly,1,6,30,20,1,True,3,45,13.525113,3.097656,830.856567,3276633.250000,0.803555,0.715622,1.853020,1040840,256,132.87,92,False,False,ReLU,EARLY_STOPPED,13.67618370,13.79857349,8.98962688,66,1.008949,False,"[""33.90535355"", ""26.80232620"", ""37.02727509"", ""24.70162582"", ""22.21377945"", ""21.43797493"", ""22.30252266"", ""18.44208908"", ""17.03836250"", ""16.84151840"", ""16.36586571"", ""20.45398521"", ""17.14246941"", ""15.87779999"", ""15.09170818"", ""15.87088966"", ""15.95754623"", ""17.39689064"", ""15.36577415"", ""15.83406639"", ""14.64119720"", ""15.66622925"", ""15.19308186"", ""16.78625870"", ""14.93816948"", ""15.59996033"", ""14.56318855"", ""15.56633282"", ""14.66780186"", ""15.79072666"", ""14.71675968"", ""15.74747658"", ""14.51987362"", ""14.96240616"", ""14.21884346"", ""15.35097790"", ""14.49284554"", ""15.05409622"", ""14.32256222"", ""15.17870617"", ""14.46066952"", ""14.64155006"", ""14.02916336"", ""14.89872646"", ""14.16239643"", ""14.55801868"", ""14.06462383"", ""14.61070824"", ""14.09681892"", ""14.50828362"", ""14.06942844"", ""14.45132923"", ""13.87818718"", ""14.30639935"", ""13.73382187"", ""14.27662182"", ""13.78557205"", ""14.17001057"", ""13.71112728"", ""14.37623501"", ""13.80878258"", ""14.21657848"", ""13.70861244"", ""14.12767792"", ""13.67668247"", ""14.04351807"", ""13.67618370"", ""14.03372192"", ""13.70778370"", ""14.05032444"", ""13.69954586"", ""13.95405388"", ""13.68869114"", ""13.91391468"", ""13.70303440"", ""13.91650772"", ""13.67843342"", ""13.87856007"", ""13.74243641"", ""13.84146786"", ""13.74167347"", ""13.82878113"", ""13.72046757"", ""13.89172459"", ""13.74882603"", ""13.79797268"", ""13.77603245"", ""13.81701946"", ""13.76531696"", ""13.82660294"", ""13.77912903"", ""13.79857349""]",wavy_sigmoid,TrendWavelet_pure,TrendWaveletAELG,AELG
gate_fn_study_fm5,TWALG20_wavy,gate_fn_study,['TrendWaveletAELG'],Yearly,1,6,30,20,1,True,4,46,13.654100,3.142556,838.085327,3274408.250000,0.813151,0.723097,1.861664,1040840,256,129.79,92,False,False,ReLU,EARLY_STOPPED,13.63491154,13.86830330,8.99889946,66,1.017117,False,"[""34.13074493"", ""27.11507607"", ""35.40946960"", ""24.84017181"", ""21.80862236"", ""20.05145645"", ""21.97444725"", ""18.32570648"", ""16.89674759"", ""18.18062973"", ""16.09804916"", ""17.17519188"", ""16.72264099"", ""18.45993614"", ""15.84861183"", ""15.87529755"", ""15.31914711"", ""15.95359612"", ""15.32926083"", ""16.72794724"", ""15.96954632"", ""16.41758919"", ""14.93967628"", ""15.32283115"", ""14.72334003"", ""15.62354183"", ""15.12307644"", ""16.09722710"", ""14.77533436"", ""15.52174282"", ""14.75861263"", ""15.12070751"", ""14.39268589"", ""15.53005600"", ""14.75310421"", ""15.25085163"", ""14.23959064"", ""15.53211975"", ""14.65727425"", ""14.66427135"", ""14.02932072"", ""15.24738407"", ""14.33339405"", ""14.60836506"", ""13.95073509"", ""15.27745819"", ""14.30400848"", ""14.61801243"", ""13.72642899"", ""15.15084648"", ""13.93409252"", ""14.39921856"", ""13.82094288"", ""14.60191536"", ""13.82913208"", ""14.45990181"", ""13.71833706"", ""14.35252953"", ""13.79767704"", ""14.22958660"", ""13.66624832"", ""14.11987591"", ""13.72685146"", ""14.06357574"", ""13.67667484"", ""14.03307629"", ""13.63491154"", ""14.01281071"", ""13.66730595"", ""13.98122025"", ""13.66016483"", ""13.98421192"", ""13.64241123"", ""13.93642426"", ""13.67113304"", ""13.90597534"", ""13.68017387"", ""13.89933872"", ""13.71242428"", ""13.91031551"", ""13.71582699"", ""13.89710712"", ""13.76487732"", ""13.89701653"", ""13.76734829"", ""13.86753273"", ""13.79406643"", ""13.84442616"", ""13.82345104"", ""13.88107491"", ""13.79580116"", ""13.86830330""]",wavy_sigmoid,TrendWavelet_pure,TrendWaveletAELG,AELG
