experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,t_width,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,search_round,generic_dim_cfg,block_type,backbone
generic_dim_sweep_r1,TWG_coif2_bd6_td3_gd3,generic_dim_sweep,['TrendWaveletGeneric'],Yearly,1,6,30,10,1,True,0,42,14.178843,3.269282,863.452087,3323334.000000,0.845150,0.766611,2.057784,2085040,256,15.56,10,False,False,ReLU,MAX_EPOCHS,14.79856968,14.79856968,11.42205238,9,1.000000,False,"[""38.65094757"", ""27.07554817"", ""25.64739037"", ""20.55294991"", ""17.05001450"", ""15.87691307"", ""16.96777916"", ""15.64879513"", ""15.82976913"", ""14.79856968""]",1,3,TrendWaveletGeneric,RootBlock
generic_dim_sweep_r1,TWG_coif2_bd6_td3_gd3,generic_dim_sweep,['TrendWaveletGeneric'],Yearly,1,6,30,10,1,True,1,43,14.256622,3.303641,867.949768,3316356.000000,0.851853,0.768496,2.061926,2085040,256,15.83,10,False,False,ReLU,MAX_EPOCHS,14.90087223,16.47425079,11.30253315,7,1.105590,False,"[""52.87452316"", ""26.36518669"", ""24.66051292"", ""19.09314346"", ""16.49092484"", ""15.52816677"", ""15.33793640"", ""14.90087223"", ""16.53845978"", ""16.47425079""]",1,3,TrendWaveletGeneric,RootBlock
generic_dim_sweep_r1,TWG_coif2_bd6_td3_gd3,generic_dim_sweep,['TrendWaveletGeneric'],Yearly,1,6,30,10,1,True,2,44,14.768667,3.545870,912.952209,3474400.000000,0.897996,0.812352,2.141509,2085040,256,16.20,10,False,False,ReLU,MAX_EPOCHS,14.82080746,14.82080746,11.57043839,9,1.000000,False,"[""56.22630310"", ""26.39040947"", ""24.74320412"", ""20.51127052"", ""17.21116447"", ""16.77572060"", ""15.81934261"", ""15.31927586"", ""17.84976006"", ""14.82080746""]",1,3,TrendWaveletGeneric,RootBlock
generic_dim_sweep_r1,TWG_coif2_bd6_td3_gd5,generic_dim_sweep,['TrendWaveletGeneric'],Yearly,1,6,30,10,1,True,0,42,14.519996,3.425839,889.764954,3436047.000000,0.875286,0.801241,2.158085,2090900,256,15.90,10,False,False,ReLU,MAX_EPOCHS,14.49809551,14.49809551,11.33170033,9,1.000000,False,"[""50.01800537"", ""27.53823662"", ""25.03651047"", ""20.15667343"", ""17.45287704"", ""16.91394615"", ""16.85013390"", ""15.51839256"", ""14.68656254"", ""14.49809551""]",1,5,TrendWaveletGeneric,RootBlock
generic_dim_sweep_r1,TWG_coif2_bd6_td3_gd5,generic_dim_sweep,['TrendWaveletGeneric'],Yearly,1,6,30,10,1,True,1,43,14.938150,3.593381,908.440247,3414542.500000,0.909159,0.834331,2.238320,2090900,256,18.47,10,False,False,ReLU,MAX_EPOCHS,15.00681686,15.00681686,11.62349987,9,1.000000,False,"[""65.75541687"", ""27.38305092"", ""24.38418198"", ""21.09532356"", ""18.71151733"", ""17.91251945"", ""17.63931274"", ""16.90595245"", ""16.34573555"", ""15.00681686""]",1,5,TrendWaveletGeneric,RootBlock
generic_dim_sweep_r1,TWG_coif2_bd6_td3_gd5,generic_dim_sweep,['TrendWaveletGeneric'],Yearly,1,6,30,10,1,True,2,44,14.511490,3.384205,890.201599,3384220.000000,0.869787,0.770139,2.008182,2090900,256,16.50,10,False,False,ReLU,MAX_EPOCHS,14.69531155,14.69531155,11.17937088,9,1.000000,False,"[""60.88309097"", ""26.19473839"", ""23.59156227"", ""20.12157822"", ""17.28688812"", ""19.55181694"", ""16.29936600"", ""16.06149292"", ""15.77981281"", ""14.69531155""]",1,5,TrendWaveletGeneric,RootBlock
generic_dim_sweep_r1,TWG_coif2_bd6_td3_gd8,generic_dim_sweep,['TrendWaveletGeneric'],Yearly,1,6,30,10,1,True,0,42,14.506414,3.332450,878.361755,3370808.000000,0.863120,0.777271,2.096958,2099690,256,15.20,10,False,False,ReLU,MAX_EPOCHS,15.46380806,15.62678623,11.05654430,8,1.010539,False,"[""56.31285477"", ""26.31781769"", ""24.04362488"", ""19.54581070"", ""16.82738304"", ""16.88947487"", ""18.34870148"", ""16.30996132"", ""15.46380806"", ""15.62678623""]",1,8,TrendWaveletGeneric,RootBlock
generic_dim_sweep_r1,TWG_coif2_bd6_td3_gd8,generic_dim_sweep,['TrendWaveletGeneric'],Yearly,1,6,30,10,1,True,1,43,14.710402,3.455705,893.515991,3373148.750000,0.884869,0.805677,2.146476,2099690,256,17.97,10,False,False,ReLU,MAX_EPOCHS,15.21826649,15.21826649,11.38204098,9,1.000000,False,"[""59.64518356"", ""27.20476151"", ""23.44951439"", ""20.02337646"", ""17.37196350"", ""17.61315536"", ""16.93350029"", ""16.45958138"", ""15.63840580"", ""15.21826649""]",1,8,TrendWaveletGeneric,RootBlock
generic_dim_sweep_r1,TWG_coif2_bd6_td3_gd8,generic_dim_sweep,['TrendWaveletGeneric'],Yearly,1,6,30,10,1,True,2,44,15.506077,3.815710,944.801208,3488132.750000,0.954508,0.875073,2.373081,2099690,256,14.28,10,False,False,ReLU,MAX_EPOCHS,15.59921646,15.59921646,11.39289188,9,1.000000,False,"[""48.35905075"", ""27.50379372"", ""26.61893845"", ""19.96532249"", ""17.84157372"", ""17.29710770"", ""21.47259521"", ""17.15316963"", ""16.41482162"", ""15.59921646""]",1,8,TrendWaveletGeneric,RootBlock
generic_dim_sweep_r1,TWG_coif2_bd6_td3_gd16,generic_dim_sweep,['TrendWaveletGeneric'],Yearly,1,6,30,10,1,True,0,42,14.976491,3.552804,920.300903,3464243.000000,0.905227,0.806655,2.098479,2123130,256,14.08,10,False,False,ReLU,MAX_EPOCHS,14.92744255,15.15567493,11.69743729,8,1.015289,False,"[""55.81192398"", ""27.23386955"", ""24.08280945"", ""19.83581734"", ""17.74414444"", ""18.17706299"", ""15.95283318"", ""16.94561195"", ""14.92744255"", ""15.15567493""]",1,16,TrendWaveletGeneric,RootBlock
generic_dim_sweep_r1,TWG_coif2_bd6_td3_gd16,generic_dim_sweep,['TrendWaveletGeneric'],Yearly,1,6,30,10,1,True,1,43,14.198200,3.279223,870.482849,3364127.750000,0.846993,0.761390,2.011368,2123130,256,15.65,10,False,False,ReLU,MAX_EPOCHS,14.56125450,14.56125450,12.40878868,9,1.000000,False,"[""54.62792969"", ""26.62449265"", ""24.77331161"", ""19.71574783"", ""17.79696083"", ""17.16939545"", ""16.52790451"", ""16.18000793"", ""15.02574730"", ""14.56125450""]",1,16,TrendWaveletGeneric,RootBlock
generic_dim_sweep_r1,TWG_coif2_bd6_td3_gd16,generic_dim_sweep,['TrendWaveletGeneric'],Yearly,1,6,30,10,1,True,2,44,14.013770,3.164774,848.331055,3270388.500000,0.826950,0.748478,2.022065,2123130,256,18.84,10,False,False,ReLU,MAX_EPOCHS,14.96722412,14.96722412,11.07255459,9,1.000000,False,"[""56.10337067"", ""27.59734726"", ""24.98818016"", ""20.47412491"", ""18.33080864"", ""18.12803078"", ""15.97260284"", ""15.55748749"", ""15.65236855"", ""14.96722412""]",1,16,TrendWaveletGeneric,RootBlock
generic_dim_sweep_r1,TWGAE_coif2_bd6_td3_ld16_gd3,generic_dim_sweep,['TrendWaveletGenericAE'],Yearly,1,6,30,10,1,True,0,42,16.030655,3.760490,950.270874,3605143.750000,0.963611,0.913267,2.708383,444240,256,16.29,10,False,False,ReLU,MAX_EPOCHS,16.96766281,16.96766281,12.89105225,9,1.000000,False,"[""89.12236023"", ""32.91297913"", ""43.86834335"", ""28.25000572"", ""25.80024529"", ""24.74875450"", ""21.88872910"", ""20.39461899"", ""18.71031761"", ""16.96766281""]",1,3,TrendWaveletGenericAE,AERootBlock
generic_dim_sweep_r1,TWGAE_coif2_bd6_td3_ld16_gd3,generic_dim_sweep,['TrendWaveletGenericAE'],Yearly,1,6,30,10,1,True,1,43,15.140772,3.554006,915.414917,3472411.000000,0.910405,0.825963,2.243834,444240,256,19.60,10,False,False,ReLU,MAX_EPOCHS,15.72162628,15.72162628,11.55412483,9,1.000000,False,"[""64.79083252"", ""32.25444412"", ""39.79498291"", ""26.93967056"", ""25.17168808"", ""23.26170921"", ""20.47190857"", ""18.51421738"", ""16.52351952"", ""15.72162628""]",1,3,TrendWaveletGenericAE,AERootBlock
