experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,t_width,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,architecture,kl_weight_cfg
kl_weight_sweep_m4,TVH10_kl001,kl_weight_sweep,"['TrendVAE', 'HaarWaveletV3']",Yearly,1,6,30,10,1,True,0,42,13.607642,3.088808,828.308960,3190963.500000,0.804967,0.719973,1.896549,4389825,256,26.31,37,False,False,ReLU,EARLY_STOPPED,13.96985626,20.84130096,16.99497223,26,1.491877,False,"[""59.69578171"", ""57.91652679"", ""24.41165543"", ""22.31518173"", ""19.29729843"", ""16.45330238"", ""17.19179535"", ""14.93223190"", ""20.44647789"", ""19.31494522"", ""16.67307281"", ""17.62468529"", ""15.48746967"", ""14.36144066"", ""15.31281757"", ""14.64054108"", ""14.47467232"", ""14.35059357"", ""14.18327045"", ""15.10830116"", ""17.53596878"", ""16.17674255"", ""14.76937199"", ""14.08175278"", ""14.49028683"", ""14.24675560"", ""13.96985626"", ""14.24090672"", ""14.05601406"", ""14.90795135"", ""13.97400379"", ""14.61031342"", ""14.81889439"", ""16.11332321"", ""14.07330990"", ""14.12620258"", ""20.84130096""]",TrendVAE_HaarWaveletV3,0.01
kl_weight_sweep_m4,TVH10_kl001,kl_weight_sweep,"['TrendVAE', 'HaarWaveletV3']",Yearly,1,6,30,10,1,True,1,43,14.016034,3.243729,852.033508,3280282.000000,0.836954,0.758063,2.038305,4389825,256,16.67,22,False,False,ReLU,EARLY_STOPPED,14.48986149,14.80339432,20.07501984,11,1.021638,False,"[""114.56853485"", ""55.43627548"", ""27.12626839"", ""18.80331802"", ""16.68180656"", ""21.99217224"", ""23.64520645"", ""18.16209602"", ""16.14008904"", ""15.18966961"", ""14.79774570"", ""14.48986149"", ""14.97942829"", ""17.19433212"", ""14.63848400"", ""15.68753433"", ""16.16129494"", ""17.03702164"", ""16.37029839"", ""16.44025612"", ""15.09065723"", ""14.80339432""]",TrendVAE_HaarWaveletV3,0.01
kl_weight_sweep_m4,TVH10_kl001,kl_weight_sweep,"['TrendVAE', 'HaarWaveletV3']",Yearly,1,6,30,10,1,True,2,44,13.847908,3.204599,844.629700,3194533.250000,0.826886,0.737997,1.932355,4389825,256,19.84,26,False,False,ReLU,EARLY_STOPPED,14.07864952,19.85111809,22.68923569,15,1.410016,False,"[""32.28093719"", ""30.80228615"", ""22.02860069"", ""19.48568726"", ""21.04015350"", ""15.79895020"", ""16.26903343"", ""14.54028797"", ""19.86291695"", ""14.72210979"", ""14.47018337"", ""14.49091530"", ""21.89713097"", ""17.46975327"", ""14.47560215"", ""14.07864952"", ""14.13625431"", ""17.20704651"", ""15.37572575"", ""14.88312340"", ""14.64524364"", ""14.25175667"", ""14.54585838"", ""18.19218445"", ""21.22437286"", ""19.85111809""]",TrendVAE_HaarWaveletV3,0.01
kl_weight_sweep_m4,TVH10_kl001,kl_weight_sweep,"['TrendVAE', 'HaarWaveletV3']",Yearly,1,6,30,10,1,True,3,45,13.954310,3.249141,852.086121,3256243.250000,0.835746,0.758891,2.013068,4389825,256,25.48,33,False,False,ReLU,EARLY_STOPPED,14.19054985,15.14650726,16.16205025,22,1.067366,False,"[""75.16856384"", ""58.00600052"", ""51.88309860"", ""50.68564224"", ""46.95490646"", ""46.92823792"", ""48.28834152"", ""53.16711044"", ""55.49538040"", ""47.94710159"", ""22.29144096"", ""20.83305359"", ""17.14385414"", ""15.11808968"", ""14.95867157"", ""14.61505413"", ""15.65353394"", ""15.42720413"", ""14.43616486"", ""14.97791004"", ""15.60266876"", ""17.63610649"", ""14.19054985"", ""14.54569721"", ""14.34566879"", ""17.25844383"", ""17.07559013"", ""14.51749039"", ""14.36816883"", ""15.04386234"", ""16.39890862"", ""18.99652863"", ""15.14650726""]",TrendVAE_HaarWaveletV3,0.01
kl_weight_sweep_m4,TVH10_kl001,kl_weight_sweep,"['TrendVAE', 'HaarWaveletV3']",Yearly,1,6,30,10,1,True,4,46,13.766646,3.180928,839.579834,3231381.250000,0.821422,0.739946,1.940114,4389825,256,21.82,28,False,False,ReLU,EARLY_STOPPED,13.97530746,15.21495152,16.66392136,17,1.088702,False,"[""39.18920517"", ""37.20598984"", ""21.75268555"", ""19.42634773"", ""19.28212166"", ""16.31879807"", ""15.41338825"", ""17.38936234"", ""15.00153828"", ""27.29596519"", ""18.46243668"", ""16.44429016"", ""15.24434280"", ""14.73482037"", ""14.64189816"", ""14.23104858"", ""14.86343479"", ""13.97530746"", ""14.63889408"", ""14.06695747"", ""19.18969917"", ""14.90172863"", ""14.54939556"", ""15.00994587"", ""14.57208538"", ""14.29283428"", ""14.73467636"", ""15.21495152""]",TrendVAE_HaarWaveletV3,0.01
kl_weight_sweep_m4,TVH10_kl005,kl_weight_sweep,"['TrendVAE', 'HaarWaveletV3']",Yearly,1,6,30,10,1,True,0,42,13.746999,3.161002,833.269043,3208749.000000,0.818314,0.753796,2.073434,4389825,256,26.55,34,False,False,ReLU,EARLY_STOPPED,14.18309498,14.52759743,24.28100586,23,1.024290,False,"[""61.76575089"", ""61.84903336"", ""31.57358742"", ""25.40310669"", ""24.55176544"", ""18.13690186"", ""18.44375229"", ""15.75276375"", ""17.27904129"", ""16.09528351"", ""15.47984123"", ""16.47840881"", ""18.97214890"", ""15.41388321"", ""17.92290688"", ""14.72786045"", ""14.63185883"", ""14.88293076"", ""15.50435352"", ""18.49502563"", ""15.34157467"", ""14.24615669"", ""14.68713760"", ""14.18309498"", ""17.50780487"", ""15.88053417"", ""16.86150360"", ""16.09660530"", ""15.00597286"", ""27.90557289"", ""20.05974197"", ""16.62317657"", ""15.91635418"", ""14.52759743""]",TrendVAE_HaarWaveletV3,0.05
kl_weight_sweep_m4,TVH10_kl005,kl_weight_sweep,"['TrendVAE', 'HaarWaveletV3']",Yearly,1,6,30,10,1,True,1,43,13.992717,3.221203,849.662476,3269954.250000,0.833406,0.746926,1.999783,4389825,256,22.43,26,False,False,ReLU,EARLY_STOPPED,14.48641300,14.69417381,33.79984665,15,1.014342,False,"[""115.21797943"", ""92.87728119"", ""40.57478333"", ""21.45963287"", ""16.92129707"", ""17.98428154"", ""16.85709572"", ""15.88996601"", ""14.80704498"", ""14.93066025"", ""14.63940716"", ""15.93165588"", ""15.81816196"", ""15.66547298"", ""15.32091999"", ""14.48641300"", ""14.62714958"", ""16.89896011"", ""16.55729866"", ""16.13932037"", ""18.96613693"", ""17.16612816"", ""16.93949699"", ""15.55967236"", ""15.01459503"", ""14.69417381""]",TrendVAE_HaarWaveletV3,0.05
kl_weight_sweep_m4,TVH10_kl005,kl_weight_sweep,"['TrendVAE', 'HaarWaveletV3']",Yearly,1,6,30,10,1,True,2,44,13.764103,3.156650,837.147156,3201933.250000,0.818290,0.743088,1.992886,4389825,256,23.05,29,False,False,ReLU,EARLY_STOPPED,14.19708252,14.78498077,40.87877274,18,1.041410,False,"[""33.76321793"", ""32.28481293"", ""23.38143730"", ""19.12202454"", ""18.65477562"", ""18.17562485"", ""20.23198318"", ""17.55822372"", ""15.44243431"", ""16.12382317"", ""15.67829037"", ""14.73412132"", ""14.52952480"", ""15.89879227"", ""15.48549175"", ""15.47272301"", ""14.97565174"", ""14.80277157"", ""14.19708252"", ""14.39209557"", ""14.87000179"", ""17.10833740"", ""14.54790783"", ""20.15576935"", ""17.82143402"", ""17.44120598"", ""16.91871643"", ""16.22660255"", ""14.78498077""]",TrendVAE_HaarWaveletV3,0.05
kl_weight_sweep_m4,TVH10_kl005,kl_weight_sweep,"['TrendVAE', 'HaarWaveletV3']",Yearly,1,6,30,10,1,True,3,45,13.879812,3.232690,857.664490,3371296.000000,0.831397,0.747646,1.954018,4389825,256,36.94,47,False,False,ReLU,EARLY_STOPPED,14.11265182,27.00775528,53.33419037,36,1.913726,False,"[""90.50015259"", ""60.89701080"", ""54.73972702"", ""51.74595261"", ""48.70161819"", ""49.79383850"", ""46.58173752"", ""47.44653702"", ""46.82130432"", ""50.13056564"", ""52.89046860"", ""51.49797821"", ""49.99142838"", ""48.37841415"", ""46.31103134"", ""46.29042816"", ""45.99946594"", ""46.63403702"", ""45.79187012"", ""46.05260468"", ""45.72848511"", ""37.18918610"", ""23.96250534"", ""19.81605721"", ""16.78249741"", ""16.53746414"", ""15.48587608"", ""15.01724720"", ""14.70568085"", ""14.35786819"", ""14.58623409"", ""17.95904922"", ""14.50345612"", ""14.15775299"", ""14.36910343"", ""14.55785751"", ""14.11265182"", ""26.06658363"", ""27.52711868"", ""24.41219330"", ""30.06062508"", ""21.22287178"", ""42.49697113"", ""23.80313110"", ""21.42366409"", ""20.91107368"", ""27.00775528""]",TrendVAE_HaarWaveletV3,0.05
kl_weight_sweep_m4,TVH10_kl005,kl_weight_sweep,"['TrendVAE', 'HaarWaveletV3']",Yearly,1,6,30,10,1,True,4,46,15.166924,3.628246,907.041138,3338872.500000,0.920545,0.871070,2.590838,4389825,256,22.13,25,False,False,ReLU,EARLY_STOPPED,14.95657063,26.94190025,102.16957855,14,1.801342,False,"[""43.70033264"", ""30.40977478"", ""24.85075569"", ""19.28619576"", ""16.12290001"", ""17.47954178"", ""15.66771603"", ""16.78697205"", ""15.40577888"", ""42.79122925"", ""18.90694809"", ""19.26333618"", ""15.98295879"", ""15.21328640"", ""14.95657063"", ""15.49602890"", ""17.53042603"", ""15.14146233"", ""16.27925682"", ""20.47059441"", ""15.54467678"", ""16.73034477"", ""18.00979805"", ""17.12612152"", ""26.94190025""]",TrendVAE_HaarWaveletV3,0.05
