experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,search_round,block_type,backbone_family,wavelet_family,active_g_cfg,meta_predicted_best,meta_convergence_score
lg_vae_search_r1_baseline,GenericAELG,pure_lg_vae,['GenericAELG'],Yearly,1,6,30,10,1,True,0,42,19.167210,5.054611,1151.380005,4344308.500000,1.222400,1.135911,3.586110,1602640,7.76,10,False,False,ReLU,MAX_EPOCHS,20.44647026,20.44647026,15.51591110,9,1.000000,False,"[""68.51525116"", ""38.63287735"", ""27.63553810"", ""25.31212425"", ""32.50034714"", ""21.89862061"", ""20.65459633"", ""21.78155518"", ""21.76390648"", ""20.44647026""]",1,GenericAELG,LG,,False,18.385153,0.268337
lg_vae_search_r1_baseline,GenericAELG,pure_lg_vae,['GenericAELG'],Yearly,1,6,30,10,1,True,1,43,17.234276,4.339867,1023.395264,3876189.000000,1.073333,1.049264,3.357345,1602640,7.73,10,False,False,ReLU,MAX_EPOCHS,18.75533104,18.75533104,13.57060814,9,1.000000,False,"[""42.98300552"", ""29.08836365"", ""28.40226173"", ""43.69340897"", ""26.26713371"", ""22.53298569"", ""21.77182961"", ""20.30915833"", ""19.35489273"", ""18.75533104""]",1,GenericAELG,LG,,False,19.670791,0.457641
lg_vae_search_r1_baseline,GenericAELG,pure_lg_vae,['GenericAELG'],Yearly,1,6,30,10,1,True,2,44,51.808685,11.731801,2352.456055,18356852.000000,3.061209,2.602763,22.577414,1602640,7.25,10,False,False,ReLU,MAX_EPOCHS,50.87369156,50.87369156,44.69203568,9,1.000000,False,"[""81.26380157"", ""64.10190582"", ""58.88120270"", ""61.88473511"", ""55.34497452"", ""55.49394989"", ""52.28502274"", ""51.19376755"", ""51.00191116"", ""50.87369156""]",1,GenericAELG,LG,,False,54.754193,0.673783
lg_vae_search_r1_baseline,BottleneckGenericAELG,pure_lg_vae,['BottleneckGenericAELG'],Yearly,1,6,30,10,1,True,0,42,50.412781,12.945332,2603.425049,27003514.000000,3.171184,2.863062,36.048771,1445770,7.23,10,False,False,ReLU,MAX_EPOCHS,51.71135712,51.71135712,45.69318390,9,1.000000,False,"[""140.29470825"", ""74.32870483"", ""67.52435303"", ""61.39699936"", ""61.58265305"", ""54.59913635"", ""56.00566483"", ""53.22436523"", ""53.16192245"", ""51.71135712""]",1,BottleneckGenericAELG,LG,,False,49.254453,0.351078
lg_vae_search_r1_baseline,BottleneckGenericAELG,pure_lg_vae,['BottleneckGenericAELG'],Yearly,1,6,30,10,1,True,1,43,23.711842,6.959434,1433.382202,5805504.500000,1.601109,1.734011,9.822193,1445770,7.18,10,False,False,ReLU,MAX_EPOCHS,23.78731728,23.78731728,19.34835815,9,1.000000,False,"[""125.60439301"", ""69.04737091"", ""69.12747955"", ""59.21101761"", ""58.54453659"", ""34.10963440"", ""33.79580688"", ""25.32244110"", ""23.93629265"", ""23.78731728""]",1,BottleneckGenericAELG,LG,,False,27.415868,0.218272
lg_vae_search_r1_baseline,BottleneckGenericAELG,pure_lg_vae,['BottleneckGenericAELG'],Yearly,1,6,30,10,1,True,2,44,18.651398,4.914412,1132.460327,4365977.000000,1.188979,1.236116,5.023675,1445770,7.20,10,False,False,ReLU,MAX_EPOCHS,19.87626266,19.87626266,14.91064835,9,1.000000,False,"[""90.11624146"", ""62.38795471"", ""59.52029800"", ""56.16301727"", ""56.49819183"", ""36.03044891"", ""23.93941116"", ""23.25142479"", ""23.57398987"", ""19.87626266""]",1,BottleneckGenericAELG,LG,,False,30.095204,0.333960
lg_vae_search_r1_baseline,GenericAEBackcastAELG,pure_lg_vae,['GenericAEBackcastAELG'],Yearly,1,6,30,10,1,True,0,42,20.267691,5.478110,1205.636719,4650269.000000,1.309354,1.399927,6.345217,1654540,7.48,10,False,False,ReLU,MAX_EPOCHS,21.46444702,21.46444702,16.81554031,9,1.000000,False,"[""131.33963013"", ""87.22487640"", ""66.79687500"", ""62.41647720"", ""59.57197952"", ""43.59871292"", ""44.46665192"", ""29.75047493"", ""27.46947479"", ""21.46444702""]",1,GenericAEBackcastAELG,LG,,False,37.399729,0.284756
lg_vae_search_r1_baseline,GenericAEBackcastAELG,pure_lg_vae,['GenericAEBackcastAELG'],Yearly,1,6,30,10,1,True,1,43,49.308197,10.604254,2172.157715,17039632.000000,2.842838,2.378005,23.012348,1654540,7.52,10,False,False,ReLU,MAX_EPOCHS,51.03694153,51.03694153,46.20901108,9,1.000000,False,"[""104.01152039"", ""61.54281616"", ""57.49379349"", ""56.84399414"", ""62.86395264"", ""55.01006699"", ""53.53424835"", ""52.97594070"", ""52.28324890"", ""51.03694153""]",1,GenericAEBackcastAELG,LG,,False,51.580206,0.495909
lg_vae_search_r1_baseline,GenericAEBackcastAELG,pure_lg_vae,['GenericAEBackcastAELG'],Yearly,1,6,30,10,1,True,2,44,18.407845,4.683708,1107.387817,4342290.500000,1.152501,1.141329,4.016275,1654540,6.99,10,False,False,ReLU,MAX_EPOCHS,20.65674591,20.65674591,14.94958401,9,1.000000,False,"[""75.61153412"", ""34.39438629"", ""29.81896782"", ""26.46239090"", ""30.24604607"", ""27.16347885"", ""24.23809433"", ""22.54805183"", ""21.55898094"", ""20.65674591""]",1,GenericAEBackcastAELG,LG,,False,24.331985,0.321803
lg_vae_search_r1_baseline,AutoEncoderAELG,pure_lg_vae,['AutoEncoderAELG'],Yearly,1,6,30,10,1,True,0,42,23.359001,6.856451,1430.560425,5679601.000000,1.577356,1.847500,11.451941,1690090,7.04,10,False,False,ReLU,MAX_EPOCHS,23.18973160,23.18973160,15.13104630,9,1.000000,False,"[""115.59664917"", ""75.63317871"", ""63.10991669"", ""66.84274292"", ""61.17913437"", ""32.73480606"", ""28.12915039"", ""27.04486465"", ""25.52416611"", ""23.18973160""]",1,AutoEncoderAELG,LG,,False,25.509608,0.220678
lg_vae_search_r1_baseline,AutoEncoderAELG,pure_lg_vae,['AutoEncoderAELG'],Yearly,1,6,30,10,1,True,1,43,16.724894,4.086530,996.319092,3814765.750000,1.025873,0.982062,3.085026,1690090,7.11,10,False,False,ReLU,MAX_EPOCHS,18.57967377,18.57967377,13.38440037,9,1.000000,False,"[""102.60224152"", ""40.21688080"", ""42.74634552"", ""25.93298912"", ""29.25577927"", ""25.77114487"", ""21.68114281"", ""20.98623466"", ""20.02882004"", ""18.57967377""]",1,AutoEncoderAELG,LG,,False,21.826951,0.212734
lg_vae_search_r1_baseline,AutoEncoderAELG,pure_lg_vae,['AutoEncoderAELG'],Yearly,1,6,30,10,1,True,2,44,18.483887,4.754767,1091.870117,4183617.250000,1.163768,1.185369,4.483471,1690090,7.05,10,False,False,ReLU,MAX_EPOCHS,19.48458481,19.48458481,13.38975906,9,1.000000,False,"[""104.30942535"", ""38.81184006"", ""42.01909637"", ""27.27348137"", ""27.48590469"", ""25.86309242"", ""22.27368546"", ""21.86328697"", ""21.79416656"", ""19.48458481""]",1,AutoEncoderAELG,LG,,False,21.771099,0.208717
lg_vae_search_r1_baseline,GenericVAE,pure_lg_vae,['GenericVAE'],Yearly,1,6,30,10,1,True,0,42,28.889090,8.502499,1874.182861,10629901.000000,1.953657,2.033775,10.730202,2255440,7.20,10,False,False,ReLU,MAX_EPOCHS,25.83314133,25.83314133,99.44074249,9,1.000000,False,"[""192.68218994"", ""187.76951599"", ""179.45756531"", ""167.34432983"", ""148.86558533"", ""104.44967651"", ""45.08460617"", ""25.99408340"", ""31.30649376"", ""25.83314133""]",1,GenericVAE,VAE,,False,93.439420,0.484941
