experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,search_round,architecture,skip_distance_cfg,skip_alpha_cfg,meta_predicted_best,meta_convergence_score
resnet_skip_study_r1,GAELG10_no_skip,genAELG_baseline,['GenericAELG'],Yearly,1,6,30,10,1,True,0,42,20.962177,6.088918,1282.825195,4895529.000000,1.407453,1.527230,7.501806,1664320,8.83,10,False,False,ReLU,MAX_EPOCHS,20.13188362,20.13188362,13.80559540,9,1.000000,False,"[""69.69271088"", ""35.93680954"", ""30.68001556"", ""26.40898132"", ""42.04873657"", ""24.75655365"", ""21.63166809"", ""21.17377853"", ""20.16370583"", ""20.13188362""]",1,GenericAELG,0,none,21.07139690,0.30234721
resnet_skip_study_r1,GAELG10_no_skip,genAELG_baseline,['GenericAELG'],Yearly,1,6,30,10,1,True,1,43,18.548664,5.010576,1116.234375,4066545.000000,1.197935,1.198852,4.306899,1664320,8.55,10,False,False,ReLU,MAX_EPOCHS,18.83697128,18.83697128,17.95340919,9,1.000000,False,"[""52.87849045"", ""32.51162338"", ""29.52598381"", ""37.25573349"", ""25.75344086"", ""22.17193413"", ""21.81748962"", ""23.90001678"", ""19.90273666"", ""18.83697128""]",1,GenericAELG,0,none,18.90872431,0.35758820
resnet_skip_study_r1,GAELG10_no_skip,genAELG_baseline,['GenericAELG'],Yearly,1,6,30,10,1,True,2,44,17.895779,4.635261,1062.068970,4031142.750000,1.130738,1.160785,4.207396,1664320,8.88,10,False,False,ReLU,MAX_EPOCHS,18.94695091,19.15525246,12.61009598,8,1.010994,False,"[""70.09068298"", ""34.79159546"", ""28.32457352"", ""33.96366119"", ""24.30967331"", ""21.99714088"", ""22.17120171"", ""20.58347321"", ""18.94695091"", ""19.15525246""]",1,GenericAELG,0,none,18.95086752,0.27037641
resnet_skip_study_r1,GAELG20_no_skip,genAELG_baseline,['GenericAELG'],Yearly,1,6,30,20,1,True,0,42,48.451427,10.369695,2077.145996,16414356.000000,2.787113,2.215636,18.871346,3328640,9.24,10,False,False,ReLU,MAX_EPOCHS,48.16397095,48.22454834,44.86610413,8,1.001258,False,"[""61.54546738"", ""56.99460983"", ""71.30591583"", ""52.35791779"", ""51.06211472"", ""50.41854477"", ""50.76440048"", ""48.71799088"", ""48.16397095"", ""48.22454834""]",1,GenericAELG,0,none,49.27028896,0.80055106
resnet_skip_study_r1,GAELG20_no_skip,genAELG_baseline,['GenericAELG'],Yearly,1,6,30,20,1,True,1,43,15.240523,3.637783,929.917847,3544241.750000,0.923997,0.849876,2.320447,3328640,9.55,10,False,False,ReLU,MAX_EPOCHS,15.82205391,15.82205391,13.20825100,9,1.000000,False,"[""37.03064346"", ""29.26358223"", ""32.14622879"", ""22.89584732"", ""20.86759567"", ""18.97293663"", ""17.72056961"", ""17.12191772"", ""16.09376335"", ""15.82205391""]",1,GenericAELG,0,none,16.72180753,0.45156676
resnet_skip_study_r1,GAELG20_no_skip,genAELG_baseline,['GenericAELG'],Yearly,1,6,30,20,1,True,2,44,45.936031,8.742383,1872.430786,14414413.000000,2.505407,1.842259,15.445737,3328640,9.84,10,False,False,ReLU,MAX_EPOCHS,46.47956085,46.47956085,43.52213287,9,1.000000,False,"[""64.09404755"", ""57.71426773"", ""60.42555618"", ""54.44228745"", ""51.60511017"", ""49.92392349"", ""49.74123383"", ""47.86154938"", ""46.81421661"", ""46.47956085""]",1,GenericAELG,0,none,42.86264522,0.66874611
resnet_skip_study_r1,GAELG30_no_skip,genAELG_baseline,['GenericAELG'],Yearly,1,6,30,30,1,True,0,42,43.875137,8.622039,1817.097778,13537798.000000,2.427210,1.806341,14.228087,4992960,10.45,10,False,False,ReLU,MAX_EPOCHS,44.27704239,44.27704239,42.94689560,9,1.000000,False,"[""59.33142853"", ""58.78838730"", ""56.16727829"", ""50.62510300"", ""49.74293900"", ""48.47340393"", ""47.44073486"", ""46.65788651"", ""46.60883713"", ""44.27704239""]",1,GenericAELG,0,none,42.50745947,0.71644086
resnet_skip_study_r1,GAELG30_no_skip,genAELG_baseline,['GenericAELG'],Yearly,1,6,30,30,1,True,1,43,15.258549,3.645499,927.843506,3544126.250000,0.925519,0.865956,2.429861,4992960,10.09,10,False,False,ReLU,MAX_EPOCHS,16.24055862,19.26193619,14.36093426,8,1.186039,False,"[""31.94651031"", ""36.00764465"", ""23.30548859"", ""22.56910896"", ""19.99182510"", ""21.85738564"", ""18.02103043"", ""21.26757812"", ""16.24055862"", ""19.26193619""]",1,GenericAELG,0,none,17.58404918,0.55042160
resnet_skip_study_r1,GAELG30_no_skip,genAELG_baseline,['GenericAELG'],Yearly,1,6,30,30,1,True,2,44,48.946945,10.260238,2108.802734,15806502.000000,2.788502,2.164493,18.073006,4992960,10.43,10,False,False,ReLU,MAX_EPOCHS,48.98123550,48.98123550,45.92939758,9,1.000000,False,"[""86.97595215"", ""87.50695801"", ""82.70998383"", ""80.60502625"", ""80.21556854"", ""78.69837952"", ""78.49296570"", ""77.08932495"", ""56.46599579"", ""48.98123550""]",1,GenericAELG,0,none,72.12171665,0.82921445
resnet_skip_study_r1,GAELG10_skip5_learn,genAELG_control,['GenericAELG'],Yearly,1,6,30,10,1,True,0,42,22.012743,6.481830,1342.855591,5096142.000000,1.489032,1.639425,8.411356,1664321,9.14,10,False,False,ReLU,MAX_EPOCHS,21.29152489,21.29152489,15.46038246,9,1.000000,False,"[""69.35093689"", ""36.11714935"", ""30.55300331"", ""26.16664314"", ""41.20228577"", ""24.73362732"", ""21.82876396"", ""21.39036179"", ""21.49319839"", ""21.29152489""]",1,GenericAELG,5,learnable,21.09896447,0.30423474
