experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,t_width,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,basis_dim,basis_offset,stack_basis_offsets,arch_family,block_type_primary,backbone,stack_pattern,wavelet_family,basis_dim_label,latent_dim_cfg,trend_thetas_dim_cfg,active_g_cfg,tiered
tiered_offset_m4_allperiods_paperlr,T+Sym10V3_10s_tiered_ag0,tiered_rb_sym10_10s,"['Trend', 'Symlet10WaveletV3']",Yearly,1,6,30,10,1,True,0,1156899430,13.866581,3.200400,850.971741,3312570.750000,0.826929,0.734680,1.885535,5067535,256,86.34,3,False,False,ReLU,EARLY_STOPPED,13.96787930,15.16546345,9.11133194,10,1.085738,False,"[""15.55201340"", ""13.98317909"", ""14.31898594"", ""14.00668716"", ""14.17157745"", ""14.37626266"", ""14.10484219"", ""14.44617081"", ""14.93396568"", ""14.03823090"", ""13.96787930"", ""14.22569275"", ""14.28928661"", ""14.66612530"", ""15.26718712"", ""14.54352760"", ""14.54911709"", ""14.63093376"", ""15.22418880"", ""14.78350544"", ""14.66374016"", ""14.91771317"", ""14.65209103"", ""15.32248878"", ""14.89927864"", ""15.16546345""]",,,,alt_trend_wavelet_rb,Trend+Symlet10WaveletV3,RootBlock,alternating,sym10,eq_fcast,,3,False,ascend
tiered_offset_m4_allperiods_paperlr,T+Sym10V3_10s_tiered_ag0,tiered_rb_sym10_10s,"['Trend', 'Symlet10WaveletV3']",Yearly,1,6,30,10,1,True,1,1594668162,13.529786,3.092357,831.423889,3248093.500000,0.803031,0.718054,1.867358,5067535,256,66.90,2,False,False,ReLU,EARLY_STOPPED,13.79014111,14.22988319,10.37657833,3,1.031888,False,"[""14.15494537"", ""14.30078030"", ""15.66586113"", ""13.79014111"", ""14.46357059"", ""14.23909473"", ""14.03034878"", ""14.90877342"", ""14.07754326"", ""14.20355129"", ""14.28441143"", ""14.08102703"", ""13.92580318"", ""14.03794193"", ""14.92495251"", ""15.19833851"", ""14.80803776"", ""14.38286018"", ""14.22988319""]",,,,alt_trend_wavelet_rb,Trend+Symlet10WaveletV3,RootBlock,alternating,sym10,eq_fcast,,3,False,ascend
tiered_offset_m4_allperiods_paperlr,T+Sym10V3_10s_tiered_ag0,tiered_rb_sym10_10s,"['Trend', 'Symlet10WaveletV3']",Yearly,1,6,30,10,1,True,2,370289957,13.659122,3.177676,836.371094,3225706.750000,0.817723,0.733226,1.895925,5067535,256,64.71,2,False,False,ReLU,EARLY_STOPPED,13.64179897,14.31897163,10.63581276,2,1.049640,False,"[""14.34763050"", ""14.19574165"", ""13.64179897"", ""16.31689072"", ""16.05693817"", ""14.19441128"", ""13.95431137"", ""13.92974567"", ""13.95746994"", ""14.08852291"", ""14.43605137"", ""14.19649696"", ""14.35516739"", ""14.04046154"", ""15.34977627"", ""13.94355011"", ""14.43163967"", ""14.31897163""]",,,,alt_trend_wavelet_rb,Trend+Symlet10WaveletV3,RootBlock,alternating,sym10,eq_fcast,,3,False,ascend
tiered_offset_m4_allperiods_paperlr,T+Sym10V3_10s_tiered_ag0,tiered_rb_sym10_10s,"['Trend', 'Symlet10WaveletV3']",Yearly,1,6,30,10,1,True,3,552415232,13.889890,3.184400,844.099182,3284605.000000,0.825629,0.744568,1.981122,5067535,256,89.51,3,False,False,ReLU,EARLY_STOPPED,13.91530800,15.54951477,8.84206295,12,1.117439,False,"[""14.22325706"", ""14.08295345"", ""15.02071571"", ""14.26371574"", ""14.32867146"", ""13.94668198"", ""14.07608032"", ""14.13164234"", ""14.08552170"", ""14.06136513"", ""14.20315361"", ""14.88249016"", ""13.91530800"", ""14.54327202"", ""14.82229900"", ""15.30931282"", ""14.44181919"", ""15.22384071"", ""14.63222599"", ""14.38332748"", ""14.59138012"", ""14.87660027"", ""15.56358242"", ""14.46426678"", ""14.48702621"", ""14.68181801"", ""14.86261654"", ""15.54951477""]",,,,alt_trend_wavelet_rb,Trend+Symlet10WaveletV3,RootBlock,alternating,sym10,eq_fcast,,3,False,ascend
tiered_offset_m4_allperiods_paperlr,T+Sym10V3_10s_tiered_ag0,tiered_rb_sym10_10s,"['Trend', 'Symlet10WaveletV3']",Yearly,1,6,30,10,1,True,4,982083867,13.394332,3.040531,816.603516,3130059.750000,0.792366,0.707846,1.854336,5067535,256,69.25,2,False,False,ReLU,EARLY_STOPPED,13.77361965,15.01780319,10.40745354,4,1.090331,False,"[""15.17610359"", ""13.94094276"", ""13.82784081"", ""13.81615925"", ""13.77361965"", ""14.18909931"", ""14.21865654"", ""14.26671696"", ""14.03502178"", ""14.05290890"", ""13.81987762"", ""14.10122013"", ""14.53356075"", ""14.93351650"", ""14.15158176"", ""14.16695690"", ""14.80858707"", ""14.34900379"", ""14.89422131"", ""15.01780319""]",,,,alt_trend_wavelet_rb,Trend+Symlet10WaveletV3,RootBlock,alternating,sym10,eq_fcast,,3,False,ascend
tiered_offset_m4_allperiods_paperlr,T+Sym10V3_10s_tiered_agf,tiered_rb_sym10_10s,"['Trend', 'Symlet10WaveletV3']",Yearly,1,6,30,10,1,True,0,1633604498,13.604053,3.113713,828.822510,3197586.500000,0.807990,0.722528,1.890314,5067535,256,86.50,3,forecast,False,ReLU,EARLY_STOPPED,13.78542233,15.26061153,9.06856060,11,1.107011,False,"[""14.01227951"", ""14.64546967"", ""13.92747307"", ""14.78773212"", ""14.29547310"", ""14.54070377"", ""15.43031502"", ""14.65337086"", ""14.51451874"", ""13.92585087"", ""15.38509464"", ""13.78542233"", ""14.86925983"", ""15.15273380"", ""14.00445652"", ""13.88702869"", ""14.39462471"", ""14.18716717"", ""14.70188618"", ""14.42433739"", ""14.25590801"", ""14.44239521"", ""15.02490234"", ""15.03410149"", ""14.86240768"", ""14.78847408"", ""15.26061153""]",,,,alt_trend_wavelet_rb,Trend+Symlet10WaveletV3,RootBlock,alternating,sym10,eq_fcast,,3,forecast,ascend
tiered_offset_m4_allperiods_paperlr,T+Sym10V3_10s_tiered_agf,tiered_rb_sym10_10s,"['Trend', 'Symlet10WaveletV3']",Yearly,1,6,30,10,1,True,1,1402607206,13.894895,3.263013,859.580872,3339072.250000,0.835674,0.739107,1.887434,5067535,256,76.27,3,forecast,False,ReLU,EARLY_STOPPED,13.70219326,14.81830120,9.90543365,7,1.081455,False,"[""15.47632217"", ""14.51070404"", ""14.15314293"", ""13.83506775"", ""14.16974640"", ""14.57066154"", ""14.21451473"", ""13.70219326"", ""14.03541946"", ""14.31885052"", ""14.68430424"", ""14.26589298"", ""14.10386181"", ""14.39315987"", ""14.13006020"", ""14.27667904"", ""14.00717258"", ""14.77644444"", ""14.27644730"", ""14.31561565"", ""14.62556648"", ""14.47463703"", ""14.81830120""]",,,,alt_trend_wavelet_rb,Trend+Symlet10WaveletV3,RootBlock,alternating,sym10,eq_fcast,,3,forecast,ascend
tiered_offset_m4_allperiods_paperlr,T+Sym10V3_10s_tiered_agf,tiered_rb_sym10_10s,"['Trend', 'Symlet10WaveletV3']",Yearly,1,6,30,10,1,True,2,1979222125,13.478502,3.081392,832.891174,3330592.000000,0.800082,0.714814,1.861735,5067535,256,64.16,2,forecast,False,ReLU,EARLY_STOPPED,13.62553120,14.34223747,10.85340881,2,1.052600,False,"[""13.85867691"", ""14.32777405"", ""13.62553120"", ""14.09442139"", ""14.08185577"", ""13.72246838"", ""13.70828152"", ""13.98419571"", ""14.19521046"", ""13.79473877"", ""14.01684475"", ""14.26552200"", ""14.38293839"", ""13.83628082"", ""14.28705120"", ""14.83459759"", ""14.77559757"", ""14.34223747""]",,,,alt_trend_wavelet_rb,Trend+Symlet10WaveletV3,RootBlock,alternating,sym10,eq_fcast,,3,forecast,ascend
tiered_offset_m4_allperiods_paperlr,T+Sym10V3_10s_tiered_agf,tiered_rb_sym10_10s,"['Trend', 'Symlet10WaveletV3']",Yearly,1,6,30,10,1,True,3,1478647479,13.482243,3.075761,821.915222,3198185.750000,0.799488,0.720197,1.900072,5067535,256,66.49,2,forecast,False,ReLU,EARLY_STOPPED,13.80364227,14.24047565,10.68254948,3,1.031646,False,"[""15.18682098"", ""15.68230820"", ""14.42381954"", ""13.80364227"", ""13.89335346"", ""14.46564770"", ""13.89027691"", ""14.09842014"", ""13.96961308"", ""14.44422436"", ""13.88305283"", ""13.89127827"", ""14.14812660"", ""14.13173103"", ""13.82280064"", ""14.08023930"", ""13.86708260"", ""14.01510620"", ""14.24047565""]",,,,alt_trend_wavelet_rb,Trend+Symlet10WaveletV3,RootBlock,alternating,sym10,eq_fcast,,3,forecast,ascend
tiered_offset_m4_allperiods_paperlr,T+Sym10V3_10s_tiered_agf,tiered_rb_sym10_10s,"['Trend', 'Symlet10WaveletV3']",Yearly,1,6,30,10,1,True,4,567092740,13.837224,3.146352,841.678711,3231391.000000,0.819231,0.730155,1.925180,5067535,256,85.82,3,forecast,False,ReLU,EARLY_STOPPED,13.81775951,14.64674187,9.81387901,11,1.059994,False,"[""14.33289719"", ""14.10882378"", ""14.31758690"", ""13.88652039"", ""14.50398636"", ""14.21138954"", ""14.15615749"", ""15.24253941"", ""13.97968102"", ""14.45998001"", ""14.33778381"", ""13.81775951"", ""13.95625687"", ""14.31397724"", ""14.55630875"", ""15.14107704"", ""14.21818733"", ""14.31482887"", ""14.64741993"", ""14.93253708"", ""14.71486187"", ""14.36678791"", ""14.41552448"", ""14.53074360"", ""14.63318729"", ""14.54920292"", ""14.64674187""]",,,,alt_trend_wavelet_rb,Trend+Symlet10WaveletV3,RootBlock,alternating,sym10,eq_fcast,,3,forecast,ascend
tiered_offset_m4_allperiods_paperlr,TAE+Sym10V3AE_10s_tiered,tiered_ae_sym10_10s,"['TrendAE', 'Symlet10WaveletV3AE']",Yearly,1,6,30,10,1,True,0,174417549,13.803055,3.242783,853.902283,3337022.750000,0.830318,0.742405,1.906348,1029455,256,61.94,2,False,False,ReLU,EARLY_STOPPED,13.63780308,14.22494793,11.41645145,1,1.043053,False,"[""13.77448082"", ""13.63780308"", ""13.96219730"", ""14.15092945"", ""13.79163170"", ""14.18120384"", ""14.24860287"", ""14.13208294"", ""14.14565754"", ""14.06554031"", ""14.24448204"", ""14.19449329"", ""14.47959900"", ""13.95167637"", ""14.27131557"", ""14.38448524"", ""14.22494793""]",,,,alt_ae_sym10,TrendAE+Symlet10WaveletV3AE,AERootBlock,alternating,sym10,eq_fcast,32,3,False,ascend
