experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,t_width,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,basis_dim,basis_offset,stack_basis_offsets,arch_family,block_type_primary,backbone,stack_pattern,wavelet_family,basis_dim_label,latent_dim_cfg,trend_thetas_dim_cfg,active_g_cfg,tiered
tiered_offset_m4_allperiods,T+Sym10V3_10s_tiered_ag0,tiered_rb_sym10_10s,"['Trend', 'Symlet10WaveletV3']",Yearly,1,6,30,10,1,True,0,63266232,13.590240,3.147458,835.296204,3226652.750000,0.811813,0.722133,1.864109,5067535,256,78.77,2,False,False,ReLU,EARLY_STOPPED,13.70187664,15.13648891,10.07310390,4,1.104702,False,"[""14.20462132"", ""14.16574192"", ""15.36513615"", ""13.76132870"", ""13.70187664"", ""14.01784611"", ""14.31369114"", ""13.90381145"", ""14.35669613"", ""13.93027401"", ""14.56990242"", ""14.32965183"", ""15.39947987"", ""14.50430012"", ""14.48839664"", ""14.78465080"", ""14.41439152"", ""14.48004246"", ""14.50826931"", ""15.13648891""]",,,,alt_trend_wavelet_rb,Trend+Symlet10WaveletV3,RootBlock,alternating,sym10,eq_fcast,,3,False,ascend
tiered_offset_m4_allperiods,T+Sym10V3_10s_tiered_ag0,tiered_rb_sym10_10s,"['Trend', 'Symlet10WaveletV3']",Yearly,1,6,30,10,1,True,1,1497988872,13.601966,3.081299,822.942932,3200790.500000,0.803848,0.722621,1.901324,5067535,256,69.33,2,False,False,ReLU,EARLY_STOPPED,13.99380970,14.93902302,10.14023304,3,1.067545,False,"[""15.19591427"", ""14.05993462"", ""14.43008709"", ""13.99380970"", ""14.69846153"", ""14.31174183"", ""14.13020134"", ""14.23007774"", ""14.25030804"", ""14.35712528"", ""14.12330437"", ""14.76600838"", ""14.57374859"", ""14.46355343"", ""14.61794186"", ""14.63611412"", ""14.91014099"", ""14.66297817"", ""14.93902302""]",,,,alt_trend_wavelet_rb,Trend+Symlet10WaveletV3,RootBlock,alternating,sym10,eq_fcast,,3,False,ascend
tiered_offset_m4_allperiods,T+Sym10V3_10s_tiered_ag0,tiered_rb_sym10_10s,"['Trend', 'Symlet10WaveletV3']",Yearly,1,6,30,10,1,True,2,339855315,13.601865,3.159020,835.801758,3255712.500000,0.813624,0.731365,1.881128,5067535,256,67.56,2,False,False,ReLU,EARLY_STOPPED,13.72304630,14.25933170,10.28762722,2,1.039079,False,"[""14.70978355"", ""15.34089088"", ""13.72304630"", ""13.81888294"", ""13.98253441"", ""14.16672993"", ""14.13888073"", ""14.24838066"", ""14.67862129"", ""14.83012486"", ""14.10723782"", ""14.24358940"", ""14.01083565"", ""14.72799683"", ""14.08660316"", ""14.39788628"", ""14.61730289"", ""14.25933170""]",,,,alt_trend_wavelet_rb,Trend+Symlet10WaveletV3,RootBlock,alternating,sym10,eq_fcast,,3,False,ascend
tiered_offset_m4_allperiods,T+Sym10V3_10s_tiered_ag0,tiered_rb_sym10_10s,"['Trend', 'Symlet10WaveletV3']",Yearly,1,6,30,10,1,True,3,1139688832,13.810122,3.232314,858.055542,3370759.500000,0.829217,0.739723,1.910462,5067535,256,62.41,2,False,False,ReLU,EARLY_STOPPED,13.85004997,14.41859150,10.71040535,0,1.041050,False,"[""13.85004997"", ""14.85750008"", ""14.61581612"", ""13.89599228"", ""14.14016151"", ""13.86514568"", ""14.56698227"", ""14.13956547"", ""14.04368496"", ""14.12079906"", ""14.26291561"", ""14.16811848"", ""14.31583786"", ""14.50538540"", ""14.98609543"", ""14.41859150""]",,,,alt_trend_wavelet_rb,Trend+Symlet10WaveletV3,RootBlock,alternating,sym10,eq_fcast,,3,False,ascend
tiered_offset_m4_allperiods,T+Sym10V3_10s_tiered_ag0,tiered_rb_sym10_10s,"['Trend', 'Symlet10WaveletV3']",Yearly,1,6,30,10,1,True,4,948029013,13.544801,3.120627,829.370667,3201970.250000,0.807047,0.722115,1.870673,5067535,256,72.53,2,False,False,ReLU,EARLY_STOPPED,13.69947147,14.76731205,9.90327740,4,1.077948,False,"[""13.71100521"", ""14.76402950"", ""13.81360435"", ""13.96298122"", ""13.69947147"", ""13.97481346"", ""14.35157871"", ""13.88336658"", ""14.64293194"", ""14.34573269"", ""14.45124435"", ""14.49755859"", ""14.60587215"", ""14.55871105"", ""14.94469166"", ""14.44416332"", ""15.11255074"", ""14.75646877"", ""14.60585690"", ""14.76731205""]",,,,alt_trend_wavelet_rb,Trend+Symlet10WaveletV3,RootBlock,alternating,sym10,eq_fcast,,3,False,ascend
tiered_offset_m4_allperiods,T+Sym10V3_10s_tiered_agf,tiered_rb_sym10_10s,"['Trend', 'Symlet10WaveletV3']",Yearly,1,6,30,10,1,True,0,1146090365,13.368794,3.046758,820.522827,3184024.750000,0.792368,0.710525,1.863834,5067535,256,72.88,2,forecast,False,ReLU,EARLY_STOPPED,13.77155018,14.69985867,10.44657421,4,1.067408,False,"[""14.23159504"", ""14.64708996"", ""13.79232597"", ""14.80857086"", ""13.77155018"", ""15.19705868"", ""14.89881420"", ""14.13551903"", ""14.09723186"", ""13.80829620"", ""14.34049702"", ""14.17877483"", ""14.25454330"", ""13.99010086"", ""14.14867210"", ""14.17135715"", ""14.54489803"", ""14.76481628"", ""14.76721287"", ""14.69985867""]",,,,alt_trend_wavelet_rb,Trend+Symlet10WaveletV3,RootBlock,alternating,sym10,eq_fcast,,3,forecast,ascend
tiered_offset_m4_allperiods,T+Sym10V3_10s_tiered_agf,tiered_rb_sym10_10s,"['Trend', 'Symlet10WaveletV3']",Yearly,1,6,30,10,1,True,1,2035888307,13.693131,3.158464,845.462585,3346845.250000,0.816346,0.721285,1.862250,5067535,256,70.19,2,forecast,False,ReLU,EARLY_STOPPED,13.58096027,14.35292149,10.91530800,2,1.056841,False,"[""14.21945953"", ""15.54380608"", ""13.58096027"", ""14.46122646"", ""14.31090641"", ""13.63997459"", ""13.92437935"", ""13.71873951"", ""14.23113441"", ""14.26902580"", ""14.05925369"", ""14.22961521"", ""14.26438332"", ""14.25778294"", ""14.30382442"", ""14.53045654"", ""14.55444145"", ""14.35292149""]",,,,alt_trend_wavelet_rb,Trend+Symlet10WaveletV3,RootBlock,alternating,sym10,eq_fcast,,3,forecast,ascend
tiered_offset_m4_allperiods,T+Sym10V3_10s_tiered_agf,tiered_rb_sym10_10s,"['Trend', 'Symlet10WaveletV3']",Yearly,1,6,30,10,1,True,2,1423315435,13.798457,3.248969,848.223450,3270885.500000,0.830956,0.744430,1.925970,5067535,256,74.54,2,forecast,False,ReLU,EARLY_STOPPED,13.60096455,14.64415073,10.01822758,3,1.076699,False,"[""14.26143169"", ""14.72851944"", ""13.75309467"", ""13.60096455"", ""14.80632019"", ""14.41461849"", ""14.90142250"", ""13.84566689"", ""13.74408436"", ""14.00246620"", ""14.08277321"", ""14.54542160"", ""14.95073795"", ""14.40246105"", ""14.63253307"", ""14.46806622"", ""14.41003799"", ""14.70749283"", ""14.64415073""]",,,,alt_trend_wavelet_rb,Trend+Symlet10WaveletV3,RootBlock,alternating,sym10,eq_fcast,,3,forecast,ascend
tiered_offset_m4_allperiods,T+Sym10V3_10s_tiered_agf,tiered_rb_sym10_10s,"['Trend', 'Symlet10WaveletV3']",Yearly,1,6,30,10,1,True,3,765196993,13.506946,3.100962,829.428894,3223275.250000,0.803415,0.717294,1.872585,5067535,256,69.64,2,forecast,False,ReLU,EARLY_STOPPED,13.65690613,14.89017296,9.64757538,1,1.090304,False,"[""14.11275768"", ""13.65690613"", ""14.04595089"", ""13.97134113"", ""13.70736504"", ""14.07199955"", ""13.81965351"", ""14.52557564"", ""13.79885769"", ""13.75750637"", ""14.66390800"", ""14.39165497"", ""14.46478367"", ""14.50928402"", ""14.52490330"", ""14.58293247"", ""14.89017296""]",,,,alt_trend_wavelet_rb,Trend+Symlet10WaveletV3,RootBlock,alternating,sym10,eq_fcast,,3,forecast,ascend
tiered_offset_m4_allperiods,T+Sym10V3_10s_tiered_agf,tiered_rb_sym10_10s,"['Trend', 'Symlet10WaveletV3']",Yearly,1,6,30,10,1,True,4,56332222,14.028676,3.229815,854.267517,3257194.750000,0.835590,0.741818,1.922027,5067535,256,97.06,3,forecast,False,ReLU,EARLY_STOPPED,13.88477039,14.92466450,8.60109806,12,1.074895,False,"[""14.42730713"", ""15.59746456"", ""14.27094555"", ""14.28511810"", ""14.33638763"", ""14.62671185"", ""14.03302860"", ""14.01875782"", ""14.02103901"", ""13.95672989"", ""14.69030952"", ""14.07510185"", ""13.88477039"", ""14.98636150"", ""14.59035206"", ""14.04656887"", ""14.10648918"", ""14.21628094"", ""14.65529060"", ""14.37306499"", ""14.44391823"", ""14.57911968"", ""14.44822693"", ""14.99221897"", ""14.96649837"", ""14.80159378"", ""14.64505482"", ""14.92466450""]",,,,alt_trend_wavelet_rb,Trend+Symlet10WaveletV3,RootBlock,alternating,sym10,eq_fcast,,3,forecast,ascend
