experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,trend_block,second_block,basis_type,arch_style,latent_dim_cfg
trend_seas_wav_comparison,TrendAE+SeasonalityAE_I_ld8,trend_seas_wav,"['TrendAE', 'SeasonalityAE']",Yearly,1,6,30,2,1,True,0,42,13.628546,3.108087,840.718506,3365415.500000,0.808032,0.722191,1.879683,2257939,31.14,50,False,False,ReLU,MAX_EPOCHS,13.84890079,13.89252949,9.80045509,43,1.003150,False,"[""46.20381165"", ""38.79708481"", ""34.15907288"", ""24.54217148"", ""20.82992744"", ""18.39823341"", ""25.12659454"", ""18.44818306"", ""16.46204185"", ""19.55166245"", ""18.40262032"", ""17.07482910"", ""17.08556938"", ""16.60414696"", ""16.98379135"", ""15.65066433"", ""15.10608196"", ""15.62779999"", ""14.98624420"", ""14.44081783"", ""14.62253666"", ""14.60621071"", ""14.48404598"", ""14.39378262"", ""14.60010433"", ""14.17002010"", ""14.37370968"", ""14.36585903"", ""14.16479206"", ""14.16531086"", ""15.20202541"", ""14.13788891"", ""14.04128933"", ""13.96638870"", ""13.96080399"", ""13.93837547"", ""14.52188969"", ""13.85420132"", ""14.25468254"", ""13.92275906"", ""14.00357914"", ""13.87883854"", ""13.96722317"", ""13.84890079"", ""13.99924183"", ""13.88042259"", ""13.88375568"", ""13.91733170"", ""13.89535236"", ""13.89252949""]",TrendAE,SeasonalityAE,fourier,I-style,8
trend_seas_wav_comparison,TrendAE+SeasonalityAE_I_ld8,trend_seas_wav,"['TrendAE', 'SeasonalityAE']",Yearly,1,6,30,2,1,True,1,43,13.707833,3.144106,843.601746,3332231.250000,0.814990,0.726594,1.890262,2257939,30.29,50,False,False,ReLU,MAX_EPOCHS,13.87123203,13.92794991,9.82476521,41,1.004089,False,"[""45.44363022"", ""35.22401428"", ""28.62538338"", ""22.58898163"", ""21.44795609"", ""21.38424301"", ""16.88275719"", ""18.95763397"", ""15.87203026"", ""16.26712227"", ""15.48637199"", ""15.09191895"", ""16.31494331"", ""15.04720879"", ""15.35315800"", ""14.85005569"", ""14.41708946"", ""15.36671829"", ""15.57309151"", ""14.74862862"", ""14.24444389"", ""14.42536545"", ""14.44136715"", ""14.41697311"", ""15.12810326"", ""14.13074017"", ""14.08936310"", ""14.32214928"", ""15.07487392"", ""13.99470520"", ""14.17021561"", ""14.54736137"", ""13.89458466"", ""14.08422184"", ""13.91522598"", ""14.10593987"", ""14.13012123"", ""14.10451794"", ""13.87541866"", ""13.99646568"", ""14.03865719"", ""13.87123203"", ""14.07162952"", ""14.10009098"", ""13.91018105"", ""13.91949558"", ""13.98624897"", ""13.93956089"", ""13.92089844"", ""13.92794991""]",TrendAE,SeasonalityAE,fourier,I-style,8
trend_seas_wav_comparison,TrendAE+SeasonalityAE_I_ld8,trend_seas_wav,"['TrendAE', 'SeasonalityAE']",Yearly,1,6,30,2,1,True,2,44,13.583894,3.088076,835.614136,3314910.250000,0.804148,0.720343,1.882080,2257939,29.75,50,False,False,ReLU,MAX_EPOCHS,13.78488731,13.80385208,9.69251060,44,1.001376,False,"[""46.13529205"", ""31.12408066"", ""28.26316643"", ""24.88459587"", ""20.69844055"", ""19.30558014"", ""19.98554230"", ""18.38485336"", ""15.91578770"", ""15.57360554"", ""18.32733917"", ""15.76226330"", ""14.86081886"", ""15.09261036"", ""14.50907898"", ""15.66296768"", ""14.52567101"", ""14.82836437"", ""14.62808418"", ""14.22713089"", ""15.02592087"", ""14.30369663"", ""14.14867783"", ""15.62087536"", ""14.18984604"", ""13.96900272"", ""14.18013859"", ""14.77817917"", ""14.07964516"", ""13.98163986"", ""14.70173931"", ""13.90229034"", ""13.99787807"", ""13.96425247"", ""14.15823078"", ""13.87994862"", ""13.81469822"", ""13.81768322"", ""13.95798874"", ""13.85955524"", ""13.78939438"", ""13.79714298"", ""13.80085182"", ""13.83717823"", ""13.78488731"", ""13.84297562"", ""13.79173660"", ""13.82274818"", ""13.81635761"", ""13.80385208""]",TrendAE,SeasonalityAE,fourier,I-style,8
trend_seas_wav_comparison,TrendAE+SeasonalityAE_I_ld8,trend_seas_wav,"['TrendAE', 'SeasonalityAE']",Yearly,1,6,30,2,1,True,3,45,13.625662,3.123423,839.421021,3318676.000000,0.809873,0.722659,1.891357,2257939,31.45,50,False,False,ReLU,MAX_EPOCHS,13.88255882,13.95321846,9.72282887,44,1.005090,False,"[""39.57660675"", ""33.94271851"", ""27.43052483"", ""21.20929146"", ""21.00489998"", ""18.69073296"", ""18.02057838"", ""17.27729797"", ""16.57502937"", ""15.57295418"", ""15.39596176"", ""14.89333057"", ""16.21173668"", ""17.60651398"", ""15.83965588"", ""15.45019054"", ""14.86175442"", ""14.52022457"", ""15.17216396"", ""15.37952423"", ""15.93652821"", ""14.84760094"", ""14.41441536"", ""14.57768631"", ""14.59349155"", ""14.56158257"", ""14.30315590"", ""14.45110893"", ""14.71894264"", ""14.11923885"", ""14.76767540"", ""14.06101799"", ""14.10986233"", ""13.95038414"", ""14.49395084"", ""14.10280132"", ""14.20296574"", ""13.88309956"", ""14.24545002"", ""13.88430595"", ""14.05301857"", ""13.97237492"", ""13.96125412"", ""14.01883793"", ""13.88255882"", ""13.99570560"", ""14.01973915"", ""13.93361187"", ""13.94493389"", ""13.95321846""]",TrendAE,SeasonalityAE,fourier,I-style,8
trend_seas_wav_comparison,TrendAE+SeasonalityAE_I_ld8,trend_seas_wav,"['TrendAE', 'SeasonalityAE']",Yearly,1,6,30,2,1,True,4,46,13.743024,3.192890,848.342468,3345681.750000,0.822204,0.734742,1.916420,2257939,25.90,43,False,False,ReLU,EARLY_STOPPED,13.83561802,13.93274498,9.58485699,32,1.007020,False,"[""48.72921371"", ""32.99498749"", ""28.37368965"", ""27.46828270"", ""23.27943993"", ""19.91085243"", ""18.08677101"", ""19.21960449"", ""16.81223869"", ""16.77939224"", ""18.36613846"", ""15.46601105"", ""15.36272049"", ""15.39955711"", ""14.98070908"", ""14.99566841"", ""14.33207512"", ""14.74011993"", ""14.85915470"", ""14.91512394"", ""14.38934422"", ""14.48485565"", ""14.91933727"", ""14.15499306"", ""14.36717701"", ""15.59091759"", ""14.20701122"", ""15.06121445"", ""13.98674011"", ""14.34244061"", ""13.98566532"", ""14.60162067"", ""13.83561802"", ""14.19323063"", ""13.89116478"", ""14.28006554"", ""13.96996784"", ""13.85300446"", ""13.92523193"", ""13.91617012"", ""14.07988358"", ""13.88937092"", ""13.93274498""]",TrendAE,SeasonalityAE,fourier,I-style,8
trend_seas_wav_comparison,TrendAE+SeasonalityAE_I_ld12,trend_seas_wav,"['TrendAE', 'SeasonalityAE']",Yearly,1,6,30,2,1,True,0,42,13.504148,3.071898,829.794556,3291812.000000,0.799673,0.717068,1.885567,2267163,32.09,50,False,False,ReLU,MAX_EPOCHS,13.81821918,13.84646606,9.68224812,45,1.002044,False,"[""38.01687622"", ""38.28298569"", ""33.73922348"", ""21.71055794"", ""22.09003258"", ""18.11073875"", ""18.17061424"", ""19.61095810"", ""16.81042480"", ""17.06657219"", ""15.22210026"", ""15.11318779"", ""15.31286049"", ""16.06778526"", ""14.52041721"", ""15.00269032"", ""14.98694134"", ""14.45732307"", ""14.70026207"", ""15.72132587"", ""14.69337749"", ""15.87098122"", ""15.13258457"", ""14.50464153"", ""14.03506756"", ""14.60928154"", ""14.82194805"", ""14.26551723"", ""14.22206020"", ""14.53106403"", ""14.00113297"", ""13.94072247"", ""13.94535160"", ""13.99676323"", ""13.92957783"", ""14.03960419"", ""13.92479229"", ""14.09558964"", ""13.82779121"", ""13.89672661"", ""13.93786812"", ""13.83802319"", ""13.89342976"", ""13.90874767"", ""13.87010193"", ""13.81821918"", ""13.85939026"", ""13.83893108"", ""13.84103298"", ""13.84646606""]",TrendAE,SeasonalityAE,fourier,I-style,12
trend_seas_wav_comparison,TrendAE+SeasonalityAE_I_ld12,trend_seas_wav,"['TrendAE', 'SeasonalityAE']",Yearly,1,6,30,2,1,True,1,43,14.188803,3.268808,867.350952,3376569.500000,0.845395,0.759489,1.974082,2267163,17.93,27,False,False,ReLU,EARLY_STOPPED,14.20719814,14.34597683,10.59473801,16,1.009768,False,"[""49.97314072"", ""35.24229050"", ""29.16900635"", ""27.30427933"", ""21.49085045"", ""18.24835014"", ""17.26912117"", ""16.99642563"", ""16.75604248"", ""15.74415112"", ""15.86670685"", ""15.39380074"", ""16.95548630"", ""15.09897518"", ""14.82850361"", ""14.28194332"", ""14.20719814"", ""14.77320290"", ""15.70074844"", ""14.82059479"", ""15.01899910"", ""14.40447998"", ""15.05662537"", ""14.24389172"", ""14.28486919"", ""14.29691887"", ""14.34597683""]",TrendAE,SeasonalityAE,fourier,I-style,12
trend_seas_wav_comparison,TrendAE+SeasonalityAE_I_ld12,trend_seas_wav,"['TrendAE', 'SeasonalityAE']",Yearly,1,6,30,2,1,True,2,44,13.622856,3.090396,837.154785,3333233.250000,0.805632,0.721954,1.893487,2267163,30.00,50,False,False,ReLU,MAX_EPOCHS,13.94073105,13.96686172,9.80227757,47,1.001874,False,"[""42.35488892"", ""30.90349007"", ""28.77164459"", ""23.74730492"", ""24.16444778"", ""19.06549072"", ""17.95944214"", ""17.45487213"", ""16.77463150"", ""16.24568176"", ""15.99822044"", ""15.75049591"", ""15.73013973"", ""15.65295124"", ""15.23297691"", ""15.26196861"", ""16.21105003"", ""15.18450832"", ""14.93034077"", ""14.43256569"", ""14.84617901"", ""15.40542507"", ""14.56243515"", ""14.49277210"", ""14.42615509"", ""15.15027618"", ""14.16191483"", ""14.11328983"", ""14.23552608"", ""14.72056484"", ""14.04428673"", ""14.03908253"", ""14.28970146"", ""14.32871056"", ""14.16609764"", ""15.12863350"", ""14.06830883"", ""14.10226727"", ""14.10475540"", ""13.96303082"", ""14.07322121"", ""13.95958328"", ""14.02233791"", ""13.97883415"", ""13.95706367"", ""13.98902702"", ""13.94746304"", ""13.94073105"", ""13.96459484"", ""13.96686172""]",TrendAE,SeasonalityAE,fourier,I-style,12
trend_seas_wav_comparison,TrendAE+SeasonalityAE_I_ld12,trend_seas_wav,"['TrendAE', 'SeasonalityAE']",Yearly,1,6,30,2,1,True,3,45,13.724123,3.157052,848.459351,3358763.750000,0.817117,0.726134,1.870547,2267163,27.07,45,False,False,ReLU,EARLY_STOPPED,13.79673958,13.86934948,9.68771648,34,1.005263,False,"[""49.09973907"", ""31.03327751"", ""30.68721008"", ""27.25613785"", ""21.77837372"", ""25.10786629"", ""18.14892197"", ""17.73550415"", ""19.84427834"", ""16.78132057"", ""16.99595070"", ""15.43152618"", ""17.01195908"", ""15.04761124"", ""14.40423107"", ""15.48187542"", ""14.63142967"", ""15.41884518"", ""15.23045826"", ""14.21267509"", ""14.67086983"", ""15.06572247"", ""14.31563473"", ""14.17573547"", ""14.09367085"", ""14.44096088"", ""14.07535839"", ""14.17462635"", ""14.48343849"", ""15.52263069"", ""13.99065590"", ""14.15075397"", ""14.50768852"", ""14.00905132"", ""13.79673958"", ""14.37955189"", ""13.84763145"", ""13.92309475"", ""13.98017693"", ""13.91001797"", ""13.91761112"", ""13.84909916"", ""13.92423820"", ""13.90387535"", ""13.86934948""]",TrendAE,SeasonalityAE,fourier,I-style,12
trend_seas_wav_comparison,TrendAE+SeasonalityAE_I_ld12,trend_seas_wav,"['TrendAE', 'SeasonalityAE']",Yearly,1,6,30,2,1,True,4,46,13.628318,3.142695,842.192017,3330857.250000,0.812379,0.721647,1.874804,2267163,30.04,50,False,False,ReLU,MAX_EPOCHS,13.83229351,13.89311981,9.75856972,41,1.004397,False,"[""44.92948532"", ""43.30121231"", ""29.25312042"", ""23.99307632"", ""21.65227127"", ""20.55278778"", ""19.76406479"", ""22.38936615"", ""15.96828842"", ""16.06273842"", ""16.03997612"", ""17.49540520"", ""15.42990398"", ""15.54866886"", ""17.33171272"", ""15.47297382"", ""14.60029507"", ""15.11639404"", ""14.90525436"", ""14.78961849"", ""16.66999626"", ""14.19752884"", ""14.54019737"", ""17.71943283"", ""14.14378929"", ""14.27367496"", ""14.25100994"", ""15.25067425"", ""14.19856358"", ""14.16431618"", ""14.94736671"", ""14.32148075"", ""14.31979084"", ""14.28821564"", ""13.98534012"", ""14.57205009"", ""13.93774033"", ""14.12072659"", ""14.16815853"", ""13.88411999"", ""14.21436691"", ""13.83229351"", ""14.10630131"", ""13.90342903"", ""13.91922188"", ""13.87928486"", ""13.88114834"", ""13.92882729"", ""13.90845203"", ""13.89311981""]",TrendAE,SeasonalityAE,fourier,I-style,12
