experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,t_width,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,block_type,backbone,active_g_cfg
baseline,TWG_coif2_td3_bd4_gd5,trendwavelet_generic_new,['TrendWaveletGeneric'],Yearly,1,6,30,10,1,True,1,43,13.773643,3.198672,853.169434,3353539.750000,0.823868,0.736983,1.921511,2085760,256,22.99,31,False,False,ReLU,EARLY_STOPPED,13.83694553,13.90480137,10.19923592,20,1.004904,False,"[""60.76902008"", ""25.69361496"", ""23.29377747"", ""19.16424179"", ""16.63549423"", ""16.95839691"", ""15.80932331"", ""16.43042183"", ""14.71841812"", ""14.82295895"", ""14.38818169"", ""14.03889656"", ""13.95390511"", ""14.29344845"", ""14.14447975"", ""15.35138321"", ""14.78340626"", ""15.22498608"", ""14.27355194"", ""15.49849892"", ""13.83694553"", ""16.14474297"", ""15.91812134"", ""15.27959347"", ""15.19853973"", ""16.06038475"", ""13.85751629"", ""13.94671631"", ""13.87020016"", ""15.22426319"", ""13.90480137""]",TrendWaveletGeneric,RootBlock,per_pass
baseline,TWG_coif2_td3_bd4_gd5,trendwavelet_generic_new,['TrendWaveletGeneric'],Yearly,1,6,30,10,1,True,0,42,13.538798,3.090956,834.410522,3296630.250000,0.803131,0.718636,1.883503,2085760,256,25.06,31,False,False,ReLU,EARLY_STOPPED,13.68366146,15.62079906,9.69323063,20,1.141566,False,"[""51.19493484"", ""27.47386932"", ""25.73494530"", ""21.18436432"", ""18.92410851"", ""17.66394043"", ""16.32933235"", ""16.30299568"", ""16.25109673"", ""15.03181934"", ""15.52231216"", ""15.53085232"", ""14.66706085"", ""15.15027142"", ""14.43264008"", ""14.18224621"", ""14.08867645"", ""14.40247440"", ""13.95771694"", ""13.93544197"", ""13.68366146"", ""13.86105824"", ""13.74459743"", ""13.79139042"", ""13.74269390"", ""14.73964310"", ""13.81846333"", ""13.76557350"", ""13.76598740"", ""14.04513073"", ""15.62079906""]",TrendWaveletGeneric,RootBlock,per_pass
baseline,TWG_coif2_td3_bd4_gd5,trendwavelet_generic_new,['TrendWaveletGeneric'],Yearly,1,6,30,10,1,True,3,45,14.253407,3.394249,882.461548,3351521.000000,0.863154,0.767883,1.992958,2085760,256,35.17,27,False,False,ReLU,EARLY_STOPPED,14.25076103,15.54501534,10.39515305,16,1.090820,False,"[""61.70157242"", ""28.25097466"", ""25.75847626"", ""21.05879974"", ""18.56237221"", ""19.83937263"", ""16.44420242"", ""16.30065727"", ""15.77744865"", ""15.13191605"", ""15.26171303"", ""14.91250420"", ""14.94441128"", ""15.14033127"", ""14.56093788"", ""15.22604847"", ""14.25076103"", ""14.49621296"", ""14.85925007"", ""14.44959545"", ""14.36552811"", ""14.28005123"", ""15.24260235"", ""14.61224365"", ""15.04006958"", ""14.41770077"", ""15.54501534""]",TrendWaveletGeneric,RootBlock,per_pass
baseline,TWG_coif2_td3_bd4_gd5,trendwavelet_generic_new,['TrendWaveletGeneric'],Yearly,1,6,30,10,1,True,2,44,13.531509,3.103231,837.727478,3338994.250000,0.804452,0.717610,1.875620,2085760,256,47.18,39,False,False,ReLU,EARLY_STOPPED,13.64423656,17.25868034,11.53511620,28,1.264906,False,"[""43.03142929"", ""27.54103279"", ""28.17906761"", ""20.71871567"", ""18.49980736"", ""17.62789536"", ""16.59251213"", ""15.88405800"", ""15.51461983"", ""15.81040764"", ""14.52610302"", ""14.34773731"", ""14.32567406"", ""14.67923927"", ""13.93551731"", ""13.92863750"", ""14.02033710"", ""14.13574696"", ""15.02368736"", ""14.38139248"", ""13.72571564"", ""13.83518028"", ""13.70137405"", ""13.99291420"", ""14.12057781"", ""13.68951607"", ""13.68885899"", ""13.64636517"", ""13.64423656"", ""13.90470123"", ""14.24417496"", ""13.66753769"", ""15.47478294"", ""14.59886646"", ""14.65856266"", ""14.72486973"", ""14.98257160"", ""15.08126450"", ""17.25868034""]",TrendWaveletGeneric,RootBlock,per_pass
baseline,TWG_coif2_td3_bd4_gd5,trendwavelet_generic_new,['TrendWaveletGeneric'],Yearly,1,6,30,10,1,True,4,46,13.701792,3.121928,837.918396,3244001.500000,0.812014,0.728503,1.941212,2085760,256,23.73,27,False,False,ReLU,EARLY_STOPPED,14.39026928,15.82946301,10.13149261,16,1.100012,False,"[""59.21712875"", ""27.64626694"", ""26.53735924"", ""20.91022682"", ""18.98604393"", ""17.70141411"", ""16.09092140"", ""15.81280804"", ""16.61604691"", ""15.69810295"", ""15.54298878"", ""15.33067417"", ""16.34064674"", ""16.55824280"", ""16.76734161"", ""15.85356617"", ""14.39026928"", ""15.56330204"", ""15.89282513"", ""15.28346729"", ""15.76285362"", ""14.51171017"", ""16.21026039"", ""14.39058304"", ""14.64582157"", ""15.38183594"", ""15.82946301""]",TrendWaveletGeneric,RootBlock,per_pass
baseline,TWGAE_coif2_td3_bd4_gd5_ld16,trendwavelet_generic_new,['TrendWaveletGenericAE'],Yearly,1,6,30,10,1,True,0,42,13.628389,3.131425,841.188538,3318570.500000,0.810963,0.724256,1.892255,444960,256,48.91,64,False,False,ReLU,EARLY_STOPPED,13.61279202,13.82847691,9.27976418,53,1.015844,False,"[""70.48591614"", ""31.91557121"", ""41.83843231"", ""26.18805504"", ""24.12821007"", ""22.84746933"", ""19.53240395"", ""17.78021240"", ""16.91674232"", ""16.28607941"", ""16.01206589"", ""16.64497566"", ""15.69125652"", ""15.23503971"", ""15.10638046"", ""15.70639801"", ""14.50595665"", ""15.50964832"", ""14.24129391"", ""14.75451756"", ""14.45429897"", ""14.71490669"", ""14.51368523"", ""14.63281250"", ""14.33244801"", ""14.75379181"", ""14.06804466"", ""14.41174698"", ""13.97785282"", ""14.44170666"", ""14.00442123"", ""14.69962597"", ""13.94214153"", ""14.53643036"", ""13.87597942"", ""14.59408569"", ""13.88594818"", ""14.27156830"", ""13.83914566"", ""14.26421165"", ""13.78462410"", ""13.96809769"", ""13.74928665"", ""14.02136230"", ""13.78292561"", ""14.24073410"", ""13.66112804"", ""13.67556763"", ""13.77170753"", ""14.03749847"", ""13.75762367"", ""13.78417492"", ""13.66438293"", ""13.61279202"", ""13.78927135"", ""13.75039101"", ""13.86931896"", ""13.67083740"", ""13.62892818"", ""13.96574020"", ""13.77689171"", ""13.69446850"", ""13.63059902"", ""13.82847691""]",TrendWaveletGenericAE,AERootBlock,per_pass
baseline,TWGAE_coif2_td3_bd4_gd5_ld16,trendwavelet_generic_new,['TrendWaveletGenericAE'],Yearly,1,6,30,10,1,True,1,43,13.539841,3.101065,835.425964,3293364.500000,0.804434,0.715882,1.857386,444960,256,55.33,71,False,False,ReLU,EARLY_STOPPED,13.53922939,13.54307842,9.35017586,60,1.000284,False,"[""53.94852066"", ""39.72726440"", ""29.40222740"", ""24.87736702"", ""24.13550758"", ""20.73661995"", ""19.27571869"", ""18.35390282"", ""16.30959129"", ""16.11861038"", ""15.42392159"", ""15.41207600"", ""14.86946774"", ""14.41618347"", ""14.50018311"", ""14.25424480"", ""15.13054848"", ""14.81393242"", ""14.11806297"", ""14.02982044"", ""14.02783394"", ""14.05384254"", ""13.93819809"", ""13.83776379"", ""14.03783989"", ""14.64286995"", ""13.79561424"", ""13.93800449"", ""13.92200851"", ""13.74750996"", ""13.78779316"", ""14.68453503"", ""13.75807095"", ""13.74299335"", ""13.87196064"", ""14.79739285"", ""13.67097664"", ""13.79679585"", ""14.00955582"", ""13.67378521"", ""13.67996979"", ""13.95462894"", ""13.95783997"", ""13.61179924"", ""13.83224583"", ""14.06990242"", ""13.67918301"", ""13.71313953"", ""13.60172176"", ""14.11527538"", ""13.94406509"", ""13.58920002"", ""13.54551125"", ""13.81947422"", ""13.74860764"", ""13.58890724"", ""13.57625771"", ""13.81597805"", ""13.69461823"", ""13.56075096"", ""13.53922939"", ""13.92821217"", ""13.63041592"", ""13.59997940"", ""13.58262253"", ""13.60582638"", ""13.79988480"", ""13.60941982"", ""13.59488678"", ""13.74647045"", ""13.54307842""]",TrendWaveletGenericAE,AERootBlock,per_pass
baseline,TWGAE_coif2_td3_bd4_gd5_ld16,trendwavelet_generic_new,['TrendWaveletGenericAE'],Yearly,1,6,30,10,1,True,2,44,13.550733,3.090507,834.988281,3313857.250000,0.803439,0.717618,1.867841,444960,256,43.49,59,False,False,ReLU,EARLY_STOPPED,13.63821888,13.72776222,9.45648384,48,1.006566,False,"[""79.04566193"", ""30.14878845"", ""35.81520462"", ""25.87064743"", ""23.37104416"", ""21.58273697"", ""18.88157654"", ""17.25280762"", ""16.00585175"", ""15.86179733"", ""15.40589905"", ""16.46096992"", ""14.86140919"", ""14.53143978"", ""14.78664112"", ""14.35337925"", ""14.90265083"", ""14.45411301"", ""14.12508392"", ""14.11025524"", ""14.14145374"", ""14.39406681"", ""14.12583160"", ""14.05552673"", ""14.33627892"", ""13.95764160"", ""13.85902596"", ""14.10168743"", ""13.92468166"", ""13.82133389"", ""14.15312862"", ""14.43389702"", ""13.82428837"", ""13.73166561"", ""13.84582710"", ""14.54485226"", ""13.73514557"", ""13.72454643"", ""14.06656837"", ""14.06528568"", ""13.71190262"", ""13.67500496"", ""14.31497669"", ""14.08880329"", ""13.70174217"", ""13.69443989"", ""13.90971375"", ""14.17624187"", ""13.63821888"", ""13.65879250"", ""13.87753010"", ""14.04014111"", ""13.64162731"", ""13.65175819"", ""13.92460823"", ""13.89202881"", ""13.64758301"", ""13.68549347"", ""13.72776222""]",TrendWaveletGenericAE,AERootBlock,per_pass
baseline,TWGAE_coif2_td3_bd4_gd5_ld16,trendwavelet_generic_new,['TrendWaveletGenericAE'],Yearly,1,6,30,10,1,True,3,45,13.528273,3.090204,834.401855,3308750.000000,0.802714,0.717219,1.872168,444960,256,54.45,70,False,False,ReLU,EARLY_STOPPED,13.58294201,13.60996342,9.40896797,59,1.001989,False,"[""73.21504974"", ""27.96924973"", ""37.77369690"", ""25.32259560"", ""24.10451126"", ""23.53826714"", ""20.13528442"", ""18.23284531"", ""16.47120094"", ""17.37949181"", ""15.84093380"", ""16.37241745"", ""15.20588493"", ""15.32030392"", ""14.87315750"", ""14.74869823"", ""14.63167381"", ""14.47219467"", ""14.48791885"", ""14.31476498"", ""14.62688351"", ""14.47516537"", ""14.16262531"", ""14.14659882"", ""14.03328800"", ""14.33110237"", ""14.13629341"", ""14.07623196"", ""14.28063011"", ""13.82255840"", ""13.76261520"", ""13.76009750"", ""14.22094536"", ""13.92498398"", ""15.64306068"", ""14.06869793"", ""14.35627460"", ""13.69880295"", ""14.46811962"", ""13.83217621"", ""13.68422794"", ""13.72583961"", ""14.06497669"", ""13.76379395"", ""13.66323471"", ""13.67062378"", ""13.70478821"", ""14.34750843"", ""13.65541553"", ""13.64085865"", ""13.87792969"", ""13.60239697"", ""13.63185978"", ""14.40993214"", ""13.61024857"", ""14.17806339"", ""13.58644199"", ""13.72094059"", ""13.99296570"", ""13.58294201"", ""13.65993500"", ""13.60508823"", ""13.71637917"", ""13.66110229"", ""13.64700317"", ""13.70370960"", ""14.01274014"", ""13.59879112"", ""13.93366623"", ""13.60996342""]",TrendWaveletGenericAE,AERootBlock,per_pass
baseline,TWGAE_coif2_td3_bd4_gd5_ld16,trendwavelet_generic_new,['TrendWaveletGenericAE'],Yearly,1,6,30,10,1,True,4,46,13.587089,3.102134,833.597595,3274289.250000,0.806014,0.718230,1.875932,444960,256,55.26,75,False,False,ReLU,EARLY_STOPPED,13.56563282,13.57661152,9.22795486,64,1.000809,False,"[""60.77068329"", ""33.38023758"", ""34.50977707"", ""25.04940414"", ""23.56461143"", ""21.55772781"", ""19.20066261"", ""17.74462318"", ""18.08759117"", ""15.86590862"", ""17.03198433"", ""15.96116161"", ""16.85295868"", ""15.32953835"", ""16.10115433"", ""15.17075157"", ""15.23496056"", ""14.84502888"", ""15.23910713"", ""14.71871567"", ""15.57219601"", ""14.59481621"", ""15.41054249"", ""15.04646969"", ""15.11032295"", ""15.17052841"", ""15.31249428"", ""14.23018932"", ""14.57144737"", ""14.10273266"", ""14.52153492"", ""14.08142757"", ""14.14710426"", ""13.91601181"", ""14.02166176"", ""14.42441940"", ""13.77196693"", ""13.74634075"", ""13.75037193"", ""13.85765934"", ""14.12165260"", ""13.84345627"", ""13.73443794"", ""14.06340790"", ""13.90502453"", ""14.69525909"", ""13.85116863"", ""14.19722557"", ""13.67164707"", ""13.82857227"", ""13.90625858"", ""13.61236858"", ""13.74135208"", ""13.77454090"", ""13.66068745"", ""13.62428761"", ""13.76631832"", ""13.74997807"", ""13.65852070"", ""13.64323235"", ""13.92814827"", ""13.60141468"", ""13.70463085"", ""13.82170200"", ""13.56563282"", ""13.96023941"", ""13.58681488"", ""14.08468056"", ""13.59726048"", ""13.99932766"", ""13.57299423"", ""13.95931244"", ""13.57484150"", ""13.89112186"", ""13.57661152""]",TrendWaveletGenericAE,AERootBlock,per_pass
