experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,search_round,block_type,wavelet_type,wavelet_family,basis_dim,basis_offset,trend_dim_cfg,bd_label,latent_dim_cfg,meta_predicted_best,meta_convergence_score
trendwaveletae_search_r1,TrendWaveletAE_haar_eq_fcast_td3_ld2,trendwaveletae_search,['TrendWaveletAE'],Yearly,1,6,30,10,1,True,0,42,15.557146,3.669093,929.920715,3496826.250000,0.937624,0.863772,2.389173,1454190,8.57,10,False,False,ReLU,MAX_EPOCHS,16.00193596,16.00193596,11.84708023,9,1.000000,False,"[""36.79664230"", ""42.05664062"", ""27.98406219"", ""25.52630234"", ""21.67345428"", ""19.71636200"", ""17.40188026"", ""17.15657234"", ""16.80735970"", ""16.00193596""]",1,TrendWaveletAE,haar,haar,6,0,3,eq_fcast,2,18.20018945,0.49461550
trendwaveletae_search_r1,TrendWaveletAE_haar_eq_fcast_td3_ld2,trendwaveletae_search,['TrendWaveletAE'],Yearly,1,6,30,10,1,True,1,43,16.767464,4.045839,988.075623,3785486.000000,1.022056,0.968781,2.975398,1454190,8.57,10,False,False,ReLU,MAX_EPOCHS,17.81067085,17.81067085,13.19849491,9,1.000000,False,"[""68.78382874"", ""53.95043945"", ""26.47729301"", ""28.10093498"", ""25.58188248"", ""23.61291122"", ""21.69161797"", ""19.58337021"", ""17.92222404"", ""17.81067085""]",1,TrendWaveletAE,haar,haar,6,0,3,eq_fcast,2,20.44674764,0.29726097
trendwaveletae_search_r1,TrendWaveletAE_haar_eq_fcast_td3_ld2,trendwaveletae_search,['TrendWaveletAE'],Yearly,1,6,30,10,1,True,2,44,15.494621,3.692408,943.305481,3538271.750000,0.938644,0.873976,2.443870,1454190,7.94,10,False,False,ReLU,MAX_EPOCHS,15.30604649,15.30604649,11.49561882,9,1.000000,False,"[""28.40170860"", ""37.63006210"", ""21.70152283"", ""18.58783340"", ""19.79596329"", ""17.15813065"", ""16.56740761"", ""16.77308464"", ""17.75824165"", ""15.30604649""]",1,TrendWaveletAE,haar,haar,6,0,3,eq_fcast,2,15.90080426,0.55985379
trendwaveletae_search_r1,TrendWaveletAE_haar_eq_fcast_td3_ld5,trendwaveletae_search,['TrendWaveletAE'],Yearly,1,6,30,10,1,True,0,42,14.872149,3.422207,897.740723,3432369.250000,0.885603,0.798865,2.153749,1469580,8.13,10,False,False,ReLU,MAX_EPOCHS,15.46637535,15.46637535,11.31997585,9,1.000000,False,"[""36.07162476"", ""25.52001572"", ""24.87439346"", ""21.04098129"", ""19.23616600"", ""18.03998566"", ""16.65558624"", ""15.90542698"", ""15.64723396"", ""15.46637535""]",1,TrendWaveletAE,haar,haar,6,0,3,eq_fcast,5,16.80744715,0.46594650
trendwaveletae_search_r1,TrendWaveletAE_haar_eq_fcast_td3_ld5,trendwaveletae_search,['TrendWaveletAE'],Yearly,1,6,30,10,1,True,1,43,16.359516,4.117595,1015.457947,3787459.500000,1.018603,0.908189,2.450742,1469580,7.80,10,False,False,ReLU,MAX_EPOCHS,16.12558365,16.82312393,11.76477814,8,1.043257,False,"[""37.19997787"", ""26.52650833"", ""24.17656326"", ""19.72552299"", ""17.68785858"", ""17.68740082"", ""16.30140305"", ""18.75762558"", ""16.12558365"", ""16.82312393""]",1,TrendWaveletAE,haar,haar,6,0,3,eq_fcast,5,16.19186628,0.43526548
trendwaveletae_search_r1,TrendWaveletAE_haar_eq_fcast_td3_ld5,trendwaveletae_search,['TrendWaveletAE'],Yearly,1,6,30,10,1,True,2,44,15.210073,3.588183,908.313293,3412224.500000,0.916825,0.856623,2.515446,1469580,7.98,10,False,False,ReLU,MAX_EPOCHS,15.73842430,15.73842430,12.27968979,9,1.000000,False,"[""34.77538681"", ""31.86188126"", ""23.48782349"", ""21.29585266"", ""19.63075447"", ""18.18420410"", ""17.39010620"", ""19.12596893"", ""15.98406887"", ""15.73842430""]",1,TrendWaveletAE,haar,haar,6,0,3,eq_fcast,5,16.76498114,0.48209330
trendwaveletae_search_r1,TrendWaveletAE_haar_eq_fcast_td3_ld8,trendwaveletae_search,['TrendWaveletAE'],Yearly,1,6,30,10,1,True,0,42,15.361606,3.571145,920.259460,3467685.000000,0.919318,0.834794,2.284531,1484970,7.86,10,False,False,ReLU,MAX_EPOCHS,15.75320339,17.57364273,11.23409081,8,1.115560,False,"[""31.53538513"", ""38.95419693"", ""27.05762863"", ""24.65474510"", ""22.08214188"", ""20.66095734"", ""18.36546135"", ""16.35150337"", ""15.75320339"", ""17.57364273""]",1,TrendWaveletAE,haar,haar,6,0,3,eq_fcast,8,19.27966520,0.61136609
trendwaveletae_search_r1,TrendWaveletAE_haar_eq_fcast_td3_ld8,trendwaveletae_search,['TrendWaveletAE'],Yearly,1,6,30,10,1,True,1,43,14.648358,3.388026,892.828247,3372607.750000,0.874455,0.782924,2.075634,1484970,8.02,10,False,False,ReLU,MAX_EPOCHS,14.86561298,14.86561298,11.04478359,9,1.000000,False,"[""36.61362457"", ""30.95871925"", ""25.48718452"", ""23.89257431"", ""20.21800804"", ""17.93171883"", ""17.72776604"", ""15.84693241"", ""15.78605270"", ""14.86561298""]",1,TrendWaveletAE,haar,haar,6,0,3,eq_fcast,8,16.44608959,0.44917950
trendwaveletae_search_r1,TrendWaveletAE_haar_eq_fcast_td3_ld8,trendwaveletae_search,['TrendWaveletAE'],Yearly,1,6,30,10,1,True,2,44,17.146776,4.292941,1062.009521,3960438.000000,1.064751,0.958816,2.633267,1484970,8.18,10,False,False,ReLU,MAX_EPOCHS,16.22351646,17.42673302,12.10823917,8,1.074165,False,"[""36.91221619"", ""52.29719162"", ""25.87446213"", ""25.69473839"", ""20.41752625"", ""18.60671234"", ""17.39077187"", ""18.26489067"", ""16.22351646"", ""17.42673302""]",1,TrendWaveletAE,haar,haar,6,0,3,eq_fcast,8,16.91222178,0.45817411
trendwaveletae_search_r1,TrendWaveletAE_haar_eq_fcast_td5_ld2,trendwaveletae_search,['TrendWaveletAE'],Yearly,1,6,30,10,1,True,0,42,21.134422,5.842902,1250.280396,4632231.500000,1.381770,1.486531,6.840353,1464450,8.34,10,False,False,ReLU,MAX_EPOCHS,20.44208145,20.44208145,16.89501572,9,1.000000,False,"[""39.98547363"", ""46.81518555"", ""28.08840942"", ""27.88400459"", ""27.75481606"", ""26.50234032"", ""22.83742332"", ""22.90448189"", ""20.70343590"", ""20.44208145""]",1,TrendWaveletAE,haar,haar,6,0,5,eq_fcast,2,25.27211702,0.63203245
