experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,search_round,block_type,wavelet_type,wavelet_family,basis_dim,basis_offset,trend_dim_cfg,bd_label,latent_dim_cfg,meta_predicted_best,meta_convergence_score
trendwaveletae_search_r1,TrendWaveletAELG_haar_eq_fcast_td3_ld16,trendwaveletae_search,['TrendWaveletAELG'],Yearly,1,6,30,10,1,True,0,42,16.175049,3.916233,995.155457,3830690.750000,0.987624,0.896440,2.454865,1526170,10.46,10,False,False,ReLU,MAX_EPOCHS,16.10550308,16.90672112,10.78585720,8,1.049748,False,"[""30.46358490"", ""44.08234024"", ""25.78314209"", ""24.85408783"", ""20.98634529"", ""18.81202126"", ""16.55481720"", ""17.15858650"", ""16.10550308"", ""16.90672112""]",1,TrendWaveletAELG,haar,haar,6,0,3,eq_fcast,16,17.52712148,0.57534665
trendwaveletae_search_r1,TrendWaveletAELG_haar_eq_fcast_td3_ld16,trendwaveletae_search,['TrendWaveletAELG'],Yearly,1,6,30,10,1,True,1,43,15.200716,3.586178,929.715027,3511042.750000,0.916286,0.815830,2.166363,1526170,10.51,10,False,False,ReLU,MAX_EPOCHS,15.19226456,15.62872696,11.00895977,8,1.028729,False,"[""42.70020294"", ""42.27260971"", ""25.59976006"", ""24.32148170"", ""20.24673080"", ""17.86056328"", ""16.27649498"", ""15.50002861"", ""15.19226456"", ""15.62872696""]",1,TrendWaveletAELG,haar,haar,6,0,3,eq_fcast,16,16.00380813,0.37479466
trendwaveletae_search_r1,TrendWaveletAELG_haar_eq_fcast_td3_ld16,trendwaveletae_search,['TrendWaveletAELG'],Yearly,1,6,30,10,1,True,2,44,15.033457,3.507984,914.105286,3479703.250000,0.901331,0.814675,2.198429,1526170,9.14,10,False,False,ReLU,MAX_EPOCHS,15.35045147,15.35045147,11.70788097,9,1.000000,False,"[""33.05583191"", ""44.95760727"", ""26.47465515"", ""24.94503593"", ""21.03250885"", ""19.14893913"", ""17.00035858"", ""17.10007858"", ""15.90579319"", ""15.35045147""]",1,TrendWaveletAELG,haar,haar,6,0,3,eq_fcast,16,17.76172175,0.53732491
trendwaveletae_search_r1,TrendWaveletAELG_haar_lt_fcast_td3_ld16,trendwaveletae_search,['TrendWaveletAELG'],Yearly,1,6,30,10,1,True,0,42,15.206927,3.657434,942.002869,3552785.750000,0.925442,0.819084,2.115210,1515910,9.18,10,False,False,ReLU,MAX_EPOCHS,15.04091740,15.04091740,10.88359547,9,1.000000,False,"[""40.10664368"", ""36.76167297"", ""25.12919235"", ""23.24795914"", ""19.98364830"", ""17.81406784"", ""16.67712593"", ""15.93127346"", ""15.43203545"", ""15.04091740""]",1,TrendWaveletAELG,haar,haar,4,0,3,lt_fcast,16,16.06655716,0.40059590
trendwaveletae_search_r1,TrendWaveletAELG_haar_lt_fcast_td3_ld16,trendwaveletae_search,['TrendWaveletAELG'],Yearly,1,6,30,10,1,True,1,43,15.469438,3.730725,938.805664,3514618.500000,0.942695,0.865561,2.404051,1515910,9.18,10,False,False,ReLU,MAX_EPOCHS,15.61655331,15.61655331,12.56440449,9,1.000000,False,"[""32.31639481"", ""46.35474396"", ""26.61942482"", ""25.30895996"", ""21.27559280"", ""19.30419540"", ""17.48981285"", ""18.15197754"", ""17.37539101"", ""15.61655331""]",1,TrendWaveletAELG,haar,haar,4,0,3,lt_fcast,16,17.91886831,0.55448228
trendwaveletae_search_r1,TrendWaveletAELG_haar_lt_fcast_td3_ld16,trendwaveletae_search,['TrendWaveletAELG'],Yearly,1,6,30,10,1,True,2,44,16.188471,3.983117,1000.662476,3732642.500000,0.996450,0.901461,2.463881,1515910,9.10,10,False,False,ReLU,MAX_EPOCHS,16.26153183,16.33292007,11.35596561,8,1.004390,False,"[""34.37011337"", ""45.05553436"", ""26.85479164"", ""26.11004257"", ""21.39920807"", ""19.13492393"", ""18.12117004"", ""16.56620407"", ""16.26153183"", ""16.33292007""]",1,TrendWaveletAELG,haar,haar,4,0,3,lt_fcast,16,17.71724472,0.51548404
trendwaveletae_search_r1,TrendWaveletAELG_haar_eq_bcast_td3_ld16,trendwaveletae_search,['TrendWaveletAELG'],Yearly,1,6,30,10,1,True,0,42,15.770565,3.807777,979.049255,3763344.500000,0.961603,0.872139,2.296683,1695460,9.47,10,False,False,ReLU,MAX_EPOCHS,15.96776676,15.96776676,11.62786007,9,1.000000,False,"[""38.86399841"", ""30.11992455"", ""39.05306625"", ""28.07050896"", ""24.36637306"", ""25.63114738"", ""21.43471909"", ""19.68255806"", ""17.79655838"", ""15.96776676""]",1,TrendWaveletAELG,haar,haar,30,0,3,eq_bcast,16,22.53792401,0.57991779
trendwaveletae_search_r1,TrendWaveletAELG_haar_eq_bcast_td3_ld16,trendwaveletae_search,['TrendWaveletAELG'],Yearly,1,6,30,10,1,True,1,43,15.481634,3.700327,928.198425,3501641.000000,0.939243,0.856957,2.376338,1695460,9.45,10,False,False,ReLU,MAX_EPOCHS,17.43502045,17.43502045,13.50964355,9,1.000000,False,"[""39.00028229"", ""30.24481010"", ""39.94089508"", ""23.57576561"", ""22.10124207"", ""21.16154671"", ""22.11291122"", ""19.77520370"", ""19.55935287"", ""17.43502045""]",1,TrendWaveletAELG,haar,haar,30,0,3,eq_bcast,16,19.29271611,0.49468145
trendwaveletae_search_r1,TrendWaveletAELG_haar_eq_bcast_td3_ld16,trendwaveletae_search,['TrendWaveletAELG'],Yearly,1,6,30,10,1,True,2,44,15.473188,3.735797,966.010193,3711429.500000,0.943448,0.837753,2.188143,1695460,9.22,10,False,False,ReLU,MAX_EPOCHS,15.16194820,16.18028069,11.61337280,8,1.067164,False,"[""34.35803223"", ""27.56756020"", ""25.09866905"", ""22.41445923"", ""20.48790932"", ""18.10102081"", ""17.06171417"", ""15.99533272"", ""15.16194820"", ""16.18028069""]",1,TrendWaveletAELG,haar,haar,30,0,3,eq_bcast,16,16.69324952,0.48586163
trendwaveletae_search_r1,TrendWaveletAELG_haar_lt_bcast_td3_ld16,trendwaveletae_search,['TrendWaveletAELG'],Yearly,1,6,30,10,1,True,0,42,14.762905,3.401719,891.887512,3435649.750000,0.879683,0.806580,2.209098,1618510,9.19,10,False,False,ReLU,MAX_EPOCHS,15.75988007,15.75988007,12.24343204,9,1.000000,False,"[""34.36363602"", ""26.68495560"", ""30.59019470"", ""23.00132561"", ""21.90826607"", ""22.91112137"", ""21.78207397"", ""18.32997322"", ""16.81171989"", ""15.75988007""]",1,TrendWaveletAELG,haar,haar,15,0,3,lt_bcast,16,21.08379889,0.61354971
trendwaveletae_search_r1,TrendWaveletAELG_haar_lt_bcast_td3_ld16,trendwaveletae_search,['TrendWaveletAELG'],Yearly,1,6,30,10,1,True,1,43,15.160637,3.581415,910.776001,3403707.250000,0.914461,0.841387,2.346918,1618510,9.25,10,False,False,ReLU,MAX_EPOCHS,16.51988411,16.51988411,13.81064224,9,1.000000,False,"[""32.57036209"", ""27.21108627"", ""27.04545021"", ""29.42728043"", ""21.89183998"", ""21.09005737"", ""19.58384514"", ""18.63278580"", ""16.77757454"", ""16.51988411""]",1,TrendWaveletAELG,haar,haar,15,0,3,lt_bcast,16,19.66562544,0.60378897
trendwaveletae_search_r1,TrendWaveletAELG_haar_lt_bcast_td3_ld16,trendwaveletae_search,['TrendWaveletAELG'],Yearly,1,6,30,10,1,True,2,44,15.161421,3.571097,919.295776,3552047.250000,0.913187,0.832898,2.265467,1618510,9.08,10,False,False,ReLU,MAX_EPOCHS,16.45688629,16.45688629,15.16271782,9,1.000000,False,"[""32.83879852"", ""26.41567612"", ""31.33381271"", ""22.86098862"", ""22.41873550"", ""20.24975586"", ""21.89625740"", ""18.51287651"", ""17.24928284"", ""16.45688629""]",1,TrendWaveletAELG,haar,haar,15,0,3,lt_bcast,16,18.72858672,0.57031888
trendwaveletae_search_r1,TrendWaveletAELG_db3_eq_fcast_td3_ld16,trendwaveletae_search,['TrendWaveletAELG'],Yearly,1,6,30,10,1,True,0,42,17.180597,4.482105,1075.466919,3993500.750000,1.089586,1.009447,2.848358,1526170,9.21,10,False,False,ReLU,MAX_EPOCHS,16.51603889,16.51603889,12.42842865,9,1.000000,False,"[""30.21967125"", ""47.57291794"", ""25.43666649"", ""24.29683876"", ""20.30072784"", ""18.17302322"", ""16.81853485"", ""16.55747986"", ""16.67334366"", ""16.51603889""]",1,TrendWaveletAELG,db3,db3,6,0,3,eq_fcast,16,16.83375948,0.55704641
