experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,search_round,basis_dim,basis_offset,trend_thetas_dim_cfg,wavelet_family,bd_label,latent_dim_cfg,repeats_cfg,meta_predicted_best,meta_convergence_score
v3aelg_stackheight_sweep_m4_r1,Haar_eq_fcast_ttd3_ld32_r2,v3aelg_stackheight_sweep_m4,"['TrendAELG', 'HaarWaveletV3AELG']",Yearly,1,6,30,4,1,True,0,42,15.420990,3.643905,942.614929,3633844.500000,0.930289,0.828506,2.212528,417030,10.48,15,False,False,ReLU,MAX_EPOCHS,15.38460636,18.09984398,12.31353760,13,1.176491,False,"[""146.31634521"", ""77.55133820"", ""37.34775925"", ""31.70890427"", ""48.76497269"", ""40.93125916"", ""29.30744743"", ""23.95411873"", ""22.31962585"", ""22.45248032"", ""21.37359619"", ""18.46948624"", ""16.28127861"", ""15.38460636"", ""18.09984398""]",1,6,0,3,HaarWaveletV3AELG,eq_fcast,32,2,31.70890427,0.21671471
v3aelg_stackheight_sweep_m4_r1,Haar_eq_fcast_ttd3_ld32_r2,v3aelg_stackheight_sweep_m4,"['TrendAELG', 'HaarWaveletV3AELG']",Yearly,1,6,30,4,1,True,1,43,14.984115,3.524830,910.529480,3473822.500000,0.901941,0.811909,2.174158,417030,10.65,15,False,False,ReLU,MAX_EPOCHS,15.44508934,15.44508934,11.48944092,14,1.000000,False,"[""135.86520386"", ""65.61305237"", ""31.95550346"", ""30.78738785"", ""34.51674652"", ""28.05800629"", ""24.66295433"", ""23.17434311"", ""22.87784767"", ""21.21040154"", ""19.31552505"", ""17.87742805"", ""16.59294891"", ""15.83295631"", ""15.44508934""]",1,6,0,3,HaarWaveletV3AELG,eq_fcast,32,2,23.63416341,0.17395303
v3aelg_stackheight_sweep_m4_r1,Haar_eq_fcast_ttd3_ld32_r2,v3aelg_stackheight_sweep_m4,"['TrendAELG', 'HaarWaveletV3AELG']",Yearly,1,6,30,4,1,True,2,44,18.378998,4.490335,1062.152466,4002182.750000,1.127288,1.127409,3.790227,417030,9.81,15,False,False,ReLU,MAX_EPOCHS,19.29807472,19.82270050,15.79652309,13,1.027185,False,"[""131.29251099"", ""68.62359619"", ""30.93444633"", ""50.33953857"", ""55.15600967"", ""52.94383240"", ""36.58885956"", ""25.44507408"", ""24.79534721"", ""24.63943291"", ""24.88523293"", ""21.43334389"", ""20.36612892"", ""19.29807472"", ""19.82270050""]",1,6,0,3,HaarWaveletV3AELG,eq_fcast,32,2,30.93444633,0.23561471
v3aelg_stackheight_sweep_m4_r1,Haar_eq_fcast_ttd3_ld32_r3,v3aelg_stackheight_sweep_m4,"['TrendAELG', 'HaarWaveletV3AELG']",Yearly,1,6,30,6,1,True,0,42,14.833588,3.502410,901.353943,3433498.500000,0.894514,0.793524,2.093109,625545,10.06,15,False,False,ReLU,MAX_EPOCHS,15.07324696,15.07324696,11.49892616,14,1.000000,False,"[""127.54084778"", ""58.53965759"", ""30.39411354"", ""35.18875885"", ""31.22926903"", ""24.39145660"", ""22.85220146"", ""21.17793846"", ""19.59772491"", ""17.97724724"", ""16.67948723"", ""15.68866539"", ""15.55900860"", ""15.27272129"", ""15.07324696""]",1,6,0,3,HaarWaveletV3AELG,eq_fcast,32,3,21.44873697,0.16817151
v3aelg_stackheight_sweep_m4_r1,Haar_eq_fcast_ttd3_ld32_r3,v3aelg_stackheight_sweep_m4,"['TrendAELG', 'HaarWaveletV3AELG']",Yearly,1,6,30,6,1,True,1,43,14.711276,3.339464,882.678406,3403425.000000,0.870270,0.787645,2.219163,625545,9.92,15,False,False,ReLU,MAX_EPOCHS,16.01548958,16.01548958,11.93938351,14,1.000000,False,"[""118.32412720"", ""48.91162872"", ""28.44642067"", ""33.08082962"", ""27.51801300"", ""24.60649109"", ""24.00098419"", ""22.05053329"", ""20.34031296"", ""19.03212738"", ""20.41433334"", ""18.23829460"", ""16.55260468"", ""16.04007721"", ""16.01548958""]",1,6,0,3,HaarWaveletV3AELG,eq_fcast,32,3,21.44845801,0.18126868
v3aelg_stackheight_sweep_m4_r1,Haar_eq_fcast_ttd3_ld32_r3,v3aelg_stackheight_sweep_m4,"['TrendAELG', 'HaarWaveletV3AELG']",Yearly,1,6,30,6,1,True,2,44,15.517816,3.717299,944.932190,3547487.000000,0.942486,0.836973,2.204091,625545,10.00,15,False,False,ReLU,MAX_EPOCHS,15.56735611,16.18701553,11.49829388,13,1.039805,False,"[""107.68900299"", ""45.06290436"", ""29.42510414"", ""50.71872330"", ""37.04212189"", ""25.48851967"", ""24.33560944"", ""23.16868973"", ""22.75083733"", ""19.01002502"", ""17.74935341"", ""16.72772408"", ""18.40366554"", ""15.56735611"", ""16.18701553""]",1,6,0,3,HaarWaveletV3AELG,eq_fcast,32,3,20.80586275,0.19320323
v3aelg_stackheight_sweep_m4_r1,Haar_eq_fcast_ttd3_ld32_r4,v3aelg_stackheight_sweep_m4,"['TrendAELG', 'HaarWaveletV3AELG']",Yearly,1,6,30,8,1,True,0,42,14.302444,3.282958,869.621277,3358342.250000,0.850652,0.769574,2.055031,834060,9.95,15,False,False,ReLU,MAX_EPOCHS,14.89027882,14.89027882,11.19178677,14,1.000000,False,"[""109.07864380"", ""42.10639191"", ""29.61314201"", ""32.33809662"", ""25.84626389"", ""23.59984016"", ""22.32534981"", ""20.48982048"", ""18.02794075"", ""16.97215080"", ""16.12971306"", ""15.34381485"", ""15.84600639"", ""15.51210976"", ""14.89027882""]",1,6,0,3,HaarWaveletV3AELG,eq_fcast,32,4,20.22789521,0.18544322
v3aelg_stackheight_sweep_m4_r1,Haar_eq_fcast_ttd3_ld32_r4,v3aelg_stackheight_sweep_m4,"['TrendAELG', 'HaarWaveletV3AELG']",Yearly,1,6,30,8,1,True,1,43,14.957960,3.498108,901.074646,3388671.500000,0.897778,0.823035,2.286567,834060,10.13,15,False,False,ReLU,MAX_EPOCHS,15.22854519,15.22854519,11.48268414,14,1.000000,False,"[""103.30543518"", ""38.16079330"", ""32.85140228"", ""31.58924103"", ""26.13215446"", ""24.39697647"", ""24.04030991"", ""20.12248993"", ""18.29305649"", ""16.93109703"", ""15.98659134"", ""16.50403023"", ""15.28515625"", ""16.60318947"", ""15.22854519""]",1,6,0,3,HaarWaveletV3AELG,eq_fcast,32,4,21.00991342,0.20337665
v3aelg_stackheight_sweep_m4_r1,Haar_eq_fcast_ttd3_ld32_r4,v3aelg_stackheight_sweep_m4,"['TrendAELG', 'HaarWaveletV3AELG']",Yearly,1,6,30,8,1,True,2,44,14.533004,3.407438,887.734192,3399825.250000,0.873368,0.785487,2.074447,834060,10.18,15,False,False,ReLU,MAX_EPOCHS,14.76045895,14.76045895,11.19241047,14,1.000000,False,"[""90.47052002"", ""33.61105728"", ""35.81674576"", ""31.25776863"", ""24.66630936"", ""23.31525612"", ""21.36708450"", ""19.17358589"", ""17.83764648"", ""16.85652161"", ""15.68976784"", ""15.49616718"", ""16.75979233"", ""15.02093506"", ""14.76045895""]",1,6,0,3,HaarWaveletV3AELG,eq_fcast,32,4,20.30402737,0.22442700
v3aelg_stackheight_sweep_m4_r1,Haar_eq_fcast_ttd3_ld32_r5,v3aelg_stackheight_sweep_m4,"['TrendAELG', 'HaarWaveletV3AELG']",Yearly,1,6,30,10,1,True,0,42,14.982849,3.534984,924.510010,3518608.250000,0.903179,0.795566,2.043435,1042575,10.29,15,False,False,ReLU,MAX_EPOCHS,14.97010040,14.97010040,11.19935703,14,1.000000,False,"[""90.38967896"", ""35.10536957"", ""32.23940659"", ""28.46039581"", ""24.56264496"", ""23.48776054"", ""20.80030823"", ""19.55385971"", ""18.68736458"", ""17.53354073"", ""15.54967785"", ""16.13435173"", ""15.14250851"", ""16.94422722"", ""14.97010040""]",1,6,0,3,HaarWaveletV3AELG,eq_fcast,32,5,20.35947429,0.22524114
