experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,search_round,block_type,backbone_family,wavelet_family,category_label,latent_dim
baseline_r1,GenericVAE2_ld8,generic,['GenericVAE2'],Yearly,1,6,30,5,1,True,0,42,30.695221,9.272743,2052.116211,14913604.000000,2.105828,2.592625,24.383619,821840,9.76,15,False,False,ReLU,MAX_EPOCHS,27.06058693,31.21197510,256.66552734,13,1.153411,False,"[""174.96546936"", ""158.78990173"", ""148.11082458"", ""145.31123352"", ""129.10163879"", ""125.72358704"", ""113.00873566"", ""105.72850800"", ""93.19888306"", ""80.36879730"", ""69.72965240"", ""55.69578934"", ""50.48663712"", ""27.06058693"", ""31.21197510""]",1,GenericVAE2,VAE2,,generic,8
baseline_r1,GenericVAE2_ld8,generic,['GenericVAE2'],Yearly,1,6,30,5,1,True,1,43,34.192280,10.174150,2223.113281,15903360.000000,2.326237,2.413468,18.290884,821840,9.42,15,False,False,ReLU,MAX_EPOCHS,33.60863495,33.60863495,274.77062988,14,1.000000,False,"[""177.09530640"", ""170.66104126"", ""159.16291809"", ""145.92434692"", ""136.11328125"", ""128.46873474"", ""113.39303589"", ""107.80597687"", ""92.89852905"", ""89.76128387"", ""74.22962189"", ""67.17789459"", ""47.64567566"", ""34.00580597"", ""33.60863495""]",1,GenericVAE2,VAE2,,generic,8
baseline_r1,GenericVAE2_ld8,generic,['GenericVAE2'],Yearly,1,6,30,5,1,True,2,44,37.853794,11.491694,2401.372803,16762916.000000,2.604035,2.627061,19.023666,821840,9.51,15,False,False,ReLU,MAX_EPOCHS,35.68627930,35.68627930,238.83236694,14,1.000000,False,"[""186.91639709"", ""168.95796204"", ""159.61720276"", ""154.05108643"", ""137.06562805"", ""137.22801208"", ""116.86000824"", ""119.45807648"", ""97.35587311"", ""100.23213959"", ""86.69754028"", ""66.44710541"", ""55.61953735"", ""48.29049301"", ""35.68627930""]",1,GenericVAE2,VAE2,,generic,8
baseline_r1,GenericVAE2_ld16,generic,['GenericVAE2'],Yearly,1,6,30,5,1,True,0,42,41.370686,12.304104,2654.140625,20860458.000000,2.813854,2.654518,20.473927,852640,9.45,15,False,False,ReLU,MAX_EPOCHS,37.95659637,37.95659637,464.43542480,14,1.000000,False,"[""178.38523865"", ""160.01441956"", ""146.94082642"", ""141.62516785"", ""131.69395447"", ""118.51917267"", ""109.56092072"", ""93.85001373"", ""86.72605133"", ""77.91046143"", ""68.12184906"", ""58.70244598"", ""42.52626801"", ""44.13002014"", ""37.95659637""]",1,GenericVAE2,VAE2,,generic,16
baseline_r1,GenericVAE2_ld16,generic,['GenericVAE2'],Yearly,1,6,30,5,1,True,1,43,39.434006,11.288577,2543.115479,18813184.000000,2.626827,2.505516,17.168932,852640,9.57,15,False,False,ReLU,MAX_EPOCHS,38.82398224,40.50778580,451.90548706,13,1.043370,False,"[""178.09494019"", ""162.15902710"", ""155.05424500"", ""145.97573853"", ""128.81335449"", ""120.73708344"", ""110.98017120"", ""100.67604065"", ""91.91328430"", ""83.98825073"", ""73.70252991"", ""58.95944977"", ""49.76174545"", ""38.82398224"", ""40.50778580""]",1,GenericVAE2,VAE2,,generic,16
baseline_r1,GenericVAE2_ld16,generic,['GenericVAE2'],Yearly,1,6,30,5,1,True,2,44,43.301624,13.858715,2829.404297,22035182.000000,3.068530,3.265794,33.380230,852640,9.58,15,False,False,ReLU,MAX_EPOCHS,40.32810593,40.32810593,502.90698242,14,1.000000,False,"[""181.31216431"", ""167.34506226"", ""161.36267090"", ""144.44078064"", ""132.08808899"", ""125.65314484"", ""114.69669342"", ""105.44730377"", ""97.43020630"", ""80.50904846"", ""68.89865112"", ""60.11738205"", ""56.81578445"", ""47.03571320"", ""40.32810593""]",1,GenericVAE2,VAE2,,generic,16
baseline_r1,GenericVAE2_ld32,generic,['GenericVAE2'],Yearly,1,6,30,5,1,True,0,42,37.174187,11.978804,2539.982422,21514312.000000,2.644529,3.026171,31.991707,914240,9.55,15,False,False,ReLU,MAX_EPOCHS,34.07518005,34.07518005,710.40802002,14,1.000000,False,"[""179.01411438"", ""165.76400757"", ""151.82897949"", ""136.58755493"", ""127.52643585"", ""116.28128052"", ""104.95836639"", ""93.11754608"", ""84.33763123"", ""74.70960236"", ""67.05115509"", ""61.25782776"", ""46.93472672"", ""42.31779861"", ""34.07518005""]",1,GenericVAE2,VAE2,,generic,32
baseline_r1,GenericVAE2_ld32,generic,['GenericVAE2'],Yearly,1,6,30,5,1,True,1,43,52.569782,17.261868,3443.772217,29928886.000000,3.780276,4.094891,54.032692,914240,9.64,15,False,False,ReLU,MAX_EPOCHS,46.74382019,46.74382019,812.34350586,14,1.000000,False,"[""176.87669373"", ""163.57060242"", ""148.33857727"", ""137.27757263"", ""124.28263092"", ""114.93844604"", ""105.87960052"", ""90.46762848"", ""85.83089447"", ""74.67523956"", ""69.69453430"", ""61.76468658"", ""58.81663132"", ""51.47087860"", ""46.74382019""]",1,GenericVAE2,VAE2,,generic,32
baseline_r1,GenericVAE2_ld32,generic,['GenericVAE2'],Yearly,1,6,30,5,1,True,2,44,46.306847,15.170182,3079.883545,25663298.000000,3.325484,3.670290,41.872181,914240,9.60,15,False,False,ReLU,MAX_EPOCHS,42.02000046,42.02000046,804.47747803,14,1.000000,False,"[""178.30146790"", ""162.31536865"", ""144.92633057"", ""132.26571655"", ""121.11158752"", ""110.76371002"", ""102.34207916"", ""91.43427277"", ""77.98389435"", ""69.76091766"", ""64.04293060"", ""59.81349945"", ""54.33163452"", ""47.86459351"", ""42.02000046""]",1,GenericVAE2,VAE2,,generic,32
baseline_r1,GenericVAE_ld8,generic,['GenericVAE'],Yearly,1,6,30,5,1,True,0,42,25.081427,7.157362,1579.930908,7533215.000000,1.667915,1.664755,7.510346,1135440,9.58,15,False,False,ReLU,MAX_EPOCHS,23.73798370,30.99528313,128.22343445,10,1.305725,False,"[""196.19030762"", ""194.12124634"", ""190.57246399"", ""184.60745239"", ""176.69830322"", ""159.69541931"", ""123.07514191"", ""70.85597229"", ""37.25943756"", ""24.94256592"", ""23.73798370"", ""24.90056038"", ""28.61726570"", ""32.50022507"", ""30.99528313""]",1,GenericVAE,VAE1,,generic,8
