experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,basis_dim,basis_offset,thetas_dim
baseline,Coif2_bd15_lt_bcast_td3,basis_dim_sweep,"['Trend', 'Coif2WaveletV3']",Yearly,1,6,30,10,1,True,0,42,13.471699,3.073073,821.931702,3129951.500000,0.798828,0.712902,1.864577,5103375,50.85,22,False,False,ReLU,EARLY_STOPPED,13.63600826,13.67411709,8.63672447,11,1.002795,False,"[""18.35009766"", ""13.92500305"", ""17.05872536"", ""14.77637100"", ""14.52017689"", ""15.82716274"", ""14.04992390"", ""15.23319054"", ""14.24015522"", ""14.76321316"", ""13.94921207"", ""13.63600826"", ""13.89955997"", ""13.70501614"", ""13.77379036"", ""14.19240189"", ""13.95668983"", ""13.71315861"", ""14.20670795"", ""14.18771076"", ""13.83596897"", ""13.67411709""]",15,0,3
baseline,Coif2_bd15_lt_bcast_td3,basis_dim_sweep,"['Trend', 'Coif2WaveletV3']",Yearly,1,6,30,10,1,True,1,43,13.625048,3.176539,835.745483,3170810.750000,0.816537,0.730156,1.899461,5103375,53.87,23,False,False,ReLU,EARLY_STOPPED,13.53241825,13.78926754,8.91859913,12,1.018980,False,"[""19.66372681"", ""14.15220356"", ""14.47753239"", ""13.77782345"", ""13.81629181"", ""13.82794285"", ""13.87945652"", ""14.13414383"", ""14.27265930"", ""14.50435829"", ""13.70926857"", ""14.07800293"", ""13.53241825"", ""13.81589413"", ""14.54965782"", ""13.81008053"", ""13.75709629"", ""13.97001934"", ""14.00956917"", ""13.65716171"", ""13.69731808"", ""13.79257584"", ""13.78926754""]",15,0,3
baseline,Coif2_bd15_lt_bcast_td3,basis_dim_sweep,"['Trend', 'Coif2WaveletV3']",Yearly,1,6,30,10,1,True,2,44,13.591743,3.133134,838.438782,3281569.000000,0.810057,0.724485,1.885746,5103375,39.31,16,False,False,ReLU,EARLY_STOPPED,13.59168434,13.69692898,9.59883690,5,1.007743,False,"[""14.24219608"", ""17.20930290"", ""14.00396061"", ""14.45008278"", ""13.81655025"", ""13.59168434"", ""13.65291595"", ""14.92779350"", ""15.36210442"", ""13.73433113"", ""13.64861679"", ""14.48091888"", ""13.67491531"", ""13.67621994"", ""14.13321590"", ""13.69692898""]",15,0,3
baseline,Coif2_bd15_lt_bcast_td5,basis_dim_sweep,"['Trend', 'Coif2WaveletV3']",Yearly,1,6,30,10,1,True,0,42,13.622414,3.151732,842.444519,3281703.750000,0.813336,0.721771,1.872921,5105945,54.85,23,False,False,ReLU,EARLY_STOPPED,13.54168034,13.95486927,9.47346401,12,1.030512,False,"[""14.57399178"", ""14.48229218"", ""15.24532032"", ""14.94758415"", ""14.53229904"", ""14.99633598"", ""13.78768063"", ""14.03718853"", ""14.37216282"", ""14.05413437"", ""13.98801517"", ""14.32818317"", ""13.54168034"", ""13.70799637"", ""13.74656391"", ""14.57117939"", ""14.74494839"", ""14.66500664"", ""14.06849480"", ""13.83919430"", ""14.05277157"", ""14.01048279"", ""13.95486927""]",15,0,5
baseline,Coif2_bd15_lt_bcast_td5,basis_dim_sweep,"['Trend', 'Coif2WaveletV3']",Yearly,1,6,30,10,1,True,1,43,13.405945,3.059383,825.845459,3236397.000000,0.795093,0.708271,1.839651,5105945,41.10,17,False,False,ReLU,EARLY_STOPPED,13.60056782,13.71908569,10.31000900,6,1.008714,False,"[""16.37821198"", ""13.88399887"", ""13.70500565"", ""13.86513615"", ""13.81128979"", ""14.01910496"", ""13.60056782"", ""14.07609081"", ""14.48079109"", ""13.89851093"", ""14.06475544"", ""13.90043068"", ""13.67624283"", ""13.81151772"", ""13.76282024"", ""13.71232510"", ""13.71908569""]",15,0,5
baseline,Coif2_bd15_lt_bcast_td5,basis_dim_sweep,"['Trend', 'Coif2WaveletV3']",Yearly,1,6,30,10,1,True,2,44,13.624466,3.145281,841.887756,3270731.500000,0.812587,0.719685,1.840666,5105945,56.09,25,False,False,ReLU,EARLY_STOPPED,13.53440380,14.09193516,9.35890007,14,1.041194,False,"[""15.22493458"", ""13.74692917"", ""15.59318352"", ""14.02496719"", ""14.37327480"", ""13.94031811"", ""14.18536186"", ""13.66485691"", ""14.03245831"", ""14.78779507"", ""13.88456154"", ""14.09441566"", ""13.65743446"", ""13.61337185"", ""13.53440380"", ""13.70896339"", ""14.41277218"", ""14.65207577"", ""13.79910755"", ""13.86821842"", ""14.58753300"", ""14.08311272"", ""14.11542416"", ""13.92135334"", ""14.09193516""]",15,0,5
baseline,Coif2_bd30_eq_bcast_td3,basis_dim_sweep,"['Trend', 'Coif2WaveletV3']",Yearly,1,6,30,10,1,True,0,42,13.588765,3.151592,842.107727,3230117.000000,0.812288,0.720726,1.858105,5141775,57.63,25,False,False,ReLU,EARLY_STOPPED,13.56667900,14.08943367,8.75291634,14,1.038532,False,"[""16.76704788"", ""13.81048203"", ""14.14050674"", ""14.03198338"", ""13.78528500"", ""14.09138203"", ""13.60371780"", ""13.96973896"", ""14.48817921"", ""13.58057213"", ""13.93141842"", ""14.55066013"", ""13.60020351"", ""13.72528362"", ""13.56667900"", ""13.96124744"", ""14.70018101"", ""14.56486320"", ""13.88369274"", ""14.03608036"", ""14.18430805"", ""13.69992161"", ""14.00192261"", ""14.27017212"", ""14.08943367""]",30,0,3
baseline,Coif2_bd30_eq_bcast_td3,basis_dim_sweep,"['Trend', 'Coif2WaveletV3']",Yearly,1,6,30,10,1,True,1,43,13.560197,3.143018,840.120789,3259268.250000,0.810336,0.717095,1.846321,5141775,39.53,17,False,False,ReLU,EARLY_STOPPED,13.47595406,14.27257347,9.02708721,6,1.059114,False,"[""14.80644035"", ""14.68202019"", ""16.81836510"", ""13.89402008"", ""13.91105938"", ""14.54424763"", ""13.47595406"", ""13.76680470"", ""14.22306538"", ""13.78653526"", ""13.94722652"", ""13.90233994"", ""14.14890862"", ""14.04895210"", ""14.45252132"", ""13.79030037"", ""14.27257347""]",30,0,3
baseline,Coif2_bd30_eq_bcast_td3,basis_dim_sweep,"['Trend', 'Coif2WaveletV3']",Yearly,1,6,30,10,1,True,2,44,13.542054,3.126176,836.371948,3293714.750000,0.807662,0.723510,1.870814,5141775,36.34,15,False,False,ReLU,EARLY_STOPPED,13.65603542,14.04896355,9.58717346,4,1.028773,False,"[""16.50299644"", ""13.94199276"", ""15.35276794"", ""14.89855194"", ""13.65603542"", ""14.34533787"", ""14.85982704"", ""13.73519325"", ""13.87421322"", ""13.79420471"", ""14.37746716"", ""14.97124958"", ""14.52247143"", ""13.92436314"", ""14.04896355""]",30,0,3
baseline,Coif2_bd30_eq_bcast_td5,basis_dim_sweep,"['Trend', 'Coif2WaveletV3']",Yearly,1,6,30,10,1,True,0,42,13.367539,3.049843,818.202576,3148613.250000,0.792718,0.710233,1.852933,5144345,53.10,23,False,False,ReLU,EARLY_STOPPED,13.70945358,14.06556129,9.35857773,12,1.025975,False,"[""20.65436745"", ""15.71098232"", ""15.87844276"", ""13.81894875"", ""14.08742428"", ""14.63084412"", ""14.19207382"", ""13.96491146"", ""13.95808411"", ""13.79663467"", ""13.88361168"", ""13.77893925"", ""13.70945358"", ""14.01110458"", ""14.43836403"", ""14.34945488"", ""13.84950161"", ""14.09451675"", ""13.88585567"", ""14.26316738"", ""14.01662540"", ""14.00018501"", ""14.06556129""]",30,0,5
baseline,Coif2_bd30_eq_bcast_td5,basis_dim_sweep,"['Trend', 'Coif2WaveletV3']",Yearly,1,6,30,10,1,True,1,43,13.851213,3.246503,851.598145,3220925.750000,0.832260,0.731780,1.863780,5144345,62.52,27,False,False,ReLU,EARLY_STOPPED,13.54431534,14.20055389,8.26224613,16,1.048451,False,"[""15.76429081"", ""13.81309509"", ""15.05698681"", ""13.77512360"", ""14.70088863"", ""14.02964306"", ""14.49468994"", ""13.85950565"", ""14.91184235"", ""14.70969200"", ""15.57996750"", ""13.66883469"", ""13.82490253"", ""14.94220257"", ""14.43114567"", ""13.92214012"", ""13.54431534"", ""13.79053783"", ""14.10283470"", ""13.72495937"", ""14.20565224"", ""13.99415207"", ""13.95685863"", ""14.26014900"", ""13.83224869"", ""13.86321735"", ""14.20055389""]",30,0,5
baseline,Coif2_bd30_eq_bcast_td5,basis_dim_sweep,"['Trend', 'Coif2WaveletV3']",Yearly,1,6,30,10,1,True,2,44,13.504934,3.092166,832.244019,3275411.500000,0.802247,0.715302,1.854570,5144345,37.90,16,False,False,ReLU,EARLY_STOPPED,13.60024357,14.58213139,8.64355946,5,1.072196,False,"[""13.92598057"", ""17.35938072"", ""15.62297153"", ""14.04263496"", ""13.77014637"", ""13.60024357"", ""15.99148941"", ""13.76149368"", ""14.00626659"", ""14.15094566"", ""13.78285599"", ""15.44573498"", ""13.62791348"", ""13.79631519"", ""13.95709801"", ""14.58213139""]",30,0,5
