experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,t_width,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,basis_dim,basis_offset
baseline,Coif2_off8,group_a,['Coif2WaveletV3'],Yearly,1,6,30,30,1,True,0,42,176.967163,39.092177,7323.403320,87955472.000000,10.332981,8.126308,130.700958,24376320,256,4.47,2,False,False,ReLU,MAX_EPOCHS,176.45025635,176.45025635,170.09681702,1,1.000000,False,"[""181.52392578"", ""176.45025635""]",16,8
baseline,Coif2_off0,group_a,['Coif2WaveletV3'],Yearly,1,6,30,30,1,True,0,42,68.857925,15.563436,3079.277344,21300984.000000,4.064936,3.141694,24.521587,24453120,256,4.57,2,False,False,ReLU,MAX_EPOCHS,70.83360291,70.83360291,88.51605988,1,1.000000,False,"[""105.09997559"", ""70.83360291""]",16,0
baseline,Coif2_off16,group_a,['Coif2WaveletV3'],Yearly,1,6,30,30,1,True,0,42,141.038132,52.449297,9784.563477,364296896.000000,10.914261,11.078198,605.208618,24345600,256,3.95,2,False,False,ReLU,MAX_EPOCHS,140.75776672,140.75776672,144.80752563,1,1.000000,False,"[""145.97541809"", ""140.75776672""]",16,16
baseline,Coif2_off24,group_a,['Coif2WaveletV3'],Yearly,1,6,30,30,1,True,0,42,139.645996,49.376229,9413.666992,342402176.000000,10.485020,10.481489,533.511230,24222720,256,4.06,2,False,False,ReLU,MAX_EPOCHS,140.15440369,140.15440369,140.91352844,1,1.000000,False,"[""143.65422058"", ""140.15440369""]",16,24
baseline,DB3_off0,group_a,['DB3WaveletV3'],Yearly,1,6,30,30,1,True,0,42,55.187439,17.479196,3343.665283,24385444.000000,3.887710,3.552538,36.661610,24453120,256,4.05,2,False,False,ReLU,MAX_EPOCHS,54.37584686,54.37584686,66.88688660,1,1.000000,False,"[""64.18405914"", ""54.37584686""]",16,0
baseline,DB3_off8,group_a,['DB3WaveletV3'],Yearly,1,6,30,30,1,True,0,42,109.763908,37.607865,7120.131836,131934448.000000,8.090077,8.028828,210.083786,24376320,256,4.02,2,False,False,ReLU,MAX_EPOCHS,110.07212067,110.07212067,110.10441589,1,1.000000,False,"[""113.35176849"", ""110.07212067""]",16,8
baseline,DB3_off16,group_a,['DB3WaveletV3'],Yearly,1,6,30,30,1,True,0,42,176.459351,59.819974,11215.273438,246048096.000000,12.925371,12.609033,391.012268,24345600,256,3.93,2,False,False,ReLU,MAX_EPOCHS,175.95504761,175.95504761,177.58766174,1,1.000000,False,"[""176.27789307"", ""175.95504761""]",16,16
baseline,DB3_off24,group_a,['DB3WaveletV3'],Yearly,1,6,30,30,1,True,0,42,171.849976,48.481391,9122.083008,163765104.000000,11.357746,10.107839,242.463776,24222720,256,4.06,2,False,False,ReLU,MAX_EPOCHS,171.91021729,171.91021729,172.63961792,1,1.000000,False,"[""176.95565796"", ""171.91021729""]",16,24
baseline,Trend+Coif2_LF,group_b,"['Trend', 'Coif2WaveletV3']",Yearly,1,6,30,30,1,True,0,42,36.543884,12.743570,2490.726562,12705537.000000,2.721465,3.138544,29.157913,15325515,256,3.53,2,False,False,ReLU,MAX_EPOCHS,34.90109253,34.90109253,19.08952522,1,1.000000,False,"[""41.61560822"", ""34.90109253""]",16,0
baseline,Trend+Coif2_MF,group_b,"['Trend', 'Coif2WaveletV3']",Yearly,1,6,30,30,1,True,0,42,25.846508,7.555734,1565.277954,6580390.500000,1.741446,2.036829,13.999270,15271755,256,3.66,2,False,False,ReLU,MAX_EPOCHS,25.27259254,25.27259254,20.04015541,1,1.000000,False,"[""36.55363464"", ""25.27259254""]",16,16
baseline,Trend+DB3_LF,group_b,"['Trend', 'DB3WaveletV3']",Yearly,1,6,30,30,1,True,0,42,27.349937,8.326193,1708.909912,7223343.500000,1.884382,2.151371,14.757679,15325515,256,3.61,2,False,False,ReLU,MAX_EPOCHS,26.37662697,26.37662697,19.67839813,1,1.000000,False,"[""35.63080597"", ""26.37662697""]",16,0
baseline,Trend+DB3_MF,group_b,"['Trend', 'DB3WaveletV3']",Yearly,1,6,30,30,1,True,0,42,34.173878,11.735188,2213.155273,10154419.000000,2.522080,2.884602,23.902437,15271755,256,3.78,2,False,False,ReLU,MAX_EPOCHS,31.64149666,31.64149666,30.91825485,1,1.000000,False,"[""34.73615265"", ""31.64149666""]",16,16
baseline,Coif2_3tier_pure,group_c,['Coif2WaveletV3'],Yearly,1,6,30,30,1,True,0,42,82.346939,21.355982,3882.764160,30594174.000000,5.206451,4.460498,52.042847,24314880,256,4.03,2,False,False,ReLU,MAX_EPOCHS,79.11538696,79.11538696,105.33605957,1,1.000000,False,"[""140.32092285"", ""79.11538696""]",16,0
baseline,DB3_3tier_pure,group_c,['DB3WaveletV3'],Yearly,1,6,30,30,1,True,0,42,39.227222,15.984959,3017.908447,25066284.000000,3.211389,3.609351,54.972347,24314880,256,4.24,2,False,False,ReLU,MAX_EPOCHS,38.83823013,38.83823013,39.29657364,1,1.000000,False,"[""57.88766861"", ""38.83823013""]",16,0
baseline,Coif2_3tier_stable,group_c,"['Trend', 'Coif2WaveletV3']",Yearly,1,6,30,45,1,True,0,42,29.611412,9.227868,1880.489868,9044960.000000,2.067021,2.556120,23.136093,27413835,256,4.39,2,False,False,ReLU,MAX_EPOCHS,28.54117393,28.54117393,24.32327080,1,1.000000,False,"[""49.59307480"", ""28.54117393""]",16,0
baseline,DB3_3tier_stable,group_c,"['Trend', 'DB3WaveletV3']",Yearly,1,6,30,45,1,True,0,42,30.970366,9.911836,1980.370728,8729184.000000,2.194655,2.554802,20.114006,27413835,256,4.44,2,False,False,ReLU,MAX_EPOCHS,28.92177200,28.92177200,18.85090828,1,1.000000,False,"[""35.40554047"", ""28.92177200""]",16,0
activeG_fcast,Coif2_off0,group_a,['Coif2WaveletV3'],Yearly,1,6,30,30,1,True,0,42,28.815825,9.132378,1828.853882,8481348.000000,2.030665,2.215079,16.460558,24453120,256,4.06,2,forecast,False,ReLU,MAX_EPOCHS,29.69893456,29.69893456,46.38589859,1,1.000000,False,"[""34.16405106"", ""29.69893456""]",16,0
activeG_fcast,Coif2_off8,group_a,['Coif2WaveletV3'],Yearly,1,6,30,30,1,True,0,42,116.513802,23.320557,4448.840332,36646372.000000,6.498999,5.081496,57.074860,24376320,256,4.15,2,forecast,False,ReLU,MAX_EPOCHS,117.12731171,117.12731171,113.90391541,1,1.000000,False,"[""117.19595337"", ""117.12731171""]",16,8
activeG_fcast,Coif2_off16,group_a,['Coif2WaveletV3'],Yearly,1,6,30,30,1,True,0,42,114.175224,20.466904,3943.780273,32395536.000000,6.068408,4.221957,39.932552,24345600,256,4.04,2,forecast,False,ReLU,MAX_EPOCHS,114.87200165,114.87200165,108.56675720,1,1.000000,False,"[""116.59462738"", ""114.87200165""]",16,16
activeG_fcast,Coif2_off24,group_a,['Coif2WaveletV3'],Yearly,1,6,30,30,1,True,0,42,109.956726,19.392361,3750.756836,30678572.000000,5.804142,4.143623,40.585011,24222720,256,4.23,2,forecast,False,ReLU,MAX_EPOCHS,111.24182892,111.24182892,115.84250641,1,1.000000,False,"[""114.74343109"", ""111.24182892""]",16,24
activeG_fcast,DB3_off0,group_a,['DB3WaveletV3'],Yearly,1,6,30,30,1,True,0,42,35.840038,9.215995,2058.926758,10193166.000000,2.256099,1.700756,5.083095,24453120,256,3.46,2,forecast,False,ReLU,MAX_EPOCHS,38.55706787,46.76852036,67.68009186,0,1.212969,False,"[""38.55706787"", ""46.76852036""]",16,0
activeG_fcast,DB3_off8,group_a,['DB3WaveletV3'],Yearly,1,6,30,30,1,True,0,42,82.110847,21.264684,4108.133789,40769968.000000,5.187740,4.679886,69.906197,24376320,256,3.59,2,forecast,False,ReLU,MAX_EPOCHS,83.01358795,83.31874847,92.63803864,0,1.003676,False,"[""83.01358795"", ""83.31874847""]",16,8
activeG_fcast,DB3_off16,group_a,['DB3WaveletV3'],Yearly,1,6,30,30,1,True,0,42,81.104958,19.787978,3817.999268,33171702.000000,4.971169,4.220171,52.537350,24345600,256,4.04,2,forecast,False,ReLU,MAX_EPOCHS,81.81940460,81.81940460,81.56124115,1,1.000000,False,"[""94.93201447"", ""81.81940460""]",16,16
activeG_fcast,DB3_off24,group_a,['DB3WaveletV3'],Yearly,1,6,30,30,1,True,0,42,84.402863,19.105840,3678.840088,27801754.000000,4.986246,3.987597,39.898926,24222720,256,4.10,2,forecast,False,ReLU,MAX_EPOCHS,85.01300049,85.01300049,85.18149567,1,1.000000,False,"[""92.87213898"", ""85.01300049""]",16,24
activeG_fcast,Trend+Coif2_LF,group_b,"['Trend', 'Coif2WaveletV3']",Yearly,1,6,30,30,1,True,0,42,23.535589,6.829591,1505.696045,6081125.500000,1.579379,1.591642,6.945260,15325515,256,3.57,2,forecast,False,ReLU,MAX_EPOCHS,22.41504860,22.41504860,15.49993610,1,1.000000,False,"[""26.93129539"", ""22.41504860""]",16,0
