experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,basis_dim,basis_offset,trend_thetas_dim_cfg,wavelet_family,bd_label,latent_dim_cfg,trend_block
wavelet_trendae_comparison,DB20_bd15_lt_bcast_ttd3_ld2,wavelet_trendae_comparison,"['TrendAE', 'DB20WaveletV3']",Yearly,1,6,30,10,1,True,0,42,13.424873,3.046967,827.927856,3277059.250000,0.794110,0.707674,1.849034,4264985,201.01,43,False,False,ReLU,EARLY_STOPPED,13.65264702,13.79531002,9.52567577,32,1.010449,False,"[""35.09751129"", ""28.13512993"", ""22.43598938"", ""21.62701797"", ""21.18522835"", ""17.63872719"", ""15.72192574"", ""15.48360729"", ""15.99341011"", ""15.13313484"", ""18.76308823"", ""16.30730629"", ""15.51930141"", ""14.63281631"", ""15.44506836"", ""14.98955536"", ""14.58305073"", ""14.86150360"", ""15.75791073"", ""14.21764660"", ""14.21895695"", ""14.74676323"", ""13.88829613"", ""14.69139767"", ""14.94293308"", ""15.15912819"", ""14.63253784"", ""14.51312256"", ""14.14547825"", ""13.96145248"", ""14.28412914"", ""13.75142956"", ""13.65264702"", ""13.84825039"", ""13.74545288"", ""13.68605042"", ""13.65725422"", ""14.05822945"", ""13.86585426"", ""13.69118309"", ""13.68945122"", ""13.78307343"", ""13.79531002""]",15,0,3,DB20WaveletV3,lt_bcast,2,TrendAE
wavelet_trendae_comparison,DB20_bd15_lt_bcast_ttd3_ld2,wavelet_trendae_comparison,"['TrendAE', 'DB20WaveletV3']",Yearly,1,6,30,10,1,True,1,43,13.466417,3.083356,833.065613,3295722.750000,0.799960,0.711259,1.847103,4264985,234.76,50,False,False,ReLU,MAX_EPOCHS,13.53754234,13.62199020,9.45853043,40,1.006238,False,"[""66.87744904"", ""30.55724144"", ""29.83517456"", ""23.24381065"", ""21.27921104"", ""18.94104195"", ""21.01976776"", ""16.60653877"", ""17.01124382"", ""15.41819859"", ""14.78449726"", ""15.28801537"", ""14.63381958"", ""15.14171219"", ""15.27529716"", ""15.06253433"", ""14.53112793"", ""17.88229561"", ""15.95214272"", ""17.86445999"", ""14.97768211"", ""14.46965504"", ""14.77727413"", ""15.14434338"", ""16.18688202"", ""13.98406219"", ""14.17596054"", ""13.80262089"", ""14.02579212"", ""14.39616203"", ""14.45429516"", ""13.74295235"", ""14.17724895"", ""13.62978649"", ""13.62788200"", ""13.85663414"", ""13.69243240"", ""13.61098194"", ""13.74511242"", ""13.78278637"", ""13.53754234"", ""13.94822788"", ""13.56363678"", ""13.58428288"", ""13.59656429"", ""13.96407318"", ""13.95536041"", ""13.78217506"", ""13.65211582"", ""13.62199020""]",15,0,3,DB20WaveletV3,lt_bcast,2,TrendAE
wavelet_trendae_comparison,DB20_bd15_lt_bcast_ttd3_ld2,wavelet_trendae_comparison,"['TrendAE', 'DB20WaveletV3']",Yearly,1,6,30,10,1,True,2,44,13.460467,3.071472,832.269531,3318443.500000,0.798283,0.711680,1.862649,4264985,237.51,50,False,False,ReLU,MAX_EPOCHS,13.65663719,13.68980980,9.54317188,43,1.002429,False,"[""29.04985237"", ""26.16104698"", ""20.65501595"", ""18.60299873"", ""20.00901031"", ""17.04503250"", ""16.19877434"", ""15.75901794"", ""15.87846565"", ""15.78907108"", ""16.00055695"", ""14.96637535"", ""14.98877430"", ""14.56369305"", ""17.63051414"", ""16.20112610"", ""17.07764626"", ""17.94597435"", ""15.79717827"", ""15.20688725"", ""17.94296646"", ""14.14234066"", ""14.62577820"", ""16.30874062"", ""14.39196968"", ""15.53313446"", ""13.84736729"", ""14.31976318"", ""14.13470364"", ""14.13177872"", ""13.75641346"", ""14.17461586"", ""13.83762264"", ""14.54054737"", ""13.91069126"", ""14.03369808"", ""14.11403084"", ""13.71169662"", ""14.23570251"", ""13.71116257"", ""13.70372868"", ""13.91621304"", ""13.79831696"", ""13.65663719"", ""13.86075306"", ""13.72623539"", ""13.69529247"", ""13.69091415"", ""13.68433189"", ""13.68980980""]",15,0,3,DB20WaveletV3,lt_bcast,2,TrendAE
wavelet_trendae_comparison,DB20_bd15_lt_bcast_ttd3_ld5,wavelet_trendae_comparison,"['TrendAE', 'DB20WaveletV3']",Yearly,1,6,30,10,1,True,0,42,13.592996,3.073270,831.810059,3298246.000000,0.802564,0.720391,1.893336,4268840,130.28,29,False,False,ReLU,EARLY_STOPPED,13.89204788,15.48392296,10.66728306,18,1.114589,False,"[""38.39635468"", ""29.27441025"", ""23.25545311"", ""21.25028419"", ""16.05736732"", ""17.12913513"", ""17.94857788"", ""16.37065887"", ""15.82795811"", ""14.94627762"", ""15.30777073"", ""14.65810966"", ""14.54475498"", ""14.24510098"", ""13.90585232"", ""14.04639435"", ""14.45056534"", ""14.00362682"", ""13.89204788"", ""13.89813423"", ""14.45359135"", ""14.44786167"", ""15.04492950"", ""14.72538757"", ""14.41477203"", ""20.12114716"", ""17.37266731"", ""22.69624901"", ""15.48392296""]",15,0,3,DB20WaveletV3,lt_bcast,5,TrendAE
wavelet_trendae_comparison,DB20_bd15_lt_bcast_ttd3_ld5,wavelet_trendae_comparison,"['TrendAE', 'DB20WaveletV3']",Yearly,1,6,30,10,1,True,1,43,13.652476,3.129566,843.812012,3368204.750000,0.811466,0.725383,1.878000,4268840,174.68,39,False,False,ReLU,EARLY_STOPPED,13.65928364,14.68911457,9.79098988,28,1.075394,False,"[""29.21557808"", ""26.24917030"", ""22.52635002"", ""18.30025101"", ""17.78222084"", ""19.80613136"", ""16.39276123"", ""17.51669121"", ""15.25565720"", ""16.49783325"", ""16.98195267"", ""17.35274887"", ""15.61441135"", ""16.64286041"", ""16.93158150"", ""15.07422733"", ""16.57094002"", ""15.08689785"", ""14.38287735"", ""14.09667492"", ""13.99385834"", ""14.59757042"", ""13.87086582"", ""13.92547035"", ""14.15086269"", ""14.34422684"", ""13.80940628"", ""13.66638279"", ""13.65928364"", ""15.13155556"", ""14.50816345"", ""14.80705452"", ""15.02241802"", ""15.07028675"", ""13.96876526"", ""15.44814491"", ""13.96216583"", ""13.84978485"", ""14.68911457""]",15,0,3,DB20WaveletV3,lt_bcast,5,TrendAE
wavelet_trendae_comparison,DB20_bd15_lt_bcast_ttd3_ld5,wavelet_trendae_comparison,"['TrendAE', 'DB20WaveletV3']",Yearly,1,6,30,10,1,True,2,44,13.682640,3.124852,832.950867,3223128.000000,0.811796,0.725345,1.912643,4268840,124.61,28,False,False,ReLU,EARLY_STOPPED,14.27341938,15.53523731,10.43334770,17,1.088403,False,"[""30.78278351"", ""26.84645653"", ""22.15089607"", ""18.26881599"", ""31.03847504"", ""21.17896461"", ""17.26531410"", ""22.06929588"", ""21.24661446"", ""18.47500610"", ""16.31674385"", ""14.88093472"", ""15.04343605"", ""15.68608379"", ""14.59144974"", ""14.31077480"", ""14.74882698"", ""14.27341938"", ""14.93238831"", ""16.96753120"", ""16.36242485"", ""15.26133823"", ""14.64175701"", ""14.71135044"", ""17.13767242"", ""14.64684486"", ""14.47031212"", ""15.53523731""]",15,0,3,DB20WaveletV3,lt_bcast,5,TrendAE
wavelet_trendae_comparison,DB20_bd15_lt_bcast_ttd3_ld8,wavelet_trendae_comparison,"['TrendAE', 'DB20WaveletV3']",Yearly,1,6,30,10,1,True,0,42,14.658947,3.427493,902.038025,3500089.250000,0.879745,0.795075,2.089565,4272695,85.43,19,False,False,ReLU,EARLY_STOPPED,14.96497726,15.07668495,10.56062794,8,1.007465,False,"[""32.27936172"", ""27.93402672"", ""21.99159431"", ""17.86528206"", ""17.77785683"", ""16.14999199"", ""17.17156601"", ""16.55436516"", ""14.96497726"", ""20.51874161"", ""18.77327919"", ""16.16416359"", ""16.97720146"", ""15.13661385"", ""16.23382568"", ""15.75174618"", ""16.86115265"", ""15.31605339"", ""15.07668495""]",15,0,3,DB20WaveletV3,lt_bcast,8,TrendAE
wavelet_trendae_comparison,DB20_bd15_lt_bcast_ttd3_ld8,wavelet_trendae_comparison,"['TrendAE', 'DB20WaveletV3']",Yearly,1,6,30,10,1,True,1,43,14.024607,3.296487,857.003113,3317651.250000,0.843854,0.769103,2.014992,4272695,130.98,29,False,False,ReLU,EARLY_STOPPED,13.91756344,15.64711380,10.78445721,18,1.124271,False,"[""29.16931725"", ""28.05671120"", ""22.34670067"", ""19.60815239"", ""17.02943039"", ""16.27966690"", ""15.59819984"", ""15.31445694"", ""15.34197521"", ""15.03565598"", ""14.79530144"", ""15.66640663"", ""16.36039162"", ""15.36443520"", ""14.83138847"", ""14.14347458"", ""16.29089928"", ""14.14587879"", ""13.91756344"", ""14.15988541"", ""15.00998688"", ""16.10027695"", ""17.17192459"", ""20.30386353"", ""18.61837006"", ""19.52021217"", ""16.89261246"", ""18.54912186"", ""15.64711380""]",15,0,3,DB20WaveletV3,lt_bcast,8,TrendAE
wavelet_trendae_comparison,DB20_bd15_lt_bcast_ttd3_ld8,wavelet_trendae_comparison,"['TrendAE', 'DB20WaveletV3']",Yearly,1,6,30,10,1,True,2,44,13.904751,3.193148,855.040466,3314366.250000,0.827185,0.735121,1.923658,4272695,117.47,26,False,False,ReLU,EARLY_STOPPED,14.10208035,16.46521759,11.70073700,15,1.167574,False,"[""30.29303169"", ""26.91250801"", ""23.06322098"", ""19.79315186"", ""20.09772873"", ""17.56480026"", ""18.32731819"", ""19.61042976"", ""20.05009270"", ""15.02134514"", ""15.59099770"", ""17.01264000"", ""16.33609772"", ""15.03052139"", ""14.61920547"", ""14.10208035"", ""15.30426121"", ""17.73732185"", ""17.51206970"", ""22.39860344"", ""15.65005589"", ""20.14058876"", ""15.83438683"", ""17.23676300"", ""14.98804855"", ""16.46521759""]",15,0,3,DB20WaveletV3,lt_bcast,8,TrendAE
wavelet_trendae_comparison,Coif2_bd4_lt_fcast_ttd3_ld2,wavelet_trendae_comparison,"['TrendAE', 'Coif2WaveletV3']",Yearly,1,6,30,10,1,True,0,42,13.520767,3.079805,834.964478,3314436.250000,0.801176,0.715869,1.862589,4231705,224.29,50,False,False,ReLU,MAX_EPOCHS,13.67007923,13.74838543,9.54066753,43,1.005728,False,"[""73.58345795"", ""35.42211533"", ""29.99320602"", ""23.20043945"", ""22.53047943"", ""19.33442879"", ""18.12914276"", ""17.09411621"", ""17.03231812"", ""15.77371979"", ""15.88125515"", ""16.54451561"", ""15.67266464"", ""15.23248100"", ""14.63691616"", ""14.65981483"", ""15.32845020"", ""16.36562729"", ""16.39125633"", ""14.42804337"", ""14.48675442"", ""14.47590733"", ""14.11866283"", ""14.39951992"", ""14.31982708"", ""14.36687660"", ""14.07654667"", ""13.91109085"", ""14.12892437"", ""13.82563877"", ""14.51700497"", ""14.13844681"", ""14.20953846"", ""13.88607025"", ""13.77632427"", ""14.02700424"", ""13.68301105"", ""14.11942959"", ""13.99746227"", ""13.74038219"", ""13.85076523"", ""13.83025646"", ""13.77832031"", ""13.67007923"", ""13.78195000"", ""13.77702808"", ""13.69414902"", ""13.71038818"", ""13.74403095"", ""13.74838543""]",4,0,3,Coif2WaveletV3,lt_fcast,2,TrendAE
