experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,t_width,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,search_round,basis_dim,basis_offset,trend_thetas_dim_cfg,wavelet_family,bd_label,latent_dim_cfg,meta_predicted_best,meta_convergence_score
wavelet_v3ae_search_r1,Haar_eq_fcast_ttd3_ld2,wavelet_v3ae_search,"['TrendAE', 'HaarWaveletV3AE']",Yearly,1,6,30,10,1,True,1,43,16.137926,3.697353,954.751648,3617862.750000,0.958949,0.870173,2.408479,926755,256,8.43,10,False,False,ReLU,MAX_EPOCHS,16.67547417,16.67547417,12.99613285,9,1.000000,False,"[""55.58391190"", ""27.61718559"", ""28.40593719"", ""23.79990578"", ""22.61945152"", ""21.10799026"", ""20.31991386"", ""18.13215446"", ""17.12167358"", ""16.67547417""]",1,6,0,3,HaarWaveletV3AE,eq_fcast,2,19.02804933,0.34233016
wavelet_v3ae_search_r1,Haar_eq_fcast_ttd3_ld2,wavelet_v3ae_search,"['TrendAE', 'HaarWaveletV3AE']",Yearly,1,6,30,10,1,True,0,42,15.578495,3.509887,922.554321,3517605.750000,0.918246,0.837699,2.302826,926755,256,8.46,10,False,False,ReLU,MAX_EPOCHS,15.93402195,15.93402195,12.47133350,9,1.000000,False,"[""66.74473572"", ""32.76843262"", ""33.54566956"", ""24.45370865"", ""23.02940559"", ""20.33852196"", ""18.95499420"", ""18.23828697"", ""17.56124306"", ""15.93402195""]",1,6,0,3,HaarWaveletV3AE,eq_fcast,2,17.91300298,0.26838076
wavelet_v3ae_search_r1,Haar_eq_fcast_ttd3_ld2,wavelet_v3ae_search,"['TrendAE', 'HaarWaveletV3AE']",Yearly,1,6,30,10,1,True,2,44,20.105795,5.285124,1164.056152,4372961.500000,1.280120,1.311963,5.079262,926755,256,7.77,10,False,False,ReLU,MAX_EPOCHS,21.48081398,21.48081398,17.64148712,9,1.000000,False,"[""69.20291901"", ""30.17116547"", ""42.31772614"", ""43.98652649"", ""26.63388824"", ""24.48872757"", ""25.31569862"", ""23.35304832"", ""22.36025810"", ""21.48081398""]",1,6,0,3,HaarWaveletV3AE,eq_fcast,2,20.85114399,0.30130440
wavelet_v3ae_search_r1,Haar_eq_fcast_ttd3_ld5,wavelet_v3ae_search,"['TrendAE', 'HaarWaveletV3AE']",Yearly,1,6,30,10,1,True,0,42,15.558520,3.621308,927.911133,3506556.750000,0.931654,0.845193,2.334444,938305,256,7.78,10,False,False,ReLU,MAX_EPOCHS,15.89524174,15.89524174,12.05101204,9,1.000000,False,"[""66.25363159"", ""28.63577080"", ""29.82687950"", ""24.00383759"", ""23.09670067"", ""20.66272926"", ""19.20524025"", ""17.78893471"", ""18.57270813"", ""15.89524174""]",1,6,0,3,HaarWaveletV3AE,eq_fcast,5,18.17465912,0.27431944
wavelet_v3ae_search_r1,Haar_eq_fcast_ttd3_ld5,wavelet_v3ae_search,"['TrendAE', 'HaarWaveletV3AE']",Yearly,1,6,30,10,1,True,2,44,17.220913,4.060027,1010.379578,3800569.250000,1.037715,0.978633,2.954688,938305,256,7.79,10,False,False,ReLU,MAX_EPOCHS,18.93255234,19.50603104,14.55638218,8,1.030291,False,"[""84.98599243"", ""32.11067581"", ""44.17344666"", ""37.01586914"", ""25.51068687"", ""23.38963509"", ""20.82033157"", ""21.13216209"", ""18.93255234"", ""19.50603104""]",1,6,0,3,HaarWaveletV3AE,eq_fcast,5,20.45726361,0.24071336
wavelet_v3ae_search_r1,Haar_eq_fcast_ttd3_ld5,wavelet_v3ae_search,"['TrendAE', 'HaarWaveletV3AE']",Yearly,1,6,30,10,1,True,1,43,16.550016,3.907922,977.433960,3647946.500000,0.998051,0.911726,2.586505,938305,256,7.88,10,False,False,ReLU,MAX_EPOCHS,16.43530655,16.43530655,12.59401035,9,1.000000,False,"[""98.77861023"", ""34.69728470"", ""35.49761963"", ""26.93825340"", ""22.90404892"", ""21.47928238"", ""20.20543480"", ""17.59695435"", ""16.88742065"", ""16.43530655""]",1,6,0,3,HaarWaveletV3AE,eq_fcast,5,18.31556735,0.18542038
wavelet_v3ae_search_r1,Haar_eq_fcast_ttd3_ld8,wavelet_v3ae_search,"['TrendAE', 'HaarWaveletV3AE']",Yearly,1,6,30,10,1,True,0,42,15.078944,3.422157,900.363098,3423618.000000,0.891924,0.793517,2.107824,949855,256,7.85,10,False,False,ReLU,MAX_EPOCHS,15.48692894,15.48692894,11.69261742,9,1.000000,False,"[""69.18092346"", ""29.86397743"", ""33.91861725"", ""25.10733223"", ""23.85597610"", ""21.15068054"", ""19.04686928"", ""17.71678543"", ""16.44180489"", ""15.48692894""]",1,6,0,3,HaarWaveletV3AE,eq_fcast,8,18.58929787,0.26870555
wavelet_v3ae_search_r1,Haar_eq_fcast_ttd3_ld8,wavelet_v3ae_search,"['TrendAE', 'HaarWaveletV3AE']",Yearly,1,6,30,10,1,True,1,43,15.115767,3.591212,921.653137,3500328.750000,0.914321,0.815719,2.161132,949855,256,7.88,10,False,False,ReLU,MAX_EPOCHS,15.37572193,15.37572193,11.52223301,9,1.000000,False,"[""57.61626816"", ""28.76869202"", ""33.34565735"", ""25.78012848"", ""23.93363380"", ""20.64817429"", ""18.75978470"", ""17.43942261"", ""16.72065353"", ""15.37572193""]",1,6,0,3,HaarWaveletV3AE,eq_fcast,8,18.42794165,0.31983921
wavelet_v3ae_search_r1,Haar_eq_fcast_ttd3_ld8,wavelet_v3ae_search,"['TrendAE', 'HaarWaveletV3AE']",Yearly,1,6,30,10,1,True,2,44,14.885855,3.433782,890.540588,3376248.000000,0.887479,0.801965,2.178785,949855,256,7.83,10,False,False,ReLU,MAX_EPOCHS,15.77936649,15.77936649,11.69806671,9,1.000000,False,"[""68.78412628"", ""28.81416321"", ""37.99192429"", ""26.06644630"", ""24.49717903"", ""22.32508278"", ""19.72384071"", ""17.98252678"", ""16.07728958"", ""15.77936649""]",1,6,0,3,HaarWaveletV3AE,eq_fcast,8,19.77520425,0.28749663
wavelet_v3ae_search_r1,Haar_eq_fcast_ttd5_ld2,wavelet_v3ae_search,"['TrendAE', 'HaarWaveletV3AE']",Yearly,1,6,30,10,1,True,0,42,16.280857,3.808840,973.002686,3636128.000000,0.977349,0.891841,2.524781,929325,256,7.99,10,False,False,ReLU,MAX_EPOCHS,16.49209976,16.49209976,12.70599365,9,1.000000,False,"[""47.93089294"", ""31.45563316"", ""28.67900085"", ""23.76777649"", ""22.71416092"", ""20.72400284"", ""20.97923470"", ""18.32890320"", ""17.42909241"", ""16.49209976""]",1,6,0,5,HaarWaveletV3AE,eq_fcast,2,18.98202767,0.39602908
