experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,t_width,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,arch_family,block_type_primary,backbone,stack_pattern,wavelet_family,basis_dim_label,latent_dim_cfg,trend_thetas_dim_cfg,skip_distance_cfg,active_g_cfg,kl_weight_cfg
comprehensive_sweep_milk,NBEATS-G_10s_ag0,paper_baseline,['Generic'],Milk,12,6,30,10,1,True,0,1396290395,2.828351,1.064318,22.911215,724.940979,nan,0.224084,0.069347,8222720,256,15.24,99,False,False,ReLU,DIVERGED,0.90059733,3.16278720,1.34641516,87,3.511877,True,"[""113.08118439"", ""51.16719437"", ""43.33992004"", ""46.85084152"", ""43.17502975"", ""39.98276901"", ""40.96080017"", ""35.77366638"", ""40.15177917"", ""35.89773178"", ""39.30723190"", ""37.85688400"", ""37.61827469"", ""35.33239365"", ""36.57748032"", ""36.84864044"", ""35.23191071"", ""35.92755127"", ""36.47845840"", ""36.57657623"", ""37.47542953"", ""38.08430099"", ""36.18017197"", ""36.32945633"", ""36.12590790"", ""35.42538452"", ""35.79927826"", ""36.16650772"", ""34.40439224"", ""34.77677917"", ""35.30740738"", ""34.88492584"", ""35.45901108"", ""36.05176163"", ""35.96044159"", ""37.66537476"", ""38.28482056"", ""35.42248154"", ""34.97308350"", ""34.34473419"", ""36.17914581"", ""37.69442749"", ""35.82446289"", ""34.34612274"", ""34.84455872"", ""35.89258957"", ""34.72089386"", ""34.81541824"", ""36.63077164"", ""37.82355499"", ""17.21351814"", ""8.26278210"", ""9.01542282"", ""5.62183475"", ""6.10246420"", ""3.43325543"", ""2.41184282"", ""4.21881485"", ""2.71932530"", ""2.91544604"", ""5.78563213"", ""5.82608271"", ""1.91999280"", ""3.72883749"", ""3.84961486"", ""1.33689141"", ""2.18725944"", ""3.79312420"", ""4.95908165"", ""2.24854350"", ""2.29033160"", ""2.54345155"", ""2.17406607"", ""3.79688287"", ""2.11015344"", ""3.85267210"", ""4.68401432"", ""1.81568038"", ""1.38441360"", ""4.26095533"", ""3.80754256"", ""1.88318324"", ""2.36777425"", ""1.25245678"", ""1.59052157"", ""3.78588223"", ""3.41371965"", ""0.90059733"", ""2.85500884"", ""3.50945401"", ""1.38720131"", ""2.06678343"", ""1.34622407"", ""2.60726428"", ""1.21181214"", ""1.72141767"", ""3.84608698"", ""2.74121666"", ""3.16278720""]",paper_baseline,Generic,RootBlock,homogeneous,,,,,0,False,
comprehensive_sweep_milk,NBEATS-G_10s_ag0,paper_baseline,['Generic'],Milk,12,6,30,10,1,True,1,1183423579,3.284506,1.242981,26.757242,841.134094,nan,0.261700,0.080462,8222720,256,15.65,95,False,False,ReLU,EARLY_STOPPED,0.97964370,2.06232405,1.16282845,74,2.105178,False,"[""130.10716248"", ""78.32662201"", ""76.49900055"", ""70.50870514"", ""47.70503235"", ""45.82416916"", ""42.38875961"", ""37.97365570"", ""38.23013306"", ""36.51234818"", ""36.26697540"", ""37.25432968"", ""37.37216949"", ""38.40157318"", ""36.66132355"", ""36.29536438"", ""35.66434479"", ""35.58279419"", ""27.25020599"", ""5.26811314"", ""10.53703690"", ""8.74162292"", ""6.35139847"", ""2.74974823"", ""3.91380858"", ""3.76376176"", ""3.40668631"", ""2.27559662"", ""2.63513160"", ""3.63405204"", ""3.69969416"", ""3.92244411"", ""3.34229732"", ""3.08629036"", ""3.58195424"", ""1.90530062"", ""1.55135465"", ""1.77280867"", ""1.64252424"", ""1.49783111"", ""3.20162702"", ""3.83891153"", ""3.80718780"", ""3.03975606"", ""3.44451714"", ""2.19589186"", ""3.33642960"", ""4.31519079"", ""5.34667015"", ""2.42887998"", ""1.68489778"", ""1.64623117"", ""2.14512706"", ""2.14547873"", ""2.52938223"", ""4.15746927"", ""3.29463339"", ""2.77554297"", ""1.47269094"", ""2.48640728"", ""3.30559921"", ""2.69341969"", ""2.44769216"", ""1.84675980"", ""1.94581056"", ""2.00165939"", ""2.11161590"", ""2.63045311"", ""1.37263417"", ""3.43790269"", ""4.51311302"", ""1.94416475"", ""1.04391229"", ""5.33362579"", ""0.97964370"", ""4.56475115"", ""3.97213483"", ""1.56666231"", ""3.98471475"", ""3.20215416"", ""1.13502944"", ""2.48537350"", ""4.16765642"", ""2.55493045"", ""2.77593803"", ""1.55029178"", ""3.04853368"", ""3.63765669"", ""2.15029001"", ""1.54641759"", ""2.35341787"", ""1.97002614"", ""3.06141305"", ""3.04762936"", ""2.06232405""]",paper_baseline,Generic,RootBlock,homogeneous,,,,,0,False,
comprehensive_sweep_milk,NBEATS-G_10s_ag0,paper_baseline,['Generic'],Milk,12,6,30,10,1,True,2,99471776,2.544127,0.973865,20.964071,632.795959,nan,0.205040,0.060533,8222720,256,7.91,43,False,False,ReLU,DIVERGED,1.08383155,4.87554312,2.97488832,34,4.498433,True,"[""56.88411713"", ""43.26840210"", ""41.05655670"", ""38.98624039"", ""38.91587067"", ""29.72081947"", ""7.35047150"", ""10.49338245"", ""8.78005028"", ""8.36610794"", ""3.35008574"", ""8.26970768"", ""3.26224709"", ""4.65148163"", ""4.95747757"", ""4.27434731"", ""2.75426579"", ""2.59754181"", ""4.33163929"", ""3.95204544"", ""3.98016524"", ""2.84312344"", ""3.00602007"", ""2.07487750"", ""4.04416037"", ""4.28600264"", ""5.65931225"", ""5.97545004"", ""3.47900534"", ""7.13353443"", ""2.20776558"", ""2.32168555"", ""2.69620180"", ""2.34939814"", ""1.08383155"", ""1.91551113"", ""1.95102322"", ""4.23585701"", ""4.00233841"", ""2.27207160"", ""3.71766949"", ""3.86833239"", ""4.87554312""]",paper_baseline,Generic,RootBlock,homogeneous,,,,,0,False,
comprehensive_sweep_milk,NBEATS-G_10s_ag0,paper_baseline,['Generic'],Milk,12,6,30,10,1,True,3,589157185,35.226772,8.385803,180.518387,163497.046875,nan,1.765568,15.639960,8222720,256,9.60,66,False,False,ReLU,EARLY_STOPPED,34.40452576,35.55421066,34.57034683,45,1.033417,False,"[""60.38822937"", ""51.86560059"", ""41.95314789"", ""43.58594131"", ""38.68143082"", ""38.18712997"", ""38.92409897"", ""37.90357208"", ""39.05993271"", ""39.19989014"", ""38.31735611"", ""36.97951508"", ""38.19192123"", ""37.81896591"", ""37.14970016"", ""36.04808426"", ""36.66191864"", ""36.14985657"", ""37.48100662"", ""36.41145325"", ""35.86703110"", ""36.71791077"", ""36.19824219"", ""36.15369034"", ""35.04044724"", ""35.57859802"", ""35.51064301"", ""35.75098419"", ""37.04696655"", ""37.31998825"", ""37.27236557"", ""38.50997162"", ""37.15151215"", ""37.75319672"", ""36.18232727"", ""35.67823029"", ""38.31534195"", ""37.09559250"", ""35.89879990"", ""36.55829620"", ""35.05333710"", ""34.42026520"", ""35.52535629"", ""36.01339722"", ""35.03035355"", ""34.40452576"", ""35.49672318"", ""35.71136856"", ""34.68044281"", ""35.16379166"", ""35.78043747"", ""35.52803421"", ""35.82174683"", ""36.97859573"", ""36.33456421"", ""36.14007950"", ""36.94785309"", ""35.96839523"", ""37.23768616"", ""37.32902908"", ""35.57787704"", ""34.83089828"", ""36.81752396"", ""36.57101822"", ""35.91353226"", ""35.55421066""]",paper_baseline,Generic,RootBlock,homogeneous,,,,,0,False,
comprehensive_sweep_milk,NBEATS-G_10s_ag0,paper_baseline,['Generic'],Milk,12,6,30,10,1,True,4,1982084490,4.079179,1.603768,34.523785,1541.078125,nan,0.337661,0.147418,8222720,256,7.40,44,False,False,ReLU,EARLY_STOPPED,1.90228820,2.66155410,2.40416741,23,1.399133,False,"[""50.70818710"", ""29.39982796"", ""11.50670624"", ""7.86487961"", ""7.99085331"", ""7.63550043"", ""9.05417061"", ""5.71229744"", ""9.40559101"", ""4.69979477"", ""7.16408730"", ""6.90231705"", ""6.34150219"", ""2.97512627"", ""3.84799051"", ""2.71395159"", ""2.12513494"", ""2.74743772"", ""2.94592071"", ""2.84879422"", ""4.21932316"", ""3.92053771"", ""3.96986651"", ""1.90228820"", ""4.08340502"", ""3.73305535"", ""4.04285049"", ""4.01779509"", ""4.86206770"", ""3.39338326"", ""4.81078339"", ""3.60028410"", ""2.87127995"", ""2.61028624"", ""3.62460399"", ""5.97282362"", ""3.06445575"", ""3.85185552"", ""3.01947141"", ""3.44972992"", ""3.38364697"", ""5.39390087"", ""5.41526318"", ""2.66155410""]",paper_baseline,Generic,RootBlock,homogeneous,,,,,0,False,
comprehensive_sweep_milk,NBEATS-G_10s_ag0,paper_baseline,['Generic'],Milk,12,6,30,10,1,True,5,711135908,35.460468,8.482027,182.589767,164403.796875,nan,1.785827,15.726700,8222720,256,9.67,59,False,False,ReLU,EARLY_STOPPED,34.22832108,37.78278351,34.86207199,38,1.103846,False,"[""87.42172241"", ""72.68671417"", ""74.89514160"", ""74.92116547"", ""69.03783417"", ""71.65364075"", ""72.38535309"", ""53.48448944"", ""41.92807388"", ""42.11076355"", ""39.54626846"", ""38.76826477"", ""35.96938705"", ""35.91881943"", ""35.91626358"", ""38.18926239"", ""37.51973343"", ""39.60754395"", ""38.20662689"", ""35.88393784"", ""36.09640121"", ""36.99244308"", ""35.93405914"", ""35.76439285"", ""37.02291107"", ""34.69185638"", ""35.89710999"", ""37.05461884"", ""35.79528427"", ""35.40515137"", ""36.94947815"", ""37.97315979"", ""36.39009857"", ""37.15342712"", ""38.74063492"", ""35.87094116"", ""34.99378967"", ""35.66324234"", ""34.22832108"", ""34.90142441"", ""35.76273346"", ""37.04513168"", ""36.95366287"", ""35.76556015"", ""35.27677917"", ""36.65505219"", ""37.21433640"", ""35.99658585"", ""36.89851379"", ""37.05831909"", ""36.73939133"", ""35.99318695"", ""36.03897858"", ""37.17433167"", ""36.10201645"", ""35.82390213"", ""34.74765396"", ""35.83211136"", ""37.78278351""]",paper_baseline,Generic,RootBlock,homogeneous,,,,,0,False,
comprehensive_sweep_milk,NBEATS-G_10s_ag0,paper_baseline,['Generic'],Milk,12,6,30,10,1,True,6,2120503329,2.496127,0.947033,20.386465,737.207031,nan,0.199391,0.070520,8222720,256,8.48,51,False,False,ReLU,EARLY_STOPPED,1.05655372,3.14404511,2.36724997,30,2.975755,False,"[""110.49861908"", ""106.01825714"", ""103.00867462"", ""104.47109985"", ""92.19319153"", ""72.74116516"", ""42.49324417"", ""11.50986958"", ""16.63804245"", ""4.24397564"", ""6.00512552"", ""6.30798197"", ""5.93004513"", ""4.79779196"", ""3.55212021"", ""4.34395170"", ""4.85177612"", ""4.99168873"", ""5.75624847"", ""2.18590021"", ""1.92351747"", ""2.59386015"", ""3.40714312"", ""2.21522069"", ""1.22115791"", ""1.43148601"", ""2.79907513"", ""1.96574402"", ""4.61851454"", ""2.46312070"", ""1.05655372"", ""3.54523468"", ""3.14843202"", ""2.68324971"", ""1.94076073"", ""2.50977325"", ""1.59001327"", ""3.32335305"", ""1.37736166"", ""1.91075349"", ""1.20699143"", ""2.63440657"", ""5.49297047"", ""2.14841509"", ""2.24374676"", ""1.69367826"", ""1.18251348"", ""1.96526158"", ""3.83649087"", ""2.90391731"", ""3.14404511""]",paper_baseline,Generic,RootBlock,homogeneous,,,,,0,False,
comprehensive_sweep_milk,NBEATS-G_10s_ag0,paper_baseline,['Generic'],Milk,12,6,30,10,1,True,7,1251009272,35.537598,7.754509,166.928726,133337.796875,nan,1.632653,12.754956,8222720,256,9.53,57,False,False,ReLU,EARLY_STOPPED,34.07590103,36.03911972,35.73886871,36,1.057613,False,"[""99.80066681"", ""83.16249847"", ""79.81519318"", ""71.53010559"", ""75.20559692"", ""71.25825500"", ""65.72255707"", ""40.06870270"", ""44.04028320"", ""36.31914902"", ""38.28152466"", ""37.44546890"", ""38.05707550"", ""36.29153442"", ""36.59661865"", ""37.33078003"", ""36.19912338"", ""36.70958710"", ""36.93200302"", ""37.08618546"", ""37.81560516"", ""35.47351074"", ""36.94543457"", ""34.86779785"", ""35.19678116"", ""35.11225510"", ""34.34576416"", ""36.34151840"", ""36.68156815"", ""36.82233047"", ""34.73773956"", ""34.98956680"", ""34.61413574"", ""34.55162048"", ""37.75287247"", ""38.06884003"", ""34.07590103"", ""35.06602859"", ""36.03178406"", ""37.27332306"", ""35.72870636"", ""37.22526932"", ""37.08277512"", ""37.18468475"", ""35.84175873"", ""35.04827499"", ""35.41375351"", ""34.23399734"", ""36.16698456"", ""34.98798752"", ""37.68583679"", ""35.82351685"", ""36.17990494"", ""35.58180237"", ""34.94905853"", ""34.87632751"", ""36.03911972""]",paper_baseline,Generic,RootBlock,homogeneous,,,,,0,False,
comprehensive_sweep_milk,NBEATS-G_10s_ag0,paper_baseline,['Generic'],Milk,12,6,30,10,1,True,8,2130916585,2.320556,0.889566,19.149393,550.349121,nan,0.187291,0.052646,8222720,256,10.32,54,False,False,ReLU,DIVERGED,0.89475864,2.88310432,1.89408171,44,3.222215,True,"[""68.22110748"", ""49.14923859"", ""39.48818588"", ""43.78984451"", ""38.22285080"", ""40.79130173"", ""39.83905411"", ""40.26134872"", ""38.53480530"", ""37.45862961"", ""36.19574356"", ""23.87535286"", ""8.91011333"", ""8.85555458"", ""5.81936550"", ""3.00552964"", ""8.04958439"", ""3.26307201"", ""3.38510132"", ""2.72217703"", ""4.35032988"", ""3.35832167"", ""5.31578493"", ""5.24962759"", ""3.59735417"", ""7.09695816"", ""4.38758039"", ""3.30641150"", ""3.83215475"", ""4.92148209"", ""6.05160761"", ""4.40504837"", ""2.40198827"", ""3.68139458"", ""3.31287670"", ""2.17832375"", ""3.79542518"", ""1.83212137"", ""2.96199775"", ""1.56918240"", ""2.98209715"", ""1.22496915"", ""2.29774380"", ""3.85151815"", ""0.89475864"", ""3.88473988"", ""4.71975517"", ""1.63407028"", ""4.88309956"", ""4.96742821"", ""1.35687780"", ""3.04845834"", ""3.48375130"", ""2.88310432""]",paper_baseline,Generic,RootBlock,homogeneous,,,,,0,False,
comprehensive_sweep_milk,NBEATS-G_10s_ag0,paper_baseline,['Generic'],Milk,12,6,30,10,1,True,9,2019767939,2.044416,0.775534,16.694672,450.332520,nan,0.163283,0.043078,8222720,256,11.34,64,False,False,ReLU,DIVERGED,0.74944228,2.51294184,2.02062345,56,3.353083,True,"[""135.76477051"", ""96.32760620"", ""54.16492081"", ""49.42848206"", ""42.83432388"", ""37.26977921"", ""38.67612457"", ""36.21107864"", ""36.39489365"", ""36.05395126"", ""36.13755798"", ""37.47315216"", ""34.80508041"", ""9.98578262"", ""5.71244335"", ""7.07854176"", ""3.09801531"", ""5.84642887"", ""2.36900496"", ""3.83136654"", ""3.75366211"", ""3.04229522"", ""3.17989516"", ""8.00294971"", ""1.81759572"", ""5.46400356"", ""3.68446708"", ""2.21656966"", ""2.33087659"", ""3.67655754"", ""2.66690016"", ""2.14047146"", ""2.82930946"", ""2.38002753"", ""2.29956341"", ""1.20810795"", ""3.05903769"", ""2.35073924"", ""5.97691774"", ""4.82591200"", ""2.34044409"", ""2.36294675"", ""1.96311510"", ""4.88038492"", ""3.85687566"", ""1.78534091"", ""2.76945281"", ""1.58232045"", ""1.18281710"", ""0.80136669"", ""3.30195713"", ""2.64050174"", ""1.01800585"", ""1.65379274"", ""1.15028846"", ""2.26779628"", ""0.74944228"", ""1.51878822"", ""1.89757276"", ""0.87651938"", ""2.19498634"", ""4.42253637"", ""3.26423931"", ""2.51294184""]",paper_baseline,Generic,RootBlock,homogeneous,,,,,0,False,
