experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,t_width,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve
milk_convergence_10stack,Milk10_baseline,convergence_baseline,['Generic'],Milk,12,6,24,10,1,True,0,328613367,100.393463,21.462245,462.010590,420754.468750,nan,4.518713,40.248943,8161280,256,11.78,96,False,False,ReLU,EARLY_STOPPED,100.64987183,101.10301971,101.08786011,75,1.004502,False,"[""161.83621216"", ""111.33299255"", ""114.58320618"", ""108.24468994"", ""111.11793518"", ""108.50945282"", ""104.71165466"", ""107.22817993"", ""103.88262177"", ""104.16619873"", ""102.73767853"", ""104.32593536"", ""103.51702118"", ""102.57724762"", ""103.58167267"", ""104.22798157"", ""104.32411194"", ""103.40546417"", ""102.56292725"", ""102.95938110"", ""103.01165771"", ""102.69273376"", ""102.23149109"", ""102.17892456"", ""102.27179718"", ""101.92182159"", ""102.13941193"", ""101.42837524"", ""101.82044220"", ""102.05792999"", ""102.01506805"", ""101.55706024"", ""101.32965088"", ""101.57073975"", ""101.51992798"", ""102.10372162"", ""101.27421570"", ""101.92237854"", ""101.77881622"", ""101.81996918"", ""101.33261871"", ""101.17407990"", ""101.53142548"", ""101.16015625"", ""101.03439331"", ""101.10934448"", ""101.41266632"", ""101.32215118"", ""101.60106659"", ""101.55970001"", ""101.15703583"", ""101.18411255"", ""100.92159271"", ""101.70196533"", ""101.33300781"", ""101.37894440"", ""101.11408234"", ""100.98419189"", ""101.67194366"", ""101.15398407"", ""101.09049225"", ""101.10623932"", ""100.88613892"", ""101.09522247"", ""100.87886047"", ""101.17246246"", ""101.82753754"", ""101.11611176"", ""101.58299255"", ""101.45834351"", ""101.33975983"", ""101.29975128"", ""101.04136658"", ""100.92913055"", ""100.71166992"", ""100.64987183"", ""100.86715698"", ""100.80945587"", ""101.46083832"", ""100.80876923"", ""100.86927032"", ""101.06159210"", ""100.75436401"", ""100.99036407"", ""100.85652924"", ""100.82595825"", ""101.24176788"", ""100.79805756"", ""100.79647064"", ""101.00252533"", ""101.02057648"", ""100.90372467"", ""100.78328705"", ""101.05296326"", ""100.82319641"", ""101.10301971""]"
milk_convergence_10stack,Milk10_baseline,convergence_baseline,['Generic'],Milk,12,6,24,10,1,True,1,370841182,35.051407,8.110049,174.582321,155048.828125,nan,1.707510,14.831813,8161280,256,13.26,122,False,False,ReLU,EARLY_STOPPED,34.72652435,35.07830048,35.13241196,101,1.010130,False,"[""74.68531036"", ""66.81766510"", ""50.26753616"", ""48.16383362"", ""41.98672867"", ""41.88898468"", ""39.74247360"", ""39.75780487"", ""39.33295441"", ""39.00331497"", ""37.35557175"", ""38.13251495"", ""37.58872604"", ""37.64303589"", ""37.16912460"", ""36.97299194"", ""36.98400116"", ""36.47273254"", ""36.53147888"", ""36.24856949"", ""36.61717606"", ""36.78309631"", ""35.87205887"", ""38.59535980"", ""36.56853104"", ""37.43993378"", ""36.25973129"", ""36.57593918"", ""35.95655441"", ""36.34135056"", ""35.67667770"", ""36.20310593"", ""36.16421509"", ""36.55733109"", ""36.29634857"", ""36.31568909"", ""35.88554764"", ""36.11677170"", ""35.77736282"", ""36.19460297"", ""35.66703415"", ""35.48676682"", ""36.05653000"", ""35.93615341"", ""35.72851181"", ""36.41027069"", ""36.22636795"", ""35.84657669"", ""35.40957260"", ""35.88420105"", ""35.56434250"", ""35.57277298"", ""35.94843674"", ""35.71690369"", ""35.28027725"", ""35.39418411"", ""35.76303101"", ""35.10590363"", ""36.12113190"", ""35.52472305"", ""35.66545486"", ""35.89429855"", ""35.69382095"", ""35.56526947"", ""35.28809357"", ""35.97933960"", ""35.99197769"", ""35.69666672"", ""35.53369522"", ""35.50047302"", ""35.56015015"", ""35.20248413"", ""35.40163422"", ""35.77551651"", ""36.44565201"", ""36.65726089"", ""37.30917740"", ""34.91219711"", ""37.68006897"", ""37.09229660"", ""35.67523575"", ""36.15103531"", ""35.47775269"", ""35.39448547"", ""35.13134003"", ""34.88211441"", ""35.97954941"", ""34.99342346"", ""35.39255524"", ""35.31929398"", ""34.92020798"", ""35.37700653"", ""35.13936615"", ""35.28564072"", ""34.98582077"", ""34.89400864"", ""35.13358688"", ""34.90530396"", ""34.75196838"", ""35.46817398"", ""34.87949371"", ""34.72652435"", ""35.37073898"", ""34.72690201"", ""34.86949158"", ""34.83522797"", ""34.96116257"", ""35.29120255"", ""34.78772354"", ""34.83590698"", ""35.73722458"", ""35.42996597"", ""36.56691742"", ""35.28750610"", ""35.33046722"", ""35.96139908"", ""36.09342957"", ""35.45686340"", ""36.08866882"", ""35.03294373"", ""35.36168671"", ""35.07830048""]"
milk_convergence_10stack,Milk10_baseline,convergence_baseline,['Generic'],Milk,12,6,24,10,1,True,2,675798438,34.133671,7.314385,157.454330,136178.093750,nan,1.539988,13.026658,8161280,256,11.84,94,False,False,ReLU,EARLY_STOPPED,34.76436996,35.00531387,34.59143829,73,1.006931,False,"[""96.80462646"", ""59.57214355"", ""55.19715881"", ""49.42306137"", ""40.91172791"", ""45.78606796"", ""43.30182266"", ""40.68560410"", ""40.61170959"", ""38.87076187"", ""41.13311005"", ""38.92869568"", ""37.92465210"", ""37.62848282"", ""37.83527374"", ""37.29186630"", ""37.46416092"", ""36.93474197"", ""36.82125092"", ""36.17086411"", ""36.80686569"", ""37.01457977"", ""36.33177567"", ""36.33522034"", ""36.45055771"", ""35.90864944"", ""36.58944702"", ""36.21780396"", ""36.16212463"", ""35.76619339"", ""36.13524246"", ""36.23937225"", ""35.93362427"", ""35.88440704"", ""35.60100937"", ""35.87919617"", ""36.23503113"", ""35.58684540"", ""35.81516647"", ""35.83537292"", ""35.51416779"", ""35.53670502"", ""35.59738159"", ""35.93807983"", ""35.72449112"", ""35.30922699"", ""35.49900436"", ""35.39887619"", ""35.50256348"", ""35.12823868"", ""35.41179276"", ""35.16915131"", ""36.48914337"", ""35.73425293"", ""35.71218109"", ""35.23312759"", ""35.30599594"", ""35.05047989"", ""35.40172958"", ""35.38055038"", ""35.26165009"", ""35.64900208"", ""35.78232956"", ""35.28007126"", ""34.97415924"", ""35.15555191"", ""35.02474213"", ""35.43878937"", ""35.46852493"", ""35.12085342"", ""35.38851547"", ""35.25568771"", ""35.24514008"", ""34.76436996"", ""35.44089890"", ""34.95796204"", ""35.54875565"", ""35.01288605"", ""35.24679947"", ""34.89799881"", ""35.57368088"", ""35.41091537"", ""35.94075012"", ""35.65806961"", ""35.42918015"", ""35.53927994"", ""36.01762390"", ""35.25173950"", ""35.34885788"", ""35.47306824"", ""35.37121964"", ""35.64330673"", ""35.30575943"", ""35.00531387""]"
milk_convergence_10stack,Milk10_baseline,convergence_baseline,['Generic'],Milk,12,6,24,10,1,True,3,2104001181,1.984837,0.773558,16.652130,296.013336,nan,0.162867,0.028316,8161280,256,7.70,57,False,False,ReLU,EARLY_STOPPED,2.39113760,3.54033566,2.59637618,36,1.480607,False,"[""18.54318237"", ""33.24062729"", ""20.94102287"", ""14.93849277"", ""11.07437706"", ""11.13181591"", ""9.17095947"", ""9.03407192"", ""7.67027235"", ""5.69186497"", ""6.71299553"", ""6.38574505"", ""6.12245512"", ""4.80356407"", ""4.87878370"", ""4.79428768"", ""4.68358231"", ""4.67057896"", ""4.12014818"", ""3.66806579"", ""3.67283082"", ""3.91624641"", ""2.91446280"", ""3.65419936"", ""4.28015995"", ""4.12211514"", ""3.03516984"", ""3.76288819"", ""3.21284533"", ""3.25224352"", ""3.46968555"", ""3.30100274"", ""2.99838567"", ""3.13156629"", ""2.63287401"", ""2.97834969"", ""2.39113760"", ""3.66722131"", ""3.34408617"", ""3.66549420"", ""4.47578812"", ""4.16511917"", ""3.20850921"", ""2.60114956"", ""3.34213901"", ""3.83007193"", ""3.14966631"", ""2.86352324"", ""2.96706176"", ""2.50920248"", ""2.96650743"", ""3.45920873"", ""2.47312903"", ""3.66708684"", ""4.18380260"", ""3.56748557"", ""3.54033566""]"
milk_convergence_10stack,Milk10_baseline,convergence_baseline,['Generic'],Milk,12,6,24,10,1,True,4,845304381,34.487839,6.930067,149.181244,117140.906250,nan,1.459073,11.205581,8161280,256,12.97,114,False,False,ReLU,EARLY_STOPPED,34.47447586,34.63340378,34.96723557,93,1.004610,False,"[""52.27241516"", ""50.33927536"", ""49.45822525"", ""50.52013397"", ""47.40286636"", ""41.11135864"", ""43.45166779"", ""39.60464859"", ""39.93983841"", ""38.25326157"", ""39.56930161"", ""39.83110428"", ""39.65770721"", ""40.86973190"", ""37.83233261"", ""39.73043442"", ""40.70431900"", ""37.77388000"", ""37.27528000"", ""38.51947784"", ""37.40249634"", ""37.54405212"", ""37.01478577"", ""35.94295883"", ""37.28699493"", ""36.64901733"", ""37.20945740"", ""36.59648132"", ""36.98420334"", ""36.38537598"", ""35.66532516"", ""37.13357162"", ""35.98298264"", ""35.97225189"", ""36.30335999"", ""35.86605835"", ""35.61690903"", ""35.38975906"", ""35.66094208"", ""36.29949570"", ""36.72798538"", ""36.17266464"", ""36.25057220"", ""35.47058868"", ""35.67915726"", ""35.54675293"", ""36.13859558"", ""36.00273895"", ""36.34859467"", ""34.96829605"", ""37.52986145"", ""36.12490845"", ""36.32639313"", ""36.03050995"", ""35.97528839"", ""36.04810715"", ""35.50637436"", ""35.32350540"", ""35.47902679"", ""35.45173264"", ""35.41577148"", ""34.96132660"", ""35.79414749"", ""35.07796478"", ""35.13179779"", ""35.30582809"", ""34.91612625"", ""35.41697311"", ""35.28507233"", ""35.91487503"", ""35.92698288"", ""36.15810776"", ""35.06084824"", ""36.52191925"", ""35.86739731"", ""35.45018005"", ""35.27695465"", ""35.36799622"", ""35.00399780"", ""35.12954712"", ""34.91038132"", ""35.02892685"", ""34.75696182"", ""34.93006897"", ""35.02956772"", ""35.17583466"", ""35.11195374"", ""35.44126511"", ""35.12061310"", ""35.27323151"", ""34.79183960"", ""34.88849640"", ""34.61183167"", ""34.47447586"", ""35.26594162"", ""34.58378983"", ""34.96479797"", ""34.66805649"", ""34.62578964"", ""35.08752060"", ""35.00785065"", ""34.95131302"", ""35.19093704"", ""34.78438950"", ""34.79304886"", ""34.84745789"", ""34.94754791"", ""34.83672714"", ""34.80771637"", ""34.71689987"", ""34.76168060"", ""35.22086334"", ""34.90689850"", ""34.63340378""]"
milk_convergence_10stack,Milk10_baseline,convergence_baseline,['Generic'],Milk,12,6,24,10,1,True,5,1560998464,34.652882,7.676841,165.256805,143202.203125,nan,1.616301,13.698578,8161280,256,23.63,192,False,False,ReLU,EARLY_STOPPED,34.75608444,34.94251251,34.51984024,171,1.005364,False,"[""119.29617310"", ""116.88865662"", ""105.43121338"", ""108.41596222"", ""107.42276001"", ""106.28974152"", ""105.60802460"", ""104.50543213"", ""103.72945404"", ""104.46035004"", ""103.61934662"", ""103.35975647"", ""102.22867584"", ""103.95204926"", ""102.61809540"", ""102.71904755"", ""102.25224304"", ""102.77357483"", ""102.95552063"", ""103.40787506"", ""102.71772003"", ""102.94272614"", ""102.30022430"", ""101.80807495"", ""101.90776825"", ""101.93914032"", ""102.49629974"", ""101.73064423"", ""102.13835907"", ""101.38584137"", ""102.07404327"", ""102.02101135"", ""101.32404327"", ""102.38449097"", ""101.80661011"", ""101.78887939"", ""102.11656189"", ""101.67636871"", ""101.73912048"", ""102.08148956"", ""101.48605347"", ""101.91281128"", ""102.01741791"", ""101.80742645"", ""101.98133087"", ""102.12926483"", ""101.75055695"", ""101.61194611"", ""101.37977600"", ""101.38835907"", ""101.23829651"", ""101.42279816"", ""101.47177887"", ""101.93139648"", ""101.59231567"", ""101.42334747"", ""101.95549774"", ""101.39077759"", ""101.43639374"", ""101.89752197"", ""101.30628204"", ""101.68999481"", ""101.78948975"", ""101.22027588"", ""102.16946411"", ""101.20591736"", ""102.42797089"", ""101.98692322"", ""102.20587158"", ""101.86532593"", ""101.76444244"", ""101.46002960"", ""101.52696228"", ""101.29216766"", ""101.37628937"", ""101.21839905"", ""101.22157288"", ""101.44368744"", ""101.50737762"", ""101.38009644"", ""101.81206512"", ""101.25708771"", ""101.27355194"", ""101.07652283"", ""101.31128693"", ""100.97035217"", ""101.27892303"", ""101.08646393"", ""95.13253021"", ""78.95058441"", ""70.67897034"", ""74.38359833"", ""74.09040833"", ""70.60372162"", ""70.71997833"", ""68.83525848"", ""70.35835266"", ""68.78935242"", ""69.40243530"", ""69.39237976"", ""69.53168488"", ""68.40206146"", ""69.82126617"", ""58.12380981"", ""44.19796753"", ""37.66157150"", ""41.52542496"", ""41.74856567"", ""40.71579742"", ""36.97611237"", ""38.80827713"", ""37.94733429"", ""36.54274750"", ""37.26242065"", ""36.58946609"", ""37.90709305"", ""36.76421738"", ""36.34811401"", ""35.64799500"", ""35.48046112"", ""35.40854263"", ""35.24320221"", ""35.42482376"", ""35.66899109"", ""35.50829697"", ""35.20601273"", ""35.06823730"", ""35.49668503"", ""35.39864731"", ""35.85783005"", ""35.45901489"", ""35.16785812"", ""36.20757675"", ""35.48076630"", ""35.64707184"", ""35.23790741"", ""35.90795517"", ""36.24774170"", ""36.49862289"", ""35.45800781"", ""35.69750977"", ""34.93832779"", ""35.67861938"", ""35.37314987"", ""35.04196930"", ""35.15518188"", ""35.66056442"", ""35.42729187"", ""35.10172272"", ""35.61877441"", ""35.17557907"", ""35.56714249"", ""34.91725540"", ""35.84300232"", ""35.34898376"", ""35.49442673"", ""35.06250381"", ""35.20027161"", ""35.03652954"", ""35.31654739"", ""35.16142654"", ""34.91870880"", ""35.08348465"", ""35.01078033"", ""35.08796310"", ""35.08947754"", ""34.82362747"", ""35.00500107"", ""34.92414474"", ""35.24547195"", ""34.78157043"", ""34.75608444"", ""34.79927063"", ""35.00693512"", ""34.99578094"", ""35.06191254"", ""35.22085953"", ""35.19446182"", ""35.22459412"", ""34.79717636"", ""34.96362305"", ""35.07829285"", ""34.88894272"", ""34.79915237"", ""34.90267181"", ""34.98477173"", ""35.27043152"", ""34.98782349"", ""34.95962524"", ""34.97174072"", ""35.12169266"", ""34.94251251""]"
milk_convergence_10stack,Milk10_baseline,convergence_baseline,['Generic'],Milk,12,6,24,10,1,True,6,1655390091,1.794785,0.693616,14.931233,321.436066,nan,0.146036,0.030748,8161280,256,15.84,116,False,False,ReLU,EARLY_STOPPED,1.69405115,2.16683412,1.61939204,95,1.279084,False,"[""64.78866577"", ""38.22483826"", ""29.61671066"", ""20.23112869"", ""9.04695702"", ""15.53934479"", ""9.58846188"", ""8.69102097"", ""8.52280903"", ""5.97728682"", ""5.76147652"", ""5.83504295"", ""5.31715202"", ""6.80346918"", ""6.69637489"", ""6.21581221"", ""4.72183609"", ""4.44243002"", ""3.88925147"", ""3.75090766"", ""3.56718230"", ""3.37183404"", ""4.18706512"", ""4.35340309"", ""3.77499795"", ""3.04569197"", ""4.12868166"", ""2.73000026"", ""4.03229952"", ""3.59563661"", ""3.42748046"", ""3.58668566"", ""2.79943085"", ""3.13752031"", ""2.90095806"", ""2.88386822"", ""4.37318945"", ""2.86180520"", ""3.20005012"", ""3.27764106"", ""2.60391450"", ""3.52807426"", ""2.48162127"", ""3.20007133"", ""2.62156034"", ""2.52930808"", ""3.17503357"", ""2.58744216"", ""2.47805214"", ""2.58994246"", ""2.24418759"", ""4.39874077"", ""3.81788015"", ""3.18743443"", ""2.23165798"", ""4.86741018"", ""3.30927706"", ""3.39245057"", ""2.90400052"", ""3.11868834"", ""3.14941216"", ""2.53470254"", ""2.94260859"", ""2.21321774"", ""2.95705581"", ""2.30305862"", ""2.36537242"", ""2.57084346"", ""2.03210998"", ""2.23110580"", ""2.13247347"", ""2.05874634"", ""2.13822103"", ""2.60457969"", ""2.30389118"", ""2.91094160"", ""2.86039829"", ""2.81987429"", ""2.15171504"", ""2.68332934"", ""2.39821029"", ""2.11614633"", ""2.07940102"", ""2.42856503"", ""1.93303359"", ""1.84332800"", ""2.26280165"", ""2.27484751"", ""2.37388659"", ""2.20180964"", ""2.28803873"", ""2.00292468"", ""1.83810914"", ""1.92238545"", ""2.18318152"", ""1.69405115"", ""2.83353591"", ""1.84746885"", ""2.63867593"", ""2.33117914"", ""2.22934675"", ""3.15579891"", ""3.06494689"", ""2.28176379"", ""2.03411365"", ""2.28394222"", ""2.15804935"", ""2.86691833"", ""2.48425841"", ""2.36781311"", ""2.24827695"", ""2.45964909"", ""2.21088219"", ""1.74419689"", ""2.00133801"", ""2.16683412""]"
milk_convergence_10stack,Milk10_baseline,convergence_baseline,['Generic'],Milk,12,6,24,10,1,True,7,169152119,34.918358,7.703646,165.833817,140026.687500,nan,1.621944,13.394809,8161280,256,12.49,92,False,False,ReLU,EARLY_STOPPED,34.81679916,34.88452911,34.98237610,71,1.001945,False,"[""133.39265442"", ""89.61640930"", ""92.52898407"", ""73.65353394"", ""80.11592865"", ""73.76791382"", ""73.67784119"", ""64.27121735"", ""44.54274368"", ""43.75999069"", ""45.92578888"", ""44.43833160"", ""41.28656387"", ""40.42165756"", ""40.15862656"", ""38.77359390"", ""38.06256485"", ""37.78801346"", ""36.76658249"", ""36.36305237"", ""36.63460922"", ""35.91495132"", ""36.18198776"", ""36.27420807"", ""36.24839401"", ""36.08328629"", ""36.16920471"", ""35.56813431"", ""36.82420731"", ""35.76999664"", ""35.88565826"", ""35.67754745"", ""35.50804138"", ""35.51406479"", ""35.28680420"", ""36.06943130"", ""35.60817719"", ""36.14886856"", ""35.60283279"", ""35.05426788"", ""36.41294479"", ""35.41146469"", ""35.78866577"", ""35.34032822"", ""35.70208740"", ""35.26514816"", ""35.31558228"", ""35.41851807"", ""34.97698975"", ""35.84299850"", ""35.77745819"", ""35.61872864"", ""35.26718521"", ""35.85171127"", ""35.42886734"", ""35.22748184"", ""35.88773727"", ""34.89240265"", ""35.51520538"", ""35.07239151"", ""35.32127762"", ""35.29761505"", ""35.11621094"", ""35.36878586"", ""35.29589081"", ""35.32248688"", ""35.74686050"", ""35.11519623"", ""34.93874359"", ""35.15478134"", ""34.87425995"", ""34.81679916"", ""35.16623688"", ""35.26293182"", ""35.42866898"", ""35.06797409"", ""35.61185455"", ""35.22225952"", ""35.34587479"", ""35.44380569"", ""35.06071091"", ""35.24666595"", ""34.96717072"", ""35.23403549"", ""35.07897186"", ""35.28226471"", ""35.40536880"", ""35.42958832"", ""35.43278503"", ""34.91524887"", ""35.20782471"", ""34.88452911""]"
milk_convergence_10stack,Milk10_baseline,convergence_baseline,['Generic'],Milk,12,6,24,10,1,True,8,1116984847,2.767685,1.049419,22.590494,691.988098,nan,0.220947,0.066195,8161280,256,14.48,128,False,False,ReLU,EARLY_STOPPED,1.76552474,3.19401765,2.19209313,107,1.809104,False,"[""29.17549324"", ""32.14736938"", ""21.23987198"", ""13.08309555"", ""10.59292221"", ""8.94761181"", ""7.15934849"", ""7.75178099"", ""5.32181692"", ""6.51558924"", ""7.86714888"", ""6.80276918"", ""6.51175451"", ""7.19757891"", ""5.26325798"", ""4.39094782"", ""6.31102848"", ""3.99199843"", ""4.22754002"", ""4.82226181"", ""3.61332893"", ""4.77226543"", ""3.64424396"", ""4.07197714"", ""3.42360187"", ""3.58089995"", ""3.57807064"", ""3.40167332"", ""3.92101407"", ""3.50950217"", ""2.91217184"", ""3.64808631"", ""3.30354095"", ""3.05998015"", ""4.62818241"", ""3.55841708"", ""4.39664412"", ""3.39689636"", ""3.56865406"", ""3.22341180"", ""3.17786765"", ""2.99822903"", ""3.40954590"", ""2.63433647"", ""4.19882298"", ""5.08241224"", ""3.28847694"", ""3.73133039"", ""3.17840672"", ""3.20577359"", ""2.49350524"", ""2.94889116"", ""3.53804445"", ""2.88563681"", ""3.54221392"", ""2.77251983"", ""2.84137368"", ""2.68966579"", ""2.76035285"", ""3.67021513"", ""2.46790862"", ""2.95091343"", ""2.09292650"", ""3.31131005"", ""2.49573565"", ""3.84424448"", ""2.36984110"", ""2.57139874"", ""2.65704775"", ""2.74819851"", ""2.82795930"", ""2.72589731"", ""2.46179032"", ""2.36319423"", ""2.20973802"", ""2.86823416"", ""2.70915079"", ""2.36918116"", ""2.77669215"", ""2.12303138"", ""2.84141374"", ""2.24238038"", ""2.01892424"", ""2.64840913"", ""2.77664208"", ""2.27869368"", ""2.35349607"", ""2.67622876"", ""2.17420769"", ""2.65709114"", ""2.00957036"", ""2.10315275"", ""3.08685303"", ""2.08815885"", ""3.00675607"", ""1.99273157"", ""2.52655578"", ""2.31484461"", ""2.05418253"", ""2.59592485"", ""1.86672974"", ""2.15774822"", ""1.91759932"", ""2.51745868"", ""2.16719222"", ""2.19870710"", ""1.91949010"", ""1.76552474"", ""2.34356117"", ""2.47790360"", ""2.50834608"", ""2.54195285"", ""2.22494197"", ""2.14023304"", ""2.96746469"", ""3.23713779"", ""1.97482204"", ""1.95879698"", ""2.80699778"", ""2.76256466"", ""2.88525939"", ""2.24143934"", ""3.04575896"", ""1.84884131"", ""2.13139439"", ""2.46716928"", ""2.17937398"", ""3.19401765""]"
milk_convergence_10stack,Milk10_baseline,convergence_baseline,['Generic'],Milk,12,6,24,10,1,True,9,879681265,34.449219,7.158682,154.102554,125642.304688,nan,1.507206,12.018817,8161280,256,13.76,126,False,False,ReLU,EARLY_STOPPED,34.68321991,34.86537552,35.06676102,105,1.005252,False,"[""58.55723190"", ""59.93469238"", ""44.55661011"", ""39.01372528"", ""41.98590469"", ""41.01731110"", ""38.89799118"", ""40.28562164"", ""38.64871597"", ""41.17237091"", ""42.03176117"", ""40.25758362"", ""40.24970627"", ""38.55366516"", ""38.28550720"", ""37.17681122"", ""37.70753860"", ""37.06937790"", ""37.89571762"", ""36.62994385"", ""36.92464828"", ""35.87503433"", ""36.16656494"", ""35.79802704"", ""36.17273712"", ""36.00889206"", ""36.51970673"", ""36.19350815"", ""36.01695251"", ""36.46683884"", ""36.03620529"", ""35.47011566"", ""36.69191742"", ""37.62824631"", ""37.42330551"", ""36.80366516"", ""36.47646713"", ""36.83811569"", ""36.55091095"", ""36.41300964"", ""36.26070786"", ""35.67801666"", ""35.86458206"", ""35.88742447"", ""35.63397217"", ""36.25820541"", ""35.31801224"", ""35.62861633"", ""35.74752426"", ""35.35853195"", ""35.94155121"", ""35.42097473"", ""35.39176178"", ""35.69677353"", ""35.51851654"", ""35.51602554"", ""36.09111786"", ""35.19348526"", ""35.82896805"", ""35.33295822"", ""35.18313599"", ""36.02643204"", ""35.67836761"", ""35.73521423"", ""35.69865799"", ""35.56798553"", ""35.71552658"", ""35.62386703"", ""35.52343369"", ""35.93357086"", ""35.09186935"", ""35.59404755"", ""35.38950729"", ""35.33517838"", ""35.21796799"", ""35.38045883"", ""34.98432159"", ""35.04460526"", ""35.19006729"", ""35.17950439"", ""35.35705185"", ""35.18138123"", ""35.08858490"", ""35.13836670"", ""35.11847305"", ""34.91383362"", ""35.13567352"", ""35.63512421"", ""35.23684311"", ""35.29084396"", ""35.31828690"", ""34.96037674"", ""34.97266388"", ""35.23550797"", ""35.27338409"", ""34.89622879"", ""35.39847946"", ""34.93955994"", ""35.10535812"", ""35.44446945"", ""34.92670822"", ""35.33305359"", ""35.09012604"", ""36.09489059"", ""35.34357834"", ""34.68321991"", ""34.82339859"", ""34.87729263"", ""34.97253418"", ""34.96822357"", ""34.75924683"", ""34.93419266"", ""35.04018021"", ""35.03553391"", ""35.55066681"", ""35.14242172"", ""35.16677094"", ""35.10472488"", ""35.54888153"", ""34.86086273"", ""35.35248947"", ""34.95890045"", ""35.23146439"", ""35.56333160"", ""35.29201508"", ""34.86537552""]"
