experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,t_width,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve
milk_convergence,Milk6_baseline,convergence_baseline,['Generic'],Milk,12,6,24,6,1,True,0,980044639,35.681591,8.874329,191.034729,176625.390625,nan,1.868423,16.895809,4896768,256,12.49,161,False,False,ReLU,EARLY_STOPPED,34.60832214,35.78962326,35.12599564,140,1.034133,False,"[""86.58660126"", ""45.20607758"", ""83.84050751"", ""47.82692337"", ""54.77642441"", ""42.83290100"", ""47.42198944"", ""41.70657349"", ""42.14329147"", ""41.16085434"", ""40.18327713"", ""39.98832321"", ""39.08523560"", ""39.46791840"", ""38.43355942"", ""38.53025436"", ""38.89719391"", ""38.02076721"", ""37.95087433"", ""37.15744781"", ""37.76272964"", ""36.85696411"", ""37.02119064"", ""36.12765884"", ""36.53969574"", ""36.87573624"", ""36.75490952"", ""37.59315872"", ""36.93260574"", ""36.74935913"", ""36.26284790"", ""36.92716217"", ""36.41706848"", ""36.33321762"", ""36.99531174"", ""35.87506866"", ""36.38767624"", ""36.95554733"", ""37.03243637"", ""37.04880905"", ""36.20905685"", ""36.34969711"", ""36.02371216"", ""36.14125443"", ""35.64038849"", ""36.47632217"", ""35.49084854"", ""35.70669174"", ""36.09924698"", ""36.34556961"", ""36.44696426"", ""36.22825623"", ""35.54182816"", ""36.37932968"", ""35.73001862"", ""35.82608795"", ""36.24040604"", ""35.82504272"", ""36.48461533"", ""35.66205597"", ""35.80901337"", ""35.35054779"", ""35.81625366"", ""35.58348083"", ""35.66849136"", ""35.53076553"", ""36.07067108"", ""35.79388809"", ""35.72747421"", ""35.59692764"", ""36.00842667"", ""35.71152878"", ""36.17482376"", ""36.18361282"", ""35.64859772"", ""35.66513824"", ""35.86109161"", ""35.59005356"", ""35.36225510"", ""35.49016571"", ""35.23205566"", ""35.54310608"", ""35.19446945"", ""35.56493378"", ""35.36249161"", ""35.70097351"", ""35.18816376"", ""35.16812134"", ""36.01621246"", ""35.66383743"", ""35.44834137"", ""35.22367859"", ""36.07115173"", ""35.15325546"", ""35.53182983"", ""34.99975204"", ""35.48816299"", ""35.06154251"", ""35.56456757"", ""35.02351379"", ""35.30545425"", ""35.14820480"", ""35.56084824"", ""34.99580765"", ""35.05727768"", ""35.10506058"", ""35.37366104"", ""34.90922928"", ""35.18526077"", ""35.31019211"", ""35.42039871"", ""34.85879135"", ""35.39583206"", ""35.01968765"", ""35.40604019"", ""35.10807037"", ""34.96140671"", ""34.76293564"", ""35.57996750"", ""35.08132172"", ""35.08060074"", ""35.04876709"", ""34.72625732"", ""35.26516724"", ""34.63376617"", ""35.33244324"", ""35.10764694"", ""35.27407837"", ""35.68601608"", ""34.81135178"", ""34.65278625"", ""35.27111053"", ""36.10454941"", ""35.30681992"", ""35.54169083"", ""35.21462250"", ""35.06568146"", ""35.30224609"", ""35.01241684"", ""34.97866821"", ""34.60832214"", ""35.28546143"", ""34.93600082"", ""34.99503326"", ""35.24446487"", ""34.78635406"", ""34.77466583"", ""35.17490005"", ""34.95001602"", ""34.68328857"", ""35.39447403"", ""35.27938843"", ""35.16616440"", ""35.21165085"", ""35.14979935"", ""35.05837631"", ""34.87538910"", ""35.57915878"", ""35.00132370"", ""34.60988998"", ""35.78962326""]"
milk_convergence,Milk6_baseline,convergence_baseline,['Generic'],Milk,12,6,24,6,1,True,1,466455805,2.739956,1.063300,22.889313,712.381409,nan,0.223870,0.068146,4896768,256,7.00,84,False,False,ReLU,EARLY_STOPPED,2.45429349,2.69740725,2.57689238,63,1.099057,False,"[""62.74951553"", ""65.55689240"", ""55.63514709"", ""23.18669510"", ""17.30753326"", ""12.48094082"", ""8.56099415"", ""11.04141808"", ""9.45876694"", ""6.69561958"", ""9.76925278"", ""7.58045912"", ""6.82492352"", ""7.30087709"", ""6.79235172"", ""6.64720678"", ""6.07231045"", ""5.00475502"", ""7.04539919"", ""5.58600140"", ""5.03615761"", ""4.77808046"", ""3.89422059"", ""3.61326814"", ""3.84233761"", ""3.24027753"", ""3.02403665"", ""3.58312988"", ""3.52359867"", ""3.62097573"", ""3.85380697"", ""3.41545773"", ""3.31983852"", ""3.65532327"", ""3.25685096"", ""3.08014178"", ""3.11936760"", ""3.36796665"", ""2.99244404"", ""6.20731831"", ""4.39329529"", ""4.13409615"", ""3.33560586"", ""3.54836059"", ""4.31256247"", ""3.17573142"", ""3.51090145"", ""2.98065209"", ""3.85268664"", ""3.52042365"", ""3.59059763"", ""3.15025997"", ""3.27621150"", ""3.04258728"", ""3.00658894"", ""2.98987842"", ""2.85637832"", ""3.06471610"", ""3.08657622"", ""2.61137581"", ""2.77733254"", ""3.40619874"", ""2.89915156"", ""2.45429349"", ""3.52579093"", ""2.79672027"", ""3.50778866"", ""3.15258121"", ""2.97497678"", ""2.52506876"", ""2.48341036"", ""2.54610229"", ""3.01462984"", ""2.56709504"", ""2.91349244"", ""2.77823043"", ""2.71436143"", ""3.70938849"", ""3.22200680"", ""3.34963131"", ""2.85215092"", ""3.05424690"", ""3.06978345"", ""2.69740725""]"
milk_convergence,Milk6_baseline,convergence_baseline,['Generic'],Milk,12,6,24,6,1,True,2,1036787035,2.239549,0.875787,18.852783,405.822906,nan,0.184390,0.038821,4896768,256,15.89,191,False,False,ReLU,EARLY_STOPPED,1.35013306,2.01021767,2.18619490,170,1.488903,False,"[""109.24773407"", ""84.23983002"", ""86.04080963"", ""77.01211548"", ""73.24331665"", ""75.91644287"", ""72.84383392"", ""75.25973511"", ""74.33753967"", ""72.64215088"", ""74.37514496"", ""72.08126831"", ""72.25160217"", ""72.31633759"", ""70.90285492"", ""71.06902313"", ""70.59317780"", ""71.41188049"", ""71.32482910"", ""70.35652161"", ""70.51518250"", ""70.27167511"", ""69.84967804"", ""70.84175110"", ""70.41680908"", ""69.73393250"", ""71.06359100"", ""69.09044647"", ""70.18663025"", ""68.73564911"", ""69.74079895"", ""69.01635742"", ""69.02824402"", ""69.00476074"", ""68.71894836"", ""69.11193848"", ""69.14736938"", ""68.87622833"", ""69.11739349"", ""68.70787811"", ""69.47869110"", ""68.79170990"", ""69.02454376"", ""68.92148590"", ""69.06134796"", ""68.89325714"", ""69.09593964"", ""68.79087067"", ""69.12474060"", ""68.31327820"", ""68.38380432"", ""68.44005585"", ""68.56428528"", ""68.60173035"", ""68.26686859"", ""68.20555878"", ""68.53753662"", ""68.45159149"", ""68.58222961"", ""68.26284790"", ""67.93795013"", ""69.99486542"", ""68.94927216"", ""69.16204834"", ""69.33541107"", ""69.31731415"", ""68.38194275"", ""70.56585693"", ""69.16374969"", ""68.57179260"", ""69.05271912"", ""68.28304291"", ""68.26530457"", ""68.36251068"", ""58.25379944"", ""43.26146698"", ""37.69665146"", ""41.54558945"", ""41.75271988"", ""39.89426041"", ""35.57482529"", ""38.32036209"", ""35.86012268"", ""36.96021652"", ""36.26628113"", ""36.59752274"", ""37.28477478"", ""35.56313705"", ""36.33735657"", ""35.79431915"", ""35.66312027"", ""35.59035873"", ""35.83312988"", ""35.97517776"", ""35.40397644"", ""35.67379379"", ""35.37184906"", ""36.19337845"", ""35.73560715"", ""35.55350494"", ""35.90553665"", ""35.02039337"", ""35.16267395"", ""35.10659790"", ""34.87435150"", ""35.12969971"", ""35.23606873"", ""35.50151825"", ""35.14170456"", ""34.83678818"", ""35.15544891"", ""25.66563797"", ""11.91911221"", ""3.08238387"", ""7.06595850"", ""8.57138824"", ""8.92013264"", ""7.44076443"", ""4.49931526"", ""3.24299455"", ""4.30728102"", ""2.90577555"", ""3.03409791"", ""2.95200849"", ""2.24480557"", ""3.03652644"", ""2.27067828"", ""2.11149573"", ""2.04862070"", ""2.07251859"", ""2.56170702"", ""3.25440884"", ""2.18519020"", ""2.10220838"", ""2.27204108"", ""2.02267003"", ""1.89937258"", ""2.10145402"", ""1.96153057"", ""2.01800823"", ""2.50865817"", ""1.64967322"", ""1.93854630"", ""1.75182092"", ""2.61178255"", ""2.29422045"", ""2.23620820"", ""1.97134829"", ""1.83364820"", ""1.81407726"", ""1.65546334"", ""1.50424576"", ""1.54673374"", ""1.83367896"", ""2.19285631"", ""1.83458161"", ""1.97341764"", ""1.70661473"", ""2.14421391"", ""1.67262030"", ""1.64874816"", ""1.69525766"", ""1.61910415"", ""2.03714347"", ""1.77112448"", ""1.45147502"", ""1.75761688"", ""1.40430808"", ""1.99299717"", ""1.73359406"", ""1.35013306"", ""1.95571816"", ""1.67190659"", ""1.63185322"", ""1.45787990"", ""1.88190889"", ""1.68233418"", ""1.75944626"", ""1.61091518"", ""1.82301199"", ""1.36597037"", ""1.85591996"", ""1.70516145"", ""1.47116196"", ""1.48546934"", ""1.90176499"", ""1.91572738"", ""1.76279509"", ""2.06264305"", ""1.44584382"", ""2.01021767""]"
milk_convergence,Milk6_baseline,convergence_baseline,['Generic'],Milk,12,6,24,6,1,True,3,791501122,34.596230,7.582130,163.217987,139630.515625,nan,1.596360,13.356914,4896768,256,9.45,85,False,False,ReLU,EARLY_STOPPED,34.85839462,34.98271942,34.77693558,64,1.003567,False,"[""118.74800873"", ""100.31574249"", ""97.71936798"", ""97.37957001"", ""77.27063751"", ""81.15457916"", ""78.36329651"", ""77.21118927"", ""72.47248840"", ""74.93745422"", ""71.45890045"", ""73.11254883"", ""71.39305115"", ""71.79419708"", ""70.89916229"", ""70.74034119"", ""70.25814056"", ""70.20432281"", ""70.05807495"", ""69.39916992"", ""69.03366852"", ""69.26893616"", ""68.87084961"", ""70.28248596"", ""69.13623047"", ""68.81470490"", ""69.23254395"", ""68.89266205"", ""68.66287231"", ""68.83455658"", ""68.67716217"", ""68.83834076"", ""55.53363419"", ""41.34355927"", ""38.94576645"", ""42.33269501"", ""42.04721451"", ""40.36101913"", ""36.54673767"", ""38.01446915"", ""36.26304626"", ""36.62639236"", ""36.37896729"", ""36.47592926"", ""36.42927551"", ""35.75806046"", ""35.37699127"", ""36.25351715"", ""35.60164642"", ""35.62395477"", ""35.59782791"", ""35.31124878"", ""35.35626602"", ""35.62119293"", ""35.28640747"", ""35.44549179"", ""35.20660400"", ""35.14733887"", ""35.03045273"", ""35.11935425"", ""35.13988113"", ""35.35473251"", ""35.40960693"", ""35.29173660"", ""34.85839462"", ""35.54458618"", ""35.90406799"", ""36.79804611"", ""35.32252884"", ""37.53131104"", ""35.91462708"", ""35.13372421"", ""36.69664383"", ""35.62164307"", ""35.72238159"", ""35.40787125"", ""35.32785416"", ""34.99718475"", ""35.19025040"", ""34.99777222"", ""35.03436279"", ""35.17169952"", ""34.86507416"", ""34.95357513"", ""34.98271942""]"
milk_convergence,Milk6_baseline,convergence_baseline,['Generic'],Milk,12,6,24,6,1,True,4,1886416034,1.095200,0.434171,9.346263,136.503036,nan,0.091412,0.013058,4896768,256,9.75,128,False,False,ReLU,EARLY_STOPPED,1.71151626,2.13254809,1.94495726,107,1.245999,False,"[""74.50711060"", ""40.09592056"", ""20.41287041"", ""16.85886383"", ""18.14655304"", ""8.70992661"", ""12.86462021"", ""8.08382511"", ""8.27397442"", ""6.74100018"", ""6.61189318"", ""5.75818777"", ""6.69396067"", ""6.51854658"", ""5.57311964"", ""4.04387474"", ""4.19743490"", ""3.86887932"", ""3.43189716"", ""3.49776006"", ""4.36254978"", ""3.48079991"", ""4.05459642"", ""3.49131417"", ""3.47143602"", ""2.82575941"", ""4.34723616"", ""3.47287846"", ""3.29744172"", ""4.09264994"", ""3.41799331"", ""3.73741651"", ""3.48561764"", ""3.58976650"", ""4.95304680"", ""4.49233437"", ""3.59372616"", ""3.50321984"", ""3.90134645"", ""3.10936618"", ""3.05762506"", ""3.69929290"", ""3.03115273"", ""3.15355515"", ""2.74272156"", ""3.85566568"", ""2.95196581"", ""3.60626626"", ""3.21359682"", ""3.40978646"", ""3.18237662"", ""3.46600938"", ""2.77044392"", ""2.97989440"", ""3.17491698"", ""2.59494829"", ""2.75898886"", ""3.82403255"", ""3.38497066"", ""2.47331834"", ""2.81076550"", ""2.70782733"", ""2.71219182"", ""3.81680608"", ""3.89874125"", ""3.25882983"", ""3.08786678"", ""3.52192736"", ""2.73584962"", ""3.18999934"", ""2.55831695"", ""2.65042663"", ""2.54733014"", ""2.24687147"", ""2.88286686"", ""2.50705862"", ""2.34661579"", ""2.64620423"", ""2.22663951"", ""2.25525451"", ""2.12670445"", ""2.33069706"", ""2.29063582"", ""2.07210493"", ""2.64856243"", ""3.29874063"", ""2.71032763"", ""2.21729469"", ""2.08892608"", ""2.25007582"", ""1.94942296"", ""3.10642219"", ""2.85813713"", ""2.44104743"", ""2.26145244"", ""2.03343463"", ""1.88352060"", ""1.72358179"", ""2.41516232"", ""2.08040786"", ""2.45824265"", ""1.79239905"", ""2.27815461"", ""2.16742373"", ""1.98837769"", ""2.30290413"", ""2.05152249"", ""1.71151626"", ""2.14939952"", ""2.42474484"", ""2.79263592"", ""2.23433089"", ""2.17006421"", ""2.42858028"", ""2.42057037"", ""2.20269227"", ""2.58002925"", ""2.22877455"", ""1.81040239"", ""1.97847188"", ""2.30068254"", ""1.97342610"", ""1.93125844"", ""1.90193188"", ""2.26184058"", ""2.10578465"", ""1.84184539"", ""2.13254809""]"
milk_convergence,Milk6_baseline,convergence_baseline,['Generic'],Milk,12,6,24,6,1,True,5,725905155,35.258083,7.986792,171.929001,145507.218750,nan,1.681559,13.919074,4896768,256,7.03,94,False,False,ReLU,EARLY_STOPPED,35.16415787,35.87295532,35.63795853,73,1.020157,False,"[""57.40283203"", ""64.37010193"", ""49.26025772"", ""44.81700134"", ""46.93152237"", ""40.83206558"", ""42.20459366"", ""41.41780090"", ""39.22449493"", ""39.67473221"", ""38.44126892"", ""38.77520370"", ""37.87982941"", ""38.41361618"", ""37.52986145"", ""38.01617813"", ""37.55668640"", ""37.84814072"", ""37.63607025"", ""37.08748627"", ""37.12260437"", ""36.78848267"", ""36.64411163"", ""36.03653336"", ""37.68696976"", ""36.53799438"", ""36.33736038"", ""36.09458542"", ""35.87230682"", ""35.57211304"", ""36.81692505"", ""36.19739914"", ""36.20692062"", ""36.18801880"", ""35.77733612"", ""35.60170746"", ""36.33845901"", ""36.25344467"", ""36.84869003"", ""36.33061218"", ""36.29271317"", ""36.35188675"", ""35.88585663"", ""35.98036957"", ""36.42449570"", ""35.52213669"", ""36.19588470"", ""35.60940552"", ""36.09572983"", ""35.65645218"", ""35.97493362"", ""35.63884354"", ""35.83613586"", ""35.53679276"", ""36.09355164"", ""35.43694687"", ""35.46419907"", ""35.88077545"", ""35.94171143"", ""35.28812408"", ""35.35188293"", ""35.39307785"", ""35.85693741"", ""35.37086105"", ""35.87142944"", ""35.56993484"", ""35.63471222"", ""35.41141891"", ""35.79631805"", ""35.39043427"", ""35.53075790"", ""35.49517059"", ""35.34901428"", ""35.16415787"", ""35.26947021"", ""35.43434143"", ""35.34206009"", ""35.32414627"", ""35.46694946"", ""35.79693222"", ""35.48581314"", ""35.17382812"", ""35.59496689"", ""35.34569931"", ""35.93729019"", ""35.42832565"", ""35.42879105"", ""35.94056320"", ""36.02867889"", ""35.58575058"", ""35.97072220"", ""35.21810532"", ""35.72675705"", ""35.87295532""]"
milk_convergence,Milk6_baseline,convergence_baseline,['Generic'],Milk,12,6,24,6,1,True,6,1126421524,1.663174,0.643845,13.859833,289.547211,nan,0.135557,0.027698,4896768,256,12.51,141,False,False,ReLU,EARLY_STOPPED,1.63329566,1.74998999,1.40973008,120,1.071447,False,"[""83.80567932"", ""63.23992157"", ""62.88422394"", ""44.82668304"", ""45.51522446"", ""48.04579163"", ""41.08312988"", ""43.02385330"", ""43.01409531"", ""43.00934601"", ""41.69891739"", ""44.04455948"", ""40.24563980"", ""39.36236191"", ""39.25449371"", ""38.48529816"", ""37.96798706"", ""39.18199158"", ""37.35287094"", ""37.24330139"", ""36.85209274"", ""37.11481857"", ""36.80328751"", ""36.08901978"", ""36.14101791"", ""36.14190674"", ""35.74177170"", ""36.50506973"", ""35.86204529"", ""35.85576248"", ""35.99323654"", ""35.69779587"", ""36.08245087"", ""36.14731598"", ""35.68231583"", ""35.56639481"", ""35.47947693"", ""25.73924637"", ""11.72049713"", ""4.03245544"", ""8.13147831"", ""9.25480652"", ""8.62403965"", ""5.96706009"", ""3.43252540"", ""4.81859350"", ""3.89114785"", ""3.37373161"", ""4.05915165"", ""3.69870472"", ""2.95756125"", ""3.24561143"", ""3.02667809"", ""3.26263976"", ""2.74317479"", ""3.01644850"", ""2.86603332"", ""2.71645808"", ""2.57531643"", ""2.80904484"", ""3.27483559"", ""3.06224275"", ""3.02757549"", ""3.34055829"", ""2.78096676"", ""2.58257651"", ""2.81177044"", ""2.28248382"", ""2.16729498"", ""2.19349980"", ""2.00823665"", ""2.16806793"", ""2.49211740"", ""2.89006710"", ""2.49142861"", ""2.80917716"", ""2.20696902"", ""3.19050407"", ""2.46003413"", ""2.67526603"", ""2.31353927"", ""2.13516092"", ""2.43473530"", ""2.23296428"", ""2.28946805"", ""2.30187249"", ""1.96609497"", ""1.75982463"", ""2.44589114"", ""1.98250973"", ""2.03694606"", ""1.91572416"", ""2.01857471"", ""2.48160267"", ""2.56050372"", ""2.71650434"", ""2.05296588"", ""1.83243012"", ""1.84361660"", ""2.32005310"", ""2.22105074"", ""2.62516451"", ""2.32309484"", ""1.93813634"", ""1.84357786"", ""1.75982261"", ""2.02650666"", ""2.32667971"", ""2.04876590"", ""2.23148990"", ""2.58938026"", ""1.99850988"", ""2.04321265"", ""2.09333944"", ""1.67633665"", ""2.49980164"", ""1.80277026"", ""1.85683310"", ""1.99525464"", ""1.91369677"", ""1.63329566"", ""1.74650371"", ""2.44194150"", ""2.14133382"", ""2.59164882"", ""2.36328888"", ""2.45870829"", ""2.19733858"", ""2.11594009"", ""1.91097021"", ""2.12552595"", ""1.85968733"", ""1.69868100"", ""1.90584850"", ""1.98468506"", ""1.83443999"", ""1.82964706"", ""1.87690294"", ""1.81267464"", ""1.76945031"", ""1.74998999""]"
milk_convergence,Milk6_baseline,convergence_baseline,['Generic'],Milk,12,6,24,6,1,True,7,453415017,67.734520,13.919928,299.649658,254034.562500,nan,2.930736,24.300688,4896768,256,10.97,132,False,False,ReLU,EARLY_STOPPED,67.59655762,67.81099701,67.64201355,111,1.003172,False,"[""142.24618530"", ""135.80538940"", ""114.77803040"", ""110.06381226"", ""108.77169800"", ""103.71726990"", ""104.86309814"", ""103.33368683"", ""104.17308807"", ""104.38954926"", ""104.49459839"", ""102.91787720"", ""104.27435303"", ""103.68936157"", ""102.93829346"", ""103.02064514"", ""103.73084259"", ""102.90383911"", ""102.26715851"", ""102.28182983"", ""102.83883667"", ""102.25869751"", ""102.05654144"", ""101.90607452"", ""102.33098602"", ""102.87696075"", ""101.97864532"", ""102.04571533"", ""102.02863312"", ""102.02428436"", ""101.72976685"", ""102.27744293"", ""96.96910858"", ""83.15077209"", ""71.14946747"", ""72.13919067"", ""73.56072235"", ""72.56206512"", ""69.56021881"", ""71.21474457"", ""71.09818268"", ""69.14173889"", ""69.85587311"", ""69.38352966"", ""70.34287262"", ""70.88749695"", ""69.54303741"", ""69.23221588"", ""70.41962433"", ""70.35259247"", ""69.43968964"", ""70.11059570"", ""69.60447693"", ""69.21942139"", ""69.46511078"", ""69.08756256"", ""69.30721283"", ""68.91579437"", ""69.01308441"", ""68.74297333"", ""68.65239716"", ""68.81334686"", ""68.46198273"", ""68.64703369"", ""68.79813385"", ""68.49914551"", ""68.48567963"", ""68.84513855"", ""68.56404877"", ""68.58224487"", ""68.36199188"", ""68.51409912"", ""68.64929962"", ""68.42189026"", ""68.15080261"", ""68.55536652"", ""68.45696259"", ""68.25254059"", ""68.28184509"", ""68.42060089"", ""68.24968719"", ""68.31819153"", ""68.29161072"", ""68.36729431"", ""68.06794739"", ""68.08349609"", ""68.52949524"", ""68.57263184"", ""68.31073761"", ""68.65611267"", ""68.17149353"", ""67.97706604"", ""68.19192505"", ""68.15566254"", ""68.06122589"", ""68.28592682"", ""68.33303833"", ""68.25387573"", ""68.03762054"", ""67.77090454"", ""68.47782135"", ""67.85312653"", ""67.88234711"", ""68.00492096"", ""68.11268616"", ""68.05663300"", ""67.97724152"", ""67.92913055"", ""67.97576904"", ""67.96154022"", ""67.78194427"", ""67.59655762"", ""67.89157104"", ""67.81301117"", ""67.77056122"", ""67.75606537"", ""67.86986542"", ""67.96456146"", ""68.04290771"", ""68.19744110"", ""67.66271973"", ""68.36164856"", ""68.01494598"", ""68.05461884"", ""67.74806976"", ""68.17791748"", ""67.71376801"", ""68.06800079"", ""67.78810883"", ""68.04495239"", ""67.83364105"", ""67.81099701""]"
milk_convergence,Milk6_baseline,convergence_baseline,['Generic'],Milk,12,6,24,6,1,True,8,1696826178,34.897854,7.833361,168.626144,144735.453125,nan,1.649255,13.845245,4896768,256,8.46,107,False,False,ReLU,EARLY_STOPPED,34.93672180,35.10007858,35.10214615,86,1.004676,False,"[""90.43746948"", ""64.61776733"", ""64.67546844"", ""47.42034149"", ""44.22819901"", ""41.27957535"", ""39.54436874"", ""38.79012680"", ""38.87651825"", ""38.79933167"", ""37.98482132"", ""38.33724594"", ""38.34610367"", ""38.07800293"", ""38.00450134"", ""37.71503448"", ""37.19505692"", ""36.61795425"", ""37.14246750"", ""36.23576355"", ""36.93947983"", ""37.88222885"", ""36.63740921"", ""36.19619751"", ""36.65753555"", ""36.11676407"", ""36.71456909"", ""36.38501358"", ""36.43789291"", ""36.61144257"", ""36.39603424"", ""36.04783249"", ""35.70360947"", ""35.73144531"", ""36.45260620"", ""36.35158920"", ""35.72559738"", ""36.98055649"", ""36.16219330"", ""36.43614960"", ""35.76829529"", ""36.32923508"", ""35.83622742"", ""36.01066589"", ""36.51324081"", ""35.89589310"", ""36.78496933"", ""36.45998764"", ""35.78298187"", ""35.89437866"", ""35.67213821"", ""35.41859436"", ""35.54552841"", ""36.42898941"", ""36.14656448"", ""35.93046951"", ""35.50722504"", ""35.59767151"", ""35.60806656"", ""35.71692276"", ""35.54127502"", ""35.58770370"", ""35.36227036"", ""35.78232956"", ""35.82266998"", ""36.35427475"", ""36.76241684"", ""37.19812012"", ""35.68369293"", ""35.76103210"", ""35.66804504"", ""36.47609329"", ""36.42198563"", ""36.16505814"", ""36.16952896"", ""35.65445709"", ""35.51766205"", ""35.42489243"", ""35.58973694"", ""35.24140549"", ""35.53673172"", ""35.53057861"", ""36.00520706"", ""35.64886093"", ""35.75552750"", ""35.51253891"", ""34.93672180"", ""35.20960999"", ""35.43411636"", ""35.32966995"", ""35.63937378"", ""35.74350357"", ""35.51752090"", ""35.36444473"", ""35.92860031"", ""35.07453537"", ""35.39464188"", ""35.46847534"", ""35.37107849"", ""35.27305603"", ""35.50355530"", ""35.26493454"", ""35.12918091"", ""35.21961594"", ""35.25142288"", ""35.35515594"", ""35.10007858""]"
milk_convergence,Milk6_baseline,convergence_baseline,['Generic'],Milk,12,6,24,6,1,True,9,2007242399,34.865055,7.176597,154.488220,120193.523438,nan,1.510978,11.497588,4896768,256,7.76,91,False,False,ReLU,EARLY_STOPPED,35.02285385,35.77173233,36.11666107,70,1.021383,False,"[""72.48353577"", ""44.89741516"", ""58.14148712"", ""47.47986603"", ""41.56665039"", ""45.24241638"", ""41.40839386"", ""41.53386307"", ""39.71932602"", ""40.37150955"", ""39.31626892"", ""39.62317657"", ""39.80252457"", ""39.05590820"", ""38.04964066"", ""38.15498352"", ""37.76209641"", ""37.54318619"", ""36.87190247"", ""36.46125412"", ""36.49002457"", ""36.14227676"", ""37.14220047"", ""36.88333893"", ""36.25081635"", ""36.34713364"", ""36.08314896"", ""36.04960251"", ""37.13515854"", ""36.85564804"", ""36.00294876"", ""35.87944412"", ""36.71074677"", ""36.86639404"", ""36.39316177"", ""36.13348007"", ""36.26926804"", ""35.92988968"", ""36.13671494"", ""36.16802597"", ""36.73430634"", ""36.00329971"", ""35.48722839"", ""37.03884506"", ""36.42090225"", ""36.73270416"", ""35.63596725"", ""36.74524307"", ""35.99354935"", ""35.98374939"", ""36.32450867"", ""35.98511887"", ""35.75438309"", ""37.01462173"", ""35.46230698"", ""35.94034195"", ""35.63674545"", ""36.20213699"", ""36.00349045"", ""35.74871445"", ""36.04557419"", ""35.66275787"", ""35.70653915"", ""35.64963531"", ""35.70925140"", ""35.60303879"", ""35.70954895"", ""35.47613907"", ""35.57196426"", ""35.72481918"", ""35.02285385"", ""36.26910400"", ""35.80101013"", ""35.10551453"", ""36.70835495"", ""35.17098999"", ""35.86434937"", ""35.77640533"", ""35.34016800"", ""35.41519165"", ""35.42756271"", ""35.21098328"", ""35.11106491"", ""36.09585190"", ""35.52151871"", ""35.80741119"", ""35.15173340"", ""35.66455460"", ""36.48723221"", ""35.70549011"", ""35.77173233""]"
