model_type,config_name,dataset,horizon,backcast_length,n_stacks,n_blocks_per_stack,run,seed,mse,mae,denorm_mse,denorm_mae,smape,n_params,training_time_seconds,epochs_trained,stopping_reason,best_val_loss,loss_function,active_g,normalize,train_ratio,val_ratio,include_target,stack_types,n_pools_kernel_size,n_freq_downsample,sampling_style,steps_per_epoch,sampling_weights
NHiTSNet,NHiTS-Generic,weather,96,480,3,1,2,3,0.162433,0.222882,2338.205566,15.229930,66.294067,1576960,307.91,25,MAX_STEPS,0.40563399,MSELoss,False,True,0.7,0.1,True,['NHiTSGenericRoot'],"[2, 2, 2]","[180, 60, 1]",paper,1024,uniform
NHiTSNet,NHiTS-Generic,weather,96,480,3,1,0,1,0.160991,0.220450,2218.664062,14.476551,64.399986,1576960,319.49,25,MAX_STEPS,0.40605339,MSELoss,False,True,0.7,0.1,True,['NHiTSGenericRoot'],"[2, 2, 2]","[180, 60, 1]",paper,1024,uniform
NHiTSNet,NHiTS-Generic,weather,96,480,3,1,3,4,0.167901,0.228128,2289.984375,14.376418,64.362625,1576960,319.51,25,MAX_STEPS,0.41005880,MSELoss,False,True,0.7,0.1,True,['NHiTSGenericRoot'],"[2, 2, 2]","[180, 60, 1]",paper,1024,uniform
NHiTSNet,NHiTS-Generic,weather,96,480,3,1,1,2,0.163362,0.233099,2505.403809,16.538460,71.931908,1576960,318.96,25,MAX_STEPS,0.40628213,MSELoss,False,True,0.7,0.1,True,['NHiTSGenericRoot'],"[2, 2, 2]","[180, 60, 1]",paper,1024,uniform
NHiTSNet,NHiTS-Generic,weather,96,480,3,1,4,5,0.161172,0.218843,2489.464844,15.812232,61.476337,1576960,316.24,25,MAX_STEPS,0.40567112,MSELoss,False,True,0.7,0.1,True,['NHiTSGenericRoot'],"[2, 2, 2]","[180, 60, 1]",paper,1024,uniform
NHiTSNet,NHiTS-Generic,weather,96,480,3,1,5,6,0.161609,0.223032,2442.802490,15.294276,66.186844,1576960,317.51,25,MAX_STEPS,0.40988469,MSELoss,False,True,0.7,0.1,True,['NHiTSGenericRoot'],"[2, 2, 2]","[180, 60, 1]",paper,1024,uniform
NHiTSNet,NHiTS-Generic,weather,96,480,3,1,6,7,0.170295,0.242111,2529.891357,16.661947,72.602280,1576960,312.99,25,MAX_STEPS,0.40197161,MSELoss,False,True,0.7,0.1,True,['NHiTSGenericRoot'],"[2, 2, 2]","[180, 60, 1]",paper,1024,uniform
NHiTSNet,NHiTS-TrendWaveletAELG,weather,96,480,3,1,0,1,0.163162,0.220215,2509.272949,15.860578,63.242088,282769,479.20,25,MAX_STEPS,0.40404928,MSELoss,False,True,0.7,0.1,True,['TrendWaveletAELG'],"[2, 2, 2]","[180, 60, 1]",paper,1024,uniform
NHiTSNet,NHiTS-TrendWaveletAELG,weather,96,480,3,1,1,2,0.164080,0.233915,2520.419434,16.946001,69.279137,282769,479.15,25,MAX_STEPS,0.40656754,MSELoss,False,True,0.7,0.1,True,['TrendWaveletAELG'],"[2, 2, 2]","[180, 60, 1]",paper,1024,uniform
NHiTSNet,NHiTS-TrendWaveletAELG,weather,96,480,3,1,2,3,0.161439,0.218165,2304.523926,14.923779,63.967800,282769,477.60,25,MAX_STEPS,0.40122977,MSELoss,False,True,0.7,0.1,True,['TrendWaveletAELG'],"[2, 2, 2]","[180, 60, 1]",paper,1024,uniform
