model_type,config_name,dataset,horizon,backcast_length,n_stacks,n_blocks_per_stack,run,seed,mse,mae,denorm_mse,denorm_mae,smape,n_params,training_time_seconds,epochs_trained,stopping_reason,best_val_loss,loss_function,active_g,normalize,train_ratio,val_ratio,include_target,stack_types,n_pools_kernel_size,n_freq_downsample,sampling_style,steps_per_epoch,sampling_weights
NHiTSSliding,NHiTS-Generic,weather,96,480,3,1,0,1,0.170777,0.231545,2213.541260,14.948851,70.157364,2411520,57.03,6,MAX_EPOCHS,0.44130683,MSELoss,False,True,0.7,0.1,True,['NHiTSGenericRoot'],,,sliding,,uniform
NHiTSSliding,NHiTS-Generic,weather,96,480,3,1,1,2,0.169960,0.224890,2191.107178,14.611882,65.189171,2411520,59.76,6,MAX_EPOCHS,0.43232298,MSELoss,False,True,0.7,0.1,True,['NHiTSGenericRoot'],,,sliding,,uniform
NHiTSSliding,NHiTS-Generic,weather,96,480,3,1,3,4,0.169754,0.233834,2243.578369,14.992260,68.391731,2411520,61.96,6,MAX_EPOCHS,0.41952652,MSELoss,False,True,0.7,0.1,True,['NHiTSGenericRoot'],,,sliding,,uniform
NHiTSSliding,NHiTS-Generic,weather,96,480,3,1,4,5,0.167303,0.224160,2249.901611,15.386212,67.026558,2411520,66.28,6,MAX_EPOCHS,0.42633650,MSELoss,False,True,0.7,0.1,True,['NHiTSGenericRoot'],,,sliding,,uniform
NHiTSSliding,NHiTS-TrendWaveletAE,weather,96,480,3,1,0,1,0.160436,0.215209,2222.504639,14.444627,63.357414,372825,97.98,6,MAX_EPOCHS,0.39942950,MSELoss,False,True,0.7,0.1,True,['TrendWaveletAE'],,,sliding,,uniform
NHiTSSliding,NHiTS-TrendWaveletAE,weather,96,480,3,1,1,2,0.159899,0.218872,2356.493164,15.395649,64.823166,372825,98.13,6,MAX_EPOCHS,0.40204003,MSELoss,False,True,0.7,0.1,True,['TrendWaveletAE'],,,sliding,,uniform
NHiTSSliding,NHiTS-TrendWaveletAE,weather,96,480,3,1,2,3,0.160187,0.217106,2372.923828,15.093754,63.112621,372825,95.86,6,MAX_EPOCHS,0.40149441,MSELoss,False,True,0.7,0.1,True,['TrendWaveletAE'],,,sliding,,uniform
NHiTSSliding,NHiTS-TrendWaveletAE,weather,96,480,3,1,3,4,0.158518,0.214261,2231.681396,14.632963,64.397881,372825,94.76,6,MAX_EPOCHS,0.40375254,MSELoss,False,True,0.7,0.1,True,['TrendWaveletAE'],,,sliding,,uniform
NHiTSSliding,NHiTS-TrendWaveletAE,weather,96,480,3,1,4,5,0.162908,0.222508,2471.028320,15.488442,66.380180,372825,93.13,6,MAX_EPOCHS,0.41161689,MSELoss,False,True,0.7,0.1,True,['TrendWaveletAE'],,,sliding,,uniform
NHiTSSliding,NHiTS-GenericAE,weather,96,480,3,1,0,1,0.167499,0.223264,2294.813965,15.032182,65.235664,1674288,81.94,6,MAX_EPOCHS,0.40190491,MSELoss,False,True,0.7,0.1,True,['GenericAE'],,,sliding,,uniform
NHiTSSliding,NHiTS-GenericAE,weather,96,480,3,1,1,2,0.169445,0.228116,2190.528076,15.404149,66.254349,1674288,83.70,6,MAX_EPOCHS,0.41100281,MSELoss,False,True,0.7,0.1,True,['GenericAE'],,,sliding,,uniform
NHiTSSliding,NHiTS-GenericAE,weather,96,480,3,1,2,3,0.168194,0.232362,2316.753906,15.491374,68.441864,1674288,83.81,6,MAX_EPOCHS,0.40054446,MSELoss,False,True,0.7,0.1,True,['GenericAE'],,,sliding,,uniform
NHiTSSliding,NHiTS-GenericAE,weather,96,480,3,1,3,4,0.169391,0.229168,2256.587402,15.306824,67.191147,1674288,85.76,6,MAX_EPOCHS,0.41204605,MSELoss,False,True,0.7,0.1,True,['GenericAE'],,,sliding,,uniform
