model_type,config_name,dataset,horizon,backcast_length,n_stacks,n_blocks_per_stack,run,seed,mse,mae,denorm_mse,denorm_mae,smape,n_params,training_time_seconds,epochs_trained,stopping_reason,best_val_loss,loss_function,active_g,normalize,train_ratio,val_ratio,include_target,stack_types,n_pools_kernel_size,n_freq_downsample
NHiTSNet,Pool-2x2x2_Freq-168x24x1,weather,96,480,3,1,0,1,0.179634,0.240973,2414.746582,16.063356,67.551033,3154432,687.56,26,EARLY_STOPPED,0.4295584,MSELoss,False,True,0.7,0.1,True,['Generic'],"[2, 2, 2]","[168, 24, 1]"
NHiTSNet,Pool-2x2x2_Freq-168x24x1,weather,96,480,3,1,1,2,0.185274,0.239245,2453.560059,15.84151,66.199326,3154432,687.27,26,EARLY_STOPPED,0.4359124,MSELoss,False,True,0.7,0.1,True,['Generic'],"[2, 2, 2]","[168, 24, 1]"
NHiTSNet,Pool-2x2x2_Freq-24x12x1,weather,96,480,3,1,0,1,0.176082,0.230597,2305.214844,14.912778,67.349945,3158016,692.12,26,EARLY_STOPPED,0.4250364,MSELoss,False,True,0.7,0.1,True,['Generic'],"[2, 2, 2]","[24, 12, 1]"
NHiTSNet,Pool-2x2x2_Freq-24x12x1,weather,96,480,3,1,1,2,0.185335,0.244307,2517.518555,15.818247,69.214828,3158016,691.33,26,EARLY_STOPPED,0.43366855,MSELoss,False,True,0.7,0.1,True,['Generic'],"[2, 2, 2]","[24, 12, 1]"
NHiTSNet,Pool-2x2x2_Freq-1x1x1,weather,96,480,3,1,1,2,0.185092,0.243764,2306.382812,15.541187,67.87249,3250176,672.1,26,EARLY_STOPPED,0.44272318,MSELoss,False,True,0.7,0.1,True,['Generic'],"[2, 2, 2]","[1, 1, 1]"
NHiTSNet,Pool-2x2x2_Freq-1x1x1,weather,96,480,3,1,0,1,0.17861,0.232199,2252.371582,14.902031,67.773186,3250176,672.9,26,EARLY_STOPPED,0.42956719,MSELoss,False,True,0.7,0.1,True,['Generic'],"[2, 2, 2]","[1, 1, 1]"
NHiTSNet,Pool-16x8x1_Freq-168x24x1,weather,96,480,3,1,1,2,0.18338,0.239771,2316.767334,15.148592,66.174187,3000832,706.03,26,EARLY_STOPPED,0.4307746,MSELoss,False,True,0.7,0.1,True,['Generic'],"[16, 8, 1]","[168, 24, 1]"
NHiTSNet,Pool-16x8x1_Freq-168x24x1,weather,96,480,3,1,0,1,0.182635,0.239524,2480.62915,15.643011,67.856674,3000832,706.06,26,EARLY_STOPPED,0.44071779,MSELoss,False,True,0.7,0.1,True,['Generic'],"[16, 8, 1]","[168, 24, 1]"
NHiTSNet,Pool-16x8x1_Freq-24x12x1,weather,96,480,3,1,0,1,0.183102,0.238193,2288.122803,15.230613,68.854477,3004416,697.65,26,EARLY_STOPPED,0.44402155,MSELoss,False,True,0.7,0.1,True,['Generic'],"[16, 8, 1]","[24, 12, 1]"
NHiTSNet,Pool-16x8x1_Freq-24x12x1,weather,96,480,3,1,1,2,0.181519,0.233595,2216.058594,14.401633,64.616066,3004416,699.23,26,EARLY_STOPPED,0.43938535,MSELoss,False,True,0.7,0.1,True,['Generic'],"[16, 8, 1]","[24, 12, 1]"
NHiTSNet,Pool-16x8x1_Freq-1x1x1,weather,96,480,3,1,0,1,0.185652,0.238699,2145.271484,14.247206,64.999458,3096576,683.73,26,EARLY_STOPPED,0.44759446,MSELoss,False,True,0.7,0.1,True,['Generic'],"[16, 8, 1]","[1, 1, 1]"
NHiTSNet,Pool-16x8x1_Freq-1x1x1,weather,96,480,3,1,1,2,0.176254,0.232781,2110.037354,14.421268,66.398483,3096576,685.61,26,EARLY_STOPPED,0.43547785,MSELoss,False,True,0.7,0.1,True,['Generic'],"[16, 8, 1]","[1, 1, 1]"
NHiTSNet,Pool-2x2x2_Freq-168x24x1,weather,192,960,3,1,0,1,0.280257,0.315923,4356.567383,17.7572,77.667198,3942912,714.14,26,EARLY_STOPPED,0.56673533,MSELoss,False,True,0.7,0.1,True,['Generic'],"[2, 2, 2]","[168, 24, 1]"
NHiTSNet,Pool-2x2x2_Freq-168x24x1,weather,192,960,3,1,1,2,0.275189,0.314967,4175.07959,17.554773,77.355759,3942912,716.1,26,EARLY_STOPPED,0.54925698,MSELoss,False,True,0.7,0.1,True,['Generic'],"[2, 2, 2]","[168, 24, 1]"
NHiTSNet,Pool-2x2x2_Freq-24x12x1,weather,192,960,3,1,0,1,0.281056,0.315729,4138.804199,17.752512,77.445374,3950592,708.94,26,EARLY_STOPPED,0.56375122,MSELoss,False,True,0.7,0.1,True,['Generic'],"[2, 2, 2]","[24, 12, 1]"
NHiTSNet,Pool-2x2x2_Freq-24x12x1,weather,192,960,3,1,1,2,0.267742,0.309101,3817.60376,17.459358,78.223854,3950592,711.59,26,EARLY_STOPPED,0.5561251,MSELoss,False,True,0.7,0.1,True,['Generic'],"[2, 2, 2]","[24, 12, 1]"
NHiTSNet,Pool-2x2x2_Freq-1x1x1,weather,192,960,3,1,0,1,0.265833,0.307201,3599.553955,17.228315,78.190575,4134912,693.92,26,EARLY_STOPPED,0.54876488,MSELoss,False,True,0.7,0.1,True,['Generic'],"[2, 2, 2]","[1, 1, 1]"
NHiTSNet,Pool-2x2x2_Freq-1x1x1,weather,192,960,3,1,1,2,0.286651,0.320961,4034.467773,18.286255,80.844353,4134912,696.27,26,EARLY_STOPPED,0.56285417,MSELoss,False,True,0.7,0.1,True,['Generic'],"[2, 2, 2]","[1, 1, 1]"
NHiTSNet,Pool-16x8x1_Freq-168x24x1,weather,192,960,3,1,1,2,0.277285,0.319653,4027.858154,18.422897,79.470352,3635712,706.96,26,EARLY_STOPPED,0.54148179,MSELoss,False,True,0.7,0.1,True,['Generic'],"[16, 8, 1]","[168, 24, 1]"
NHiTSNet,Pool-16x8x1_Freq-168x24x1,weather,192,960,3,1,0,1,0.316636,0.317418,4736.412598,17.425795,75.287521,3635712,1482.8,55,EARLY_STOPPED,0.55458593,MSELoss,False,True,0.7,0.1,True,['Generic'],"[16, 8, 1]","[168, 24, 1]"
NHiTSNet,Pool-16x8x1_Freq-24x12x1,weather,192,960,3,1,0,1,0.312616,0.313949,4540.377441,16.859596,74.290321,3643392,1209.63,45,EARLY_STOPPED,0.5540958,MSELoss,False,True,0.7,0.1,True,['Generic'],"[16, 8, 1]","[24, 12, 1]"
