experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,t_width,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,search_round,arch_pattern,ae_variant,latent_dim_cfg,thetas_dim_cfg,trend_thetas_dim_cfg,meta_predicted_best,meta_convergence_score
ae_search_r1,AutoEncoder_ld2_td5_ttd3_ag0,ae_search_round1,"['Trend', 'AutoEncoder']",Tourism-Yearly,1,4,8,10,1,True,0,42,25.737131,3.832032,184759.937500,3554166439936.000000,nan,1.892272,51.203922,5016405,256,1.02,7,False,False,ReLU,MAX_EPOCHS,30.89670753,30.89670753,38.42495346,6,1.000000,False,"[""97.68183899"", ""49.84564590"", ""33.04959106"", ""33.90111160"", ""33.48274612"", ""32.41034317"", ""30.89670753""]",1,trend_ae_alternating,AutoEncoder,2,5,3,27.470121,0.281220
ae_search_r1,AutoEncoder_ld2_td5_ttd3_ag0,ae_search_round1,"['Trend', 'AutoEncoder']",Tourism-Yearly,1,4,8,10,1,True,1,43,31.349081,4.854006,171196.093750,2497045331968.000000,nan,2.341384,46.827457,5016405,256,0.59,7,False,False,ReLU,MAX_EPOCHS,32.89817047,34.31268692,40.54836273,4,1.042997,False,"[""96.64752960"", ""45.10659790"", ""42.03549194"", ""40.16614914"", ""32.89817047"", ""33.27376556"", ""34.31268692""]",1,trend_ae_alternating,AutoEncoder,2,5,3,28.111842,0.290870
ae_search_r1,AutoEncoder_ld2_td5_ttd3_ag0,ae_search_round1,"['Trend', 'AutoEncoder']",Tourism-Yearly,1,4,8,10,1,True,2,44,27.401266,4.245226,167672.203125,2810231390208.000000,nan,2.115659,48.567429,5016405,256,0.63,7,False,False,ReLU,MAX_EPOCHS,30.38650513,30.38650513,39.40141296,6,1.000000,False,"[""103.77651215"", ""42.78401184"", ""50.35107040"", ""37.07632446"", ""36.05160904"", ""33.88954163"", ""30.38650513""]",1,trend_ae_alternating,AutoEncoder,2,5,3,30.348421,0.292440
ae_search_r1,AutoEncoder_ld2_td5_ttd5_ag0,ae_search_round1,"['Trend', 'AutoEncoder']",Tourism-Yearly,1,4,8,10,1,True,0,42,31.125206,4.773346,116199.687500,1034157883392.000000,nan,2.074061,22.906918,5018975,256,0.45,7,False,False,ReLU,MAX_EPOCHS,34.21436691,40.56689835,40.97419739,2,1.185669,False,"[""120.46564484"", ""65.14796448"", ""34.21436691"", ""55.45111465"", ""40.06635666"", ""37.55474472"", ""40.56689835""]",1,trend_ae_alternating,AutoEncoder,2,5,5,30.839767,0.256005
ae_search_r1,AutoEncoder_ld2_td5_ttd5_ag0,ae_search_round1,"['Trend', 'AutoEncoder']",Tourism-Yearly,1,4,8,10,1,True,1,43,28.419785,4.333576,204283.046875,4098477260800.000000,nan,2.177240,67.451485,5018975,256,0.50,7,False,False,ReLU,MAX_EPOCHS,32.93521881,32.93521881,39.39062881,6,1.000000,False,"[""82.75019073"", ""35.59975052"", ""60.33784866"", ""55.14257431"", ""36.47292709"", ""33.56488037"", ""32.93521881""]",1,trend_ae_alternating,AutoEncoder,2,5,5,30.233949,0.365364
ae_search_r1,AutoEncoder_ld2_td5_ttd5_ag0,ae_search_round1,"['Trend', 'AutoEncoder']",Tourism-Yearly,1,4,8,10,1,True,2,44,27.162737,4.273813,219271.078125,5204570275840.000000,nan,2.235051,83.201927,5018975,256,0.65,7,False,False,ReLU,MAX_EPOCHS,32.70299911,32.70299911,42.21326065,6,1.000000,False,"[""99.78623199"", ""47.42160416"", ""42.20126343"", ""35.69270325"", ""35.34195709"", ""37.75308228"", ""32.70299911""]",1,trend_ae_alternating,AutoEncoder,2,5,5,31.857089,0.319253
ae_search_r1,AutoEncoder_ld8_td5_ttd3_ag0,ae_search_round1,"['Trend', 'AutoEncoder']",Tourism-Yearly,1,4,8,10,1,True,0,42,28.482935,4.443209,187323.890625,3388411215872.000000,nan,2.168127,54.648354,5062515,256,0.51,7,False,False,ReLU,MAX_EPOCHS,34.48228073,34.48228073,41.00317001,6,1.000000,False,"[""117.26177979"", ""66.35855103"", ""35.95346451"", ""40.65872574"", ""41.98008347"", ""36.29016495"", ""34.48228073""]",1,trend_ae_alternating,AutoEncoder,8,5,3,29.044466,0.247689
ae_search_r1,AutoEncoder_ld8_td5_ttd3_ag0,ae_search_round1,"['Trend', 'AutoEncoder']",Tourism-Yearly,1,4,8,10,1,True,1,43,24.460251,3.647796,184901.859375,3730571788288.000000,nan,1.835396,53.810593,5062515,256,0.71,7,False,False,ReLU,MAX_EPOCHS,29.17421532,29.17421532,36.00595093,6,1.000000,False,"[""94.29351807"", ""43.68886185"", ""35.94059753"", ""34.99073029"", ""31.17258453"", ""30.73980141"", ""29.17421532""]",1,trend_ae_alternating,AutoEncoder,8,5,3,25.860436,0.274255
ae_search_r1,AutoEncoder_ld8_td5_ttd3_ag0,ae_search_round1,"['Trend', 'AutoEncoder']",Tourism-Yearly,1,4,8,10,1,True,2,44,26.018497,3.865812,163473.421875,2610205294592.000000,nan,1.760669,34.749222,5062515,256,0.51,7,False,False,ReLU,MAX_EPOCHS,30.97213554,30.97213554,38.76220703,6,1.000000,False,"[""98.57427979"", ""50.37784576"", ""32.36069107"", ""36.44885254"", ""32.91035461"", ""32.65861511"", ""30.97213554""]",1,trend_ae_alternating,AutoEncoder,8,5,3,27.882128,0.282854
ae_search_r1,AutoEncoder_ld8_td5_ttd5_ag0,ae_search_round1,"['Trend', 'AutoEncoder']",Tourism-Yearly,1,4,8,10,1,True,0,42,31.636154,4.891499,225151.703125,4593846583296.000000,nan,2.366082,68.753494,5065085,256,0.52,7,False,False,ReLU,MAX_EPOCHS,36.88057327,36.88057327,40.57560349,6,1.000000,False,"[""110.89598846"", ""64.25324249"", ""38.21913147"", ""50.41651154"", ""49.67470932"", ""38.37276840"", ""36.88057327""]",1,trend_ae_alternating,AutoEncoder,8,5,5,31.992942,0.288495
