experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,t_width,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,arch_family,block_type_primary,backbone,stack_pattern,wavelet_family,basis_dim_label,latent_dim_cfg,trend_thetas_dim_cfg,skip_distance_cfg,active_g_cfg,kl_weight_cfg
comprehensive_sweep_tourism,NBEATS-G_10s_ag0,paper_baseline,['Generic'],Tourism-Yearly,1,4,20,10,1,True,0,1556192750,22.052917,3.262177,126107.117188,1693725360128.000000,nan,1.469066,21.353567,8110080,256,6.31,112,False,False,ReLU,EARLY_STOPPED,26.76568794,32.66491318,47.52901840,11,1.220403,False,"[""78.40171051"", ""49.34353256"", ""43.06089783"", ""34.63512039"", ""30.67804337"", ""31.28308296"", ""28.24454498"", ""27.53819084"", ""29.96669197"", ""27.71866417"", ""28.15428352"", ""26.76568794"", ""27.73191261"", ""28.54487419"", ""28.88338280"", ""29.65577316"", ""29.19494629"", ""28.74271584"", ""28.12985802"", ""28.50218773"", ""30.56830406"", ""28.36338806"", ""28.54361916"", ""30.81653595"", ""29.61783600"", ""28.83354950"", ""31.77451515"", ""30.30096245"", ""29.86465073"", ""29.64422417"", ""28.72095299"", ""30.05515480"", ""29.60894585"", ""29.55946541"", ""31.28609085"", ""29.95305634"", ""30.74316978"", ""29.76797676"", ""30.31571960"", ""29.56719780"", ""33.64951324"", ""32.57738876"", ""31.61764717"", ""29.94280434"", ""30.37857246"", ""32.71082687"", ""35.01172638"", ""30.54849243"", ""29.53565788"", ""30.76523972"", ""29.70792580"", ""30.46280289"", ""31.25974846"", ""31.31362534"", ""30.90534782"", ""31.58304977"", ""32.36921692"", ""34.44603729"", ""30.51309586"", ""29.94684982"", ""30.49716949"", ""32.74001312"", ""29.97896194"", ""30.90407753"", ""32.08536530"", ""31.86163330"", ""32.09661484"", ""32.91470718"", ""33.21757507"", ""30.34637260"", ""31.02017021"", ""31.22833824"", ""32.74362564"", ""32.07962036"", ""30.13085938"", ""33.11946869"", ""32.08078766"", ""30.35994720"", ""30.89274788"", ""31.97270966"", ""29.53420830"", ""31.32338715"", ""33.51780319"", ""31.15694427"", ""33.61147690"", ""33.81955338"", ""31.05772018"", ""33.15224457"", ""34.83860397"", ""30.79787827"", ""31.81278992"", ""33.36778641"", ""28.54295731"", ""30.92334557"", ""32.33140564"", ""30.75073242"", ""28.53614998"", ""30.03730392"", ""31.20147514"", ""30.99543571"", ""31.93673897"", ""31.20463753"", ""34.26893616"", ""30.40941048"", ""31.66016388"", ""33.46425247"", ""30.96712685"", ""29.88891602"", ""33.62955475"", ""34.61457062"", ""31.71494102"", ""32.66491318""]",paper_baseline,Generic,RootBlock,homogeneous,,,,,0,False,
comprehensive_sweep_tourism,NBEATS-G_10s_ag0,paper_baseline,['Generic'],Tourism-Yearly,1,4,20,10,1,True,1,1729498368,21.629089,3.226367,154348.140625,2605288521728.000000,nan,1.551714,30.795576,8110080,256,5.74,108,False,False,ReLU,EARLY_STOPPED,27.02448845,38.10058594,35.28090286,7,1.409854,False,"[""78.40032196"", ""53.49580383"", ""32.48671722"", ""31.29749107"", ""30.98860168"", ""29.88849449"", ""27.67024231"", ""27.02448845"", ""30.99079132"", ""33.30196762"", ""29.59317207"", ""28.03261948"", ""27.73384666"", ""28.86909866"", ""30.63584900"", ""29.17171097"", ""30.20845222"", ""32.25817490"", ""28.34282112"", ""29.08381653"", ""29.68826485"", ""31.29828644"", ""30.84503365"", ""29.49362373"", ""31.06421661"", ""29.16698074"", ""29.47377586"", ""31.51845932"", ""33.62094879"", ""29.71308517"", ""30.36736107"", ""29.76010323"", ""29.16482735"", ""30.92560005"", ""32.62990570"", ""31.12235069"", ""30.67313194"", ""40.71465683"", ""30.80895615"", ""30.61441994"", ""30.10792732"", ""29.48344040"", ""33.11235809"", ""31.90813065"", ""28.06209373"", ""28.32486725"", ""31.28286171"", ""29.81522369"", ""29.64110184"", ""30.77135468"", ""31.55093002"", ""30.61879921"", ""30.14034271"", ""30.97960663"", ""31.67538071"", ""32.32637787"", ""33.21829224"", ""33.97231674"", ""31.23654938"", ""30.78304672"", ""31.65419579"", ""29.91507149"", ""30.25672340"", ""31.78469658"", ""30.52592087"", ""32.00438690"", ""30.99734306"", ""29.60640526"", ""30.93522072"", ""32.46912384"", ""32.00941086"", ""32.62751007"", ""36.15053558"", ""30.72551346"", ""31.04562187"", ""32.34162903"", ""33.44018936"", ""34.24422455"", ""32.47148132"", ""30.34186745"", ""29.09917259"", ""32.95532608"", ""34.18756866"", ""32.96951675"", ""33.81960678"", ""32.86150360"", ""33.43484879"", ""34.46812820"", ""33.39043045"", ""31.28527832"", ""35.29154968"", ""36.28437042"", ""34.44367981"", ""34.84418488"", ""35.98729324"", ""33.17221069"", ""34.89313507"", ""35.11969376"", ""35.43238068"", ""35.08679199"", ""34.61131287"", ""35.97838974"", ""35.59385681"", ""36.86030579"", ""38.43453598"", ""34.18245316"", ""36.41474533"", ""38.10058594""]",paper_baseline,Generic,RootBlock,homogeneous,,,,,0,False,
comprehensive_sweep_tourism,NBEATS-G_10s_ag0,paper_baseline,['Generic'],Tourism-Yearly,1,4,20,10,1,True,4,1935764159,21.757824,3.186342,131679.265625,2032892248064.000000,nan,1.458346,22.468922,8110080,256,5.87,116,False,False,ReLU,EARLY_STOPPED,27.82112503,31.43748283,22.99118805,15,1.129986,False,"[""41.93948364"", ""30.13626671"", ""34.40844345"", ""30.52117348"", ""29.34105492"", ""27.99052048"", ""28.04240417"", ""29.41836548"", ""31.82515335"", ""30.70850563"", ""28.40343094"", ""28.40358734"", ""31.06734467"", ""28.07386017"", ""28.27982521"", ""27.82112503"", ""30.30831146"", ""28.26185417"", ""28.40247917"", ""29.50352097"", ""29.33562660"", ""29.83806992"", ""28.43241882"", ""30.20449638"", ""29.59559441"", ""32.28635788"", ""30.76254463"", ""29.33419037"", ""30.71237755"", ""31.96180534"", ""29.00639343"", ""29.99778557"", ""29.40355301"", ""29.94489479"", ""29.90088844"", ""32.63652420"", ""32.38598251"", ""31.28425789"", ""31.47689056"", ""31.07333755"", ""29.97119522"", ""29.89515686"", ""33.11973953"", ""30.59162712"", ""30.26986885"", ""30.86011887"", ""31.39258575"", ""33.67134857"", ""32.56015015"", ""31.81467247"", ""31.80134392"", ""30.66853714"", ""32.25457382"", ""31.94888687"", ""32.06387711"", ""31.09941101"", ""33.55254364"", ""31.06866455"", ""32.17076111"", ""31.34114456"", ""30.14950943"", ""30.36612320"", ""33.46330261"", ""33.58589172"", ""31.05376053"", ""32.12781525"", ""32.28570175"", ""32.06990433"", ""33.87042236"", ""32.22020340"", ""29.35701370"", ""29.55323982"", ""32.62957001"", ""30.31360435"", ""32.64192200"", ""32.10845947"", ""32.78313828"", ""33.85094833"", ""34.92330551"", ""29.41926765"", ""30.26225090"", ""33.15767288"", ""30.13221550"", ""33.17990875"", ""32.00265884"", ""31.45133591"", ""33.13211060"", ""31.34060097"", ""33.47496414"", ""36.58346939"", ""31.62936211"", ""33.52271652"", ""38.99666977"", ""30.80114746"", ""29.38375473"", ""34.23873520"", ""31.99381638"", ""30.84903145"", ""31.74394798"", ""34.01181412"", ""32.83544540"", ""33.90138245"", ""33.07065964"", ""35.41696167"", ""31.02918434"", ""33.67481613"", ""37.44660950"", ""31.34920502"", ""33.32709122"", ""30.88327980"", ""31.11630058"", ""35.19494247"", ""33.44280624"", ""32.82628250"", ""36.14136505"", ""31.43748283""]",paper_baseline,Generic,RootBlock,homogeneous,,,,,0,False,
comprehensive_sweep_tourism,NBEATS-G_10s_ag0,paper_baseline,['Generic'],Tourism-Yearly,1,4,20,10,1,True,7,1921899062,21.785259,3.184733,143422.984375,2285123928064.000000,nan,1.477862,24.347607,8110080,256,5.74,111,False,False,ReLU,EARLY_STOPPED,26.85915947,35.80747986,31.17972374,10,1.333157,False,"[""51.35745239"", ""35.31240463"", ""30.23495865"", ""31.66209030"", ""27.92911339"", ""26.91508675"", ""28.31533432"", ""28.42836189"", ""27.86186981"", ""31.50753593"", ""26.85915947"", ""28.99077415"", ""31.21565628"", ""30.05654526"", ""28.36244011"", ""27.90949440"", ""31.08283806"", ""30.47882080"", ""30.44012642"", ""29.18949890"", ""27.85715675"", ""29.20744133"", ""29.43795967"", ""29.84836578"", ""30.14999390"", ""29.12467003"", ""28.81838036"", ""29.94079399"", ""28.88210487"", ""28.78175926"", ""29.77559662"", ""30.37399292"", ""31.38774872"", ""28.59180641"", ""30.06938171"", ""30.08586311"", ""29.12340355"", ""29.18733788"", ""30.69726944"", ""31.46935654"", ""30.63712502"", ""30.75275803"", ""28.47970009"", ""29.21146584"", ""29.32993126"", ""29.52361870"", ""30.41168785"", ""30.29805565"", ""29.95111084"", ""30.35129547"", ""29.77490997"", ""30.26793480"", ""30.52464867"", ""31.02842522"", ""30.87730789"", ""35.29436493"", ""31.57012367"", ""29.64456940"", ""30.73150253"", ""32.21925735"", ""34.16650391"", ""32.06267548"", ""29.92022324"", ""32.71547699"", ""31.52781677"", ""31.29236031"", ""33.15959930"", ""35.47588730"", ""32.67274475"", ""33.57357407"", ""34.01683807"", ""31.72102356"", ""34.36798859"", ""31.78400612"", ""34.12274933"", ""31.24112320"", ""31.54174614"", ""30.03200722"", ""32.28720474"", ""33.20507050"", ""31.77236748"", ""32.66467667"", ""30.74820328"", ""31.92642212"", ""32.31572723"", ""30.34351158"", ""33.30815887"", ""32.41662216"", ""35.83082581"", ""31.02363205"", ""32.10073853"", ""32.46982956"", ""31.34004784"", ""32.71574402"", ""31.10083008"", ""31.62727547"", ""33.24509811"", ""36.17627716"", ""32.48388672"", ""32.27486038"", ""30.85468674"", ""33.46718979"", ""33.56716919"", ""31.36771584"", ""33.62258148"", ""31.39949608"", ""31.94934654"", ""32.87853241"", ""30.26522255"", ""35.82619476"", ""35.80747986""]",paper_baseline,Generic,RootBlock,homogeneous,,,,,0,False,
comprehensive_sweep_tourism,NBEATS-G_10s_ag0,paper_baseline,['Generic'],Tourism-Yearly,1,4,20,10,1,True,8,908532556,21.253500,3.106712,120581.054688,1521836621824.000000,nan,1.388904,19.035172,8110080,256,6.05,115,False,False,ReLU,EARLY_STOPPED,26.51344490,32.88908386,25.22194290,14,1.240468,False,"[""45.37887192"", ""31.66100502"", ""30.40004921"", ""28.60650444"", ""27.07610130"", ""30.28577614"", ""38.64481735"", ""29.03038788"", ""32.56264496"", ""27.94828415"", ""32.51225662"", ""30.75078964"", ""30.40703583"", ""28.68184090"", ""26.51344490"", ""27.07413101"", ""27.94179535"", ""28.13159180"", ""29.70077705"", ""32.63887787"", ""28.19465446"", ""29.46185875"", ""30.53657722"", ""29.52069855"", ""27.62285233"", ""28.30965996"", ""30.27938271"", ""30.22580147"", ""29.69173431"", ""32.24390793"", ""29.76336861"", ""29.31335449"", ""30.94775581"", ""29.73923683"", ""29.03484917"", ""30.26431274"", ""29.98406601"", ""29.64373589"", ""29.67644501"", ""31.89090347"", ""29.59600067"", ""29.11846542"", ""31.82472038"", ""30.50168228"", ""32.54896927"", ""31.14089775"", ""29.33079338"", ""29.41512871"", ""36.74650955"", ""32.98751068"", ""31.74211502"", ""31.05362892"", ""30.00558281"", ""30.76346588"", ""30.22263336"", ""31.12074852"", ""33.31351089"", ""29.74797249"", ""32.75926971"", ""32.44542694"", ""30.50988197"", ""31.69337082"", ""33.55706406"", ""32.33809662"", ""31.09073448"", ""31.22701645"", ""31.66236496"", ""31.94147491"", ""31.68204689"", ""33.94975281"", ""30.94631958"", ""31.24825287"", ""34.99093628"", ""35.80588913"", ""27.35551071"", ""29.10840797"", ""31.15365601"", ""31.68602943"", ""30.31817055"", ""29.65267754"", ""31.40929413"", ""30.63209534"", ""30.96791458"", ""31.61880302"", ""30.92316818"", ""32.91468048"", ""34.27832413"", ""30.32342339"", ""30.74668503"", ""31.08488083"", ""31.24725723"", ""32.41200638"", ""31.38621330"", ""31.46140289"", ""31.85464287"", ""32.19243240"", ""30.23190117"", ""31.78285980"", ""32.76084137"", ""30.33489037"", ""30.01783371"", ""31.44038963"", ""31.48085976"", ""31.45878029"", ""32.79422760"", ""32.99694824"", ""33.69464493"", ""33.47201157"", ""32.79683304"", ""32.66174698"", ""34.77714920"", ""31.86768913"", ""33.30403137"", ""33.40546799"", ""32.88908386""]",paper_baseline,Generic,RootBlock,homogeneous,,,,,0,False,
comprehensive_sweep_tourism,NBEATS-G_10s_ag0,paper_baseline,['Generic'],Tourism-Yearly,1,4,20,10,1,True,9,218658717,21.553885,3.161531,134667.375000,1877186838528.000000,nan,1.439264,20.653931,8110080,256,5.79,111,False,False,ReLU,EARLY_STOPPED,26.90204811,34.52209091,27.72018242,10,1.283251,False,"[""52.35238647"", ""34.67264557"", ""31.42271233"", ""35.25483322"", ""29.61718750"", ""30.44542122"", ""28.08727837"", ""30.86304092"", ""30.30745888"", ""29.53631210"", ""26.90204811"", ""28.47668839"", ""29.83312035"", ""30.62020683"", ""28.96627045"", ""28.89599037"", ""28.41172218"", ""28.54107666"", ""29.59336281"", ""31.04093361"", ""28.80071449"", ""29.30941772"", ""29.00833130"", ""29.02864265"", ""30.01059151"", ""30.06223679"", ""29.90632248"", ""30.09483528"", ""29.44366837"", ""31.80883789"", ""32.67514038"", ""34.94763184"", ""29.93995285"", ""28.82873917"", ""29.81573868"", ""32.94612885"", ""31.33937073"", ""30.09842873"", ""31.41277504"", ""31.04224396"", ""31.74843979"", ""30.61065292"", ""31.90256310"", ""32.35552979"", ""29.55987358"", ""31.14267349"", ""30.59498215"", ""31.00141335"", ""31.58765602"", ""32.58280563"", ""31.65430069"", ""33.04317474"", ""30.62255096"", ""30.36259842"", ""31.89004135"", ""32.39911270"", ""34.64926529"", ""30.75436020"", ""31.04079247"", ""31.52733231"", ""34.13513184"", ""29.75466347"", ""32.60176468"", ""30.42437363"", ""31.92003822"", ""32.73083115"", ""31.23770332"", ""32.17067337"", ""32.60025787"", ""37.48637009"", ""30.81753540"", ""32.26884842"", ""30.53108215"", ""30.73492241"", ""32.29410934"", ""32.23693466"", ""31.33655930"", ""34.26245880"", ""33.07001877"", ""32.16592026"", ""33.10713196"", ""34.41669083"", ""31.79742241"", ""33.99744415"", ""32.48194122"", ""34.65356445"", ""33.19694138"", ""34.92741776"", ""37.03148651"", ""34.65607834"", ""32.59819794"", ""35.07716370"", ""30.66371155"", ""34.46596909"", ""35.30138397"", ""34.81814957"", ""34.41397476"", ""31.22429848"", ""38.40834045"", ""32.44659424"", ""32.33158493"", ""32.57171249"", ""31.87537003"", ""31.88862991"", ""32.93783188"", ""34.30691528"", ""36.70774078"", ""34.32185364"", ""32.81377029"", ""32.48464966"", ""34.52209091""]",paper_baseline,Generic,RootBlock,homogeneous,,,,,0,False,
comprehensive_sweep_tourism,NBEATS-G_10s_agf,paper_baseline,['Generic'],Tourism-Yearly,1,4,20,10,1,True,0,2082055356,21.793997,3.230831,124580.335938,1712666574848.000000,nan,1.455232,22.449574,8110080,256,6.50,117,forecast,False,ReLU,EARLY_STOPPED,27.56485939,32.28590012,26.20356941,16,1.171270,False,"[""58.63344955"", ""45.73453522"", ""40.39157867"", ""35.80350876"", ""32.02121353"", ""34.22177505"", ""30.93097496"", ""28.23377800"", ""28.93367577"", ""28.99972916"", ""28.53378487"", ""29.96928406"", ""28.18891907"", ""30.18176079"", ""30.70188141"", ""27.68984222"", ""27.56485939"", ""27.73065948"", ""29.42820549"", ""27.69610977"", ""27.91321945"", ""28.47171211"", ""30.82574272"", ""30.02301979"", ""29.91409492"", ""28.39746666"", ""29.33776093"", ""29.34231567"", ""30.00811958"", ""31.19248772"", ""31.34219551"", ""30.07669640"", ""32.59656143"", ""30.11472511"", ""28.99762726"", ""28.51025200"", ""30.34025955"", ""29.43371964"", ""29.63763046"", ""29.80175018"", ""30.06303978"", ""32.05940247"", ""30.90242195"", ""32.19860840"", ""32.65856171"", ""31.57661247"", ""29.79018211"", ""30.47386742"", ""32.32145309"", ""40.54026031"", ""32.90187454"", ""32.01600266"", ""31.31938934"", ""30.80630112"", ""29.23802948"", ""31.26695061"", ""30.46686363"", ""33.07466888"", ""33.86235809"", ""31.65741920"", ""33.06409073"", ""29.88163948"", ""32.21430588"", ""32.18054581"", ""30.32006645"", ""34.91090012"", ""32.70754242"", ""31.99583435"", ""30.18309975"", ""32.82554626"", ""31.33782196"", ""30.84138870"", ""33.10624695"", ""31.25511742"", ""31.31260490"", ""31.52057457"", ""32.88898849"", ""31.51547241"", ""30.44044113"", ""33.34539413"", ""34.07594299"", ""30.99121857"", ""29.85492325"", ""28.96281815"", ""31.98202896"", ""31.89310646"", ""31.46759415"", ""31.78216553"", ""30.45034599"", ""32.46209335"", ""31.76197815"", ""32.28568268"", ""30.47283363"", ""31.83215904"", ""33.32955551"", ""31.51748276"", ""35.58346939"", ""32.98866653"", ""35.24452591"", ""34.02856445"", ""32.26898193"", ""34.96821594"", ""31.88779640"", ""33.78884888"", ""33.16662598"", ""34.19432068"", ""32.22724915"", ""33.38687134"", ""30.96926308"", ""29.63599586"", ""30.86613083"", ""31.03229332"", ""31.08706284"", ""33.50830078"", ""33.63700485"", ""34.94120789"", ""32.28590012""]",paper_baseline,Generic,RootBlock,homogeneous,,,,,0,forecast,
comprehensive_sweep_tourism,NBEATS-G_10s_agf,paper_baseline,['Generic'],Tourism-Yearly,1,4,20,10,1,True,1,130645715,23.082752,3.464380,156801.500000,2965219573760.000000,nan,1.657041,34.599953,8110080,256,6.77,124,forecast,False,ReLU,EARLY_STOPPED,27.69221306,30.77207947,23.24881935,23,1.111218,False,"[""61.24638748"", ""47.58913422"", ""32.62118912"", ""34.26145554"", ""30.45981026"", ""31.52446365"", ""28.26793861"", ""29.71564865"", ""28.13352585"", ""29.16348648"", ""27.79367065"", ""27.83415604"", ""27.97713280"", ""29.29892921"", ""30.07187653"", ""28.44736862"", ""28.15059090"", ""29.55690384"", ""28.45522499"", ""28.33142090"", ""27.96591759"", ""29.86709213"", ""28.95313072"", ""27.69221306"", ""29.36707878"", ""30.37532425"", ""28.52392578"", ""29.57980347"", ""30.49685287"", ""28.20874023"", ""28.11752892"", ""28.97484779"", ""31.03431892"", ""29.91717529"", ""28.69648552"", ""28.85407448"", ""30.87513924"", ""29.54031944"", ""29.39826393"", ""28.78278351"", ""30.62755775"", ""28.75593948"", ""30.47863007"", ""29.91865540"", ""29.14340019"", ""31.44319534"", ""29.88798714"", ""29.69721031"", ""29.25720215"", ""30.61137772"", ""29.97678947"", ""29.71520996"", ""34.03139877"", ""31.43692970"", ""32.93833542"", ""30.11359596"", ""33.80348587"", ""30.87239647"", ""29.04726601"", ""29.64196205"", ""31.19782829"", ""30.42637825"", ""32.34204865"", ""31.38038826"", ""31.27442932"", ""31.49446487"", ""30.61469269"", ""31.04716110"", ""31.46931839"", ""31.69795609"", ""32.25917053"", ""30.14687538"", ""29.98369408"", ""35.93292999"", ""32.27488327"", ""30.92960930"", ""30.38577843"", ""32.66157150"", ""32.33990860"", ""32.27136230"", ""33.15154648"", ""32.17143631"", ""33.00535583"", ""30.98349380"", ""33.34797668"", ""30.79264259"", ""33.21585464"", ""36.11264038"", ""32.04349136"", ""31.08459091"", ""32.42266464"", ""33.76226425"", ""32.01257324"", ""30.35983276"", ""32.70117950"", ""31.97419930"", ""34.51668549"", ""32.17681503"", ""31.71611404"", ""35.18662262"", ""31.73121452"", ""30.24660683"", ""30.83952522"", ""31.79507256"", ""31.01222038"", ""32.23099899"", ""34.45054245"", ""33.68705368"", ""32.00423813"", ""36.70586014"", ""32.67620850"", ""30.73492432"", ""33.37566376"", ""31.91481590"", ""30.06218338"", ""31.54117393"", ""32.54400635"", ""35.07559586"", ""31.27291107"", ""32.84047318"", ""31.40435410"", ""32.65369415"", ""32.12343979"", ""30.77207947""]",paper_baseline,Generic,RootBlock,homogeneous,,,,,0,forecast,
comprehensive_sweep_tourism,NBEATS-G_10s_agf,paper_baseline,['Generic'],Tourism-Yearly,1,4,20,10,1,True,2,1202319507,23.485916,8.643537,101565.000000,845312229376.000000,nan,7.503213,19570.781250,8110080,256,6.78,130,forecast,False,ReLU,EARLY_STOPPED,27.71275711,32.57667542,25.75256729,29,1.175512,False,"[""70.57613373"", ""39.97406387"", ""31.61470222"", ""30.63665199"", ""27.99061775"", ""28.46294975"", ""27.72964478"", ""31.12362671"", ""29.21987152"", ""29.44166374"", ""33.13105774"", ""30.45814514"", ""28.96218109"", ""28.16476631"", ""28.42913246"", ""29.04093361"", ""29.54657173"", ""29.91323280"", ""29.54919815"", ""29.00799370"", ""31.50543022"", ""30.75894165"", ""30.36185837"", ""30.47640991"", ""29.80362129"", ""33.03955078"", ""33.66196442"", ""33.54257965"", ""35.51047897"", ""27.71275711"", ""30.92028809"", ""31.70558357"", ""29.64919090"", ""28.13276482"", ""28.35719872"", ""33.26180649"", ""32.04065704"", ""30.69024849"", ""29.53938484"", ""29.31560898"", ""30.36834908"", ""31.06275368"", ""31.03318024"", ""29.92914009"", ""31.23493576"", ""33.37581635"", ""32.50654602"", ""32.29446030"", ""30.98299026"", ""29.73468781"", ""30.70886803"", ""33.21998596"", ""32.45466995"", ""31.58816910"", ""31.92856407"", ""31.07328606"", ""29.93781471"", ""30.47572136"", ""34.94133377"", ""33.58683395"", ""34.71794510"", ""30.89174080"", ""32.99749756"", ""32.29019165"", ""32.65909958"", ""32.13638306"", ""30.73708344"", ""30.49705315"", ""31.61349297"", ""32.86627960"", ""34.02642822"", ""30.26058769"", ""31.53132248"", ""32.20473480"", ""34.32749939"", ""34.46216583"", ""30.35812950"", ""31.56588364"", ""32.55327988"", ""32.56863785"", ""34.61704254"", ""32.74437332"", ""32.52602768"", ""32.57197571"", ""35.21825790"", ""30.87394142"", ""33.49303055"", ""31.87088585"", ""29.82506180"", ""32.25805283"", ""34.59779739"", ""32.88983154"", ""30.96492004"", ""32.69692993"", ""32.45476913"", ""32.28574371"", ""35.47787476"", ""34.37896347"", ""33.23979950"", ""37.83780289"", ""35.49946594"", ""31.51468658"", ""32.83105469"", ""34.38528824"", ""35.11267471"", ""33.43138504"", ""33.13706970"", ""32.39028549"", ""32.37985229"", ""32.95543289"", ""30.74222183"", ""33.75119019"", ""35.11803436"", ""31.95625877"", ""33.90111923"", ""32.31621170"", ""33.14929199"", ""36.21742630"", ""33.20597076"", ""31.71349335"", ""38.05020905"", ""35.75992584"", ""32.88576126"", ""33.30350113"", ""33.51145172"", ""33.68860626"", ""33.25234985"", ""34.65792084"", ""33.74802017"", ""32.57667542""]",paper_baseline,Generic,RootBlock,homogeneous,,,,,0,forecast,
comprehensive_sweep_tourism,NBEATS-G_10s_agf,paper_baseline,['Generic'],Tourism-Yearly,1,4,20,10,1,True,3,1780182260,21.497389,3.127100,114180.789062,1452541083648.000000,nan,1.405011,15.695969,8110080,256,6.85,129,forecast,False,ReLU,EARLY_STOPPED,26.92185974,33.86867142,53.80998993,28,1.258036,False,"[""72.17248535"", ""44.19875336"", ""31.07360077"", ""32.54632950"", ""31.53198051"", ""28.32055664"", ""27.77517891"", ""30.96429253"", ""29.03800201"", ""28.14443970"", ""30.05358887"", ""30.99222755"", ""27.46793747"", ""28.24900818"", ""31.73077011"", ""31.59657860"", ""31.64743423"", ""28.88647652"", ""30.04758835"", ""27.99414444"", ""29.12244034"", ""27.75403404"", ""28.74127007"", ""29.57174301"", ""29.94983101"", ""29.45474434"", ""29.19371414"", ""29.04898834"", ""26.92185974"", ""29.93417549"", ""28.80109978"", ""31.03588867"", ""31.22499084"", ""35.89292145"", ""29.24046326"", ""29.48355484"", ""29.44677544"", ""30.76826096"", ""30.54506683"", ""30.92828751"", ""30.73095703"", ""28.94268608"", ""29.81747627"", ""29.80341339"", ""28.93157196"", ""30.70585251"", ""29.53181267"", ""30.02885246"", ""28.84644699"", ""29.15472984"", ""29.06704330"", ""29.09586525"", ""30.33541679"", ""31.48041916"", ""30.02868652"", ""29.50773048"", ""30.31319237"", ""31.02456474"", ""29.23328018"", ""30.94603348"", ""30.02640533"", ""30.93238068"", ""31.18677711"", ""29.16898537"", ""29.86037064"", ""31.26713943"", ""30.67622375"", ""32.47749329"", ""31.47545052"", ""30.96519279"", ""32.03149033"", ""28.63131142"", ""30.36924553"", ""32.30419159"", ""31.22319984"", ""29.48657608"", ""29.63303185"", ""30.45731163"", ""30.36462593"", ""30.62320518"", ""30.87036133"", ""32.48646927"", ""31.07523155"", ""29.94055557"", ""31.35339737"", ""31.69271469"", ""30.78549004"", ""31.48760796"", ""32.20812988"", ""32.40400314"", ""31.09452248"", ""30.62359619"", ""31.47316933"", ""32.76845932"", ""34.82551956"", ""33.38186646"", ""31.99466133"", ""32.65061188"", ""33.31472015"", ""33.93739700"", ""30.50711632"", ""30.28153229"", ""34.69329834"", ""32.47903824"", ""30.87598610"", ""31.72467804"", ""31.37020683"", ""33.22137451"", ""35.05204773"", ""34.56474686"", ""33.35706329"", ""33.61627960"", ""33.66090775"", ""34.24300766"", ""34.11112595"", ""34.58904648"", ""33.36971664"", ""32.42703247"", ""34.05732727"", ""31.94095421"", ""31.76154137"", ""31.50213051"", ""32.35402679"", ""33.22650146"", ""30.29675674"", ""33.83786774"", ""34.25529099"", ""34.04674530"", ""33.86867142""]",paper_baseline,Generic,RootBlock,homogeneous,,,,,0,forecast,
