experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,search_round,architecture,skip_distance_cfg,skip_alpha_cfg,meta_predicted_best,meta_convergence_score
resnet_skip_study_r1,GAELG10_no_skip,genAELG_baseline,['GenericAELG'],Tourism-Yearly,1,4,8,10,1,True,0,42,37.595642,6.368674,119605.226562,831886262272.000000,nan,2.653565,29.722891,1485120,1.24,10,False,False,ReLU,MAX_EPOCHS,38.02146149,38.02146149,48.15189362,9,1.000000,False,"[""164.69519043"", ""115.54824066"", ""68.81788635"", ""39.10476685"", ""48.80921173"", ""58.21619034"", ""57.42432404"", ""50.61940002"", ""42.34408569"", ""38.02146149""]",1,GenericAELG,0,none,39.10476685,0.23743721
resnet_skip_study_r1,GAELG10_no_skip,genAELG_baseline,['GenericAELG'],Tourism-Yearly,1,4,8,10,1,True,1,43,27.262814,4.001383,93164.773438,566997680128.000000,nan,1.633174,13.847414,1485120,0.53,10,False,False,ReLU,MAX_EPOCHS,34.54524994,34.54524994,41.81290436,9,1.000000,False,"[""134.74467468"", ""81.55158234"", ""42.76480865"", ""44.69522476"", ""53.96789169"", ""52.59267044"", ""44.84612274"", ""37.06647491"", ""34.58090591"", ""34.54524994""]",1,GenericAELG,0,none,31.61573582,0.23463440
resnet_skip_study_r1,GAELG10_no_skip,genAELG_baseline,['GenericAELG'],Tourism-Yearly,1,4,8,10,1,True,2,44,32.145641,5.008532,108038.187500,594315640832.000000,nan,2.131538,19.365891,1485120,0.44,10,False,False,ReLU,MAX_EPOCHS,34.83932495,35.20568466,43.10333252,8,1.010516,False,"[""138.38206482"", ""86.78919983"", ""46.52854538"", ""45.28073883"", ""54.38319397"", ""53.66798782"", ""46.49340439"", ""37.96813202"", ""34.83932495"", ""35.20568466""]",1,GenericAELG,0,none,34.93424148,0.25244775
resnet_skip_study_r1,GAELG20_no_skip,genAELG_baseline,['GenericAELG'],Tourism-Yearly,1,4,8,20,1,True,0,42,30.473890,4.987956,139747.015625,1468548907008.000000,nan,2.243759,37.054897,2970240,0.69,10,False,False,ReLU,MAX_EPOCHS,31.39660645,31.54725647,39.78138733,8,1.004798,False,"[""88.05777740"", ""36.48834229"", ""49.76938248"", ""48.43582916"", ""42.08544922"", ""40.92938614"", ""37.88250351"", ""32.23033905"", ""31.39660645"", ""31.54725647""]",1,GenericAELG,0,none,35.50355486,0.40318477
resnet_skip_study_r1,GAELG20_no_skip,genAELG_baseline,['GenericAELG'],Tourism-Yearly,1,4,8,20,1,True,1,43,26.764812,4.382905,110690.906250,1069264011264.000000,nan,1.967526,37.099190,2970240,0.79,10,False,False,ReLU,MAX_EPOCHS,32.07427979,32.07427979,44.21638107,9,1.000000,False,"[""108.43363953"", ""45.96857071"", ""51.93904114"", ""59.57139587"", ""52.36603165"", ""40.69744492"", ""34.74797821"", ""35.57750702"", ""35.18255997"", ""32.07427979""]",1,GenericAELG,0,none,31.60711029,0.29148805
resnet_skip_study_r1,GAELG20_no_skip,genAELG_baseline,['GenericAELG'],Tourism-Yearly,1,4,8,20,1,True,2,44,25.411373,3.724147,111121.023438,1034123345920.000000,nan,1.665056,19.173096,2970240,0.91,10,False,False,ReLU,MAX_EPOCHS,29.08699799,30.21031570,37.88957596,8,1.038619,False,"[""93.62263489"", ""46.29724503"", ""53.27299881"", ""52.19031525"", ""40.94591904"", ""36.08939362"", ""35.80147934"", ""32.60992813"", ""29.08699799"", ""30.21031570""]",1,GenericAELG,0,none,27.90642371,0.29807347
resnet_skip_study_r1,GAELG30_no_skip,genAELG_baseline,['GenericAELG'],Tourism-Yearly,1,4,8,30,1,True,0,42,69.888069,9.086651,252123.593750,4834255175680.000000,nan,4.026296,125.290092,4455360,1.11,10,False,False,ReLU,MAX_EPOCHS,70.71725464,70.71725464,80.23809814,9,1.000000,False,"[""86.54849243"", ""93.54813385"", ""94.27655792"", ""85.21798706"", ""77.21703339"", ""77.44673157"", ""77.25289917"", ""73.21336365"", ""73.69686127"", ""70.71725464""]",1,GenericAELG,0,none,77.21703339,0.89218230
resnet_skip_study_r1,GAELG30_no_skip,genAELG_baseline,['GenericAELG'],Tourism-Yearly,1,4,8,30,1,True,1,43,27.711470,4.806288,156159.750000,2335956533248.000000,nan,2.357935,71.161697,4455360,1.29,10,False,False,ReLU,MAX_EPOCHS,30.40916634,30.40916634,40.93970871,9,1.000000,False,"[""60.59407043"", ""49.35876465"", ""51.54348755"", ""39.58631516"", ""34.50721359"", ""34.07885361"", ""30.80489349"", ""31.79778290"", ""33.18165207"", ""30.40916634""]",1,GenericAELG,0,none,29.16734795,0.48135647
resnet_skip_study_r1,GAELG30_no_skip,genAELG_baseline,['GenericAELG'],Tourism-Yearly,1,4,8,30,1,True,2,44,28.568077,5.291598,160257.750000,2367618023424.000000,nan,2.540428,88.637444,4455360,1.28,10,False,False,ReLU,MAX_EPOCHS,32.11989594,32.11989594,42.60998535,9,1.000000,False,"[""84.94426727"", ""95.59439087"", ""98.12261200"", ""82.12601471"", ""53.68312454"", ""38.43714142"", ""33.19920731"", ""32.26265335"", ""32.90182114"", ""32.11989594""]",1,GenericAELG,0,none,28.94179033,0.34071505
resnet_skip_study_r1,GAELG10_skip5_learn,genAELG_control,['GenericAELG'],Tourism-Yearly,1,4,8,10,1,True,0,42,37.734787,6.399798,120723.257812,850738675712.000000,nan,2.665217,29.978376,1485121,0.52,10,False,False,ReLU,MAX_EPOCHS,38.15863800,38.15863800,48.11618042,9,1.000000,False,"[""164.56230164"", ""115.21854401"", ""68.43655396"", ""39.02093887"", ""48.90519714"", ""58.19087601"", ""57.36064911"", ""50.55230331"", ""42.36927414"", ""38.15863800""]",1,GenericAELG,5,learnable,39.02093887,0.23711955
