experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,search_round,architecture,skip_distance_cfg,skip_alpha_cfg
resnet_skip_study_v2_r1,GAE10_no_skip,genericAE_baseline,['GenericAE'],Tourism-Yearly,1,4,8,10,1,True,0,42,26.517248,3.992142,106999.906250,914579324928.000000,nan,1.740352,20.989639,1484960,1.19,15,False,False,ReLU,MAX_EPOCHS,29.68325233,33.76995468,39.54178238,12,1.137677,False,"[""156.01733398"", ""96.45942688"", ""50.29275513"", ""43.44579697"", ""51.98501968"", ""50.05032349"", ""42.24800491"", ""35.35683823"", ""35.82107925"", ""37.79293823"", ""36.62094879"", ""32.87915421"", ""29.68325233"", ""31.38820457"", ""33.76995468""]",1,GenericAE,0,none
resnet_skip_study_v2_r1,GAE10_no_skip,genericAE_baseline,['GenericAE'],Tourism-Yearly,1,4,8,10,1,True,1,43,23.379494,3.552596,145417.828125,2099442876416.000000,nan,1.623482,29.026583,1484960,0.69,15,False,False,ReLU,MAX_EPOCHS,28.53092003,28.53092003,35.69698334,14,1.000000,False,"[""118.41778564"", ""60.06362534"", ""39.42561722"", ""44.79054642"", ""41.98268509"", ""36.76131821"", ""35.05612183"", ""33.42194366"", ""30.53283691"", ""28.74812508"", ""29.87901306"", ""30.36557770"", ""29.27908897"", ""29.00263977"", ""28.53092003""]",1,GenericAE,0,none
resnet_skip_study_v2_r1,GAE10_no_skip,genericAE_baseline,['GenericAE'],Tourism-Yearly,1,4,8,10,1,True,2,44,23.221952,3.511026,144337.890625,2120099430400.000000,nan,1.628678,30.524853,1484960,0.80,15,False,False,ReLU,MAX_EPOCHS,29.54094124,29.54094124,36.64489746,14,1.000000,False,"[""121.89203644"", ""63.41632462"", ""41.93584442"", ""47.80848312"", ""46.66635132"", ""39.57809830"", ""35.95150375"", ""35.03629684"", ""33.26993561"", ""30.24983025"", ""29.56449127"", ""30.63231659"", ""30.61446762"", ""29.96307945"", ""29.54094124""]",1,GenericAE,0,none
resnet_skip_study_v2_r1,GAE20_no_skip,genericAE_baseline,['GenericAE'],Tourism-Yearly,1,4,8,20,1,True,0,42,23.301462,3.723071,132773.781250,1864705769472.000000,nan,1.762591,34.067337,2969920,1.20,15,False,False,ReLU,MAX_EPOCHS,29.43161201,30.50814629,38.01582336,12,1.036577,False,"[""61.95744324"", ""48.03832245"", ""51.14136505"", ""39.29036331"", ""34.82361603"", ""34.33560562"", ""29.75035286"", ""31.97215843"", ""34.06553650"", ""30.76312637"", ""29.55544853"", ""30.67561340"", ""29.43161201"", ""30.01188087"", ""30.50814629""]",1,GenericAE,0,none
resnet_skip_study_v2_r1,GAE20_no_skip,genericAE_baseline,['GenericAE'],Tourism-Yearly,1,4,8,20,1,True,1,43,22.538225,3.505514,124872.937500,1519633956864.000000,nan,1.607068,24.877949,2969920,1.28,15,False,False,ReLU,MAX_EPOCHS,27.16496658,27.16496658,37.15789413,14,1.000000,False,"[""87.87826538"", ""39.76447296"", ""51.21001434"", ""45.58380127"", ""39.55975723"", ""37.66965103"", ""32.61320496"", ""29.54287529"", ""31.40719223"", ""31.58782387"", ""30.15310478"", ""29.00774765"", ""28.64686584"", ""28.38142776"", ""27.16496658""]",1,GenericAE,0,none
resnet_skip_study_v2_r1,GAE20_no_skip,genericAE_baseline,['GenericAE'],Tourism-Yearly,1,4,8,20,1,True,2,44,21.536781,3.258830,147243.156250,2334202527744.000000,nan,1.528217,30.517117,2969920,1.42,15,False,False,ReLU,MAX_EPOCHS,26.92070007,26.92070007,35.18084335,14,1.000000,False,"[""74.29743195"", ""48.52789688"", ""46.92713165"", ""35.85926437"", ""36.31046677"", ""36.29359436"", ""30.85452843"", ""30.13680840"", ""32.47159195"", ""30.76162720"", ""29.33290672"", ""28.31578255"", ""27.96780205"", ""27.62816238"", ""26.92070007""]",1,GenericAE,0,none
resnet_skip_study_v2_r1,GAE30_no_skip,genericAE_baseline,['GenericAE'],Tourism-Yearly,1,4,8,30,1,True,0,42,27.735407,4.783882,139706.281250,1864688336896.000000,nan,2.275991,53.100639,4454880,1.89,15,False,False,ReLU,MAX_EPOCHS,31.06271935,31.06271935,39.68465805,14,1.000000,False,"[""74.81828308"", ""90.78971100"", ""90.39877319"", ""77.64908600"", ""71.81147003"", ""71.10506439"", ""55.03510284"", ""41.46919250"", ""39.08182907"", ""37.86666870"", ""37.21906281"", ""34.01790619"", ""31.37341690"", ""31.40029335"", ""31.06271935""]",1,GenericAE,0,none
resnet_skip_study_v2_r1,GAE30_no_skip,genericAE_baseline,['GenericAE'],Tourism-Yearly,1,4,8,30,1,True,1,43,24.940563,4.013859,121392.234375,1595452686336.000000,nan,1.830047,34.576229,4454880,1.63,15,False,False,ReLU,MAX_EPOCHS,30.50902557,30.50902557,39.64225006,14,1.000000,False,"[""42.99505234"", ""67.52833557"", ""63.24526596"", ""52.84978867"", ""41.68716431"", ""36.12644196"", ""33.73808670"", ""33.20536423"", ""33.25708389"", ""32.29209137"", ""31.58291245"", ""32.37621307"", ""31.87364960"", ""31.70203972"", ""30.50902557""]",1,GenericAE,0,none
resnet_skip_study_v2_r1,GAE30_no_skip,genericAE_baseline,['GenericAE'],Tourism-Yearly,1,4,8,30,1,True,2,44,24.663748,3.998846,154029.468750,2725148622848.000000,nan,1.969169,50.611267,4454880,1.80,15,False,False,ReLU,MAX_EPOCHS,29.21913528,29.47288132,38.02368164,11,1.008684,False,"[""76.35150909"", ""87.08468628"", ""89.63973236"", ""66.46187592"", ""44.55663681"", ""34.66378403"", ""33.17134476"", ""31.95969391"", ""30.60501862"", ""30.24388504"", ""30.01198196"", ""29.21913528"", ""30.21778679"", ""29.99766541"", ""29.47288132""]",1,GenericAE,0,none
resnet_skip_study_v2_r1,GAE20_skip5_a01,genericAE_skip,['GenericAE'],Tourism-Yearly,1,4,8,20,1,True,0,42,23.068726,3.640217,143740.765625,2162107088896.000000,nan,1.702042,33.804588,2969920,1.16,15,False,False,ReLU,MAX_EPOCHS,28.77824974,29.36768532,36.77805328,12,1.020482,False,"[""50.24128723"", ""56.39476013"", ""59.23701477"", ""45.26893234"", ""35.69835281"", ""35.01276779"", ""32.59521484"", ""30.45275497"", ""30.90739632"", ""29.81297302"", ""30.07037735"", ""30.46608543"", ""28.77824974"", ""29.35658073"", ""29.36768532""]",1,GenericAE,5,0.1
