experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,t_width,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,search_round,block_type,wavelet_type,wavelet_family,basis_dim,basis_offset,trend_dim_cfg,bd_label,latent_dim_cfg,meta_predicted_best,meta_convergence_score
trendwaveletae_search_r1,TrendWaveletAELG_coif3_eq_bcast_td3_ld16,trendwaveletae_search,['TrendWaveletAELG'],Tourism-Yearly,1,4,8,10,1,True,0,42,20.778833,3.023856,117066.812500,1392968204288.000000,nan,1.350738,16.902079,1516020,512,2.40,50,False,False,ReLU,MAX_EPOCHS,25.46626282,25.70511627,31.45638657,29,1.009379,False,"[""116.60983276"", ""46.36541367"", ""53.10876465"", ""63.16612244"", ""54.28435898"", ""42.32589722"", ""33.90425491"", ""32.82529831"", ""32.27775955"", ""30.21906662"", ""31.61691093"", ""33.54544830"", ""32.05620193"", ""29.41910934"", ""30.41966820"", ""33.34279251"", ""32.53493118"", ""29.36907768"", ""28.04734993"", ""29.07074165"", ""28.64397240"", ""27.23103523"", ""27.62322807"", ""28.23469543"", ""27.86049843"", ""26.44391632"", ""25.97123718"", ""26.27278328"", ""25.86416245"", ""25.46626282"", ""26.34984779"", ""27.32287979"", ""27.30765343"", ""26.53329659"", ""25.86156464"", ""25.72991562"", ""25.90060806"", ""25.88868523"", ""25.74039078"", ""25.66600800"", ""25.72166061"", ""25.90955162"", ""26.00809860"", ""26.00193024"", ""25.93415070"", ""25.84449387"", ""25.77599335"", ""25.73237419"", ""25.71457100"", ""25.70511627""]",1,TrendWaveletAELG,coif3,coif3,8,0,3,eq_bcast,16,38.28631644,0.32832837
trendwaveletae_search_r1,TrendWaveletAELG_coif3_eq_bcast_td3_ld16,trendwaveletae_search,['TrendWaveletAELG'],Tourism-Yearly,1,4,8,10,1,True,1,43,20.814014,2.997110,106900.218750,1146536591360.000000,nan,1.323918,16.091757,1516020,512,2.52,50,False,False,ReLU,MAX_EPOCHS,25.49982452,25.72470284,30.98788261,31,1.008819,False,"[""65.99637604"", ""46.34635925"", ""48.85813522"", ""37.51322556"", ""34.63963318"", ""35.05424118"", ""30.30174446"", ""31.72512627"", ""34.22686386"", ""32.31428146"", ""29.08609581"", ""28.93677330"", ""28.42949295"", ""28.41928291"", ""28.59696770"", ""27.64351082"", ""27.83358765"", ""28.06115150"", ""27.12000656"", ""27.70761299"", ""27.16703796"", ""26.40499496"", ""27.81303787"", ""28.63770103"", ""27.38914108"", ""25.89950943"", ""25.76130676"", ""25.58363152"", ""25.85428429"", ""25.86559868"", ""25.51436806"", ""25.49982452"", ""25.54612160"", ""25.65872574"", ""25.88669395"", ""25.81329727"", ""25.58272552"", ""25.62157822"", ""25.66555405"", ""25.71265793"", ""25.88151169"", ""25.95980072"", ""25.93267632"", ""25.85634232"", ""25.77786827"", ""25.73817062"", ""25.72301865"", ""25.72013092"", ""25.72294235"", ""25.72470284""]",1,TrendWaveletAELG,coif3,coif3,8,0,3,eq_bcast,16,30.03924435,0.45516506
trendwaveletae_search_r1,TrendWaveletAELG_coif3_eq_bcast_td3_ld16,trendwaveletae_search,['TrendWaveletAELG'],Tourism-Yearly,1,4,8,10,1,True,2,44,20.977238,3.059016,113544.742188,1327888728064.000000,nan,1.355780,17.793587,1516020,512,1.93,50,False,False,ReLU,MAX_EPOCHS,25.32026100,25.39070511,31.26384354,37,1.002782,False,"[""96.96006775"", ""41.10705948"", ""69.15322876"", ""73.48031616"", ""60.22046661"", ""41.67576981"", ""33.84947968"", ""36.50290298"", ""35.23471451"", ""31.27475929"", ""31.61705780"", ""33.01415634"", ""31.49296570"", ""30.67282677"", ""30.27910614"", ""29.95823860"", ""29.17134857"", ""29.68760490"", ""29.87590408"", ""28.19521713"", ""27.65934372"", ""28.02137947"", ""27.15088654"", ""26.64185715"", ""26.69162750"", ""26.36543274"", ""26.69191742"", ""26.59825706"", ""25.84573364"", ""25.84951210"", ""26.24837494"", ""25.88154411"", ""25.57816124"", ""25.93252563"", ""26.21536636"", ""25.90285301"", ""25.38023949"", ""25.32026100"", ""25.44585228"", ""25.44281197"", ""25.39236259"", ""25.41552544"", ""25.47841644"", ""25.50665092"", ""25.50903320"", ""25.47110558"", ""25.44118690"", ""25.41225243"", ""25.40147972"", ""25.39070511""]",1,TrendWaveletAELG,coif3,coif3,8,0,3,eq_bcast,16,38.79504297,0.40011361
trendwaveletae_search_r1,TrendWaveletAELG_coif3_eq_bcast_td3_ld16,trendwaveletae_search,['TrendWaveletAELG'],Tourism-Yearly,1,4,8,10,1,True,3,45,20.585508,2.988283,103483.562500,1087063195648.000000,nan,1.304714,14.629282,1516020,512,2.03,50,False,False,ReLU,MAX_EPOCHS,25.55137825,25.75678253,31.06255150,37,1.008039,False,"[""91.24386597"", ""38.61863708"", ""67.14312744"", ""72.71699524"", ""61.09576797"", ""43.38139725"", ""32.09108353"", ""36.52048874"", ""39.26338959"", ""36.45082855"", ""31.59266663"", ""32.00931168"", ""35.04323196"", ""34.00540161"", ""30.11581802"", ""28.63165665"", ""29.12409210"", ""28.34686852"", ""27.23985863"", ""27.01502991"", ""26.76965904"", ""26.72123337"", ""26.46518326"", ""26.42781448"", ""26.52784538"", ""26.05118179"", ""25.89564896"", ""26.06311989"", ""26.37527657"", ""26.35416985"", ""26.04407120"", ""25.99754715"", ""25.88531685"", ""25.92079353"", ""25.99565697"", ""25.84897804"", ""25.61997223"", ""25.55137825"", ""25.55809402"", ""25.59517860"", ""25.74265671"", ""25.83111572"", ""25.82149887"", ""25.76895905"", ""25.73147964"", ""25.73309326"", ""25.73905373"", ""25.74536514"", ""25.75125122"", ""25.75678253""]",1,TrendWaveletAELG,coif3,coif3,8,0,3,eq_bcast,16,38.61863708,0.42324639
trendwaveletae_search_r1,TrendWaveletAELG_coif3_eq_bcast_td3_ld16,trendwaveletae_search,['TrendWaveletAELG'],Tourism-Yearly,1,4,8,10,1,True,4,46,21.082424,3.092669,124425.492188,1591441489920.000000,nan,1.401575,20.929514,1516020,512,1.78,50,False,False,ReLU,MAX_EPOCHS,25.23745346,25.49276924,31.15635872,30,1.010117,False,"[""76.72041321"", ""37.21569443"", ""39.46279526"", ""32.21837616"", ""35.27970123"", ""34.14096832"", ""28.58948135"", ""33.94097137"", ""38.72926712"", ""35.59730530"", ""28.90120125"", ""28.75152206"", ""31.31605148"", ""30.55095291"", ""27.92834663"", ""28.58108330"", ""30.18775368"", ""28.72574043"", ""25.99559784"", ""27.20259476"", ""29.42078400"", ""28.76202393"", ""26.60563850"", ""26.11802292"", ""26.79559898"", ""26.50868034"", ""25.78117752"", ""25.93903160"", ""26.12671471"", ""25.67776108"", ""25.23745346"", ""25.24199486"", ""25.26397705"", ""25.29262924"", ""25.58777618"", ""25.72670937"", ""25.63619041"", ""25.44936752"", ""25.43719101"", ""25.47307396"", ""25.46788979"", ""25.50357246"", ""25.55801201"", ""25.61135674"", ""25.60138130"", ""25.57151985"", ""25.53894806"", ""25.51106834"", ""25.49833679"", ""25.49276924""]",1,TrendWaveletAELG,coif3,coif3,8,0,3,eq_bcast,16,27.85027866,0.36301002
trendwaveletae_search_r1,TrendWaveletAELG_coif3_eq_bcast_td3_ld16,trendwaveletae_search,['TrendWaveletAELG'],Tourism-Yearly,1,4,8,10,1,True,5,47,21.310823,3.091889,117867.484375,1454041202688.000000,nan,1.392232,18.702105,1516020,512,2.07,50,False,False,ReLU,MAX_EPOCHS,25.46800613,25.65977859,30.88624191,35,1.007530,False,"[""87.33116913"", ""35.02736282"", ""61.32970428"", ""67.25705719"", ""56.51301575"", ""39.35525894"", ""29.75791740"", ""32.91043091"", ""33.12419891"", ""30.03087616"", ""29.22528076"", ""30.30804634"", ""28.93040466"", ""27.76547050"", ""27.79810143"", ""27.30084991"", ""26.69706917"", ""26.39634895"", ""25.93932724"", ""25.97472000"", ""26.07012367"", ""26.08660126"", ""26.17047691"", ""26.04500961"", ""25.78285027"", ""25.85284424"", ""26.01323128"", ""25.90237617"", ""25.57879639"", ""25.87869453"", ""25.88494492"", ""25.84302711"", ""25.95047569"", ""25.92095375"", ""25.56455231"", ""25.46800613"", ""25.52254105"", ""25.53071976"", ""25.54400826"", ""25.51141357"", ""25.50781631"", ""25.48945808"", ""25.53085709"", ""25.58554649"", ""25.62703514"", ""25.65203857"", ""25.65568161"", ""25.65850639"", ""25.66132927"", ""25.65977859""]",1,TrendWaveletAELG,coif3,coif3,8,0,3,eq_bcast,16,35.02736282,0.40108661
trendwaveletae_search_r1,TrendWaveletAELG_coif3_eq_bcast_td3_ld16,trendwaveletae_search,['TrendWaveletAELG'],Tourism-Yearly,1,4,8,10,1,True,6,48,20.870920,3.053798,109941.914062,1185497743360.000000,nan,1.342973,15.165112,1516020,512,1.78,50,False,False,ReLU,MAX_EPOCHS,25.18920898,25.52194977,31.03097916,23,1.013210,False,"[""81.27606964"", ""38.10039139"", ""39.23130035"", ""32.84724426"", ""34.42540741"", ""31.71035767"", ""29.23214340"", ""29.18494987"", ""27.23657227"", ""26.71377373"", ""27.78218460"", ""28.00777245"", ""26.55593681"", ""28.58789635"", ""28.92536736"", ""26.60772133"", ""28.04802704"", ""29.57752419"", ""27.80630875"", ""26.77262497"", ""27.56026649"", ""26.80819702"", ""25.48056793"", ""25.18920898"", ""25.25296593"", ""25.37158394"", ""25.31736183"", ""25.50983810"", ""25.66032791"", ""25.76161003"", ""25.59706497"", ""25.50838661"", ""25.64224052"", ""25.79905128"", ""25.92757416"", ""25.75942230"", ""25.50866699"", ""25.48968887"", ""25.49123764"", ""25.50807953"", ""25.57749176"", ""25.60889053"", ""25.56315422"", ""25.51191521"", ""25.48795700"", ""25.50098228"", ""25.50756836"", ""25.51335716"", ""25.51993370"", ""25.52194977""]",1,TrendWaveletAELG,coif3,coif3,8,0,3,eq_bcast,16,25.28063304,0.31104645
trendwaveletae_search_r1,TrendWaveletAELG_coif3_eq_bcast_td3_ld16,trendwaveletae_search,['TrendWaveletAELG'],Tourism-Yearly,1,4,8,10,1,True,7,49,20.832340,3.056687,117013.851562,1386303586304.000000,nan,1.357607,17.914591,1516020,512,1.98,50,False,False,ReLU,MAX_EPOCHS,25.32168579,25.43303108,31.46857262,42,1.004397,False,"[""93.01538086"", ""37.75160599"", ""54.33880234"", ""50.34959793"", ""37.46740341"", ""31.18922424"", ""34.09722519"", ""33.03018951"", ""30.93130493"", ""33.72929764"", ""35.57134247"", ""33.21730423"", ""29.45297623"", ""30.28415489"", ""32.29200745"", ""32.26605606"", ""29.79526138"", ""26.51708794"", ""29.00504112"", ""31.87665558"", ""31.41639900"", ""28.74336243"", ""27.04681206"", ""28.64457130"", ""30.82098579"", ""30.74546432"", ""28.70570183"", ""26.27160645"", ""26.00669289"", ""26.95291138"", ""26.96821404"", ""26.08234215"", ""25.48171806"", ""25.86837196"", ""26.36857033"", ""26.43697548"", ""26.16899300"", ""25.74118614"", ""25.44923210"", ""25.40841675"", ""25.39379883"", ""25.34939003"", ""25.32168579"", ""25.36958694"", ""25.40418816"", ""25.43500900"", ""25.44440079"", ""25.43917274"", ""25.43189812"", ""25.43303108""]",1,TrendWaveletAELG,coif3,coif3,8,0,3,eq_bcast,16,27.30121240,0.29351288
trendwaveletae_search_r1,TrendWaveletAELG_coif3_eq_bcast_td3_ld16,trendwaveletae_search,['TrendWaveletAELG'],Tourism-Yearly,1,4,8,10,1,True,8,50,20.707365,3.031639,111961.328125,1284601544704.000000,nan,1.324407,15.658663,1516020,512,1.97,50,False,False,ReLU,MAX_EPOCHS,25.33053780,25.56813431,31.02396393,28,1.009380,False,"[""59.06541824"", ""51.22476959"", ""54.27314758"", ""39.53010559"", ""35.49339676"", ""32.80878067"", ""30.33176613"", ""30.40020180"", ""31.00967407"", ""29.47893715"", ""30.84128761"", ""31.24755669"", ""29.22179794"", ""29.54315567"", ""30.88379478"", ""29.95743179"", ""27.29171562"", ""27.09284401"", ""26.78313828"", ""26.89897156"", ""26.81289291"", ""26.48539162"", ""26.51076698"", ""25.97008324"", ""25.70352554"", ""25.35101700"", ""25.58242607"", ""25.68730736"", ""25.33053780"", ""25.39479446"", ""25.51162910"", ""25.43005371"", ""25.51978874"", ""25.62724686"", ""25.89848328"", ""25.93747139"", ""25.75424385"", ""25.65417290"", ""25.65370560"", ""25.61754608"", ""25.66195488"", ""25.68835068"", ""25.63242340"", ""25.57843399"", ""25.54191589"", ""25.54915810"", ""25.55414391"", ""25.56690025"", ""25.57031822"", ""25.56813431""]",1,TrendWaveletAELG,coif3,coif3,8,0,3,eq_bcast,16,28.82681306,0.48804891
trendwaveletae_search_r1,TrendWaveletAELG_coif3_eq_bcast_td3_ld16,trendwaveletae_search,['TrendWaveletAELG'],Tourism-Yearly,1,4,8,10,1,True,9,51,20.681736,2.982011,94318.500000,832977567744.000000,nan,1.270272,11.936382,1516020,512,2.13,50,False,False,ReLU,MAX_EPOCHS,25.72152328,25.72925186,31.04214287,46,1.000300,False,"[""89.03018188"", ""35.34133911"", ""43.29263306"", ""37.07772064"", ""33.32527542"", ""33.58021545"", ""31.59296799"", ""31.16941833"", ""30.49301529"", ""29.20127487"", ""27.70536041"", ""26.71078110"", ""28.15280533"", ""28.20540619"", ""27.67989922"", ""27.20514297"", ""26.51508522"", ""26.77007675"", ""26.39529991"", ""26.17622948"", ""26.27176285"", ""26.63641548"", ""26.76965904"", ""27.84624100"", ""27.73035812"", ""26.58768654"", ""26.16254425"", ""26.37586021"", ""26.18845367"", ""25.94546700"", ""25.88825607"", ""26.15645599"", ""26.18752670"", ""25.82192802"", ""25.84038353"", ""26.12966919"", ""26.19793129"", ""26.04970360"", ""26.05845261"", ""26.07621002"", ""26.07541466"", ""26.05175400"", ""25.98482132"", ""25.88940239"", ""25.80447578"", ""25.74380302"", ""25.72152328"", ""25.72432137"", ""25.72556496"", ""25.72925186""]",1,TrendWaveletAELG,coif3,coif3,8,0,3,eq_bcast,16,26.12611364,0.29345232
