experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,t_width,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,search_round,block_type,wavelet_type,wavelet_family,basis_dim,basis_offset,trend_dim_cfg,bd_label,latent_dim_cfg,meta_predicted_best,meta_convergence_score
trendwaveletae_search_r1,TrendWaveletAE_haar_eq_fcast_td3_ld16,trendwaveletae_search,['TrendWaveletAE'],Tourism-Yearly,1,4,8,10,1,True,1,43,21.075823,3.042134,98031.468750,979602046976.000000,nan,1.322061,14.716133,1459430,512,4.93,50,False,False,ReLU,MAX_EPOCHS,25.25710106,25.68461227,30.59667397,28,1.016926,False,"[""83.45748138"", ""37.94265747"", ""42.40142822"", ""43.10905838"", ""35.87854767"", ""32.13218307"", ""31.25068474"", ""29.33561516"", ""28.11452484"", ""29.02355194"", ""28.84887505"", ""27.70153046"", ""27.15051270"", ""26.62653923"", ""26.08705139"", ""25.84653854"", ""25.93305397"", ""26.00662041"", ""25.70623398"", ""25.74740601"", ""25.62128258"", ""25.47599602"", ""25.51284790"", ""25.66666031"", ""25.56715012"", ""25.31805992"", ""25.32608414"", ""25.35566139"", ""25.25710106"", ""25.49391174"", ""25.50316238"", ""25.68764687"", ""25.76286507"", ""25.59970856"", ""25.72692871"", ""25.78167915"", ""25.69099998"", ""25.76453972"", ""25.83276367"", ""25.81139183"", ""25.73259163"", ""25.69089317"", ""25.67813110"", ""25.68488503"", ""25.68484879"", ""25.68214798"", ""25.67910767"", ""25.67808342"", ""25.68068886"", ""25.68461227""]",1,TrendWaveletAE,haar,haar,4,0,3,eq_fcast,16,28.16094356,0.33742863
trendwaveletae_search_r1,TrendWaveletAE_haar_eq_fcast_td3_ld16,trendwaveletae_search,['TrendWaveletAE'],Tourism-Yearly,1,4,8,10,1,True,0,42,21.105536,3.051696,104481.367188,1164288196608.000000,nan,1.329278,14.825694,1459430,512,5.14,50,False,False,ReLU,MAX_EPOCHS,25.24715042,25.68379021,30.78470612,25,1.017295,False,"[""72.20073700"", ""36.31498337"", ""39.37842560"", ""42.28672791"", ""36.81461334"", ""32.39635086"", ""31.30921745"", ""29.77053261"", ""30.10573769"", ""30.84679031"", ""30.26647186"", ""27.98136139"", ""27.11416245"", ""27.47934723"", ""26.69627380"", ""25.56376076"", ""26.20216370"", ""26.84045219"", ""25.99985504"", ""25.33010292"", ""26.36259842"", ""26.66681671"", ""25.93153381"", ""25.34515572"", ""25.37895966"", ""25.24715042"", ""25.34337616"", ""25.94157791"", ""26.23674011"", ""25.99844360"", ""25.58863449"", ""25.39033508"", ""25.42943001"", ""25.56336784"", ""25.55162048"", ""25.71827507"", ""25.93741989"", ""26.07257652"", ""26.05492401"", ""25.92062378"", ""25.73713112"", ""25.62232971"", ""25.60994911"", ""25.62185287"", ""25.63698578"", ""25.65171814"", ""25.65230942"", ""25.67249870"", ""25.67912102"", ""25.68379021""]",1,TrendWaveletAE,haar,haar,4,0,3,eq_fcast,16,29.09673542,0.40299776
trendwaveletae_search_r1,TrendWaveletAE_haar_eq_fcast_td3_ld16,trendwaveletae_search,['TrendWaveletAE'],Tourism-Yearly,1,4,8,10,1,True,2,44,21.086092,3.043858,103525.765625,1124675616768.000000,nan,1.324268,14.922153,1459430,512,2.69,50,False,False,ReLU,MAX_EPOCHS,25.33278465,25.67387772,30.73818016,29,1.013464,False,"[""92.81169128"", ""49.90852356"", ""34.08033371"", ""46.17875671"", ""50.22472000"", ""43.05448151"", ""34.04549026"", ""32.00821686"", ""32.53855515"", ""31.61058044"", ""30.07520485"", ""30.90245819"", ""30.90010262"", ""28.63251877"", ""27.08939362"", ""27.60377312"", ""27.32358360"", ""27.04554749"", ""26.92453766"", ""26.71840477"", ""26.53673553"", ""26.39939117"", ""25.78461456"", ""25.55992889"", ""25.85087204"", ""25.71559334"", ""25.58511543"", ""25.82447243"", ""25.64820099"", ""25.33278465"", ""25.34886360"", ""25.42344093"", ""25.59346008"", ""25.62421608"", ""25.63442612"", ""25.63577843"", ""25.56407738"", ""25.44811630"", ""25.41648102"", ""25.43064308"", ""25.44639969"", ""25.44877815"", ""25.48852539"", ""25.54491997"", ""25.59325409"", ""25.63890457"", ""25.65783882"", ""25.67232513"", ""25.67260551"", ""25.67387772""]",1,TrendWaveletAE,haar,haar,4,0,3,eq_fcast,16,34.08033371,0.36719871
trendwaveletae_search_r1,TrendWaveletAE_haar_eq_fcast_td3_ld16,trendwaveletae_search,['TrendWaveletAE'],Tourism-Yearly,1,4,8,10,1,True,3,45,20.634033,2.985733,95291.257812,899333226496.000000,nan,1.278962,12.991338,1459430,512,2.67,50,False,False,ReLU,MAX_EPOCHS,25.10319901,25.71103859,30.56591415,25,1.024214,False,"[""92.28334045"", ""41.07953644"", ""39.07852554"", ""38.49777603"", ""31.78174782"", ""30.95214081"", ""31.27150917"", ""30.06853485"", ""31.38574409"", ""31.16970062"", ""29.12509537"", ""27.02040291"", ""26.06031036"", ""25.88582993"", ""25.76769257"", ""25.43811417"", ""25.29842758"", ""25.14171600"", ""25.18104935"", ""25.21555328"", ""25.33669472"", ""25.47179222"", ""25.27168465"", ""25.16234779"", ""25.18748856"", ""25.10319901"", ""25.27335930"", ""25.33059120"", ""25.42391205"", ""25.44369316"", ""25.54029465"", ""25.59794426"", ""25.49001312"", ""25.63769150"", ""25.71786308"", ""25.64920235"", ""25.69749641"", ""25.73119164"", ""25.68060684"", ""25.64473534"", ""25.68700981"", ""25.70874405"", ""25.71228981"", ""25.71827507"", ""25.71961975"", ""25.71522331"", ""25.71215248"", ""25.70512581"", ""25.71625137"", ""25.71103859""]",1,TrendWaveletAE,haar,haar,4,0,3,eq_fcast,16,24.09046021,0.26104885
trendwaveletae_search_r1,TrendWaveletAE_haar_eq_fcast_td3_ld16,trendwaveletae_search,['TrendWaveletAE'],Tourism-Yearly,1,4,8,10,1,True,4,46,21.097969,3.055675,112069.148438,1352379793408.000000,nan,1.340628,16.299706,1459430,512,2.59,50,False,False,ReLU,MAX_EPOCHS,25.33750153,25.94194794,30.36813736,20,1.023856,False,"[""77.64816284"", ""40.34268188"", ""34.26781464"", ""37.00875854"", ""33.61583710"", ""31.24861336"", ""29.57877731"", ""27.90578651"", ""28.45036316"", ""28.37047195"", ""26.57551384"", ""27.29555321"", ""28.08158112"", ""27.06211472"", ""25.69151306"", ""25.72757339"", ""25.42428589"", ""25.33827972"", ""25.63323975"", ""25.59147453"", ""25.33750153"", ""25.46234131"", ""25.36605072"", ""25.51048660"", ""25.70133591"", ""25.52910233"", ""25.46466255"", ""25.59314919"", ""25.52920914"", ""25.46766472"", ""25.53279114"", ""25.79595375"", ""25.82183456"", ""25.73760414"", ""25.74040222"", ""25.87422752"", ""25.88864517"", ""25.80793190"", ""25.82089615"", ""25.87009621"", ""25.90533257"", ""25.90949821"", ""25.90169525"", ""25.92592621"", ""25.95615768"", ""25.95689011"", ""25.94791031"", ""25.94454575"", ""25.94539452"", ""25.94194794""]",1,TrendWaveletAE,haar,haar,4,0,3,eq_fcast,16,26.89902159,0.34642187
trendwaveletae_search_r1,TrendWaveletAE_haar_eq_fcast_td3_ld16,trendwaveletae_search,['TrendWaveletAE'],Tourism-Yearly,1,4,8,10,1,True,5,47,20.890778,3.027981,99216.273438,1040472014848.000000,nan,1.302756,13.987071,1459430,512,2.68,50,False,False,ReLU,MAX_EPOCHS,25.23008537,26.08430481,30.54168510,23,1.033857,False,"[""71.34262848"", ""34.29111099"", ""45.63421631"", ""48.70868301"", ""40.54443359"", ""32.66263199"", ""32.94922256"", ""33.77650833"", ""31.91928864"", ""28.75210571"", ""28.73925018"", ""29.94008636"", ""28.87560463"", ""26.94425201"", ""25.90871811"", ""26.09245110"", ""25.80208778"", ""25.61713791"", ""25.30816269"", ""25.55347061"", ""25.90524483"", ""25.56978416"", ""25.28351593"", ""25.23008537"", ""25.23061371"", ""25.31505585"", ""25.55967903"", ""25.70179176"", ""25.69503403"", ""25.59296417"", ""25.54957962"", ""25.53312111"", ""25.53327370"", ""25.66322899"", ""25.74758911"", ""25.88191032"", ""25.88533783"", ""25.85247803"", ""25.90815735"", ""25.98588753"", ""26.07029915"", ""26.09221268"", ""26.05586624"", ""26.05409241"", ""26.06147766"", ""26.07915688"", ""26.08109474"", ""26.08752251"", ""26.08812141"", ""26.08430481""]",1,TrendWaveletAE,haar,haar,4,0,3,eq_fcast,16,30.03738154,0.42102993
trendwaveletae_search_r1,TrendWaveletAE_haar_eq_fcast_td3_ld16,trendwaveletae_search,['TrendWaveletAE'],Tourism-Yearly,1,4,8,10,1,True,6,48,21.182384,3.130723,126213.648438,1768312274944.000000,nan,1.429180,24.402164,1459430,512,3.02,50,False,False,ReLU,MAX_EPOCHS,25.33726311,25.64704514,30.64884567,29,1.012226,False,"[""87.06922913"", ""44.91352844"", ""36.65416718"", ""37.97212219"", ""34.12483597"", ""32.47148514"", ""31.47750854"", ""29.62794685"", ""30.01573753"", ""29.94996262"", ""29.08343124"", ""28.36151123"", ""28.05902100"", ""27.34392548"", ""27.72251320"", ""27.83378601"", ""27.21356773"", ""27.30311775"", ""27.08639717"", ""26.34947014"", ""25.76117897"", ""25.91975975"", ""25.65754700"", ""25.76502037"", ""26.06424904"", ""25.78800964"", ""25.41640663"", ""25.47681046"", ""25.40348816"", ""25.33726311"", ""25.43978310"", ""25.43677902"", ""25.34668350"", ""25.34593964"", ""25.42588043"", ""25.50044632"", ""25.56114197"", ""25.59425545"", ""25.55896378"", ""25.56440544"", ""25.59080505"", ""25.62895775"", ""25.64323807"", ""25.63580513"", ""25.62879944"", ""25.64233017"", ""25.64917564"", ""25.64876938"", ""25.64598656"", ""25.64704514""]",1,TrendWaveletAE,haar,haar,4,0,3,eq_fcast,16,27.28314485,0.31335002
trendwaveletae_search_r1,TrendWaveletAE_haar_eq_fcast_td3_ld16,trendwaveletae_search,['TrendWaveletAE'],Tourism-Yearly,1,4,8,10,1,True,7,49,20.812283,3.003616,97473.156250,987657994240.000000,nan,1.282731,12.631108,1459430,512,3.10,50,False,False,ReLU,MAX_EPOCHS,25.25667191,25.51879311,30.83941650,34,1.010378,False,"[""82.32188416"", ""40.96697998"", ""35.72807693"", ""38.72059631"", ""34.46768951"", ""31.68992424"", ""30.52396774"", ""30.78004074"", ""33.04462814"", ""32.44647598"", ""29.37752914"", ""28.37718201"", ""28.64052963"", ""27.84754372"", ""26.57044792"", ""26.91364670"", ""28.30069923"", ""27.79624176"", ""26.63179398"", ""26.18600655"", ""26.49104309"", ""26.24389458"", ""25.75569725"", ""25.72584724"", ""25.68042374"", ""25.64671326"", ""25.66530609"", ""25.61186218"", ""25.64682007"", ""25.68294334"", ""25.59463882"", ""25.40250206"", ""25.31208611"", ""25.28163719"", ""25.25667191"", ""25.27786827"", ""25.35188866"", ""25.47850609"", ""25.55225563"", ""25.57462120"", ""25.55590820"", ""25.55248070"", ""25.53914833"", ""25.54775429"", ""25.54704857"", ""25.53717422"", ""25.53071594"", ""25.52768898"", ""25.51845932"", ""25.51879311""]",1,TrendWaveletAE,haar,haar,4,0,3,eq_fcast,16,27.02533486,0.32828858
trendwaveletae_search_r1,TrendWaveletAE_haar_eq_fcast_td3_ld16,trendwaveletae_search,['TrendWaveletAE'],Tourism-Yearly,1,4,8,10,1,True,9,51,21.121782,3.041003,102275.968750,1090982838272.000000,nan,1.313770,14.051903,1459430,512,2.81,50,False,False,ReLU,MAX_EPOCHS,25.28421593,25.36443710,30.77293587,31,1.003173,False,"[""90.02616882"", ""46.94995117"", ""33.56302643"", ""35.12589645"", ""32.11921692"", ""31.00259972"", ""31.16247559"", ""31.21672249"", ""30.87177658"", ""28.74304581"", ""27.56332779"", ""27.09099007"", ""26.00160789"", ""26.18283272"", ""26.07583618"", ""26.08840179"", ""26.48685837"", ""26.13621330"", ""25.96197510"", ""25.74264145"", ""26.06397247"", ""26.13666344"", ""25.64752769"", ""25.52636528"", ""25.30665779"", ""25.71482277"", ""26.04156113"", ""25.77463913"", ""25.56677246"", ""25.52801323"", ""25.37419891"", ""25.28421593"", ""25.39447021"", ""25.34861946"", ""25.37907028"", ""25.42413139"", ""25.35062218"", ""25.33281708"", ""25.35510635"", ""25.32020569"", ""25.31980896"", ""25.34150505"", ""25.34638596"", ""25.34285736"", ""25.34203911"", ""25.34392166"", ""25.35881996"", ""25.36116791"", ""25.36248589"", ""25.36443710""]",1,TrendWaveletAE,haar,haar,4,0,3,eq_fcast,16,25.74532568,0.28597602
trendwaveletae_search_r1,TrendWaveletAE_haar_eq_fcast_td3_ld16,trendwaveletae_search,['TrendWaveletAE'],Tourism-Yearly,1,4,8,10,1,True,8,50,20.956669,3.041320,102730.625000,1099304337408.000000,nan,1.325651,15.565731,1459430,512,2.85,50,False,False,ReLU,MAX_EPOCHS,25.41669273,25.62315178,30.57974815,30,1.008123,False,"[""72.89558411"", ""37.79849625"", ""35.86545944"", ""37.58627319"", ""32.39338303"", ""30.89509583"", ""30.69293785"", ""29.30369949"", ""29.88853073"", ""30.47913551"", ""28.94557762"", ""27.65029716"", ""27.11725807"", ""26.87392807"", ""26.80507278"", ""26.59829521"", ""25.83016205"", ""26.14822960"", ""26.13254738"", ""25.56502914"", ""25.57156372"", ""25.67076111"", ""25.72779274"", ""26.09804344"", ""25.84218025"", ""25.52552605"", ""25.57131386"", ""25.59188080"", ""25.43752480"", ""25.45794487"", ""25.41669273"", ""25.57854271"", ""25.65652466"", ""25.55492592"", ""25.61320877"", ""25.64910316"", ""25.53232956"", ""25.50797081"", ""25.55583382"", ""25.58039093"", ""25.57336044"", ""25.56841660"", ""25.57866287"", ""25.59067345"", ""25.61809349"", ""25.62810135"", ""25.62339020"", ""25.62919617"", ""25.61994171"", ""25.62315178""]",1,TrendWaveletAE,haar,haar,4,0,3,eq_fcast,16,26.89714228,0.36898178
