experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,search_round,arch_pattern,ae_variant,latent_dim_cfg,thetas_dim_cfg,trend_thetas_dim_cfg,meta_predicted_best,meta_convergence_score
trendae_search_r1,AutoEncoder_ld2_td5_ttd3_ag0,trendae_search_round1,"['TrendAE', 'AutoEncoder']",Tourism-Yearly,1,4,8,10,1,True,1,43,32.349251,5.441108,97485.593750,541041459200.000000,nan,2.413356,38.539265,4194665,0.99,10,False,False,ReLU,MAX_EPOCHS,33.72784424,34.05851746,46.44499588,6,1.009804,False,"[""175.07435608"", ""114.36965179"", ""45.16830826"", ""77.89553833"", ""79.59611511"", ""53.59899902"", ""33.72784424"", ""37.79615402"", ""37.75395584"", ""34.05851746""]",1,trendae_ae_alternating,AutoEncoder,2,5,3,42.852604,0.244768
trendae_search_r1,AutoEncoder_ld2_td5_ttd3_ag0,trendae_search_round1,"['TrendAE', 'AutoEncoder']",Tourism-Yearly,1,4,8,10,1,True,0,42,26.210529,4.111010,144104.921875,2152683929600.000000,nan,1.886658,40.558327,4194665,1.26,10,False,False,ReLU,MAX_EPOCHS,31.61910248,34.63849640,39.08535767,7,1.095493,False,"[""166.76954651"", ""116.68379211"", ""62.82507706"", ""48.29052734"", ""43.92162323"", ""32.63595581"", ""33.55664444"", ""31.61910248"", ""34.09363937"", ""34.63849640""]",1,trendae_ae_alternating,AutoEncoder,2,5,3,28.196871,0.169077
trendae_search_r1,AutoEncoder_ld2_td5_ttd3_ag0,trendae_search_round1,"['TrendAE', 'AutoEncoder']",Tourism-Yearly,1,4,8,10,1,True,2,44,24.577671,3.573073,116112.632812,1310114054144.000000,nan,1.521392,18.291286,4194665,0.62,10,False,False,ReLU,MAX_EPOCHS,29.71701050,39.69043350,40.38125992,7,1.335613,False,"[""146.35258484"", ""83.27474213"", ""47.42763519"", ""47.57052231"", ""34.49622726"", ""41.38170624"", ""37.78055573"", ""29.71701050"", ""35.16104507"", ""39.69043350""]",1,trendae_ae_alternating,AutoEncoder,2,5,3,30.329671,0.207237
trendae_search_r1,AutoEncoder_ld2_td5_ttd5_ag0,trendae_search_round1,"['TrendAE', 'AutoEncoder']",Tourism-Yearly,1,4,8,10,1,True,0,42,25.883430,3.990459,99360.593750,842895982592.000000,nan,1.712792,21.238487,4197235,0.65,10,False,False,ReLU,MAX_EPOCHS,31.86903572,35.92662430,39.89450073,7,1.127321,False,"[""140.53318787"", ""67.39009094"", ""50.93816376"", ""51.20454407"", ""37.00267792"", ""38.91423035"", ""38.43709183"", ""31.86903572"", ""32.42264557"", ""35.92662430""]",1,trendae_ae_alternating,AutoEncoder,2,5,5,31.155958,0.221698
trendae_search_r1,AutoEncoder_ld2_td5_ttd5_ag0,trendae_search_round1,"['TrendAE', 'AutoEncoder']",Tourism-Yearly,1,4,8,10,1,True,1,43,25.306591,3.840749,219226.250000,5190915194880.000000,nan,1.995204,74.226341,4197235,0.72,10,False,False,ReLU,MAX_EPOCHS,30.95536804,32.16102219,35.38784790,8,1.038948,False,"[""122.70401764"", ""57.58632278"", ""52.55098343"", ""48.80441284"", ""32.94889450"", ""36.31925583"", ""35.84024429"", ""31.09262085"", ""30.95536804"", ""32.16102219""]",1,trendae_ae_alternating,AutoEncoder,2,5,5,29.535496,0.240705
trendae_search_r1,AutoEncoder_ld2_td5_ttd5_ag0,trendae_search_round1,"['TrendAE', 'AutoEncoder']",Tourism-Yearly,1,4,8,10,1,True,2,44,26.136625,3.968106,146546.015625,1919734120448.000000,nan,1.865834,33.632133,4197235,0.85,10,False,False,ReLU,MAX_EPOCHS,30.82592773,30.82592773,42.70305634,9,1.000000,False,"[""169.19982910"", ""122.82384491"", ""60.68202209"", ""49.27285385"", ""51.08386993"", ""36.89811707"", ""36.37963486"", ""38.31618118"", ""34.73242950"", ""30.82592773""]",1,trendae_ae_alternating,AutoEncoder,2,5,5,31.294561,0.184956
trendae_search_r1,AutoEncoder_ld8_td5_ttd3_ag0,trendae_search_round1,"['TrendAE', 'AutoEncoder']",Tourism-Yearly,1,4,8,10,1,True,0,42,25.768602,4.104817,205004.156250,4589318307840.000000,nan,2.097802,72.767014,4240775,0.59,10,False,False,ReLU,MAX_EPOCHS,32.26552200,32.26552200,40.27804565,9,1.000000,False,"[""146.61523438"", ""85.62731171"", ""33.94855118"", ""62.83592606"", ""57.94132996"", ""37.06534576"", ""34.69187546"", ""36.40785980"", ""33.71370316"", ""32.26552200""]",1,trendae_ae_alternating,AutoEncoder,8,5,3,28.971844,0.197605
trendae_search_r1,AutoEncoder_ld8_td5_ttd3_ag0,trendae_search_round1,"['TrendAE', 'AutoEncoder']",Tourism-Yearly,1,4,8,10,1,True,1,43,27.016977,4.229768,103656.742188,968681717760.000000,nan,1.810929,24.917635,4240775,0.64,10,False,False,ReLU,MAX_EPOCHS,33.45727158,33.83385086,43.77534866,7,1.011256,False,"[""144.87710571"", ""87.65843201"", ""35.43159485"", ""67.92078400"", ""74.78968811"", ""56.59852600"", ""34.26734543"", ""33.45727158"", ""35.56914139"", ""33.83385086""]",1,trendae_ae_alternating,AutoEncoder,8,5,3,35.431595,0.244563
trendae_search_r1,AutoEncoder_ld8_td5_ttd3_ag0,trendae_search_round1,"['TrendAE', 'AutoEncoder']",Tourism-Yearly,1,4,8,10,1,True,2,44,24.435673,3.505398,132051.828125,1639048675328.000000,nan,1.552468,21.274225,4240775,0.74,10,False,False,ReLU,MAX_EPOCHS,28.69024658,28.69024658,38.37395477,9,1.000000,False,"[""143.41967773"", ""88.97474670"", ""40.76238251"", ""56.54820251"", ""53.67432404"", ""35.95185089"", ""32.10279465"", ""33.68832397"", ""31.26795006"", ""28.69024658""]",1,trendae_ae_alternating,AutoEncoder,8,5,3,28.922221,0.201661
trendae_search_r1,AutoEncoder_ld8_td5_ttd5_ag0,trendae_search_round1,"['TrendAE', 'AutoEncoder']",Tourism-Yearly,1,4,8,10,1,True,0,42,27.534348,4.325133,132208.343750,1584635445248.000000,nan,1.954255,33.666168,4243345,0.71,10,False,False,ReLU,MAX_EPOCHS,32.47729874,35.19135284,39.66983032,7,1.083568,False,"[""142.73753357"", ""78.87815857"", ""36.56351471"", ""48.50437164"", ""35.56418610"", ""35.33449936"", ""36.32836914"", ""32.47729874"", ""33.47864532"", ""35.19135284""]",1,trendae_ae_alternating,AutoEncoder,8,5,5,27.951843,0.195827
