experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,search_round,block_type,wavelet_type,wavelet_family,basis_dim,basis_offset,trend_dim_cfg,bd_label,latent_dim_cfg,meta_predicted_best,meta_convergence_score
trendwaveletae_search_r1,TrendWaveletAE_haar_eq_fcast_td3_ld8,trendwaveletae_search,['TrendWaveletAE'],Tourism-Yearly,1,4,8,10,1,True,0,42,23.272726,3.387777,142881.375000,2229689647104.000000,nan,1.627882,29.180073,1418390,1.18,15,False,False,ReLU,MAX_EPOCHS,27.69240761,27.69240761,37.28287506,14,1.000000,False,"[""76.16835022"", ""37.17308807"", ""38.91776276"", ""41.69437408"", ""36.22100067"", ""32.25760651"", ""31.81926346"", ""30.81498146"", ""32.59643555"", ""33.01661682"", ""30.56764603"", ""28.92550278"", ""28.48760414"", ""28.24079895"", ""27.69240761""]",1,TrendWaveletAE,haar,haar,4,0,3,eq_fcast,8,29.26716081,0.38424307
trendwaveletae_search_r1,TrendWaveletAE_haar_eq_fcast_td3_ld8,trendwaveletae_search,['TrendWaveletAE'],Tourism-Yearly,1,4,8,10,1,True,1,43,23.794930,3.456035,134775.171875,1843976077312.000000,nan,1.578779,24.620586,1418390,0.60,15,False,False,ReLU,MAX_EPOCHS,27.50957680,27.50957680,35.42746735,14,1.000000,False,"[""84.98972321"", ""44.22761917"", ""33.64505005"", ""39.74424744"", ""36.40631104"", ""29.86215019"", ""28.95239067"", ""28.75593567"", ""28.20259285"", ""29.07877922"", ""29.53357315"", ""28.21116066"", ""28.41785622"", ""28.36739349"", ""27.50957680""]",1,TrendWaveletAE,haar,haar,4,0,3,eq_fcast,8,26.54643155,0.31234872
trendwaveletae_search_r1,TrendWaveletAE_haar_eq_fcast_td3_ld8,trendwaveletae_search,['TrendWaveletAE'],Tourism-Yearly,1,4,8,10,1,True,2,44,21.942940,3.191466,114181.148438,1379185983488.000000,nan,1.453522,18.696089,1418390,0.73,15,False,False,ReLU,MAX_EPOCHS,26.08264351,26.08264351,34.06991196,14,1.000000,False,"[""94.24639130"", ""47.72757339"", ""36.29956055"", ""40.96518326"", ""38.24826813"", ""34.60208511"", ""33.28231430"", ""32.25053406"", ""31.70850182"", ""29.79646111"", ""27.33960724"", ""26.82215881"", ""26.52974510"", ""26.21412659"", ""26.08264351""]",1,TrendWaveletAE,haar,haar,4,0,3,eq_fcast,8,31.12472701,0.33024848
trendwaveletae_search_r1,TrendWaveletAE_haar_eq_fcast_td3_ld12,trendwaveletae_search,['TrendWaveletAE'],Tourism-Yearly,1,4,8,10,1,True,0,42,23.304863,3.555992,161793.390625,2689572274176.000000,nan,1.738145,38.555401,1438910,0.59,15,False,False,ReLU,MAX_EPOCHS,27.62123108,27.62123108,35.65554810,14,1.000000,False,"[""91.72607422"", ""48.94621658"", ""33.43080902"", ""42.37516022"", ""45.88207626"", ""40.10727310"", ""33.14013290"", ""30.87078667"", ""31.06808090"", ""30.93486786"", ""29.52083588"", ""31.88060379"", ""32.16410828"", ""30.03591347"", ""27.62123108""]",1,TrendWaveletAE,haar,haar,4,0,3,eq_fcast,12,33.43080902,0.36446353
trendwaveletae_search_r1,TrendWaveletAE_haar_eq_fcast_td3_ld12,trendwaveletae_search,['TrendWaveletAE'],Tourism-Yearly,1,4,8,10,1,True,1,43,23.951912,3.679803,123820.312500,1572654678016.000000,nan,1.651432,28.277822,1438910,0.70,15,False,False,ReLU,MAX_EPOCHS,28.11033440,28.11033440,38.82896805,14,1.000000,False,"[""137.67880249"", ""70.23167419"", ""38.65568161"", ""37.14746475"", ""40.59851074"", ""36.29591751"", ""32.93291473"", ""32.14653778"", ""30.92658806"", ""31.11826706"", ""30.69004631"", ""28.52399635"", ""28.89954758"", ""29.59996414"", ""28.11033440""]",1,TrendWaveletAE,haar,haar,4,0,3,eq_fcast,12,30.77423001,0.22352192
trendwaveletae_search_r1,TrendWaveletAE_haar_eq_fcast_td3_ld12,trendwaveletae_search,['TrendWaveletAE'],Tourism-Yearly,1,4,8,10,1,True,2,44,22.218565,3.276682,147692.046875,2285054984192.000000,nan,1.521163,28.610313,1438910,0.66,15,False,False,ReLU,MAX_EPOCHS,27.43185425,27.86719131,33.44565582,13,1.015870,False,"[""117.26728821"", ""56.81177902"", ""36.59294128"", ""40.87372971"", ""40.26181030"", ""34.78894043"", ""32.79027176"", ""32.16001511"", ""30.85191536"", ""30.15732193"", ""31.55801010"", ""31.39916420"", ""29.12751770"", ""27.43185425"", ""27.86719131""]",1,TrendWaveletAE,haar,haar,4,0,3,eq_fcast,12,30.57273036,0.26070979
trendwaveletae_search_r1,TrendWaveletAE_haar_lt_fcast_td3_ld8,trendwaveletae_search,['TrendWaveletAE'],Tourism-Yearly,1,4,8,10,1,True,0,42,22.456881,3.338304,162461.500000,2974767120384.000000,nan,1.610666,37.494007,1408130,0.63,15,False,False,ReLU,MAX_EPOCHS,26.21743774,26.21743774,33.51737976,14,1.000000,False,"[""70.21592712"", ""39.21704102"", ""39.41205597"", ""39.96857071"", ""35.07762909"", ""31.32862663"", ""30.31288147"", ""28.84454155"", ""29.30432320"", ""29.48433495"", ""28.53605080"", ""27.66439629"", ""27.74787903"", ""27.13481712"", ""26.21743774""]",1,TrendWaveletAE,haar,haar,2,0,3,lt_fcast,8,28.59989056,0.40731344
trendwaveletae_search_r1,TrendWaveletAE_haar_lt_fcast_td3_ld8,trendwaveletae_search,['TrendWaveletAE'],Tourism-Yearly,1,4,8,10,1,True,1,43,21.542921,3.165602,142372.812500,2188271288320.000000,nan,1.492746,27.090771,1408130,0.73,15,False,False,ReLU,MAX_EPOCHS,26.33451843,26.33451843,34.57271957,14,1.000000,False,"[""82.83765411"", ""45.88936996"", ""39.54950714"", ""42.72565079"", ""38.95538712"", ""35.17005157"", ""34.09487152"", ""33.25338364"", ""33.67901611"", ""33.17389679"", ""30.60080338"", ""28.57044983"", ""27.83676147"", ""26.71214104"", ""26.33451843""]",1,TrendWaveletAE,haar,haar,2,0,3,lt_fcast,8,32.05322183,0.38694024
trendwaveletae_search_r1,TrendWaveletAE_haar_lt_fcast_td3_ld8,trendwaveletae_search,['TrendWaveletAE'],Tourism-Yearly,1,4,8,10,1,True,2,44,21.308302,3.062357,105629.914062,1205274804224.000000,nan,1.332731,15.376698,1408130,0.78,15,False,False,ReLU,MAX_EPOCHS,25.68877029,25.68877029,33.05273819,14,1.000000,False,"[""102.68082428"", ""49.54146576"", ""39.33938217"", ""39.32012558"", ""34.46842957"", ""33.18693161"", ""32.94871902"", ""32.67715836"", ""31.29928398"", ""29.15233421"", ""27.97890854"", ""27.90571404"", ""26.76264954"", ""26.02440071"", ""25.68877029""]",1,TrendWaveletAE,haar,haar,2,0,3,lt_fcast,8,29.48854077,0.28718644
trendwaveletae_search_r1,TrendWaveletAE_haar_lt_fcast_td3_ld12,trendwaveletae_search,['TrendWaveletAE'],Tourism-Yearly,1,4,8,10,1,True,0,42,26.334137,3.866412,170231.234375,2772448051200.000000,nan,1.778283,35.520847,1428650,0.69,15,False,False,ReLU,MAX_EPOCHS,31.10724449,35.12928009,40.21213913,11,1.129296,False,"[""96.92086029"", ""55.16794968"", ""39.61327744"", ""53.70088959"", ""60.82621384"", ""53.73368835"", ""42.22256470"", ""34.72443008"", ""33.48670197"", ""33.14936829"", ""32.73797607"", ""31.10724449"", ""33.73976517"", ""36.76298904"", ""35.12928009""]",1,TrendWaveletAE,haar,haar,2,0,3,lt_fcast,12,39.61327744,0.40871777
