experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,search_round,block_type,wavelet_type,wavelet_family,basis_dim,basis_offset,trend_dim_cfg,bd_label,latent_dim_cfg,meta_predicted_best,meta_convergence_score
trendwaveletae_search_r1,TrendWaveletAELG_haar_eq_fcast_td3_ld16,trendwaveletae_search,['TrendWaveletAELG'],Tourism-Yearly,1,4,8,10,1,True,0,42,25.321526,3.725037,133847.156250,1696233816064.000000,nan,1.608813,21.851313,1459590,2.41,10,False,False,ReLU,MAX_EPOCHS,29.89295197,29.89295197,38.04695892,9,1.000000,False,"[""90.26874542"", ""48.66165543"", ""32.45377350"", ""43.56354904"", ""48.13650131"", ""43.12839127"", ""35.20868301"", ""31.22912407"", ""30.81274414"", ""29.89295197""]",1,TrendWaveletAELG,haar,haar,4,0,3,eq_fcast,16,32.45377350,0.35952392
trendwaveletae_search_r1,TrendWaveletAELG_haar_eq_fcast_td3_ld16,trendwaveletae_search,['TrendWaveletAELG'],Tourism-Yearly,1,4,8,10,1,True,1,43,25.275406,3.799822,167672.250000,2784019087360.000000,nan,1.832165,41.127228,1459590,2.47,10,False,False,ReLU,MAX_EPOCHS,29.11640358,30.75645638,35.64063644,8,1.056327,False,"[""101.05429840"", ""51.22467804"", ""33.53710938"", ""37.60849380"", ""35.67252350"", ""32.37879562"", ""31.47735977"", ""30.09469604"", ""29.11640358"", ""30.75645638""]",1,TrendWaveletAELG,haar,haar,4,0,3,eq_fcast,16,28.66197479,0.28362945
trendwaveletae_search_r1,TrendWaveletAELG_haar_eq_fcast_td3_ld16,trendwaveletae_search,['TrendWaveletAELG'],Tourism-Yearly,1,4,8,10,1,True,2,44,26.559521,4.523314,184050.921875,3500193611776.000000,nan,2.325781,66.841637,1459590,1.33,10,False,False,ReLU,MAX_EPOCHS,31.58609200,31.58609200,40.37042999,9,1.000000,False,"[""109.16010284"", ""64.00498962"", ""39.03174210"", ""36.00510406"", ""39.26202774"", ""36.47715378"", ""32.82414246"", ""32.29989624"", ""31.85171318"", ""31.58609200""]",1,TrendWaveletAELG,haar,haar,4,0,3,eq_fcast,16,31.97972136,0.29296163
trendwaveletae_search_r1,TrendWaveletAELG_haar_lt_fcast_td3_ld16,trendwaveletae_search,['TrendWaveletAELG'],Tourism-Yearly,1,4,8,10,1,True,0,42,27.627581,4.159289,188038.078125,3555040165888.000000,nan,1.964498,49.018612,1449330,1.25,10,False,False,ReLU,MAX_EPOCHS,31.18826103,31.18826103,37.58930206,9,1.000000,False,"[""100.71377563"", ""58.80405426"", ""38.41096878"", ""38.83527374"", ""41.38409805"", ""37.44738770"", ""33.36082077"", ""31.86596298"", ""31.63053894"", ""31.18826103""]",1,TrendWaveletAELG,haar,haar,2,0,3,lt_fcast,16,33.46699629,0.33229810
trendwaveletae_search_r1,TrendWaveletAELG_haar_lt_fcast_td3_ld16,trendwaveletae_search,['TrendWaveletAELG'],Tourism-Yearly,1,4,8,10,1,True,1,43,27.792257,4.766804,151369.671875,2232478072832.000000,nan,2.305745,59.535931,1449330,1.29,10,False,False,ReLU,MAX_EPOCHS,31.94281197,31.94281197,41.17371750,9,1.000000,False,"[""111.19128418"", ""68.58017731"", ""44.81730652"", ""38.36182785"", ""44.22154999"", ""43.41308594"", ""37.80745697"", ""33.76839447"", ""32.93659973"", ""31.94281197""]",1,TrendWaveletAELG,haar,haar,2,0,3,lt_fcast,16,38.06089231,0.34230104
trendwaveletae_search_r1,TrendWaveletAELG_haar_lt_fcast_td3_ld16,trendwaveletae_search,['TrendWaveletAELG'],Tourism-Yearly,1,4,8,10,1,True,2,44,26.127153,3.845296,108777.640625,1063497433088.000000,nan,1.622011,17.446348,1449330,1.28,10,False,False,ReLU,MAX_EPOCHS,30.71922684,30.71922684,39.81146622,9,1.000000,False,"[""98.24666595"", ""56.79321289"", ""36.44911194"", ""40.68601608"", ""45.23233032"", ""41.61782837"", ""35.50307846"", ""32.20104980"", ""31.82410240"", ""30.71922684""]",1,TrendWaveletAELG,haar,haar,2,0,3,lt_fcast,16,36.44911194,0.37099592
trendwaveletae_search_r1,TrendWaveletAELG_haar_eq_bcast_td3_ld16,trendwaveletae_search,['TrendWaveletAELG'],Tourism-Yearly,1,4,8,10,1,True,0,42,28.937075,4.365577,126307.812500,1233881661440.000000,nan,1.888612,21.480047,1516020,1.13,10,False,False,ReLU,MAX_EPOCHS,29.64504623,40.63719177,49.86425781,6,1.370792,False,"[""92.99482727"", ""34.02818298"", ""62.47841263"", ""69.76289368"", ""59.45654678"", ""42.98717499"", ""29.64504623"", ""35.54431152"", ""41.65965652"", ""40.63719177""]",1,TrendWaveletAELG,haar,haar,8,0,3,eq_bcast,16,34.02818298,0.36591479
trendwaveletae_search_r1,TrendWaveletAELG_haar_eq_bcast_td3_ld16,trendwaveletae_search,['TrendWaveletAELG'],Tourism-Yearly,1,4,8,10,1,True,1,43,21.906693,3.229768,133008.125000,1805486391296.000000,nan,1.474986,24.588163,1516020,1.11,10,False,False,ReLU,MAX_EPOCHS,28.41356659,28.41356659,38.14225769,9,1.000000,False,"[""77.95349121"", ""37.34270477"", ""38.79301453"", ""32.46208954"", ""34.35322189"", ""31.64244652"", ""29.00592995"", ""29.06412125"", ""29.61192513"", ""28.41356659""]",1,TrendWaveletAELG,haar,haar,8,0,3,eq_bcast,16,28.69475116,0.36810091
trendwaveletae_search_r1,TrendWaveletAELG_haar_eq_bcast_td3_ld16,trendwaveletae_search,['TrendWaveletAELG'],Tourism-Yearly,1,4,8,10,1,True,2,44,25.144199,4.145336,112867.585938,1195086315520.000000,nan,1.919169,36.356335,1516020,1.24,10,False,False,ReLU,MAX_EPOCHS,31.48852348,35.46505737,46.45345688,6,1.126285,False,"[""79.23983002"", ""37.30715942"", ""40.79576874"", ""33.31898117"", ""36.75199890"", ""37.15197372"", ""31.48852348"", ""34.98796463"", ""38.99568176"", ""35.46505737""]",1,TrendWaveletAELG,haar,haar,8,0,3,eq_bcast,16,33.31898117,0.42048274
trendwaveletae_search_r1,TrendWaveletAELG_haar_lt_bcast_td3_ld16,trendwaveletae_search,['TrendWaveletAELG'],Tourism-Yearly,1,4,8,10,1,True,0,42,25.321526,3.725037,133847.156250,1696233816064.000000,nan,1.608813,21.851313,1459590,1.31,10,False,False,ReLU,MAX_EPOCHS,29.89295197,29.89295197,38.04695892,9,1.000000,False,"[""90.26874542"", ""48.66165543"", ""32.45377350"", ""43.56354904"", ""48.13650131"", ""43.12839127"", ""35.20868301"", ""31.22912407"", ""30.81274414"", ""29.89295197""]",1,TrendWaveletAELG,haar,haar,4,0,3,lt_bcast,16,32.45377350,0.35952392
