experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,t_width,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,search_round,basis_dim,basis_offset,trend_thetas_dim_cfg,wavelet_family,bd_label,latent_dim_cfg,repeats_cfg,meta_predicted_best,meta_convergence_score
v3aelg_stackheight_sweep_tourism_r1,Haar_eq_fcast_ttd3_ld32_r2,v3aelg_stackheight_sweep_tourism,"['TrendAELG', 'HaarWaveletV3AELG']",Tourism-Yearly,1,4,8,4,1,True,0,42,29.906300,4.448264,157566.250000,1958049349632.000000,nan,2.111100,33.623257,396038,256,0.83,15,False,False,ReLU,MAX_EPOCHS,32.09800339,35.39245987,39.30538559,11,1.102637,False,"[""174.88883972"", ""151.80816650"", ""127.95950317"", ""104.02952576"", ""81.02718353"", ""60.74699020"", ""45.30677032"", ""36.06653976"", ""33.73157883"", ""34.04773712"", ""33.51604080"", ""32.09800339"", ""33.70130539"", ""35.28321075"", ""35.39245987""]",1,4,0,3,HaarWaveletV3AELG,eq_fcast,32,2,51.28548414,0.29324618
v3aelg_stackheight_sweep_tourism_r1,Haar_eq_fcast_ttd3_ld32_r2,v3aelg_stackheight_sweep_tourism,"['TrendAELG', 'HaarWaveletV3AELG']",Tourism-Yearly,1,4,8,4,1,True,1,43,28.149927,4.231425,177994.703125,2852199858176.000000,nan,2.071156,47.003017,396038,256,0.82,15,False,False,ReLU,MAX_EPOCHS,31.79725266,33.73705292,38.33636475,12,1.061005,False,"[""182.12501526"", ""159.65492249"", ""135.71681213"", ""111.54476166"", ""87.91494751"", ""66.39550781"", ""49.16198730"", ""38.48232651"", ""34.44110489"", ""34.49874878"", ""33.96873856"", ""31.95577240"", ""31.79725266"", ""33.16133499"", ""33.73705292""]",1,4,0,3,HaarWaveletV3AELG,eq_fcast,32,2,56.63948833,0.31099236
v3aelg_stackheight_sweep_tourism_r1,Haar_eq_fcast_ttd3_ld32_r2,v3aelg_stackheight_sweep_tourism,"['TrendAELG', 'HaarWaveletV3AELG']",Tourism-Yearly,1,4,8,4,1,True,2,44,28.179554,4.193486,150637.515625,1895919910912.000000,nan,1.961688,32.052422,396038,256,0.33,15,False,False,ReLU,MAX_EPOCHS,31.92724800,33.71949005,38.92001343,12,1.056135,False,"[""164.89959717"", ""139.13002014"", ""114.36112976"", ""90.62496185"", ""69.13175201"", ""51.82989883"", ""39.89933777"", ""33.49962997"", ""34.00373840"", ""36.04463577"", ""35.71659851"", ""33.05448151"", ""31.92724800"", ""33.28185272"", ""33.71949005""]",1,4,0,3,HaarWaveletV3AELG,eq_fcast,32,2,43.07420427,0.26121473
v3aelg_stackheight_sweep_tourism_r1,Haar_eq_fcast_ttd3_ld32_r3,v3aelg_stackheight_sweep_tourism,"['TrendAELG', 'HaarWaveletV3AELG']",Tourism-Yearly,1,4,8,6,1,True,0,42,28.444069,4.228914,150942.234375,1911325982720.000000,nan,1.999180,32.703949,594057,256,0.43,15,False,False,ReLU,MAX_EPOCHS,31.71147346,34.00157547,37.06432343,10,1.072217,False,"[""170.24148560"", ""140.04223633"", ""111.59502411"", ""85.13826752"", ""62.35742569"", ""45.24298477"", ""36.34164810"", ""34.35022354"", ""34.00069809"", ""32.59534073"", ""31.71147346"", ""32.93485641"", ""33.73313141"", ""34.00243759"", ""34.00157547""]",1,4,0,3,HaarWaveletV3AELG,eq_fcast,32,3,36.25808524,0.21298032
v3aelg_stackheight_sweep_tourism_r1,Haar_eq_fcast_ttd3_ld32_r3,v3aelg_stackheight_sweep_tourism,"['TrendAELG', 'HaarWaveletV3AELG']",Tourism-Yearly,1,4,8,6,1,True,1,43,27.629232,4.130393,157773.921875,2215827734528.000000,nan,1.945658,36.709599,594057,256,0.40,15,False,False,ReLU,MAX_EPOCHS,31.40774155,32.41845703,37.47316742,11,1.032180,False,"[""175.54833984"", ""144.16622925"", ""113.84586334"", ""85.78562164"", ""61.65129089"", ""44.05377960"", ""35.73212051"", ""35.90670395"", ""36.78860474"", ""34.88439560"", ""31.75375175"", ""31.40774155"", ""32.40388107"", ""32.61123276"", ""32.41845703""]",1,4,0,3,HaarWaveletV3AELG,eq_fcast,32,3,34.90539488,0.19883637
v3aelg_stackheight_sweep_tourism_r1,Haar_eq_fcast_ttd3_ld32_r3,v3aelg_stackheight_sweep_tourism,"['TrendAELG', 'HaarWaveletV3AELG']",Tourism-Yearly,1,4,8,6,1,True,2,44,29.164589,4.417708,157019.187500,2083424174080.000000,nan,2.115618,38.041473,594057,256,0.43,15,False,False,ReLU,MAX_EPOCHS,31.80979729,34.07582092,38.72093201,10,1.071237,False,"[""163.30258179"", ""132.69517517"", ""104.83023834"", ""79.65010071"", ""58.29050446"", ""43.05563736"", ""34.91861725"", ""33.37088394"", ""33.82838440"", ""32.74097061"", ""31.80979729"", ""33.12543488"", ""34.16897202"", ""34.24983215"", ""34.07582092""]",1,4,0,3,HaarWaveletV3AELG,eq_fcast,32,3,34.59556474,0.21184947
v3aelg_stackheight_sweep_tourism_r1,Haar_eq_fcast_ttd3_ld32_r4,v3aelg_stackheight_sweep_tourism,"['TrendAELG', 'HaarWaveletV3AELG']",Tourism-Yearly,1,4,8,8,1,True,0,42,29.245251,4.371053,138826.859375,1539909353472.000000,nan,2.012020,28.270334,792076,256,0.49,15,False,False,ReLU,MAX_EPOCHS,31.37907600,32.19631195,35.88545609,9,1.026044,False,"[""160.75321960"", ""124.42784119"", ""92.20037079"", ""65.16957855"", ""45.69419098"", ""36.38166428"", ""35.23735809"", ""35.10004044"", ""33.10022354"", ""31.37907600"", ""32.11701965"", ""32.66566849"", ""32.61727524"", ""32.65993118"", ""32.19631195""]",1,4,0,3,HaarWaveletV3AELG,eq_fcast,32,4,28.96382495,0.18017571
v3aelg_stackheight_sweep_tourism_r1,Haar_eq_fcast_ttd3_ld32_r4,v3aelg_stackheight_sweep_tourism,"['TrendAELG', 'HaarWaveletV3AELG']",Tourism-Yearly,1,4,8,8,1,True,1,43,24.555513,3.669491,178932.812500,3197878403072.000000,nan,1.796469,47.347939,792076,256,0.52,15,False,False,ReLU,MAX_EPOCHS,29.99808121,30.06705856,34.99448776,13,1.002299,False,"[""163.45623779"", ""124.32832336"", ""90.73829651"", ""62.48370361"", ""42.28219223"", ""34.62010193"", ""36.95845413"", ""38.14580917"", ""35.88625717"", ""32.26908875"", ""30.45172310"", ""30.59593964"", ""30.41794586"", ""29.99808121"", ""30.06705856""]",1,4,0,3,HaarWaveletV3AELG,eq_fcast,32,4,27.28245023,0.16690981
v3aelg_stackheight_sweep_tourism_r1,Haar_eq_fcast_ttd3_ld32_r4,v3aelg_stackheight_sweep_tourism,"['TrendAELG', 'HaarWaveletV3AELG']",Tourism-Yearly,1,4,8,8,1,True,2,44,25.142944,3.771346,184343.250000,3589764808704.000000,nan,1.884554,51.261719,792076,256,0.49,15,False,False,ReLU,MAX_EPOCHS,30.16170502,30.16170502,36.14746857,14,1.000000,False,"[""151.24012756"", ""114.73345947"", ""83.83560181"", ""57.76384354"", ""39.56067276"", ""32.85068130"", ""34.34953690"", ""34.72827530"", ""32.40012741"", ""31.54631615"", ""32.20232010"", ""32.16955566"", ""31.78876877"", ""31.25714684"", ""30.16170502""]",1,4,0,3,HaarWaveletV3AELG,eq_fcast,32,4,26.08107244,0.17244810
v3aelg_stackheight_sweep_tourism_r1,Haar_eq_fcast_ttd3_ld32_r5,v3aelg_stackheight_sweep_tourism,"['TrendAELG', 'HaarWaveletV3AELG']",Tourism-Yearly,1,4,8,10,1,True,0,42,24.188494,3.633296,188417.203125,3724649168896.000000,nan,1.822037,52.948288,990095,256,0.52,15,False,False,ReLU,MAX_EPOCHS,29.97605515,29.97605515,35.05436325,14,1.000000,False,"[""145.36782837"", ""104.41889954"", ""71.67663574"", ""47.46798325"", ""35.53243256"", ""34.67191315"", ""35.09663773"", ""32.92644119"", ""30.80566788"", ""31.12987328"", ""31.50197029"", ""31.15683746"", ""31.10679054"", ""30.82214928"", ""29.97605515""]",1,4,0,3,HaarWaveletV3AELG,eq_fcast,32,5,27.09745729,0.18640615
