experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve
Traffic-AsymWavelet-Diagnostic,AELG-coif2-coif2,wavelet_asymmetric_diagnostic,"['TrendAELG', 'WaveletV3AELG']",Traffic-96,24,96,480,8,1,True,0,1,22.053854,0.719725,0.011041,0.000588,nan,0.238012,0.246222,1807436,5185.96,42,False,False,ReLU,EARLY_STOPPED,0.00051991,0.00083069,0.00088174,31,1.597772,False,"[""0.00094454"", ""0.00069195"", ""0.00061974"", ""0.00061481"", ""0.00058757"", ""0.00056990"", ""0.00057262"", ""0.00055428"", ""0.00056553"", ""0.00055881"", ""0.00057677"", ""0.00054645"", ""0.00054602"", ""0.00054633"", ""0.00054489"", ""0.00053645"", ""0.00053965"", ""0.00053755"", ""0.00052938"", ""0.00053414"", ""0.00053513"", ""0.00052546"", ""0.00054105"", ""0.00052633"", ""0.00053258"", ""0.00055751"", ""0.00052904"", ""0.00053539"", ""0.00052152"", ""0.00052353"", ""0.00053620"", ""0.00051991"", ""0.00052631"", ""0.00107849"", ""0.00085582"", ""0.00085024"", ""0.00086765"", ""0.00086323"", ""0.00086795"", ""0.00085349"", ""0.00082883"", ""0.00083069""]"
Traffic-AsymWavelet-Diagnostic,AELG-coif2-coif2,wavelet_asymmetric_diagnostic,"['TrendAELG', 'WaveletV3AELG']",Traffic-96,24,96,480,8,1,True,1,2,22.372608,0.741235,0.011336,0.000612,nan,0.244510,0.251306,1807436,4335.12,35,False,False,ReLU,EARLY_STOPPED,0.00050535,0.00073027,0.00083006,24,1.445083,False,"[""0.00083762"", ""0.00063618"", ""0.00059813"", ""0.00057242"", ""0.00059451"", ""0.00056530"", ""0.00055626"", ""0.00053306"", ""0.00053355"", ""0.00059261"", ""0.00054797"", ""0.00053354"", ""0.00053469"", ""0.00053908"", ""0.00053249"", ""0.00051523"", ""0.00051377"", ""0.00052163"", ""0.00051583"", ""0.00051090"", ""0.00051579"", ""0.00051042"", ""0.00051225"", ""0.00050832"", ""0.00050535"", ""0.00050669"", ""0.00226080"", ""0.00203698"", ""0.00129079"", ""0.00097739"", ""0.00094303"", ""0.00089664"", ""0.00081328"", ""0.00079504"", ""0.00073027""]"
Traffic-AsymWavelet-Diagnostic,AELG-coif2-coif2,wavelet_asymmetric_diagnostic,"['TrendAELG', 'WaveletV3AELG']",Traffic-96,24,96,480,8,1,True,2,3,21.772434,0.722255,0.011041,0.000611,nan,0.238250,0.252899,1807436,10593.73,85,False,False,ReLU,EARLY_STOPPED,0.00049895,0.00050057,0.00052417,74,1.003256,False,"[""0.00080515"", ""0.00079407"", ""0.00077108"", ""0.00076007"", ""0.00073274"", ""0.00073118"", ""0.00069549"", ""0.00062478"", ""0.00060963"", ""0.00060466"", ""0.00060214"", ""0.00059329"", ""0.00058211"", ""0.00059244"", ""0.00058502"", ""0.00058634"", ""0.00057258"", ""0.00057012"", ""0.00057437"", ""0.00060499"", ""0.00056724"", ""0.00056040"", ""0.00056224"", ""0.00055567"", ""0.00055881"", ""0.00059557"", ""0.00055592"", ""0.00055145"", ""0.00055116"", ""0.00054808"", ""0.00054325"", ""0.00054358"", ""0.00054072"", ""0.00053700"", ""0.00053728"", ""0.00052393"", ""0.00052391"", ""0.00051797"", ""0.00051566"", ""0.00051521"", ""0.00052563"", ""0.00051609"", ""0.00051361"", ""0.00051796"", ""0.00051423"", ""0.00052533"", ""0.00052367"", ""0.00051891"", ""0.00051057"", ""0.00050886"", ""0.00050514"", ""0.00050577"", ""0.00050566"", ""0.00051666"", ""0.00051151"", ""0.00050406"", ""0.00050635"", ""0.00050362"", ""0.00050216"", ""0.00052186"", ""0.00050780"", ""0.00051183"", ""0.00050439"", ""0.00050331"", ""0.00050527"", ""0.00050150"", ""0.00050441"", ""0.00050051"", ""0.00050115"", ""0.00049934"", ""0.00050073"", ""0.00051166"", ""0.00050057"", ""0.00050464"", ""0.00049895"", ""0.00050787"", ""0.00050566"", ""0.00050819"", ""0.00050445"", ""0.00050076"", ""0.00050302"", ""0.00050210"", ""0.00050273"", ""0.00050097"", ""0.00050057""]"
Traffic-AsymWavelet-Diagnostic,AELG-coif2-coif2,wavelet_asymmetric_diagnostic,"['TrendAELG', 'WaveletV3AELG']",Traffic-96,24,96,480,8,1,True,3,4,23.137947,0.734416,0.011220,0.000601,nan,0.242470,0.251311,1807436,4500.91,36,False,False,ReLU,DIVERGED,0.00051342,0.00202593,0.00234600,31,3.945943,True,"[""0.00094054"", ""0.00081261"", ""0.00069277"", ""0.00063144"", ""0.00059339"", ""0.00057819"", ""0.00057418"", ""0.00054270"", ""0.00053615"", ""0.00053758"", ""0.00054445"", ""0.00053880"", ""0.00053527"", ""0.00055554"", ""0.00053982"", ""0.00056030"", ""0.00054790"", ""0.00052743"", ""0.00053076"", ""0.00053476"", ""0.00053520"", ""0.00052530"", ""0.00052291"", ""0.00052611"", ""0.00052167"", ""0.00052063"", ""0.00052493"", ""0.00051860"", ""0.00051743"", ""0.00051760"", ""0.00051701"", ""0.00051342"", ""0.00051760"", ""0.00665056"", ""0.00201815"", ""0.00202593""]"
Traffic-AsymWavelet-Diagnostic,AELG-coif2-coif2,wavelet_asymmetric_diagnostic,"['TrendAELG', 'WaveletV3AELG']",Traffic-96,24,96,480,8,1,True,4,5,21.864445,0.735984,0.011278,0.000601,nan,0.243390,0.251776,1807436,4011.30,32,False,False,ReLU,EARLY_STOPPED,0.00050365,0.00104805,0.00132444,21,2.080925,False,"[""0.00073827"", ""0.00063735"", ""0.00058132"", ""0.00056459"", ""0.00056144"", ""0.00055141"", ""0.00054846"", ""0.00053738"", ""0.00058938"", ""0.00055022"", ""0.00052788"", ""0.00052806"", ""0.00053729"", ""0.00051921"", ""0.00051352"", ""0.00051807"", ""0.00050992"", ""0.00051183"", ""0.00051235"", ""0.00050854"", ""0.00050874"", ""0.00050365"", ""0.00051604"", ""0.00051670"", ""0.00055922"", ""0.00051130"", ""0.00051089"", ""0.00052533"", ""0.00051476"", ""0.00050469"", ""0.00260217"", ""0.00104805""]"
Traffic-AsymWavelet-Diagnostic,AELG-sym3-sym3,wavelet_asymmetric_diagnostic,"['TrendAELG', 'WaveletV3AELG']",Traffic-96,24,96,480,8,1,True,0,1,22.924978,0.742165,0.011349,0.000599,nan,0.245206,0.251302,1807436,4994.47,40,False,False,ReLU,EARLY_STOPPED,0.00052875,0.00053385,0.00056036,29,1.009644,False,"[""0.00088966"", ""0.00075268"", ""0.00066804"", ""0.00064302"", ""0.00062324"", ""0.00060819"", ""0.00060553"", ""0.00065616"", ""0.00103586"", ""0.00057687"", ""0.00058076"", ""0.00056797"", ""0.00061180"", ""0.00056353"", ""0.00055764"", ""0.00054982"", ""0.00054431"", ""0.00055811"", ""0.00055130"", ""0.00054337"", ""0.00054679"", ""0.00054018"", ""0.00054269"", ""0.00053728"", ""0.00054711"", ""0.00053843"", ""0.00055538"", ""0.00055117"", ""0.00054279"", ""0.00052875"", ""0.00053278"", ""0.00053593"", ""0.00053480"", ""0.00053402"", ""0.00053966"", ""0.00053581"", ""0.00054105"", ""0.00058362"", ""0.00053542"", ""0.00053385""]"
Traffic-AsymWavelet-Diagnostic,AELG-sym3-sym3,wavelet_asymmetric_diagnostic,"['TrendAELG', 'WaveletV3AELG']",Traffic-96,24,96,480,8,1,True,1,2,22.328564,0.726411,0.011134,0.000594,nan,0.240316,0.249447,1807436,4502.63,36,False,False,ReLU,EARLY_STOPPED,0.00051558,0.00068279,0.00081787,25,1.324324,False,"[""0.00082136"", ""0.00078608"", ""0.00071857"", ""0.00069510"", ""0.00060587"", ""0.00057511"", ""0.00056934"", ""0.00060274"", ""0.00055026"", ""0.00054503"", ""0.00053901"", ""0.00053704"", ""0.00053845"", ""0.00052932"", ""0.00053145"", ""0.00052756"", ""0.00052615"", ""0.00051996"", ""0.00052273"", ""0.00052149"", ""0.00052284"", ""0.00052589"", ""0.00052141"", ""0.00052097"", ""0.00051818"", ""0.00051558"", ""0.00111765"", ""0.00101173"", ""0.00092561"", ""0.00085645"", ""0.00086700"", ""0.00078525"", ""0.00077389"", ""0.00074103"", ""0.00070250"", ""0.00068279""]"
Traffic-AsymWavelet-Diagnostic,AELG-sym3-sym3,wavelet_asymmetric_diagnostic,"['TrendAELG', 'WaveletV3AELG']",Traffic-96,24,96,480,8,1,True,2,3,26.241096,0.828919,0.012598,0.000661,nan,0.273036,0.271929,1807436,2912.43,24,False,False,ReLU,EARLY_STOPPED,0.00057876,0.00067184,0.00073317,13,1.160832,False,"[""0.00079677"", ""0.00073795"", ""0.00071876"", ""0.00070531"", ""0.00066650"", ""0.00065648"", ""0.00063060"", ""0.00062321"", ""0.00060606"", ""0.00060611"", ""0.00059081"", ""0.00059613"", ""0.00060075"", ""0.00057876"", ""0.00095256"", ""0.00082969"", ""0.00082814"", ""0.00075581"", ""0.00072405"", ""0.00068241"", ""0.00068364"", ""0.00067931"", ""0.00067110"", ""0.00067184""]"
Traffic-AsymWavelet-Diagnostic,AELG-sym3-sym3,wavelet_asymmetric_diagnostic,"['TrendAELG', 'WaveletV3AELG']",Traffic-96,24,96,480,8,1,True,3,4,22.638788,0.744726,0.011418,0.000604,nan,0.246103,0.253084,1807436,3973.82,34,False,False,ReLU,EARLY_STOPPED,0.00053340,0.00077444,0.00084620,23,1.451885,False,"[""0.00093583"", ""0.00077298"", ""0.00072637"", ""0.00067374"", ""0.00064692"", ""0.00063534"", ""0.00059579"", ""0.00060907"", ""0.00059332"", ""0.00057246"", ""0.00057679"", ""0.00058250"", ""0.00056727"", ""0.00056009"", ""0.00055360"", ""0.00060155"", ""0.00056855"", ""0.00055488"", ""0.00055119"", ""0.00054134"", ""0.00054225"", ""0.00054707"", ""0.00053801"", ""0.00053340"", ""0.00054285"", ""0.00055321"", ""0.00210018"", ""0.00177686"", ""0.00095454"", ""0.00083799"", ""0.00081501"", ""0.00079572"", ""0.00078820"", ""0.00077444""]"
Traffic-AsymWavelet-Diagnostic,AELG-sym3-sym3,wavelet_asymmetric_diagnostic,"['TrendAELG', 'WaveletV3AELG']",Traffic-96,24,96,480,8,1,True,4,5,22.303135,0.726004,0.011088,0.000591,nan,0.239830,0.247338,1807436,4678.71,40,False,False,ReLU,EARLY_STOPPED,0.00050711,0.00063248,0.00074980,29,1.247225,False,"[""0.00069716"", ""0.00063538"", ""0.00057171"", ""0.00056237"", ""0.00055636"", ""0.00055143"", ""0.00054309"", ""0.00054104"", ""0.00053676"", ""0.00054317"", ""0.00053342"", ""0.00053155"", ""0.00052715"", ""0.00052613"", ""0.00052932"", ""0.00052673"", ""0.00052823"", ""0.00052450"", ""0.00052811"", ""0.00051997"", ""0.00052877"", ""0.00051720"", ""0.00051447"", ""0.00051981"", ""0.00053253"", ""0.00053860"", ""0.00051841"", ""0.00051153"", ""0.00051154"", ""0.00050711"", ""0.00051296"", ""0.00104084"", ""0.00086200"", ""0.00084839"", ""0.00073356"", ""0.00070145"", ""0.00067915"", ""0.00065304"", ""0.00065317"", ""0.00063248""]"
