experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,search_round,block_type,backbone_family,wavelet_family,active_g_cfg,meta_predicted_best,meta_convergence_score
lg_vae_search_r1_baseline,GenericAELG,pure_lg_vae,['GenericAELG'],Traffic-96,24,96,192,16,1,True,1,43,200.000000,495.337966,5.861108,44.739498,nan,156.696030,39320.851562,5292160,936.81,10,False,False,ReLU,MAX_EPOCHS,200.00000000,200.00000000,200.00000000,0,1.000000,False,"[""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000""]",1,GenericAELG,LG,,False,,
lg_vae_search_r1_baseline,GenericAELG,pure_lg_vae,['GenericAELG'],Traffic-96,24,96,192,16,1,True,0,42,200.000000,418.192925,4.947176,31.288376,nan,132.286301,27518.281250,5292160,950.00,10,False,False,ReLU,MAX_EPOCHS,200.00000000,200.00000000,200.00000000,0,1.000000,False,"[""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000""]",1,GenericAELG,LG,,False,,
lg_vae_search_r1_baseline,GenericAELG,pure_lg_vae,['GenericAELG'],Traffic-96,24,96,192,16,1,True,2,44,200.000000,16086.332593,189.989090,48304.371094,nan,5087.548340,42684748.000000,5292160,943.98,10,False,False,ReLU,MAX_EPOCHS,200.00000000,200.00000000,200.00000000,0,1.000000,False,"[""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000""]",1,GenericAELG,LG,,False,,
lg_vae_search_r1_baseline,BottleneckGenericAELG,pure_lg_vae,['BottleneckGenericAELG'],Traffic-96,24,96,192,16,1,True,0,42,197.060760,78.976923,0.941166,1.187021,nan,25.005491,1023.573914,2996944,952.90,10,False,False,ReLU,MAX_EPOCHS,196.91184998,200.00000000,200.00000000,0,1.015683,False,"[""196.91184998"", ""200.00000000"", ""200.00000000"", ""197.93458557"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000""]",1,BottleneckGenericAELG,LG,,False,,
lg_vae_search_r1_baseline,BottleneckGenericAELG,pure_lg_vae,['BottleneckGenericAELG'],Traffic-96,24,96,192,16,1,True,1,43,197.669373,104.253272,1.240184,2.125341,nan,33.002068,1841.999390,2996944,946.86,10,False,False,ReLU,MAX_EPOCHS,198.16029358,200.00000000,200.00000000,0,1.009284,False,"[""198.16029358"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000""]",1,BottleneckGenericAELG,LG,,False,,
lg_vae_search_r1_baseline,BottleneckGenericAELG,pure_lg_vae,['BottleneckGenericAELG'],Traffic-96,24,96,192,16,1,True,2,44,47.845451,2.330093,0.032965,0.004601,nan,0.751732,2.329797,2996944,958.95,10,False,False,ReLU,MAX_EPOCHS,47.82109833,47.82109833,49.09229279,9,1.000000,False,"[""197.69447327"", ""198.36352539"", ""197.01211548"", ""147.94032288"", ""113.61082458"", ""99.62761688"", ""60.14083099"", ""51.38014984"", ""48.51679611"", ""47.82109833""]",1,BottleneckGenericAELG,LG,,False,,
lg_vae_search_r1_baseline,GenericAEBackcastAELG,pure_lg_vae,['GenericAEBackcastAELG'],Traffic-96,24,96,192,16,1,True,0,42,197.990921,155.446118,1.844158,4.352355,nan,49.190346,3799.791748,4647712,967.54,10,False,False,ReLU,MAX_EPOCHS,198.15522766,200.00000000,200.00000000,0,1.009310,False,"[""198.15522766"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000""]",1,GenericAEBackcastAELG,LG,,False,,
lg_vae_search_r1_baseline,GenericAEBackcastAELG,pure_lg_vae,['GenericAEBackcastAELG'],Traffic-96,24,96,192,16,1,True,1,43,199.349335,159.038720,1.886814,4.479615,nan,50.326759,3912.246338,4647712,979.42,10,False,False,ReLU,MAX_EPOCHS,199.29409790,200.00000000,200.00000000,0,1.003542,False,"[""199.29409790"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000""]",1,GenericAEBackcastAELG,LG,,False,,
lg_vae_search_r1_baseline,GenericAEBackcastAELG,pure_lg_vae,['GenericAEBackcastAELG'],Traffic-96,24,96,192,16,1,True,2,44,198.229828,109.957851,1.306913,2.276485,nan,34.803593,1978.465332,4647712,972.87,10,False,False,ReLU,MAX_EPOCHS,198.40312195,200.00000000,200.00000000,0,1.008049,False,"[""198.40312195"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000""]",1,GenericAEBackcastAELG,LG,,False,,
lg_vae_search_r1_baseline,AutoEncoderAELG,pure_lg_vae,['AutoEncoderAELG'],Traffic-96,24,96,192,16,1,True,0,42,200.000000,818.181545,9.668059,107.404037,nan,258.781799,94780.992188,5436112,999.71,10,False,False,ReLU,MAX_EPOCHS,200.00000000,200.00000000,200.00000000,0,1.000000,False,"[""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000"", ""200.00000000""]",1,AutoEncoderAELG,LG,,False,,
