experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,basis_dim,basis_offset,search_round,arch_pattern,wavelet_family,n_stacks_requested,meta_predicted_best,meta_convergence_score
search_r1,Haar_homog_s10_d4_o0,search_round1,['HaarWaveletV3'],Traffic-96,24,96,192,10,1,True,0,42,121.696510,5.338528,0.073154,0.010979,nan,1.721444,5.663826,8908800,914.31,6,False,False,ReLU,MAX_EPOCHS,119.52619934,119.52619934,118.39402008,5,1.000000,False,"[""120.28423309"", ""119.75984192"", ""119.69773865"", ""119.65660095"", ""119.68401337"", ""119.52619934""]",4,0,1,homogeneous,HaarWaveletV3,10,,
search_r1,Haar_homog_s10_d4_o8,search_round1,['HaarWaveletV3'],Traffic-96,24,96,192,10,1,True,0,42,128.666214,6.401945,0.088192,0.016321,nan,2.063040,8.244398,8908800,904.98,6,False,False,ReLU,MAX_EPOCHS,127.93523407,128.61819458,128.22328186,4,1.005338,False,"[""128.71972656"", ""128.47116089"", ""128.05529785"", ""128.07336426"", ""127.93523407"", ""128.61819458""]",4,8,1,homogeneous,HaarWaveletV3,10,,
search_r1,Haar_homog_s10_d4_o16,search_round1,['HaarWaveletV3'],Traffic-96,24,96,192,10,1,True,0,42,121.129990,6.297822,0.086370,0.016175,nan,2.030504,8.325555,8908800,906.77,6,False,False,ReLU,MAX_EPOCHS,119.22149658,119.22149658,119.74588776,5,1.000000,False,"[""119.84384155"", ""119.77672577"", ""119.41199493"", ""119.37779236"", ""119.32657623"", ""119.22149658""]",4,16,1,homogeneous,HaarWaveletV3,10,,
search_r1,Haar_homog_s10_d4_o32,search_round1,['HaarWaveletV3'],Traffic-96,24,96,192,10,1,True,0,42,119.627510,6.497355,0.088808,0.017367,nan,2.094970,9.135022,8908800,902.15,6,False,False,ReLU,MAX_EPOCHS,119.50217438,119.65608978,122.05160522,4,1.001288,False,"[""119.86562347"", ""119.72480011"", ""119.61494446"", ""119.55731964"", ""119.50217438"", ""119.65608978""]",4,32,1,homogeneous,HaarWaveletV3,10,,
search_r1,Haar_homog_s10_d4_o48,search_round1,['HaarWaveletV3'],Traffic-96,24,96,192,10,1,True,0,42,125.282463,6.608880,0.090691,0.017293,nan,2.130771,8.976814,8908800,907.53,6,False,False,ReLU,MAX_EPOCHS,123.35108185,123.60480499,125.52149200,4,1.002057,False,"[""123.55410767"", ""123.48501587"", ""123.45494080"", ""123.45254517"", ""123.35108185"", ""123.60480499""]",4,48,1,homogeneous,HaarWaveletV3,10,,
search_r1,Haar_homog_s10_d8_o0,search_round1,['HaarWaveletV3'],Traffic-96,24,96,192,10,1,True,0,42,119.708397,7.690926,0.105049,0.022929,nan,2.480405,12.095637,8949760,897.45,6,False,False,ReLU,MAX_EPOCHS,116.86091614,116.86091614,121.09404755,5,1.000000,False,"[""121.71746826"", ""117.86513519"", ""119.30207062"", ""117.24970245"", ""117.15486908"", ""116.86091614""]",8,0,1,homogeneous,HaarWaveletV3,10,,
search_r1,Haar_homog_s10_d8_o8,search_round1,['HaarWaveletV3'],Traffic-96,24,96,192,10,1,True,0,42,111.860886,6.833142,0.093123,0.019383,nan,2.210718,10.444124,8949760,895.88,6,False,False,ReLU,MAX_EPOCHS,111.10356903,111.10356903,115.06862640,5,1.000000,False,"[""111.70932770"", ""111.52822876"", ""111.38116455"", ""111.62276459"", ""111.22872925"", ""111.10356903""]",8,8,1,homogeneous,HaarWaveletV3,10,,
search_r1,Haar_homog_s10_d8_o16,search_round1,['HaarWaveletV3'],Traffic-96,24,96,192,10,1,True,0,42,111.475304,5.661142,0.077710,0.012933,nan,1.826187,6.686728,8949760,897.78,6,False,False,ReLU,MAX_EPOCHS,108.15978241,108.15978241,112.11435699,5,1.000000,False,"[""109.81668854"", ""108.83081818"", ""108.39420319"", ""108.45246124"", ""108.44417572"", ""108.15978241""]",8,16,1,homogeneous,HaarWaveletV3,10,,
search_r1,Haar_homog_s10_d8_o32,search_round1,['HaarWaveletV3'],Traffic-96,24,96,192,10,1,True,0,42,127.455986,7.595105,0.103181,0.022745,nan,2.455339,12.359833,8949760,898.27,6,False,False,ReLU,MAX_EPOCHS,125.69295502,125.69295502,127.23524475,5,1.000000,False,"[""127.19997406"", ""127.73306274"", ""126.75499725"", ""126.13364410"", ""126.06446838"", ""125.69295502""]",8,32,1,homogeneous,HaarWaveletV3,10,,
search_r1,Haar_homog_s10_d8_o48,search_round1,['HaarWaveletV3'],Traffic-96,24,96,192,10,1,True,0,42,113.311577,6.668623,0.090989,0.018896,nan,2.147755,10.048284,8949760,891.90,6,False,False,ReLU,MAX_EPOCHS,108.02011108,108.04737091,109.16545105,4,1.000252,False,"[""117.80931854"", ""110.70842743"", ""110.51911163"", ""108.34640503"", ""108.02011108"", ""108.04737091""]",8,48,1,homogeneous,HaarWaveletV3,10,,
search_r1,Haar_homog_s10_d16_o0,search_round1,['HaarWaveletV3'],Traffic-96,24,96,192,10,1,True,0,42,103.715553,5.889216,0.080593,0.016386,nan,1.898313,8.621888,9031680,888.73,6,False,False,ReLU,MAX_EPOCHS,103.47396088,103.47396088,103.94806671,5,1.000000,False,"[""105.21600342"", ""104.74893188"", ""104.23232269"", ""104.07506561"", ""103.97520447"", ""103.47396088""]",16,0,1,homogeneous,HaarWaveletV3,10,,
search_r1,Haar_homog_s10_d16_o8,search_round1,['HaarWaveletV3'],Traffic-96,24,96,192,10,1,True,0,42,93.448669,5.151719,0.070859,0.012700,nan,1.662560,6.511854,9031680,886.09,6,False,False,ReLU,MAX_EPOCHS,90.60226440,90.60226440,93.99884033,5,1.000000,False,"[""92.69635773"", ""91.22305298"", ""91.61217499"", ""91.12701416"", ""90.80973816"", ""90.60226440""]",16,8,1,homogeneous,HaarWaveletV3,10,,
search_r1,Haar_homog_s10_d16_o16,search_round1,['HaarWaveletV3'],Traffic-96,24,96,192,10,1,True,0,42,95.294930,5.198060,0.071305,0.012188,nan,1.678377,6.406176,9031680,884.88,6,False,False,ReLU,MAX_EPOCHS,95.48241425,95.48241425,95.40613556,5,1.000000,False,"[""97.61827087"", ""96.38471985"", ""96.34139252"", ""95.72090912"", ""95.61199188"", ""95.48241425""]",16,16,1,homogeneous,HaarWaveletV3,10,,
search_r1,Haar_homog_s10_d16_o32,search_round1,['HaarWaveletV3'],Traffic-96,24,96,192,10,1,True,0,42,109.162125,7.139593,0.097650,0.021834,nan,2.308245,11.662876,9031680,879.51,6,False,False,ReLU,MAX_EPOCHS,110.34872437,110.34872437,112.61466980,5,1.000000,False,"[""116.47132111"", ""115.93486023"", ""115.12993622"", ""114.49078369"", ""111.60993195"", ""110.34872437""]",16,32,1,homogeneous,HaarWaveletV3,10,,
search_r1,Haar_homog_s10_d16_o48,search_round1,['HaarWaveletV3'],Traffic-96,24,96,192,10,1,True,0,42,87.543098,4.758801,0.065810,0.012164,nan,1.536868,6.265893,9031680,880.20,6,False,False,ReLU,MAX_EPOCHS,85.81140900,85.81140900,91.13417053,5,1.000000,False,"[""89.55101013"", ""87.05058289"", ""86.57441711"", ""86.42083740"", ""86.13788605"", ""85.81140900""]",16,48,1,homogeneous,HaarWaveletV3,10,,
search_r1,Haar_homog_s10_d32_o0,search_round1,['HaarWaveletV3'],Traffic-96,24,96,192,10,1,True,0,42,78.597389,4.638394,0.063872,0.011275,nan,1.498695,5.878769,9195520,880.27,6,False,False,ReLU,MAX_EPOCHS,75.83486176,75.83486176,77.81095886,5,1.000000,False,"[""82.21464539"", ""80.44515991"", ""77.51475525"", ""76.26242828"", ""76.23736572"", ""75.83486176""]",32,0,1,homogeneous,HaarWaveletV3,10,,
search_r1,Haar_homog_s10_d32_o8,search_round1,['HaarWaveletV3'],Traffic-96,24,96,192,10,1,True,0,42,75.470695,5.113407,0.070335,0.015053,nan,1.652594,7.937544,9195520,876.06,6,False,False,ReLU,MAX_EPOCHS,75.66055298,75.66055298,78.02692413,5,1.000000,False,"[""79.46176910"", ""78.61098480"", ""77.01489258"", ""76.60846710"", ""75.79566193"", ""75.66055298""]",32,8,1,homogeneous,HaarWaveletV3,10,,
