experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,t_width,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,search_round,block_type,latent_dim_cfg,thetas_dim_cfg
ae_pure_r1,GenericAE_ld2_td5_ag0,ae_pure_round1,['GenericAE'],Weather-96,144,96,192,10,1,True,0,42,66.004631,1.362030,16.763311,2746.456543,nan,0.505559,0.788905,3297300,256,66.60,8,False,False,ReLU,MAX_EPOCHS,43.88517761,45.41128540,54.76733017,5,1.034775,False,"[""66.77609253"", ""48.44589996"", ""46.15280151"", ""46.23072433"", ""44.91512299"", ""43.88517761"", ""45.64829254"", ""45.41128540""]",1,GenericAE,2,5
ae_pure_r1,GenericAE_ld2_td5_ag0,ae_pure_round1,['GenericAE'],Weather-96,144,96,192,10,1,True,1,43,67.762695,1.411650,17.991472,2975.448242,nan,0.511236,0.671581,3297300,256,65.05,8,False,False,ReLU,MAX_EPOCHS,44.23643875,44.23643875,54.98663712,7,1.000000,False,"[""70.75476837"", ""51.51531219"", ""47.19617844"", ""44.66194153"", ""44.29045105"", ""46.37442398"", ""45.02774811"", ""44.23643875""]",1,GenericAE,2,5
ae_pure_r1,GenericAE_ld2_td5_ag0,ae_pure_round1,['GenericAE'],Weather-96,144,96,192,10,1,True,2,44,66.096809,1.111790,16.338165,2613.570312,nan,0.421693,0.419328,3297300,256,68.16,8,False,False,ReLU,MAX_EPOCHS,43.17045975,43.17045975,54.72920609,7,1.000000,False,"[""59.66526031"", ""47.52552414"", ""45.62099457"", ""44.81000137"", ""45.12879181"", ""44.26398849"", ""44.02774429"", ""43.17045975""]",1,GenericAE,2,5
ae_pure_r1,GenericAE_ld2_td5_agF,ae_pure_round1,['GenericAE'],Weather-96,144,96,192,10,1,True,0,42,66.360741,2.104149,21.025188,3158.629639,nan,0.799848,2.874524,3297300,256,64.59,8,forecast,False,ReLU,MAX_EPOCHS,44.50916290,44.85705566,55.21017456,4,1.007816,False,"[""53.54634857"", ""48.90522385"", ""46.89867401"", ""46.29646683"", ""44.50916290"", ""44.73630905"", ""45.50011444"", ""44.85705566""]",1,GenericAE,2,5
ae_pure_r1,GenericAE_ld2_td5_agF,ae_pure_round1,['GenericAE'],Weather-96,144,96,192,10,1,True,1,43,68.238525,1.852842,17.498957,2875.783447,nan,0.658587,1.667980,3297300,256,64.58,8,forecast,False,ReLU,MAX_EPOCHS,44.50251007,44.50892639,55.92504120,6,1.000144,False,"[""54.90908813"", ""49.15710831"", ""45.30085754"", ""45.04798508"", ""44.52257538"", ""44.84341431"", ""44.50251007"", ""44.50892639""]",1,GenericAE,2,5
ae_pure_r1,GenericAE_ld2_td5_agF,ae_pure_round1,['GenericAE'],Weather-96,144,96,192,10,1,True,2,44,66.432205,1.478831,17.682140,2702.237305,nan,0.569949,1.219293,3297300,256,65.13,8,forecast,False,ReLU,MAX_EPOCHS,44.74760056,44.79078674,55.78626251,6,1.000965,False,"[""51.85735321"", ""48.58057785"", ""46.15060806"", ""46.17457581"", ""46.41764450"", ""45.37516022"", ""44.74760056"", ""44.79078674""]",1,GenericAE,2,5
ae_pure_r1,GenericAE_ld4_td5_ag0,ae_pure_round1,['GenericAE'],Weather-96,144,96,192,10,1,True,0,42,65.994606,1.315991,17.423918,2771.717041,nan,0.513471,0.844859,3307560,256,67.17,8,False,False,ReLU,MAX_EPOCHS,43.70682907,43.70682907,54.39360046,7,1.000000,False,"[""70.73713684"", ""49.63284683"", ""46.93621063"", ""45.27774811"", ""44.43225098"", ""45.84933853"", ""44.84310913"", ""43.70682907""]",1,GenericAE,4,5
ae_pure_r1,GenericAE_ld4_td5_ag0,ae_pure_round1,['GenericAE'],Weather-96,144,96,192,10,1,True,1,43,65.956238,1.086449,15.996322,2611.321533,nan,0.408160,0.377210,3307560,256,68.38,8,False,False,ReLU,MAX_EPOCHS,43.85066605,43.85066605,54.61780548,7,1.000000,False,"[""64.94586182"", ""51.02222443"", ""47.98707199"", ""45.93319702"", ""45.20009613"", ""44.04816055"", ""43.86290741"", ""43.85066605""]",1,GenericAE,4,5
ae_pure_r1,GenericAE_ld4_td5_ag0,ae_pure_round1,['GenericAE'],Weather-96,144,96,192,10,1,True,2,44,65.800438,1.146250,16.751076,2588.734375,nan,0.432223,0.475012,3307560,256,66.95,8,False,False,ReLU,MAX_EPOCHS,43.10951614,43.76988602,54.59844971,5,1.015318,False,"[""71.41621399"", ""48.21934509"", ""46.04454803"", ""45.60756302"", ""43.39430618"", ""43.10951614"", ""43.98678207"", ""43.76988602""]",1,GenericAE,4,5
ae_pure_r1,GenericAE_ld4_td5_agF,ae_pure_round1,['GenericAE'],Weather-96,144,96,192,10,1,True,0,42,68.171623,1.354754,15.562514,2541.192627,nan,0.515458,0.710131,3307560,256,68.83,8,forecast,False,ReLU,MAX_EPOCHS,43.48597336,43.48597336,55.22967148,7,1.000000,False,"[""53.01490021"", ""48.21479797"", ""45.70619583"", ""44.83506012"", ""43.84529495"", ""43.94707489"", ""43.90422821"", ""43.48597336""]",1,GenericAE,4,5
