experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,search_round,block_type,backbone_family,wavelet_family,active_g_cfg,meta_predicted_best,meta_convergence_score
lg_vae_search_r1_baseline,GenericAELG,pure_lg_vae,['GenericAELG'],Weather-96,144,96,192,16,1,True,0,42,66.049408,1.235959,18.231852,2671.206299,nan,0.486200,0.700368,5292160,54.16,10,False,False,ReLU,MAX_EPOCHS,43.57664871,44.38977432,53.83315277,8,1.018660,False,"[""65.31045532"", ""48.40996552"", ""46.03693771"", ""44.19217682"", ""45.74146271"", ""44.76034927"", ""44.46984863"", ""44.03571701"", ""43.57664871"", ""44.38977432""]",1,GenericAELG,LG,,False,44.077197,0.674887
lg_vae_search_r1_baseline,GenericAELG,pure_lg_vae,['GenericAELG'],Weather-96,144,96,192,16,1,True,1,43,66.393677,1.367297,18.093485,2684.700439,nan,0.537116,1.041258,5292160,55.76,10,False,False,ReLU,MAX_EPOCHS,44.00279236,44.20300293,53.68063354,5,1.004550,False,"[""68.23947906"", ""48.40734482"", ""44.52964783"", ""44.28947830"", ""44.19021606"", ""44.00279236"", ""44.14512253"", ""44.78527451"", ""44.48115921"", ""44.20300293""]",1,GenericAELG,LG,,False,42.967411,0.629656
lg_vae_search_r1_baseline,GenericAELG,pure_lg_vae,['GenericAELG'],Weather-96,144,96,192,16,1,True,2,44,67.271698,1.489210,16.245029,2712.504883,nan,0.534561,1.135214,5292160,54.16,10,False,False,ReLU,MAX_EPOCHS,44.03326035,44.22646332,53.87825775,4,1.004388,False,"[""62.92736053"", ""51.74102020"", ""45.94577026"", ""46.83136749"", ""44.03326035"", ""44.06768417"", ""44.35663986"", ""44.87232971"", ""44.05387878"", ""44.22646332""]",1,GenericAELG,LG,,False,43.236489,0.687086
lg_vae_search_r1_baseline,BottleneckGenericAELG,pure_lg_vae,['BottleneckGenericAELG'],Weather-96,144,96,192,16,1,True,0,42,69.947998,2.557325,29.915188,10312.373047,nan,1.046152,38.637421,2996944,55.16,10,False,False,ReLU,MAX_EPOCHS,48.90035248,48.92938614,58.25069427,8,1.000594,False,"[""91.91293335"", ""79.70502472"", ""69.33258057"", ""64.98449707"", ""59.17423248"", ""54.43813324"", ""51.66831207"", ""50.33959579"", ""48.90035248"", ""48.92938614""]",1,BottleneckGenericAELG,LG,,False,51.120272,0.556181
lg_vae_search_r1_baseline,BottleneckGenericAELG,pure_lg_vae,['BottleneckGenericAELG'],Weather-96,144,96,192,16,1,True,1,43,67.229752,1.778430,24.649055,3697.089355,nan,0.694959,2.075387,2996944,53.52,10,False,False,ReLU,MAX_EPOCHS,47.70542526,47.70542526,58.08808136,9,1.000000,False,"[""96.59590149"", ""76.76866150"", ""66.88640594"", ""61.20667267"", ""57.47916412"", ""54.78040695"", ""51.92522430"", ""49.89115524"", ""48.48996735"", ""47.70542526""]",1,BottleneckGenericAELG,LG,,False,52.358888,0.542040
lg_vae_search_r1_baseline,BottleneckGenericAELG,pure_lg_vae,['BottleneckGenericAELG'],Weather-96,144,96,192,16,1,True,2,44,74.079254,3.590001,37.082088,27602.277344,nan,1.526471,139.970718,2996944,54.82,10,False,False,ReLU,MAX_EPOCHS,54.08510590,54.08510590,63.39535522,9,1.000000,False,"[""90.74128723"", ""81.02174377"", ""71.97406006"", ""68.20874786"", ""63.96175385"", ""61.46741486"", ""57.91255951"", ""55.64594269"", ""55.13628387"", ""54.08510590""]",1,BottleneckGenericAELG,LG,,False,60.519013,0.666940
lg_vae_search_r1_baseline,GenericAEBackcastAELG,pure_lg_vae,['GenericAEBackcastAELG'],Weather-96,144,96,192,16,1,True,0,42,67.414940,2.241910,23.037960,3705.908691,nan,0.718847,2.184953,4647712,55.32,10,False,False,ReLU,MAX_EPOCHS,46.67902374,46.67902374,56.93743134,9,1.000000,False,"[""93.28517151"", ""74.00872803"", ""70.11199188"", ""67.51663971"", ""62.94201660"", ""58.41858673"", ""54.29139328"", ""49.13744354"", ""47.85564423"", ""46.67902374""]",1,GenericAEBackcastAELG,LG,,False,57.321457,0.614476
lg_vae_search_r1_baseline,GenericAEBackcastAELG,pure_lg_vae,['GenericAEBackcastAELG'],Weather-96,144,96,192,16,1,True,1,43,73.122665,3.746559,34.521076,19928.958984,nan,1.515118,96.940353,4647712,57.12,10,False,False,ReLU,MAX_EPOCHS,53.17329788,53.17329788,62.43550873,9,1.000000,False,"[""97.20642853"", ""84.31781769"", ""76.38916016"", ""69.33208466"", ""65.49371338"", ""60.61551666"", ""56.73243332"", ""54.16962814"", ""54.14478683"", ""53.17329788""]",1,GenericAEBackcastAELG,LG,,False,58.175273,0.598471
lg_vae_search_r1_baseline,GenericAEBackcastAELG,pure_lg_vae,['GenericAEBackcastAELG'],Weather-96,144,96,192,16,1,True,2,44,67.766083,2.250262,25.882776,4022.485840,nan,0.825354,3.162211,4647712,55.25,10,False,False,ReLU,MAX_EPOCHS,47.49105453,47.49105453,57.81564713,9,1.000000,False,"[""85.83303070"", ""74.90499878"", ""70.56716156"", ""67.21793365"", ""64.60268402"", ""58.44142914"", ""52.50843048"", ""50.54496002"", ""47.77228165"", ""47.49105453""]",1,GenericAEBackcastAELG,LG,,False,57.254059,0.667040
lg_vae_search_r1_baseline,AutoEncoderAELG,pure_lg_vae,['AutoEncoderAELG'],Weather-96,144,96,192,16,1,True,0,42,63.726433,1.427746,15.515518,2335.504639,nan,0.491924,0.899771,5436112,57.24,10,False,False,ReLU,MAX_EPOCHS,44.42629242,45.31591415,54.00483704,8,1.020025,False,"[""65.41436005"", ""49.79392624"", ""47.28992081"", ""47.97314835"", ""44.99677277"", ""45.50088120"", ""45.40466309"", ""44.66660690"", ""44.42629242"", ""45.31591415""]",1,AutoEncoderAELG,LG,,False,44.664067,0.682787
