experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,t_width,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,search_round,architecture,skip_distance_cfg,skip_alpha_cfg,meta_predicted_best,meta_convergence_score
resnet_skip_study_r1,GAELG10_no_skip,genAELG_baseline,['GenericAELG'],Weather-96,144,96,192,10,1,True,0,42,66.939316,1.076933,17.122231,2717.345215,nan,0.418418,0.435530,3369280,256,72.10,10,False,False,ReLU,MAX_EPOCHS,43.03499985,43.44993591,53.65807343,8,1.009642,False,"[""74.42537689"", ""62.06768036"", ""48.53389740"", ""46.34028625"", ""44.19617081"", ""43.56894302"", ""43.58938217"", ""43.73468781"", ""43.03499985"", ""43.44993591""]",1,GenericAELG,0,none,37.51987050,0.50412738
resnet_skip_study_r1,GAELG10_no_skip,genAELG_baseline,['GenericAELG'],Weather-96,144,96,192,10,1,True,1,43,66.393776,1.149159,17.906189,3016.887451,nan,0.447259,0.539056,3369280,256,70.95,10,False,False,ReLU,MAX_EPOCHS,43.26087570,43.26087570,54.69364548,9,1.000000,False,"[""65.83093262"", ""59.02693939"", ""48.80685043"", ""45.99712753"", ""44.53207397"", ""43.72531891"", ""44.27606583"", ""44.04519653"", ""43.36838150"", ""43.26087570""]",1,GenericAELG,0,none,36.80269026,0.55904859
resnet_skip_study_r1,GAELG10_no_skip,genAELG_baseline,['GenericAELG'],Weather-96,144,96,192,10,1,True,2,44,66.942513,1.192442,16.669783,2661.975830,nan,0.453640,0.531554,3369280,256,70.34,10,False,False,ReLU,MAX_EPOCHS,43.26203156,44.23178101,53.78501892,6,1.022416,False,"[""80.00854492"", ""68.98361206"", ""51.10663605"", ""46.24886322"", ""44.83005524"", ""44.30604553"", ""43.26203156"", ""43.31629944"", ""44.25660706"", ""44.23178101""]",1,GenericAELG,0,none,38.04783430,0.47554713
resnet_skip_study_r1,GAELG20_no_skip,genAELG_baseline,['GenericAELG'],Weather-96,144,96,192,20,1,True,0,42,65.118980,1.127664,16.632372,2506.330811,nan,0.431081,0.509821,6738560,256,74.73,10,False,False,ReLU,MAX_EPOCHS,43.01187134,44.10832977,53.75234604,7,1.025492,False,"[""63.90299225"", ""58.01422882"", ""45.85557556"", ""44.37829971"", ""44.19480133"", ""43.95415115"", ""44.49722290"", ""43.01187134"", ""44.05127335"", ""44.10832977""]",1,GenericAELG,0,none,38.49082830,0.60233217
resnet_skip_study_r1,GAELG20_no_skip,genAELG_baseline,['GenericAELG'],Weather-96,144,96,192,20,1,True,1,43,67.800995,1.310908,17.219538,2600.867676,nan,0.492085,0.779734,6738560,256,74.03,10,False,False,ReLU,MAX_EPOCHS,43.37024307,44.32716751,54.05151367,5,1.022064,False,"[""60.27424240"", ""52.83415985"", ""45.86660385"", ""43.82726288"", ""44.14860153"", ""43.37024307"", ""43.75650024"", ""43.86131668"", ""44.16187286"", ""44.32716751""]",1,GenericAELG,0,none,40.29102136,0.66846168
resnet_skip_study_r1,GAELG20_no_skip,genAELG_baseline,['GenericAELG'],Weather-96,144,96,192,20,1,True,2,44,66.676842,1.257194,18.396620,2889.030273,nan,0.483678,0.693704,6738560,256,75.01,10,False,False,ReLU,MAX_EPOCHS,43.30086517,43.54333496,53.58106613,6,1.005600,False,"[""69.89550781"", ""63.17276764"", ""46.86861801"", ""46.16150665"", ""44.20029068"", ""43.65637589"", ""43.30086517"", ""43.71038818"", ""43.71121216"", ""43.54333496""]",1,GenericAELG,0,none,37.54052015,0.53709489
resnet_skip_study_r1,GAELG30_no_skip,genAELG_baseline,['GenericAELG'],Weather-96,144,96,192,30,1,True,0,42,65.562782,1.159783,15.830867,2394.617432,nan,0.425252,0.434671,10107840,256,78.58,10,False,False,ReLU,MAX_EPOCHS,43.84397125,44.03096771,53.91761017,7,1.004265,False,"[""66.02536774"", ""50.31818771"", ""45.80151749"", ""44.66617203"", ""44.06439972"", ""44.29528809"", ""44.48397446"", ""43.84397125"", ""44.56256485"", ""44.03096771""]",1,GenericAELG,0,none,41.97075521,0.63567621
resnet_skip_study_r1,GAELG30_no_skip,genAELG_baseline,['GenericAELG'],Weather-96,144,96,192,30,1,True,1,43,67.373657,1.277156,18.102489,2698.006592,nan,0.469791,0.512615,10107840,256,80.82,10,False,False,ReLU,MAX_EPOCHS,43.62901306,43.62901306,53.36138535,9,1.000000,False,"[""61.82946014"", ""51.39491653"", ""44.23666763"", ""44.78271103"", ""44.47798157"", ""44.91936874"", ""43.91035843"", ""44.16934967"", ""44.54510498"", ""43.62901306""]",1,GenericAELG,0,none,42.55051833,0.68819165
resnet_skip_study_r1,GAELG30_no_skip,genAELG_baseline,['GenericAELG'],Weather-96,144,96,192,30,1,True,2,44,66.289696,1.327091,18.126154,2651.531494,nan,0.493220,0.716418,10107840,256,77.25,10,False,False,ReLU,MAX_EPOCHS,43.80836868,44.33405685,54.28147888,4,1.012000,False,"[""59.29578781"", ""52.52190399"", ""45.81497192"", ""44.42613220"", ""43.80836868"", ""43.92959595"", ""44.18165207"", ""43.86953735"", ""44.23780823"", ""44.33405685""]",1,GenericAELG,0,none,41.21934071,0.69514787
resnet_skip_study_r1,GAELG10_skip5_learn,genAELG_control,['GenericAELG'],Weather-96,144,96,192,10,1,True,0,42,66.431358,1.181975,16.778725,2662.371094,nan,0.450592,0.555393,3369281,256,73.77,10,False,False,ReLU,MAX_EPOCHS,42.68319702,43.16215897,53.59309387,6,1.011221,False,"[""70.12670898"", ""59.76386642"", ""48.49448776"", ""45.64630127"", ""44.45711517"", ""43.08207321"", ""42.68319702"", ""43.41306686"", ""43.26326752"", ""43.16215897""]",1,GenericAELG,5,learnable,37.27339788,0.53151500
resnet_skip_study_r1,GAELG10_skip5_learn,genAELG_control,['GenericAELG'],Weather-96,144,96,192,10,1,True,1,43,66.638153,1.261998,18.138472,2948.071045,nan,0.499001,0.723058,3369281,256,71.42,10,False,False,ReLU,MAX_EPOCHS,43.25785065,44.32041168,54.43085480,7,1.024563,False,"[""65.23888397"", ""58.37765503"", ""48.47307968"", ""45.72593689"", ""44.60872269"", ""44.19413757"", ""43.84331512"", ""43.25785065"", ""43.29531479"", ""44.32041168""]",1,GenericAELG,5,learnable,37.50736073,0.57492340
