experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,search_round,architecture,skip_distance_cfg,skip_alpha_cfg
resnet_skip_study_v2_r1,GAE10_no_skip,genericAE_baseline,['GenericAE'],Weather-96,144,96,192,10,1,True,0,42,65.955887,1.215697,17.754520,2741.943115,nan,0.462399,0.543960,3369120,106.10,15,False,False,ReLU,MAX_EPOCHS,43.19255447,43.70718384,53.69429779,11,1.011915,False,"[""62.50981522"", ""59.84798431"", ""48.71056747"", ""45.21483994"", ""44.38340378"", ""44.89494705"", ""43.63495255"", ""43.49571991"", ""43.83916092"", ""43.51651382"", ""43.71525192"", ""43.19255447"", ""43.40962219"", ""43.58044052"", ""43.70718384""]",1,GenericAE,0,none
resnet_skip_study_v2_r1,GAE10_no_skip,genericAE_baseline,['GenericAE'],Weather-96,144,96,192,10,1,True,1,43,68.016075,1.227627,17.485205,2899.232910,nan,0.471976,0.538538,3369120,105.64,15,False,False,ReLU,MAX_EPOCHS,43.30088425,43.61404037,53.73751068,9,1.007232,False,"[""61.67749023"", ""58.26239777"", ""49.25214767"", ""45.82590485"", ""45.19128418"", ""43.53966522"", ""43.50867462"", ""43.60683441"", ""43.87919617"", ""43.30088425"", ""43.82074356"", ""43.55670929"", ""43.80452347"", ""44.29345703"", ""43.61404037""]",1,GenericAE,0,none
resnet_skip_study_v2_r1,GAE10_no_skip,genericAE_baseline,['GenericAE'],Weather-96,144,96,192,10,1,True,2,44,66.476608,1.378732,18.084902,2623.487793,nan,0.546982,0.984840,3369120,105.96,15,False,False,ReLU,MAX_EPOCHS,43.16548157,44.25086212,53.38729095,5,1.025145,False,"[""72.56653595"", ""68.28868103"", ""51.06313705"", ""46.47930145"", ""45.77645874"", ""43.16548157"", ""43.41091919"", ""44.04339600"", ""43.55835342"", ""43.41013718"", ""43.96648026"", ""43.92072678"", ""44.84648514"", ""44.56831360"", ""44.25086212""]",1,GenericAE,0,none
resnet_skip_study_v2_r1,GAE20_no_skip,genericAE_baseline,['GenericAE'],Weather-96,144,96,192,20,1,True,0,42,65.980408,1.099477,16.266203,2846.135742,nan,0.401229,0.374548,6738240,112.03,15,False,False,ReLU,MAX_EPOCHS,43.11860657,44.57144928,52.93536758,6,1.033694,False,"[""66.67982483"", ""52.35756683"", ""46.27723312"", ""44.91436386"", ""43.66164398"", ""43.36491776"", ""43.11860657"", ""44.44273376"", ""44.39159775"", ""43.64361954"", ""43.69969940"", ""44.15860367"", ""43.92615128"", ""43.91173553"", ""44.57144928""]",1,GenericAE,0,none
resnet_skip_study_v2_r1,GAE20_no_skip,genericAE_baseline,['GenericAE'],Weather-96,144,96,192,20,1,True,1,43,65.664207,1.124397,15.681667,2359.141602,nan,0.429583,0.433400,6738240,111.82,15,False,False,ReLU,MAX_EPOCHS,43.37386703,43.46234894,52.93011475,8,1.002040,False,"[""61.29186249"", ""54.95631027"", ""45.14922714"", ""44.74346924"", ""44.58346558"", ""44.14740372"", ""43.77874756"", ""43.83823395"", ""43.37386703"", ""44.04380798"", ""44.35356522"", ""44.44703293"", ""44.46583557"", ""44.06605148"", ""43.46234894""]",1,GenericAE,0,none
resnet_skip_study_v2_r1,GAE20_no_skip,genericAE_baseline,['GenericAE'],Weather-96,144,96,192,20,1,True,2,44,65.560654,1.076147,16.327734,2523.188232,nan,0.411292,0.409553,6738240,113.24,15,False,False,ReLU,MAX_EPOCHS,43.51678467,44.25735092,52.83906937,6,1.017018,False,"[""65.27582550"", ""57.19965363"", ""46.60385132"", ""44.57610703"", ""44.47360229"", ""44.05207062"", ""43.51678467"", ""44.29586792"", ""45.12671661"", ""44.94789124"", ""45.70083237"", ""45.62950516"", ""45.17273331"", ""44.76438904"", ""44.25735092""]",1,GenericAE,0,none
resnet_skip_study_v2_r1,GAE30_no_skip,genericAE_baseline,['GenericAE'],Weather-96,144,96,192,30,1,True,0,42,64.615265,1.100935,15.772967,2187.986084,nan,0.396224,0.410234,10107360,117.45,15,False,False,ReLU,MAX_EPOCHS,43.53263855,43.53263855,52.89370346,14,1.000000,False,"[""58.84909821"", ""47.72050858"", ""44.93113327"", ""44.28265381"", ""44.76302719"", ""44.41724396"", ""44.07158279"", ""44.35287094"", ""44.19779205"", ""44.56572723"", ""43.91036224"", ""45.34831619"", ""44.74726868"", ""44.11977386"", ""43.53263855""]",1,GenericAE,0,none
resnet_skip_study_v2_r1,GAE30_no_skip,genericAE_baseline,['GenericAE'],Weather-96,144,96,192,30,1,True,1,43,65.659561,1.226719,18.635242,2430.446777,nan,0.438588,0.778918,10107360,116.62,15,False,False,ReLU,MAX_EPOCHS,43.99894333,44.41196442,53.12162781,12,1.009387,False,"[""55.29611969"", ""48.11421204"", ""46.87895203"", ""44.20173645"", ""45.89129639"", ""44.26227188"", ""44.58752060"", ""44.44845200"", ""44.68987274"", ""44.60507965"", ""44.31701660"", ""45.06749344"", ""43.99894333"", ""44.65797424"", ""44.41196442""]",1,GenericAE,0,none
resnet_skip_study_v2_r1,GAE30_no_skip,genericAE_baseline,['GenericAE'],Weather-96,144,96,192,30,1,True,2,44,64.218689,1.166579,13.798160,1432.793091,nan,0.436184,0.487809,10107360,117.65,15,False,False,ReLU,MAX_EPOCHS,43.78260422,43.78260422,51.79528427,14,1.000000,False,"[""54.27820587"", ""49.50474930"", ""45.60350800"", ""45.39796448"", ""44.38321304"", ""44.68653107"", ""44.26422882"", ""43.87492371"", ""44.87516022"", ""44.74902344"", ""44.47359467"", ""44.34567261"", ""43.86198044"", ""44.19318008"", ""43.78260422""]",1,GenericAE,0,none
resnet_skip_study_v2_r1,GAE20_skip5_a01,genericAE_skip,['GenericAE'],Weather-96,144,96,192,20,1,True,0,42,66.495285,1.345993,19.375593,3188.426758,nan,0.499772,0.917375,6738240,113.17,15,False,False,ReLU,EARLY_STOPPED,43.33324432,43.76296616,53.04344177,4,1.009917,False,"[""65.56528473"", ""49.64390564"", ""45.37792969"", ""43.59185791"", ""43.33324432"", ""43.98963165"", ""43.86714172"", ""44.51772690"", ""44.07331085"", ""44.37256622"", ""44.23543167"", ""44.94269562"", ""44.17137909"", ""43.57345581"", ""43.76296616""]",1,GenericAE,5,0.1
resnet_skip_study_v2_r1,GAE20_skip5_a01,genericAE_skip,['GenericAE'],Weather-96,144,96,192,20,1,True,1,43,64.552589,1.209333,16.566694,2119.278564,nan,0.453806,0.572283,6738240,112.50,15,False,False,ReLU,MAX_EPOCHS,43.84753418,43.84753418,52.65169907,14,1.000000,False,"[""61.94992828"", ""50.68241882"", ""45.15011215"", ""45.22625351"", ""44.33922195"", ""44.41762924"", ""44.03493118"", ""44.13812637"", ""44.97708893"", ""44.36479950"", ""44.93571091"", ""44.07646179"", ""44.05591202"", ""45.03883743"", ""43.84753418""]",1,GenericAE,5,0.1
