experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,t_width,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,search_round,architecture,skip_distance_cfg,skip_alpha_cfg
resnet_skip_study_v2_weather_r1,GAE10_no_skip,genericAE_baseline,['GenericAE'],Weather-96,144,96,480,10,1,True,0,42,38.958950,0.075857,0.225716,0.140954,nan,0.031793,0.003395,5580960,256,110.47,15,False,False,ReLU,MAX_EPOCHS,57.10808182,57.10808182,52.64337158,14,1.000000,False,"[""127.66269684"", ""84.36077118"", ""72.79809570"", ""67.72032166"", ""64.93106842"", ""61.52869034"", ""62.10446930"", ""59.73902512"", ""59.00664520"", ""59.83474350"", ""58.26016617"", ""58.06752014"", ""57.71752167"", ""57.68375397"", ""57.10808182""]",1,GenericAE,0,none
resnet_skip_study_v2_weather_r1,GAE10_no_skip,genericAE_baseline,['GenericAE'],Weather-96,144,96,480,10,1,True,1,43,43.143833,0.093357,0.250504,0.145597,nan,0.040337,0.006135,5580960,256,108.04,15,False,False,ReLU,MAX_EPOCHS,56.84243011,56.84243011,52.46797180,14,1.000000,False,"[""124.27792358"", ""81.75524139"", ""72.62972260"", ""67.06671143"", ""63.47149658"", ""61.24607849"", ""60.04822922"", ""60.15843582"", ""60.27943420"", ""57.86250305"", ""58.96800613"", ""57.75734711"", ""58.23199081"", ""58.51706314"", ""56.84243011""]",1,GenericAE,0,none
resnet_skip_study_v2_weather_r1,GAE10_no_skip,genericAE_baseline,['GenericAE'],Weather-96,144,96,480,10,1,True,2,44,41.015213,0.090532,0.236671,0.132127,nan,0.037431,0.004581,5580960,256,108.30,15,False,False,ReLU,MAX_EPOCHS,57.35133743,57.35133743,53.13883591,14,1.000000,False,"[""128.88121033"", ""82.38053131"", ""73.05477142"", ""66.77216339"", ""63.45152283"", ""61.55498123"", ""60.41659164"", ""59.57094955"", ""59.35902023"", ""58.76655579"", ""59.31259537"", ""57.45183182"", ""58.81699753"", ""57.64731216"", ""57.35133743""]",1,GenericAE,0,none
resnet_skip_study_v2_weather_r1,GAE20_no_skip,genericAE_baseline,['GenericAE'],Weather-96,144,96,480,20,1,True,0,42,41.928791,0.097818,0.241857,0.143904,nan,0.041915,0.007020,11161920,256,116.22,15,False,False,ReLU,MAX_EPOCHS,57.04145432,57.69125748,51.71771240,13,1.011392,False,"[""102.64686584"", ""78.08454895"", ""71.29953003"", ""66.71798706"", ""63.81985092"", ""62.45833588"", ""60.86277771"", ""60.19609451"", ""59.75229645"", ""59.40698242"", ""58.41481781"", ""58.52969742"", ""57.35124969"", ""57.04145432"", ""57.69125748""]",1,GenericAE,0,none
resnet_skip_study_v2_weather_r1,GAE20_no_skip,genericAE_baseline,['GenericAE'],Weather-96,144,96,480,20,1,True,1,43,42.285149,0.086173,0.232459,0.127006,nan,0.036519,0.004632,11161920,256,117.36,15,False,False,ReLU,MAX_EPOCHS,56.65345764,56.72111511,51.47956085,12,1.001194,False,"[""103.36941528"", ""79.64364624"", ""71.31626892"", ""66.44659424"", ""63.27602768"", ""61.55856323"", ""60.60784531"", ""59.60402679"", ""60.15682983"", ""58.47303772"", ""57.63951492"", ""56.89063263"", ""56.65345764"", ""56.86206818"", ""56.72111511""]",1,GenericAE,0,none
resnet_skip_study_v2_weather_r1,GAE20_no_skip,genericAE_baseline,['GenericAE'],Weather-96,144,96,480,20,1,True,2,44,45.347057,0.100731,0.251824,0.154343,nan,0.041358,0.006100,11161920,256,117.52,15,False,False,ReLU,MAX_EPOCHS,57.27741241,57.58053589,52.75964737,12,1.005292,False,"[""103.44238281"", ""80.04255676"", ""73.55560303"", ""68.61401367"", ""65.21691132"", ""61.91908646"", ""60.15658951"", ""59.70602036"", ""59.22604752"", ""58.97070312"", ""59.46223068"", ""58.43456268"", ""57.27741241"", ""57.35009766"", ""57.58053589""]",1,GenericAE,0,none
resnet_skip_study_v2_weather_r1,GAE30_no_skip,genericAE_baseline,['GenericAE'],Weather-96,144,96,480,30,1,True,0,42,47.884499,0.107985,0.275641,0.174246,nan,0.047206,0.008412,16742880,256,125.35,15,False,False,ReLU,MAX_EPOCHS,56.68395233,56.71927261,51.01438141,12,1.000623,False,"[""102.83219910"", ""81.70137024"", ""75.75435638"", ""69.34642792"", ""64.94653320"", ""62.65699768"", ""60.38127136"", ""59.93795395"", ""59.04564667"", ""58.09335709"", ""58.50782394"", ""57.35513687"", ""56.68395233"", ""58.01597214"", ""56.71927261""]",1,GenericAE,0,none
resnet_skip_study_v2_weather_r1,GAE30_no_skip,genericAE_baseline,['GenericAE'],Weather-96,144,96,480,30,1,True,1,43,39.347641,0.105527,0.232113,0.126917,nan,0.038842,0.004864,16742880,256,124.74,15,False,False,ReLU,MAX_EPOCHS,57.82956314,58.57534409,52.23126221,13,1.012896,False,"[""106.33498383"", ""83.25273895"", ""74.48427582"", ""68.84550476"", ""65.94887543"", ""63.25568390"", ""60.99803543"", ""60.18038940"", ""60.36763000"", ""58.45615387"", ""58.63650513"", ""58.79857635"", ""58.92148590"", ""57.82956314"", ""58.57534409""]",1,GenericAE,0,none
resnet_skip_study_v2_weather_r1,GAE30_no_skip,genericAE_baseline,['GenericAE'],Weather-96,144,96,480,30,1,True,2,44,46.218960,0.101129,0.255849,0.155728,nan,0.040187,0.005270,16742880,256,126.19,15,False,False,ReLU,MAX_EPOCHS,56.93707275,56.93707275,51.43362808,14,1.000000,False,"[""105.43581390"", ""81.43606567"", ""76.07739258"", ""69.57762146"", ""65.07109070"", ""63.29600906"", ""60.93046188"", ""59.27455902"", ""59.10280991"", ""59.61978531"", ""59.40117264"", ""58.66162109"", ""58.93119431"", ""58.01955032"", ""56.93707275""]",1,GenericAE,0,none
resnet_skip_study_v2_weather_r1,GAE20_skip5_a01,genericAE_skip,['GenericAE'],Weather-96,144,96,480,20,1,True,0,42,45.175472,0.083070,0.226785,0.131758,nan,0.035817,0.004852,11161920,256,118.90,15,False,False,ReLU,MAX_EPOCHS,56.82327271,56.82327271,52.96096039,14,1.000000,False,"[""102.10717773"", ""79.04232788"", ""71.09071350"", ""67.04514313"", ""63.67697144"", ""62.60881424"", ""60.74927902"", ""59.84103012"", ""60.90295410"", ""58.83244705"", ""58.43468475"", ""57.63511658"", ""58.04437256"", ""57.21396637"", ""56.82327271""]",1,GenericAE,5,0.1
