experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,search_round,architecture,skip_distance_cfg,skip_alpha_cfg
resnet_skip_study_weather_r1,GAELG10_no_skip,genAELG_baseline,['GenericAELG'],Weather-96,144,96,480,10,1,True,0,42,38.464485,0.081936,0.217503,0.117494,nan,0.033359,0.003865,5581120,74.76,10,False,False,ReLU,MAX_EPOCHS,59.57298279,60.05768585,56.58608246,8,1.008136,False,"[""122.07391357"", ""81.15039825"", ""71.67241669"", ""66.84382629"", ""65.18874359"", ""62.88325882"", ""62.41969299"", ""61.26507568"", ""59.57298279"", ""60.05768585""]",1,GenericAELG,0,none
resnet_skip_study_weather_r1,GAELG10_no_skip,genAELG_baseline,['GenericAELG'],Weather-96,144,96,480,10,1,True,1,43,39.342339,0.076263,0.221124,0.113828,nan,0.032029,0.003479,5581120,72.45,10,False,False,ReLU,MAX_EPOCHS,60.27775574,60.27775574,55.90903091,9,1.000000,False,"[""127.84281921"", ""84.43669891"", ""73.54370117"", ""68.11898804"", ""65.66956329"", ""64.00035858"", ""61.95661545"", ""61.00321579"", ""60.83694839"", ""60.27775574""]",1,GenericAELG,0,none
resnet_skip_study_weather_r1,GAELG10_no_skip,genAELG_baseline,['GenericAELG'],Weather-96,144,96,480,10,1,True,2,44,41.014099,0.082583,0.232437,0.139991,nan,0.034847,0.004404,5581120,72.16,10,False,False,ReLU,MAX_EPOCHS,59.57838440,59.57838440,57.84024429,9,1.000000,False,"[""126.36660004"", ""83.01736450"", ""74.09130096"", ""68.30910492"", ""64.80541992"", ""63.67315674"", ""62.37785339"", ""61.34635925"", ""60.02904892"", ""59.57838440""]",1,GenericAELG,0,none
resnet_skip_study_weather_r1,GAELG20_no_skip,genAELG_baseline,['GenericAELG'],Weather-96,144,96,480,20,1,True,0,42,39.791924,0.111510,0.230184,0.126303,nan,0.040334,0.005351,11162240,77.48,10,False,False,ReLU,MAX_EPOCHS,59.75387192,59.75387192,56.26510239,9,1.000000,False,"[""108.31806946"", ""80.44324493"", ""73.46031189"", ""68.03973389"", ""64.29150391"", ""63.49286270"", ""62.95048141"", ""61.76884842"", ""61.10551453"", ""59.75387192""]",1,GenericAELG,0,none
resnet_skip_study_weather_r1,GAELG20_no_skip,genAELG_baseline,['GenericAELG'],Weather-96,144,96,480,20,1,True,1,43,43.679474,0.096746,0.232701,0.128821,nan,0.038505,0.005184,11162240,77.87,10,False,False,ReLU,MAX_EPOCHS,59.25393677,59.25393677,56.38108063,9,1.000000,False,"[""106.77589417"", ""81.69330597"", ""72.43157196"", ""69.12712097"", ""64.77443695"", ""63.55437088"", ""61.49690628"", ""62.79692841"", ""60.14363861"", ""59.25393677""]",1,GenericAELG,0,none
resnet_skip_study_weather_r1,GAELG20_no_skip,genAELG_baseline,['GenericAELG'],Weather-96,144,96,480,20,1,True,2,44,50.588478,0.113558,0.287147,0.173240,nan,0.046055,0.007403,11162240,77.92,10,False,False,ReLU,MAX_EPOCHS,59.01707458,59.01707458,55.61009216,9,1.000000,False,"[""109.27436066"", ""82.06460571"", ""74.89287567"", ""68.54323578"", ""65.02236938"", ""63.08631897"", ""62.20263290"", ""60.40802002"", ""59.10102081"", ""59.01707458""]",1,GenericAELG,0,none
resnet_skip_study_weather_r1,GAELG30_no_skip,genAELG_baseline,['GenericAELG'],Weather-96,144,96,480,30,1,True,0,42,45.708866,0.085851,0.226779,0.116168,nan,0.034580,0.004080,16743360,84.39,10,False,False,ReLU,MAX_EPOCHS,59.75806046,59.75806046,55.60268021,9,1.000000,False,"[""102.43662262"", ""82.80613708"", ""76.06531525"", ""69.35183716"", ""65.78879547"", ""63.99964523"", ""61.47246552"", ""60.48195267"", ""60.15055847"", ""59.75806046""]",1,GenericAELG,0,none
resnet_skip_study_weather_r1,GAELG30_no_skip,genAELG_baseline,['GenericAELG'],Weather-96,144,96,480,30,1,True,1,43,45.766537,0.108250,0.240029,0.133037,nan,0.041296,0.005798,16743360,84.09,10,False,False,ReLU,MAX_EPOCHS,59.79985046,60.97446823,55.51939011,8,1.019642,False,"[""100.17282867"", ""83.21192169"", ""74.12720490"", ""69.64265442"", ""65.64507294"", ""62.33147812"", ""61.44526672"", ""60.56845093"", ""59.79985046"", ""60.97446823""]",1,GenericAELG,0,none
resnet_skip_study_weather_r1,GAELG30_no_skip,genAELG_baseline,['GenericAELG'],Weather-96,144,96,480,30,1,True,2,44,41.940094,0.092025,0.211950,0.112920,nan,0.035654,0.004603,16743360,84.44,10,False,False,ReLU,MAX_EPOCHS,59.48854065,59.78854752,57.56347275,8,1.005043,False,"[""102.72449493"", ""83.16850281"", ""76.90264130"", ""70.38193512"", ""65.86457825"", ""63.63022995"", ""61.67563248"", ""61.11203384"", ""59.48854065"", ""59.78854752""]",1,GenericAELG,0,none
resnet_skip_study_weather_r1,GAELG10_skip5_learn,genAELG_control,['GenericAELG'],Weather-96,144,96,480,10,1,True,0,42,39.943817,0.082304,0.213186,0.112249,nan,0.033615,0.004026,5581121,73.68,10,False,False,ReLU,MAX_EPOCHS,59.27481842,59.27481842,56.17963028,9,1.000000,False,"[""125.68650055"", ""83.35187531"", ""72.28842926"", ""66.96369934"", ""65.31185150"", ""62.33883667"", ""61.94631577"", ""61.10614014"", ""60.07587433"", ""59.27481842""]",1,GenericAELG,5,learnable
resnet_skip_study_weather_r1,GAELG10_skip5_learn,genAELG_control,['GenericAELG'],Weather-96,144,96,480,10,1,True,1,43,45.338173,0.092434,0.248616,0.144160,nan,0.039628,0.005685,5581121,74.52,10,False,False,ReLU,MAX_EPOCHS,58.62440491,58.62440491,55.64301682,9,1.000000,False,"[""128.33158875"", ""85.21269226"", ""72.99755859"", ""67.95092773"", ""64.49057007"", ""61.97002029"", ""61.14555740"", ""60.06740189"", ""59.33617783"", ""58.62440491""]",1,GenericAELG,5,learnable
resnet_skip_study_weather_r1,GAELG10_skip5_learn,genAELG_control,['GenericAELG'],Weather-96,144,96,480,10,1,True,2,44,40.730568,0.082564,0.227901,0.138674,nan,0.034011,0.004259,5581121,74.41,10,False,False,ReLU,MAX_EPOCHS,60.30665588,60.30665588,57.36402130,9,1.000000,False,"[""129.43830872"", ""83.44929504"", ""73.36475372"", ""68.25124359"", ""66.07343292"", ""63.99325562"", ""64.18514252"", ""61.11859131"", ""61.92789841"", ""60.30665588""]",1,GenericAELG,5,learnable
