experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,search_round,arch_pattern,ae_variant,latent_dim_cfg,thetas_dim_cfg,trend_thetas_dim_cfg,meta_predicted_best,meta_convergence_score
trendae_search_r1,AutoEncoder_ld2_td5_ttd3_ag0,trendae_search_round1,"['TrendAE', 'AutoEncoder']",Weather-96,144,96,192,10,1,True,0,42,65.742088,1.456979,15.066586,2334.459473,nan,0.453977,0.695653,5491405,69.20,10,False,False,ReLU,MAX_EPOCHS,44.15629959,44.55724335,53.33435440,4,1.009080,False,"[""49.89844131"", ""46.85042191"", ""45.14561462"", ""44.34701538"", ""44.15629959"", ""44.36780548"", ""45.08274078"", ""44.50004196"", ""44.59357834"", ""44.55724335""]",1,trendae_ae_alternating,AutoEncoder,2,5,3,43.948198,0.880753
trendae_search_r1,AutoEncoder_ld2_td5_ttd3_ag0,trendae_search_round1,"['TrendAE', 'AutoEncoder']",Weather-96,144,96,192,10,1,True,1,43,65.378387,1.025566,14.472407,2382.434814,nan,0.360931,0.327231,5491405,68.99,10,False,False,ReLU,MAX_EPOCHS,43.55104065,44.79944229,54.25169373,7,1.028665,False,"[""50.06034470"", ""47.85266113"", ""47.58847427"", ""44.82696152"", ""44.08407593"", ""45.48817062"", ""46.53155136"", ""43.55104065"", ""43.88722992"", ""44.79944229""]",1,trendae_ae_alternating,AutoEncoder,2,5,3,44.084076,0.880619
trendae_search_r1,AutoEncoder_ld2_td5_ttd3_ag0,trendae_search_round1,"['TrendAE', 'AutoEncoder']",Weather-96,144,96,192,10,1,True,2,44,65.275169,1.130494,16.010641,2271.378174,nan,0.404224,0.394148,5491405,67.30,10,False,False,ReLU,MAX_EPOCHS,43.97220230,44.41218567,54.26588821,5,1.010006,False,"[""49.19498444"", ""46.72674561"", ""44.47240067"", ""45.20715714"", ""44.40138626"", ""43.97220230"", ""44.39096832"", ""45.58932114"", ""44.10972214"", ""44.41218567""]",1,trendae_ae_alternating,AutoEncoder,2,5,3,43.972202,0.893835
trendae_search_r1,AutoEncoder_ld2_td5_ttd5_ag0,trendae_search_round1,"['TrendAE', 'AutoEncoder']",Weather-96,144,96,192,10,1,True,0,42,66.253922,1.034521,14.657383,2456.380371,nan,0.359929,0.289436,5493975,68.16,10,False,False,ReLU,MAX_EPOCHS,44.59608078,46.74338913,55.14163208,8,1.048150,False,"[""48.69035339"", ""45.47512817"", ""45.07423019"", ""47.14888000"", ""45.15976715"", ""45.28309250"", ""45.68363571"", ""45.05844879"", ""44.59608078"", ""46.74338913""]",1,trendae_ae_alternating,AutoEncoder,2,5,5,45.074230,0.925732
trendae_search_r1,AutoEncoder_ld2_td5_ttd5_ag0,trendae_search_round1,"['TrendAE', 'AutoEncoder']",Weather-96,144,96,192,10,1,True,1,43,65.742691,0.975621,17.396820,2826.551025,nan,0.356543,0.246498,5493975,60.84,10,False,False,ReLU,MAX_EPOCHS,45.01921082,46.61848831,55.82247925,6,1.035524,False,"[""53.89702225"", ""49.11202621"", ""48.33678055"", ""46.24025726"", ""46.64273834"", ""46.90799332"", ""45.01921082"", ""46.40246201"", ""45.71038818"", ""46.61848831""]",1,trendae_ae_alternating,AutoEncoder,2,5,5,46.171623,0.856664
trendae_search_r1,AutoEncoder_ld2_td5_ttd5_ag0,trendae_search_round1,"['TrendAE', 'AutoEncoder']",Weather-96,144,96,192,10,1,True,2,44,67.922363,1.549750,15.558973,2690.501709,nan,0.485190,0.737768,5493975,62.81,10,False,False,ReLU,MAX_EPOCHS,44.64888763,44.64888763,53.58284760,9,1.000000,False,"[""53.97248459"", ""47.84027481"", ""48.60226059"", ""45.65217972"", ""45.78527832"", ""45.45918274"", ""46.03098297"", ""45.29502106"", ""44.74472046"", ""44.64888763""]",1,trendae_ae_alternating,AutoEncoder,2,5,5,45.127378,0.836118
trendae_search_r1,AutoEncoder_ld8_td5_ttd3_ag0,trendae_search_round1,"['TrendAE', 'AutoEncoder']",Weather-96,144,96,192,10,1,True,0,42,66.922569,1.562582,22.231932,3393.596680,nan,0.510408,0.759728,5537515,60.81,10,False,False,ReLU,MAX_EPOCHS,44.23723602,44.32284927,53.90438843,1,1.001935,False,"[""49.58803558"", ""44.23723602"", ""44.51570129"", ""44.94299316"", ""45.25802231"", ""45.15720749"", ""45.11097336"", ""45.08955002"", ""44.86308289"", ""44.32284927""]",1,trendae_ae_alternating,AutoEncoder,8,5,3,44.237236,0.892095
trendae_search_r1,AutoEncoder_ld8_td5_ttd3_ag0,trendae_search_round1,"['TrendAE', 'AutoEncoder']",Weather-96,144,96,192,10,1,True,1,43,67.248436,1.661447,15.066211,2209.291260,nan,0.505004,0.862392,5537515,62.68,10,False,False,ReLU,MAX_EPOCHS,43.39276123,44.71177292,54.60556793,3,1.030397,False,"[""51.79977417"", ""46.53903580"", ""45.95947647"", ""43.39276123"", ""45.19120026"", ""45.76823807"", ""45.47451019"", ""46.06810379"", ""44.64401627"", ""44.71177292""]",1,trendae_ae_alternating,AutoEncoder,8,5,3,43.392761,0.837702
trendae_search_r1,AutoEncoder_ld8_td5_ttd3_ag0,trendae_search_round1,"['TrendAE', 'AutoEncoder']",Weather-96,144,96,192,10,1,True,2,44,66.962448,0.964739,15.033208,2324.430908,nan,0.350843,0.237982,5537515,59.74,10,False,False,ReLU,MAX_EPOCHS,43.21675110,44.64908218,54.74893570,5,1.033143,False,"[""49.38655472"", ""44.33237839"", ""44.49557495"", ""44.49079514"", ""44.29005814"", ""43.21675110"", ""44.00315094"", ""43.76553726"", ""43.92768478"", ""44.64908218""]",1,trendae_ae_alternating,AutoEncoder,8,5,3,43.216751,0.875071
trendae_search_r1,AutoEncoder_ld8_td5_ttd5_ag0,trendae_search_round1,"['TrendAE', 'AutoEncoder']",Weather-96,144,96,192,10,1,True,0,42,66.085968,1.272646,16.320732,2255.860107,nan,0.416420,0.461208,5540085,60.94,10,False,False,ReLU,MAX_EPOCHS,42.83629227,42.83629227,54.50524139,9,1.000000,False,"[""50.35316849"", ""49.50705338"", ""46.38317108"", ""44.36260605"", ""44.61326218"", ""44.25625992"", ""45.37321472"", ""43.19181061"", ""44.62962341"", ""42.83629227""]",1,trendae_ae_alternating,AutoEncoder,8,5,5,43.895651,0.871755
