experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,t_width,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,search_round,block_type,wavelet_type,wavelet_family,basis_dim,basis_offset,trend_dim_cfg,bd_label,latent_dim_cfg,meta_predicted_best,meta_convergence_score
trendwaveletae_search_r1,TrendWaveletAE_haar_eq_fcast_td3_ld8,trendwaveletae_search,['TrendWaveletAE'],Weather-96,144,96,192,20,1,True,0,42,66.862617,1.211359,15.778026,2630.966553,nan,0.414711,0.397089,4722780,512,123.00,15,False,False,ReLU,MAX_EPOCHS,43.47117233,44.48985291,52.57373428,3,1.023433,False,"[""47.48751831"", ""44.34614182"", ""45.67114639"", ""43.47117233"", ""45.13325882"", ""44.02430344"", ""43.90792084"", ""44.13170624"", ""44.50593567"", ""43.95458221"", ""44.45076370"", ""44.10364151"", ""44.28157425"", ""44.65132523"", ""44.48985291""]",1,TrendWaveletAE,haar,haar,96,0,3,eq_fcast,8,43.47117233,0.91542312
trendwaveletae_search_r1,TrendWaveletAE_haar_eq_fcast_td3_ld8,trendwaveletae_search,['TrendWaveletAE'],Weather-96,144,96,192,20,1,True,1,43,65.581566,0.887698,15.057467,2470.604248,nan,0.333070,0.213766,4722780,512,126.81,15,False,False,ReLU,MAX_EPOCHS,43.56673813,43.71149063,52.88834000,10,1.003323,False,"[""46.80684280"", ""43.97173309"", ""44.86766815"", ""44.41568756"", ""43.89559174"", ""44.23778152"", ""43.93735504"", ""43.98575974"", ""44.03245544"", ""44.11145401"", ""43.56673813"", ""44.56627274"", ""44.09804916"", ""43.86180496"", ""43.71149063""]",1,TrendWaveletAE,haar,haar,96,0,3,eq_fcast,8,43.71900079,0.93403012
trendwaveletae_search_r1,TrendWaveletAE_haar_eq_fcast_td3_ld8,trendwaveletae_search,['TrendWaveletAE'],Weather-96,144,96,192,20,1,True,2,44,66.032829,0.982297,13.623053,2255.297119,nan,0.345709,0.254833,4722780,512,119.11,15,False,False,ReLU,MAX_EPOCHS,42.65134811,42.65134811,52.76129150,14,1.000000,False,"[""47.17455673"", ""43.88459778"", ""44.94055939"", ""43.66195679"", ""44.86147690"", ""43.86347961"", ""44.39633179"", ""43.69245529"", ""44.69227982"", ""44.03859711"", ""43.94285202"", ""43.21573639"", ""43.07444000"", ""43.58792877"", ""42.65134811""]",1,TrendWaveletAE,haar,haar,96,0,3,eq_fcast,8,43.47002532,0.92147183
trendwaveletae_search_r1,TrendWaveletAE_haar_eq_fcast_td3_ld12,trendwaveletae_search,['TrendWaveletAE'],Weather-96,144,96,192,20,1,True,0,42,65.599785,1.035837,15.043990,1747.497803,nan,0.372973,0.270654,4763820,512,121.98,15,False,False,ReLU,MAX_EPOCHS,42.67550278,43.03058243,52.09056091,10,1.008320,False,"[""47.93679428"", ""44.61704636"", ""45.01340866"", ""43.63545227"", ""44.71398163"", ""44.16205978"", ""43.94061661"", ""43.49700928"", ""42.97580338"", ""43.77795029"", ""42.67550278"", ""44.43793488"", ""43.40105438"", ""42.78298950"", ""43.03058243""]",1,TrendWaveletAE,haar,haar,96,0,3,eq_fcast,12,43.63545227,0.91027055
trendwaveletae_search_r1,TrendWaveletAE_haar_eq_fcast_td3_ld12,trendwaveletae_search,['TrendWaveletAE'],Weather-96,144,96,192,20,1,True,1,43,65.564034,0.885918,14.791646,2548.495850,nan,0.324400,0.212400,4763820,512,118.63,15,False,False,ReLU,MAX_EPOCHS,42.88013458,43.84683990,52.96431732,7,1.022544,False,"[""49.09328079"", ""44.10721588"", ""44.61390305"", ""44.49722290"", ""43.58331680"", ""43.52083969"", ""43.80155182"", ""42.88013458"", ""44.01343155"", ""44.09188843"", ""43.79205322"", ""43.68215179"", ""43.95809937"", ""43.72583389"", ""43.84683990""]",1,TrendWaveletAE,haar,haar,96,0,3,eq_fcast,12,43.26643080,0.88131064
trendwaveletae_search_r1,TrendWaveletAE_haar_eq_fcast_td3_ld12,trendwaveletae_search,['TrendWaveletAE'],Weather-96,144,96,192,20,1,True,2,44,67.189003,1.182300,14.606564,2498.872559,nan,0.414647,0.393868,4763820,512,120.68,15,False,False,ReLU,MAX_EPOCHS,43.12759018,43.55780411,52.50928879,4,1.009975,False,"[""47.63012314"", ""43.51077652"", ""43.97011566"", ""44.18763351"", ""43.12759018"", ""44.08324051"", ""43.69381714"", ""44.09527588"", ""44.24561691"", ""44.67318344"", ""43.77131271"", ""43.57487106"", ""44.25654221"", ""43.88075638"", ""43.55780411""]",1,TrendWaveletAE,haar,haar,96,0,3,eq_fcast,12,43.12759018,0.90546879
trendwaveletae_search_r1,TrendWaveletAE_haar_lt_fcast_td3_ld8,trendwaveletae_search,['TrendWaveletAE'],Weather-96,144,96,192,20,1,True,0,42,64.345116,0.980170,13.782849,1970.371826,nan,0.344898,0.261088,4702260,512,115.46,15,False,False,ReLU,MAX_EPOCHS,43.27296829,43.36285400,52.73323059,10,1.002077,False,"[""47.84595108"", ""44.83823013"", ""44.05717468"", ""43.67864990"", ""44.10939789"", ""44.51060867"", ""43.99674988"", ""44.49448776"", ""44.12383652"", ""43.90154648"", ""43.27296829"", ""44.07191467"", ""43.72692871"", ""43.53708649"", ""43.36285400""]",1,TrendWaveletAE,haar,haar,94,0,3,lt_fcast,8,43.65769758,0.91246378
trendwaveletae_search_r1,TrendWaveletAE_haar_lt_fcast_td3_ld8,trendwaveletae_search,['TrendWaveletAE'],Weather-96,144,96,192,20,1,True,1,43,65.660271,0.997108,13.452409,1983.792847,nan,0.351583,0.259838,4702260,512,106.52,15,False,False,ReLU,MAX_EPOCHS,43.44554138,44.08369827,52.58964920,13,1.014689,False,"[""46.57071686"", ""44.48534012"", ""44.75067139"", ""44.53556061"", ""43.65892792"", ""44.49298859"", ""44.21755981"", ""44.61824417"", ""44.43561172"", ""44.76940155"", ""44.77249527"", ""44.47769547"", ""44.89731598"", ""43.44554138"", ""44.08369827""]",1,TrendWaveletAE,haar,haar,94,0,3,lt_fcast,8,43.65892792,0.93747597
trendwaveletae_search_r1,TrendWaveletAE_haar_lt_fcast_td3_ld8,trendwaveletae_search,['TrendWaveletAE'],Weather-96,144,96,192,20,1,True,2,44,64.376961,0.888344,12.975004,1913.364014,nan,0.325406,0.211178,4702260,512,106.69,15,False,False,ReLU,MAX_EPOCHS,43.41835403,43.51277924,53.78823853,13,1.002175,False,"[""49.18187714"", ""45.40158463"", ""43.77334213"", ""44.36884689"", ""44.48320770"", ""43.78048706"", ""44.07825089"", ""43.48962784"", ""43.87090302"", ""43.90761185"", ""44.25335693"", ""44.30110168"", ""44.27563477"", ""43.41835403"", ""43.51277924""]",1,TrendWaveletAE,haar,haar,94,0,3,lt_fcast,8,42.93448430,0.87297368
trendwaveletae_search_r1,TrendWaveletAE_haar_lt_fcast_td3_ld12,trendwaveletae_search,['TrendWaveletAE'],Weather-96,144,96,192,20,1,True,0,42,63.349064,1.051477,13.931903,1950.540283,nan,0.364229,0.332509,4743300,512,106.38,15,False,False,ReLU,MAX_EPOCHS,42.79995346,42.79995346,52.71074677,14,1.000000,False,"[""46.35806656"", ""43.97937393"", ""43.73594666"", ""43.76628876"", ""44.34349060"", ""44.56660080"", ""44.40109634"", ""44.24552536"", ""44.44142151"", ""43.13104630"", ""43.78205490"", ""44.84505081"", ""44.13027954"", ""43.75507355"", ""42.79995346""]",1,TrendWaveletAE,haar,haar,94,0,3,lt_fcast,12,43.51514368,0.93867469
