experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,search_round,basis_dim,basis_offset,trend_thetas_dim_cfg,wavelet_family,bd_label,latent_dim_cfg,repeats_cfg,meta_predicted_best,meta_convergence_score
v3aelg_stackheight_sweep_weather_r1,Haar_eq_fcast_ttd3_ld32_r2,v3aelg_stackheight_sweep_weather,"['TrendAELG', 'HaarWaveletV3AELG']",Weather-96,144,96,192,4,1,True,1,43,66.563354,1.054256,14.465910,2243.932617,nan,0.387627,0.280143,725766,93.61,15,False,False,ReLU,MAX_EPOCHS,43.34157562,44.73140335,53.49441147,8,1.032067,False,"[""54.57426834"", ""52.26071930"", ""47.49654007"", ""44.63733292"", ""44.87580490"", ""43.66356277"", ""44.02584839"", ""43.81243896"", ""43.34157562"", ""43.63623047"", ""43.94681168"", ""44.76509857"", ""44.33033371"", ""44.47632217"", ""44.73140335""]",1,96,0,3,HaarWaveletV3AELG,eq_fcast,32,2,43.43192192,0.79583150
v3aelg_stackheight_sweep_weather_r1,Haar_eq_fcast_ttd3_ld32_r2,v3aelg_stackheight_sweep_weather,"['TrendAELG', 'HaarWaveletV3AELG']",Weather-96,144,96,192,4,1,True,0,42,65.151100,0.963440,16.048092,2288.282227,nan,0.362993,0.245153,725766,94.67,15,False,False,ReLU,MAX_EPOCHS,43.80411530,44.95989990,53.88039398,6,1.026385,False,"[""62.60798264"", ""51.82960129"", ""47.71964264"", ""45.43768692"", ""45.86417770"", ""45.27860641"", ""43.80411530"", ""44.27394867"", ""44.40279770"", ""44.32575226"", ""43.97226715"", ""44.43852234"", ""44.86223602"", ""44.60756683"", ""44.95989990""]",1,96,0,3,HaarWaveletV3AELG,eq_fcast,32,2,44.58838187,0.71218365
v3aelg_stackheight_sweep_weather_r1,Haar_eq_fcast_ttd3_ld32_r2,v3aelg_stackheight_sweep_weather,"['TrendAELG', 'HaarWaveletV3AELG']",Weather-96,144,96,192,4,1,True,2,44,65.352806,0.949741,15.784408,2136.339844,nan,0.367805,0.264297,725766,93.76,15,False,False,ReLU,MAX_EPOCHS,43.19817352,44.48094177,53.71019745,7,1.029695,False,"[""53.67111969"", ""52.77510452"", ""49.93355560"", ""45.64170074"", ""45.95908737"", ""44.89310074"", ""44.04809570"", ""43.19817352"", ""43.77975464"", ""43.71201324"", ""44.05917358"", ""43.97716904"", ""44.29484940"", ""43.92609024"", ""44.48094177""]",1,96,0,3,HaarWaveletV3AELG,eq_fcast,32,2,44.76220921,0.83400923
v3aelg_stackheight_sweep_weather_r1,Haar_eq_fcast_ttd3_ld32_r3,v3aelg_stackheight_sweep_weather,"['TrendAELG', 'HaarWaveletV3AELG']",Weather-96,144,96,192,6,1,True,0,42,66.476044,0.960815,13.315149,2148.038086,nan,0.363006,0.231941,1088649,95.62,15,False,False,ReLU,MAX_EPOCHS,44.07965469,44.74932480,53.75799561,5,1.015192,False,"[""54.91625214"", ""48.55360413"", ""45.95888519"", ""45.14475632"", ""44.10025406"", ""44.07965469"", ""44.23845291"", ""44.28284836"", ""44.50205994"", ""44.53673935"", ""45.51631165"", ""45.31067276"", ""44.75495148"", ""45.66322708"", ""44.74932480""]",1,96,0,3,HaarWaveletV3AELG,eq_fcast,32,3,43.76843903,0.79700339
v3aelg_stackheight_sweep_weather_r1,Haar_eq_fcast_ttd3_ld32_r3,v3aelg_stackheight_sweep_weather,"['TrendAELG', 'HaarWaveletV3AELG']",Weather-96,144,96,192,6,1,True,1,43,65.925041,0.973841,15.364627,2363.952393,nan,0.366587,0.261993,1088649,97.47,15,False,False,ReLU,MAX_EPOCHS,43.36588287,46.31637955,53.83451462,4,1.068037,False,"[""51.66838837"", ""46.69732285"", ""45.37493896"", ""44.01075745"", ""43.36588287"", ""43.48190689"", ""43.98614502"", ""44.40862656"", ""44.71868896"", ""44.97399521"", ""45.07666397"", ""44.83539581"", ""44.66245651"", ""45.29839706"", ""46.31637955""]",1,96,0,3,HaarWaveletV3AELG,eq_fcast,32,3,43.36588287,0.83931170
v3aelg_stackheight_sweep_weather_r1,Haar_eq_fcast_ttd3_ld32_r3,v3aelg_stackheight_sweep_weather,"['TrendAELG', 'HaarWaveletV3AELG']",Weather-96,144,96,192,6,1,True,2,44,66.431168,0.971636,14.333170,2131.592041,nan,0.356889,0.228127,1088649,97.88,15,False,False,ReLU,MAX_EPOCHS,43.86720276,44.43484116,53.88844681,5,1.012940,False,"[""56.12247467"", ""49.91514969"", ""46.57893372"", ""44.94906235"", ""44.67274475"", ""43.86720276"", ""43.95201874"", ""44.50000381"", ""45.01163483"", ""44.82328415"", ""44.71453857"", ""45.26565552"", ""44.70118713"", ""45.17738342"", ""44.43484116""]",1,96,0,3,HaarWaveletV3AELG,eq_fcast,32,3,43.67478914,0.77820498
v3aelg_stackheight_sweep_weather_r1,Haar_eq_fcast_ttd3_ld32_r4,v3aelg_stackheight_sweep_weather,"['TrendAELG', 'HaarWaveletV3AELG']",Weather-96,144,96,192,8,1,True,0,42,65.376114,0.912843,13.668829,2126.188721,nan,0.339547,0.209649,1451532,96.63,15,False,False,ReLU,MAX_EPOCHS,43.88737488,44.53802490,52.96546936,4,1.014825,False,"[""52.41376495"", ""45.94404984"", ""45.25302887"", ""43.93112183"", ""43.88737488"", ""43.89125824"", ""44.07365036"", ""43.98102951"", ""43.94427109"", ""44.51439285"", ""44.36734009"", ""44.41970062"", ""44.51939392"", ""44.55888748"", ""44.53802490""]",1,96,0,3,HaarWaveletV3AELG,eq_fcast,32,4,43.77069424,0.83509922
v3aelg_stackheight_sweep_weather_r1,Haar_eq_fcast_ttd3_ld32_r4,v3aelg_stackheight_sweep_weather,"['TrendAELG', 'HaarWaveletV3AELG']",Weather-96,144,96,192,8,1,True,1,43,65.927902,1.077778,14.919263,2263.560791,nan,0.390653,0.333523,1451532,97.27,15,False,False,ReLU,MAX_EPOCHS,42.78822708,44.27723694,53.09378052,4,1.034800,False,"[""50.88562775"", ""46.81169510"", ""44.92862320"", ""43.46897507"", ""42.78822708"", ""43.18634796"", ""43.94516373"", ""44.31783676"", ""43.88839340"", ""45.38766861"", ""44.56724548"", ""44.34357834"", ""43.98883438"", ""43.85644531"", ""44.27723694""]",1,96,0,3,HaarWaveletV3AELG,eq_fcast,32,4,42.78822708,0.84087058
v3aelg_stackheight_sweep_weather_r1,Haar_eq_fcast_ttd3_ld32_r4,v3aelg_stackheight_sweep_weather,"['TrendAELG', 'HaarWaveletV3AELG']",Weather-96,144,96,192,8,1,True,2,44,67.079536,0.951023,14.287944,2490.170410,nan,0.350063,0.215597,1451532,96.84,15,False,False,ReLU,MAX_EPOCHS,43.81967545,43.94244385,53.45048141,9,1.002802,False,"[""52.40652466"", ""48.06358337"", ""46.41906357"", ""45.74551010"", ""44.02909470"", ""44.41589355"", ""44.09656906"", ""44.21117783"", ""44.11676407"", ""43.81967545"", ""44.49947357"", ""44.10514069"", ""44.20742035"", ""43.94199371"", ""43.94244385""]",1,96,0,3,HaarWaveletV3AELG,eq_fcast,32,4,44.02909470,0.84014529
v3aelg_stackheight_sweep_weather_r1,Haar_eq_fcast_ttd3_ld32_r5,v3aelg_stackheight_sweep_weather,"['TrendAELG', 'HaarWaveletV3AELG']",Weather-96,144,96,192,10,1,True,0,42,65.064903,0.898224,13.699754,2154.646729,nan,0.327663,0.204369,1814415,98.91,15,False,False,ReLU,MAX_EPOCHS,43.47725296,44.10747147,53.05699158,8,1.014495,False,"[""50.91269684"", ""46.96323013"", ""43.96084213"", ""43.58616257"", ""43.48842621"", ""43.62348175"", ""43.93386841"", ""43.53025436"", ""43.47725296"", ""44.27603912"", ""44.64149857"", ""44.54930878"", ""44.55248260"", ""44.08300400"", ""44.10747147""]",1,96,0,3,HaarWaveletV3AELG,eq_fcast,32,5,43.38677917,0.85217994
