experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,t_width,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,search_round,block_type,backbone_family,wavelet_family,category_label,latent_dim
baseline_r1,GenericVAE2_ld8,generic,['GenericVAE2'],Weather-96,144,96,192,5,1,True,0,42,67.995491,1.876340,32.453125,6010.954590,nan,0.579242,1.049423,1674320,256,79.07,15,False,False,ReLU,MAX_EPOCHS,47.95968246,47.95968246,63.05398941,14,1.000000,False,"[""113.47642517"", ""53.87535477"", ""54.79261398"", ""58.31941986"", ""55.26035309"", ""53.58785248"", ""56.80495453"", ""57.33904266"", ""54.29738235"", ""52.19664764"", ""51.76776123"", ""49.44413757"", ""48.07708740"", ""50.03535843"", ""47.95968246""]",1,GenericVAE2,VAE2,,generic,8
baseline_r1,GenericVAE2_ld8,generic,['GenericVAE2'],Weather-96,144,96,192,5,1,True,1,43,66.920784,2.524271,48.457809,9917.832031,nan,1.039775,6.549445,1674320,256,78.09,15,False,False,ReLU,MAX_EPOCHS,47.43022537,47.43022537,60.83168793,14,1.000000,False,"[""126.18679047"", ""56.20103836"", ""56.40037918"", ""58.41880035"", ""56.27373123"", ""55.54890060"", ""53.99909592"", ""60.10090256"", ""53.48554230"", ""50.47995377"", ""49.98393250"", ""51.72863007"", ""49.27322006"", ""49.87644958"", ""47.43022537""]",1,GenericVAE2,VAE2,,generic,8
baseline_r1,GenericVAE2_ld8,generic,['GenericVAE2'],Weather-96,144,96,192,5,1,True,2,44,69.378296,3.220825,38.964500,6589.166016,nan,1.114281,5.200778,1674320,256,76.77,15,False,False,ReLU,MAX_EPOCHS,48.45920181,48.45920181,64.44868469,14,1.000000,False,"[""128.53887939"", ""67.00146484"", ""70.33788300"", ""58.32831955"", ""55.74839020"", ""55.37181473"", ""53.34485626"", ""52.60502243"", ""53.54933929"", ""53.88491058"", ""52.10802460"", ""51.18937683"", ""50.27229309"", ""48.67313004"", ""48.45920181""]",1,GenericVAE2,VAE2,,generic,8
baseline_r1,GenericVAE2_ld16,generic,['GenericVAE2'],Weather-96,144,96,192,5,1,True,0,42,68.688698,1.843397,30.278521,5573.007324,nan,0.611612,1.058347,1705120,256,76.65,15,False,False,ReLU,MAX_EPOCHS,47.40353394,47.63800812,60.99956894,13,1.004946,False,"[""128.49981689"", ""64.98951721"", ""64.05161285"", ""73.54745483"", ""60.74465942"", ""60.77122116"", ""55.96366119"", ""52.07604218"", ""51.46918869"", ""51.03795624"", ""50.78028488"", ""48.12251663"", ""48.29174805"", ""47.40353394"", ""47.63800812""]",1,GenericVAE2,VAE2,,generic,16
baseline_r1,GenericVAE2_ld16,generic,['GenericVAE2'],Weather-96,144,96,192,5,1,True,1,43,65.900681,1.586948,34.851418,6011.674805,nan,0.562134,0.958512,1705120,256,76.30,15,False,False,ReLU,MAX_EPOCHS,47.60116577,48.09323120,60.87289429,12,1.010337,False,"[""127.28657532"", ""55.55711746"", ""56.89546585"", ""57.74257278"", ""64.49891663"", ""55.19776154"", ""53.48270416"", ""52.43281174"", ""51.77725983"", ""50.27735138"", ""49.44612122"", ""49.99239731"", ""47.60116577"", ""50.00552368"", ""48.09323120""]",1,GenericVAE2,VAE2,,generic,16
baseline_r1,GenericVAE2_ld16,generic,['GenericVAE2'],Weather-96,144,96,192,5,1,True,2,44,67.616104,1.821423,36.089836,6412.823730,nan,0.637233,1.125379,1705120,256,76.64,15,False,False,ReLU,MAX_EPOCHS,49.31817627,51.43303680,62.77383041,13,1.042882,False,"[""128.68785095"", ""72.24349976"", ""79.97714233"", ""59.30280304"", ""55.84523773"", ""54.89061356"", ""52.00043488"", ""51.27033615"", ""52.48258209"", ""50.23043823"", ""50.31002808"", ""51.08603668"", ""49.88489151"", ""49.31817627"", ""51.43303680""]",1,GenericVAE2,VAE2,,generic,16
baseline_r1,GenericVAE2_ld32,generic,['GenericVAE2'],Weather-96,144,96,192,5,1,True,0,42,65.278412,2.080744,40.380531,7150.423828,nan,0.764050,2.031567,1766720,256,76.92,15,False,False,ReLU,MAX_EPOCHS,52.60519409,55.51018143,60.96145248,13,1.055222,False,"[""138.41448975"", ""68.70940399"", ""62.93149567"", ""72.97746277"", ""72.21809387"", ""63.83240509"", ""57.54572678"", ""54.84265137"", ""58.25037384"", ""55.77011108"", ""57.28163910"", ""55.81937408"", ""53.35114670"", ""52.60519409"", ""55.51018143""]",1,GenericVAE2,VAE2,,generic,32
baseline_r1,GenericVAE2_ld32,generic,['GenericVAE2'],Weather-96,144,96,192,5,1,True,1,43,69.077423,3.923462,48.396923,8194.342773,nan,1.550832,11.838261,1766720,256,76.68,15,False,False,ReLU,MAX_EPOCHS,50.24195862,50.82282257,61.16036224,12,1.011561,False,"[""133.73262024"", ""61.88148117"", ""53.96768951"", ""57.53575897"", ""60.56275177"", ""53.10082245"", ""57.65910721"", ""53.94526291"", ""52.43070602"", ""52.23846436"", ""50.52806091"", ""50.61439896"", ""50.24195862"", ""50.43312454"", ""50.82282257""]",1,GenericVAE2,VAE2,,generic,32
baseline_r1,GenericVAE2_ld32,generic,['GenericVAE2'],Weather-96,144,96,192,5,1,True,2,44,66.184547,2.834107,41.683979,8287.877930,nan,0.944301,7.247221,1766720,256,76.95,15,False,False,ReLU,MAX_EPOCHS,55.13251495,57.48726273,62.08106232,11,1.042711,False,"[""134.51873779"", ""62.63146973"", ""76.62731171"", ""66.25926208"", ""66.51802826"", ""62.31064606"", ""87.21973419"", ""65.51373291"", ""64.09042358"", ""61.99912262"", ""57.78784180"", ""55.13251495"", ""57.71869659"", ""55.52318573"", ""57.48726273""]",1,GenericVAE2,VAE2,,generic,32
baseline_r1,GenericVAE_ld8,generic,['GenericVAE'],Weather-96,144,96,192,5,1,True,0,42,68.945595,1.845216,29.372141,5307.615723,nan,0.605928,1.056466,1987920,256,77.09,15,False,False,ReLU,MAX_EPOCHS,48.57823563,48.71609497,59.34769440,11,1.002838,False,"[""101.23636627"", ""73.38591003"", ""72.46459198"", ""72.42800903"", ""72.56681061"", ""69.26384735"", ""68.96177673"", ""69.59747314"", ""65.21251678"", ""53.28860474"", ""51.97765350"", ""48.57823563"", ""49.20727158"", ""48.82365799"", ""48.71609497""]",1,GenericVAE,VAE1,,generic,8
baseline_r1,GenericVAE_ld8,generic,['GenericVAE'],Weather-96,144,96,192,5,1,True,1,43,68.669357,1.994572,35.551441,6253.741211,nan,0.745069,1.986295,1987920,256,77.44,15,False,False,ReLU,MAX_EPOCHS,47.39951706,47.39951706,59.22746658,14,1.000000,False,"[""96.12266541"", ""69.02707672"", ""71.99825287"", ""70.15353394"", ""67.36522675"", ""67.14526367"", ""69.56594849"", ""67.79973602"", ""66.61325073"", ""54.68689728"", ""52.20681000"", ""50.69497299"", ""49.93589401"", ""49.75983047"", ""47.39951706""]",1,GenericVAE,VAE1,,generic,8
baseline_r1,GenericVAE_ld8,generic,['GenericVAE'],Weather-96,144,96,192,5,1,True,2,44,68.977875,2.806738,40.227131,6857.985352,nan,1.196997,7.559351,1987920,256,77.46,15,False,False,ReLU,MAX_EPOCHS,49.49868011,49.98877716,61.20487213,13,1.009901,False,"[""99.10707092"", ""68.41863251"", ""71.79200745"", ""65.38645935"", ""68.06819153"", ""64.20479584"", ""63.47822189"", ""61.86557007"", ""60.93267059"", ""52.25852585"", ""54.01493454"", ""50.77918625"", ""49.87868881"", ""49.49868011"", ""49.98877716""]",1,GenericVAE,VAE1,,generic,8
