experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,search_round,basis_dim,basis_offset,trend_thetas_dim_cfg,wavelet_family,bd_label,active_g_cfg,meta_predicted_best,meta_convergence_score
wavelet_search_r1_baseline,Haar_bd96_eq_fcast_ttd3,wavelet_search_round1,"['Trend', 'HaarWaveletV3']",Weather-96,144,96,192,10,1,True,0,42,67.016525,1.013555,15.095524,2557.739746,nan,0.364679,0.241570,6163215,35.82,7,False,False,ReLU,MAX_EPOCHS,43.06927490,43.62619400,53.89680862,3,1.012931,False,"[""46.80894470"", ""45.03499603"", ""44.11772919"", ""43.06927490"", ""43.29766464"", ""43.24574280"", ""43.62619400""]",1,96,0,3,HaarWaveletV3,eq_fcast,False,,
wavelet_search_r1_baseline,Haar_bd96_eq_fcast_ttd3,wavelet_search_round1,"['Trend', 'HaarWaveletV3']",Weather-96,144,96,192,10,1,True,1,43,66.800560,1.079198,16.342119,2734.803223,nan,0.411204,0.364329,6163215,37.55,7,False,False,ReLU,MAX_EPOCHS,44.03464890,45.39398956,53.81142044,4,1.030870,False,"[""48.51365280"", ""44.19334030"", ""44.64229965"", ""44.72917175"", ""44.03464890"", ""44.04821014"", ""45.39398956""]",1,96,0,3,HaarWaveletV3,eq_fcast,False,,
wavelet_search_r1_baseline,Haar_bd96_eq_fcast_ttd3,wavelet_search_round1,"['Trend', 'HaarWaveletV3']",Weather-96,144,96,192,10,1,True,2,44,66.581818,0.910269,14.838826,2629.306885,nan,0.339975,0.204513,6163215,37.49,7,False,False,ReLU,MAX_EPOCHS,44.38146210,44.49091339,54.69078445,4,1.002466,False,"[""47.15068436"", ""44.47948074"", ""44.73664856"", ""44.58571243"", ""44.38146210"", ""45.34945297"", ""44.49091339""]",1,96,0,3,HaarWaveletV3,eq_fcast,False,,
wavelet_search_r1_baseline,Haar_bd96_eq_fcast_ttd5,wavelet_search_round1,"['Trend', 'HaarWaveletV3']",Weather-96,144,96,192,10,1,True,1,43,68.342476,1.237536,17.327261,2281.892334,nan,0.492194,0.662961,6165785,38.28,7,False,False,ReLU,MAX_EPOCHS,43.57116318,43.93818665,54.90287399,5,1.008424,False,"[""48.71915054"", ""46.00629044"", ""43.59152603"", ""44.14966583"", ""45.56776428"", ""43.57116318"", ""43.93818665""]",1,96,0,5,HaarWaveletV3,eq_fcast,False,,
wavelet_search_r1_baseline,Haar_bd96_eq_fcast_ttd5,wavelet_search_round1,"['Trend', 'HaarWaveletV3']",Weather-96,144,96,192,10,1,True,0,42,67.405197,1.020998,14.759251,2426.699219,nan,0.386890,0.266670,6165785,39.46,7,False,False,ReLU,MAX_EPOCHS,43.59650040,43.59650040,54.42156219,6,1.000000,False,"[""47.98879623"", ""46.38341522"", ""44.00477600"", ""43.88443375"", ""44.42612457"", ""43.64985275"", ""43.59650040""]",1,96,0,5,HaarWaveletV3,eq_fcast,False,,
wavelet_search_r1_baseline,Haar_bd96_eq_fcast_ttd5,wavelet_search_round1,"['Trend', 'HaarWaveletV3']",Weather-96,144,96,192,10,1,True,2,44,65.911217,0.952177,14.432845,2370.970459,nan,0.350938,0.227558,6165785,39.18,7,False,False,ReLU,MAX_EPOCHS,43.43139648,45.04074860,54.62756729,4,1.037055,False,"[""47.27587509"", ""45.41595459"", ""45.16820526"", ""43.96489334"", ""43.43139648"", ""44.52512360"", ""45.04074860""]",1,96,0,5,HaarWaveletV3,eq_fcast,False,,
wavelet_search_r1_baseline,Haar_bd94_lt_fcast_ttd3,wavelet_search_round1,"['Trend', 'HaarWaveletV3']",Weather-96,144,96,192,10,1,True,0,42,66.616646,1.023001,14.685357,2431.296387,nan,0.381572,0.279651,6152975,39.71,7,False,False,ReLU,MAX_EPOCHS,43.55807495,45.19747162,54.63723373,5,1.037637,False,"[""48.44094086"", ""45.75044250"", ""45.74102020"", ""44.44817734"", ""43.89331436"", ""43.55807495"", ""45.19747162""]",1,94,0,3,HaarWaveletV3,lt_fcast,False,,
wavelet_search_r1_baseline,Haar_bd94_lt_fcast_ttd3,wavelet_search_round1,"['Trend', 'HaarWaveletV3']",Weather-96,144,96,192,10,1,True,1,43,66.418251,1.254455,15.118135,1909.275879,nan,0.429671,0.417264,6152975,38.10,7,False,False,ReLU,MAX_EPOCHS,43.74263763,43.92022705,54.88567352,2,1.004060,False,"[""46.86111450"", ""44.93525314"", ""43.74263763"", ""43.88203049"", ""44.07698059"", ""44.79072189"", ""43.92022705""]",1,94,0,3,HaarWaveletV3,lt_fcast,False,,
wavelet_search_r1_baseline,Haar_bd94_lt_fcast_ttd3,wavelet_search_round1,"['Trend', 'HaarWaveletV3']",Weather-96,144,96,192,10,1,True,2,44,66.858086,0.968648,14.633011,2277.082031,nan,0.350982,0.228620,6152975,38.81,7,False,False,ReLU,MAX_EPOCHS,43.52339554,43.84436417,54.03908539,4,1.007375,False,"[""47.91141129"", ""45.77502823"", ""43.99974442"", ""44.49446869"", ""43.52339554"", ""44.56065369"", ""43.84436417""]",1,94,0,3,HaarWaveletV3,lt_fcast,False,,
wavelet_search_r1_baseline,Haar_bd94_lt_fcast_ttd5,wavelet_search_round1,"['Trend', 'HaarWaveletV3']",Weather-96,144,96,192,10,1,True,0,42,64.800705,1.016764,16.273220,2312.512207,nan,0.379804,0.307343,6155545,38.36,7,False,False,ReLU,MAX_EPOCHS,44.00909424,44.66122055,54.35770035,2,1.014818,False,"[""47.70407104"", ""45.53630829"", ""44.00909424"", ""44.65272522"", ""44.18402100"", ""45.68840408"", ""44.66122055""]",1,94,0,5,HaarWaveletV3,lt_fcast,False,,
