experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,search_round,basis_dim,basis_offset,trend_thetas_dim_cfg,wavelet_family,bd_label,active_g_cfg,meta_predicted_best,meta_convergence_score
wavelet_trendae_search_r1_baseline,Haar_bd96_eq_fcast_ttd3,wavelet_trendae_search_round1,"['TrendAE', 'HaarWaveletV3']",Weather-96,144,96,192,10,1,True,1,43,67.049446,0.914936,14.654848,2647.864014,nan,0.350972,0.228972,5223715,39.82,7,False,False,ReLU,MAX_EPOCHS,43.68056488,45.53566742,54.43440628,4,1.042470,False,"[""45.45306778"", ""45.17163467"", ""45.66570663"", ""44.38219833"", ""43.68056488"", ""44.02594757"", ""45.53566742""]",1,96,0,3,HaarWaveletV3,eq_fcast,False,43.680565,0.961004
wavelet_trendae_search_r1_baseline,Haar_bd96_eq_fcast_ttd3,wavelet_trendae_search_round1,"['TrendAE', 'HaarWaveletV3']",Weather-96,144,96,192,10,1,True,0,42,66.104416,0.951610,14.543132,2186.270996,nan,0.357659,0.227479,5223715,40.74,7,False,False,ReLU,MAX_EPOCHS,43.52191544,43.52191544,55.14019775,6,1.000000,False,"[""47.10026550"", ""44.68807983"", ""44.13206100"", ""43.69733810"", ""43.60253143"", ""43.93084335"", ""43.52191544""]",1,96,0,3,HaarWaveletV3,eq_fcast,False,43.602531,0.925739
wavelet_trendae_search_r1_baseline,Haar_bd96_eq_fcast_ttd3,wavelet_trendae_search_round1,"['TrendAE', 'HaarWaveletV3']",Weather-96,144,96,192,10,1,True,2,44,66.021896,0.927297,14.619596,2440.925537,nan,0.333630,0.210624,5223715,40.87,7,False,False,ReLU,MAX_EPOCHS,42.76390839,43.66827774,53.97393036,4,1.021148,False,"[""47.97740555"", ""43.91315842"", ""43.96823120"", ""44.18997955"", ""42.76390839"", ""44.42524719"", ""43.66827774""]",1,96,0,3,HaarWaveletV3,eq_fcast,False,42.763908,0.891334
wavelet_trendae_search_r1_baseline,Haar_bd96_eq_fcast_ttd5,wavelet_trendae_search_round1,"['TrendAE', 'HaarWaveletV3']",Weather-96,144,96,192,10,1,True,0,42,66.737076,1.089813,14.648951,2291.542725,nan,0.385692,0.289810,5226285,41.32,7,False,False,ReLU,MAX_EPOCHS,43.00569916,44.21530914,54.85087585,3,1.028127,False,"[""47.18489838"", ""44.35969162"", ""43.74818420"", ""43.00569916"", ""44.08037186"", ""44.57095718"", ""44.21530914""]",1,96,0,5,HaarWaveletV3,eq_fcast,False,43.005699,0.911429
wavelet_trendae_search_r1_baseline,Haar_bd96_eq_fcast_ttd5,wavelet_trendae_search_round1,"['TrendAE', 'HaarWaveletV3']",Weather-96,144,96,192,10,1,True,1,43,65.630981,1.070020,13.949396,2113.608887,nan,0.367677,0.285958,5226285,39.95,7,False,False,ReLU,MAX_EPOCHS,43.66828537,44.27092361,55.70376968,3,1.013800,False,"[""50.31744766"", ""46.32318497"", ""44.96616745"", ""43.66828537"", ""44.01087189"", ""45.06275177"", ""44.27092361""]",1,96,0,5,HaarWaveletV3,eq_fcast,False,43.668285,0.867856
wavelet_trendae_search_r1_baseline,Haar_bd96_eq_fcast_ttd5,wavelet_trendae_search_round1,"['TrendAE', 'HaarWaveletV3']",Weather-96,144,96,192,10,1,True,2,44,66.801857,1.391393,14.093787,2266.668213,nan,0.445405,0.553374,5226285,40.86,7,False,False,ReLU,MAX_EPOCHS,43.54805374,44.23194885,54.31775284,3,1.015704,False,"[""49.63046646"", ""45.52423096"", ""43.94937134"", ""43.54805374"", ""44.41118622"", ""44.04396820"", ""44.23194885""]",1,96,0,5,HaarWaveletV3,eq_fcast,False,43.548054,0.877446
wavelet_trendae_search_r1_baseline,Haar_bd94_lt_fcast_ttd3,wavelet_trendae_search_round1,"['TrendAE', 'HaarWaveletV3']",Weather-96,144,96,192,10,1,True,0,42,64.823509,0.946972,14.804548,2107.526367,nan,0.349776,0.259673,5213475,39.90,7,False,False,ReLU,MAX_EPOCHS,43.49098206,44.44718170,54.06252289,1,1.021986,False,"[""48.29899979"", ""43.49098206"", ""43.80676270"", ""43.55297470"", ""43.95583344"", ""43.98308945"", ""44.44718170""]",1,94,0,3,HaarWaveletV3,lt_fcast,False,43.490982,0.900453
wavelet_trendae_search_r1_baseline,Haar_bd94_lt_fcast_ttd3,wavelet_trendae_search_round1,"['TrendAE', 'HaarWaveletV3']",Weather-96,144,96,192,10,1,True,1,43,66.251854,0.970355,13.418527,1762.575562,nan,0.370347,0.265130,5213475,40.88,7,False,False,ReLU,MAX_EPOCHS,43.66321182,44.22979736,55.11885834,3,1.012976,False,"[""48.58378601"", ""46.13476562"", ""44.51497269"", ""43.66321182"", ""44.78137207"", ""44.70472717"", ""44.22979736""]",1,94,0,3,HaarWaveletV3,lt_fcast,False,43.663212,0.898720
wavelet_trendae_search_r1_baseline,Haar_bd94_lt_fcast_ttd3,wavelet_trendae_search_round1,"['TrendAE', 'HaarWaveletV3']",Weather-96,144,96,192,10,1,True,2,44,67.118370,1.005075,15.296197,2470.822510,nan,0.370107,0.248744,5213475,39.58,7,False,False,ReLU,MAX_EPOCHS,43.73823929,45.75886536,55.08441162,4,1.046198,False,"[""48.80250549"", ""45.59512711"", ""44.35915756"", ""44.35524368"", ""43.73823929"", ""43.86494827"", ""45.75886536""]",1,94,0,3,HaarWaveletV3,lt_fcast,False,43.738239,0.896229
wavelet_trendae_search_r1_baseline,Haar_bd94_lt_fcast_ttd5,wavelet_trendae_search_round1,"['TrendAE', 'HaarWaveletV3']",Weather-96,144,96,192,10,1,True,0,42,67.781349,1.113403,15.727722,3217.936523,nan,0.410796,0.337457,5216045,40.52,7,False,False,ReLU,MAX_EPOCHS,44.06738663,45.43468857,53.74322510,3,1.031028,False,"[""49.48894501"", ""45.22102356"", ""44.19254303"", ""44.06738663"", ""44.16847229"", ""44.55157852"", ""45.43468857""]",1,94,0,5,HaarWaveletV3,lt_fcast,False,44.067387,0.890449
