experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,t_width,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,basis_dim,basis_offset,forecast_basis_dim
baseline,Trend+Coif2_LF,group_b,"['Trend', 'Coif2WaveletV3']",Weather-96,144,96,192,20,1,True,0,42,65.701141,1.125248,16.652914,2345.441162,nan,0.403381,0.337029,11512370,256,87.63,15,False,False,ReLU,EARLY_STOPPED,44.70348740,44.96557236,54.19505692,4,1.005863,False,"[""48.28341675"", ""46.63331604"", ""45.97272110"", ""46.27518463"", ""44.70348740"", ""46.38119507"", ""46.24288559"", ""45.38191223"", ""45.23368454"", ""45.28565979"", ""45.05823135"", ""45.88542175"", ""45.31248093"", ""46.20780182"", ""44.96557236""]",16,0,
baseline,Trend+Coif2_LF,group_b,"['Trend', 'Coif2WaveletV3']",Weather-96,144,96,192,20,1,True,1,43,65.356445,1.023436,22.328346,3793.363770,nan,0.390815,0.312035,11512370,256,194.64,33,False,False,ReLU,EARLY_STOPPED,44.21287918,45.76118088,51.24513626,22,1.035019,False,"[""50.85779953"", ""48.35589218"", ""45.48856735"", ""45.82002640"", ""45.27631378"", ""45.81689072"", ""46.04273224"", ""47.48307419"", ""45.35618210"", ""45.10134888"", ""47.02265549"", ""45.33194733"", ""47.15146255"", ""45.50468445"", ""45.05633545"", ""45.17227554"", ""44.66036987"", ""44.21578217"", ""44.91162109"", ""44.58959579"", ""45.12434387"", ""45.39815521"", ""44.21287918"", ""45.68576431"", ""44.87371826"", ""47.49252319"", ""46.79422760"", ""46.49922943"", ""46.10249710"", ""44.96850586"", ""45.15396500"", ""45.50302505"", ""45.76118088""]",16,0,
baseline,Trend+Coif2_LF,group_b,"['Trend', 'Coif2WaveletV3']",Weather-96,144,96,192,20,1,True,2,44,66.755600,0.999962,15.256104,2416.124512,nan,0.371022,0.247700,11512370,256,134.44,23,False,False,ReLU,EARLY_STOPPED,45.13634872,46.15182114,52.99865723,12,1.022498,False,"[""49.77059555"", ""46.31438446"", ""45.32402039"", ""45.88069916"", ""45.47397614"", ""45.25878906"", ""45.40650940"", ""45.51235580"", ""46.24008942"", ""45.84403229"", ""46.80619049"", ""45.76203156"", ""45.13634872"", ""45.13814545"", ""46.59790039"", ""45.76474762"", ""45.96102524"", ""46.03339767"", ""45.57044601"", ""45.94327927"", ""45.68625259"", ""45.69949341"", ""46.15182114""]",16,0,
baseline,Trend+Coif2_MF,group_b,"['Trend', 'Coif2WaveletV3']",Weather-96,144,96,192,20,1,True,0,42,66.355629,1.056856,16.060966,2416.413330,nan,0.367844,0.262706,11512370,256,83.28,14,False,False,ReLU,EARLY_STOPPED,45.00201797,45.23663330,53.67957306,3,1.005213,False,"[""48.44741440"", ""47.56815720"", ""45.67837524"", ""45.00201797"", ""45.24402237"", ""46.77402878"", ""45.68345642"", ""46.03679276"", ""45.29251480"", ""45.94709396"", ""45.07231140"", ""45.55148315"", ""46.08720398"", ""45.23663330""]",16,16,
baseline,Trend+Coif2_MF,group_b,"['Trend', 'Coif2WaveletV3']",Weather-96,144,96,192,20,1,True,1,43,66.002823,0.969046,15.455338,2379.493408,nan,0.355430,0.226349,11512370,256,109.39,19,False,False,ReLU,EARLY_STOPPED,44.76584625,46.38291931,52.96081924,8,1.036123,False,"[""48.68207932"", ""47.85704041"", ""45.35078049"", ""45.41972351"", ""46.33240509"", ""45.02532578"", ""45.42294312"", ""44.84406281"", ""44.76584625"", ""45.09156799"", ""44.86625290"", ""45.05970764"", ""46.19108200"", ""45.84359741"", ""45.31910706"", ""46.30299377"", ""44.78478622"", ""45.08135605"", ""46.38291931""]",16,16,
baseline,Trend+Coif2_MF,group_b,"['Trend', 'Coif2WaveletV3']",Weather-96,144,96,192,20,1,True,2,44,67.353905,0.963885,15.659648,2869.018555,nan,0.357554,0.225749,11512370,256,106.39,18,False,False,ReLU,EARLY_STOPPED,44.73302841,46.15503311,53.59685516,7,1.031789,False,"[""49.05505753"", ""46.39140320"", ""45.11506653"", ""45.11230087"", ""46.28734589"", ""44.98619461"", ""45.06140518"", ""44.73302841"", ""45.87139893"", ""46.51667404"", ""45.16004562"", ""45.85963821"", ""45.79242325"", ""45.29593277"", ""45.06979752"", ""46.68209839"", ""45.48564911"", ""46.15503311""]",16,16,
baseline,Trend+DB3_LF,group_b,"['Trend', 'DB3WaveletV3']",Weather-96,144,96,192,20,1,True,0,42,67.143990,1.085830,16.425861,2566.756592,nan,0.392074,0.289037,11512370,256,89.80,15,False,False,ReLU,EARLY_STOPPED,44.78169250,44.88568878,54.13706207,4,1.002322,False,"[""48.77680969"", ""46.54688263"", ""45.93589783"", ""45.90019989"", ""44.78169250"", ""45.36674118"", ""45.80814743"", ""46.88591385"", ""45.30678940"", ""45.32054138"", ""45.65948486"", ""46.07421494"", ""45.64493179"", ""45.54436874"", ""44.88568878""]",16,0,
baseline,Trend+DB3_LF,group_b,"['Trend', 'DB3WaveletV3']",Weather-96,144,96,192,20,1,True,1,43,66.008553,0.964058,15.833933,2382.757812,nan,0.349213,0.219970,11512370,256,93.65,15,False,False,ReLU,EARLY_STOPPED,44.64138031,45.29629898,53.69795990,4,1.014671,False,"[""48.80934525"", ""47.18297577"", ""45.63310623"", ""44.92854309"", ""44.64138031"", ""45.18574142"", ""45.69926834"", ""45.97994232"", ""45.48754883"", ""44.79833221"", ""45.75464249"", ""45.03345490"", ""45.12539291"", ""45.26634598"", ""45.29629898""]",16,0,
baseline,Trend+DB3_LF,group_b,"['Trend', 'DB3WaveletV3']",Weather-96,144,96,192,20,1,True,2,44,67.061539,1.098132,14.789564,2447.774902,nan,0.426539,0.430815,11512370,256,91.58,15,False,False,ReLU,EARLY_STOPPED,44.88002396,46.26770782,54.28579330,4,1.030920,False,"[""50.19207001"", ""47.67502594"", ""45.37820053"", ""45.40446472"", ""44.88002396"", ""46.38672638"", ""45.28016281"", ""45.98117447"", ""45.17287445"", ""45.85871124"", ""45.79452896"", ""45.47351456"", ""45.56741333"", ""45.32703018"", ""46.26770782""]",16,0,
baseline,Trend+DB3_MF,group_b,"['Trend', 'DB3WaveletV3']",Weather-96,144,96,192,20,1,True,0,42,66.053482,1.020070,14.312285,2078.033691,nan,0.363658,0.243825,11512370,256,111.79,19,False,False,ReLU,EARLY_STOPPED,45.22116470,46.32125092,52.85990143,8,1.024327,False,"[""48.54309845"", ""46.90673828"", ""45.87242508"", ""45.35092545"", ""45.72114182"", ""45.41868591"", ""45.36733246"", ""45.38994980"", ""45.22116470"", ""45.60759354"", ""45.54618835"", ""46.04093170"", ""45.97408295"", ""45.62980270"", ""46.36017227"", ""46.30473328"", ""46.85898209"", ""46.04463577"", ""46.32125092""]",16,16,
